['CO', 247, 'UO', 78, 'paste', 'elfedit', 'O2', 'O0', 0.0832095096582467, 0.033967018127441406]
['CO', 243, 'UO', 26, 'base32', 'nm', 'O2', 'O2', 0.14611750022287595, 0.9945333003997803]
['CO', 373, 'BO', 66, 'cksum', 'svn', 'O0', 'O2', 0.21151698835539956, 0.5363094806671143]
['CO', 263, 'UO', 7, 'cp', 'ranlib', 'O2', 'O1', 0.11724648408586236, 1.5779995918273926]
['BO', 10, 'UO', 4, 'openssl', 'strip', 'O3', 'O1', 0.12917750370556813, 15.956635236740112]
['BO', 24, 'CO', 270, 'cluster', 'printf', 'O3', 'O2', 0.12353823088455773, 0.12195706367492676]
['CO', 79, 'UO', 48, 'link', 'ranlib', 'O3', 'O3', 0.13888403008570926, 0.8806400299072266]
['BO', 60, 'CO', 364, 'openssl', 'sha256sum', 'O0', 'O0', 0.26489324736496656, 9.506695747375488]
['UO', 71, 'CO', 89, 'c++filt', 'pathchk', 'O0', 'O3', 0.15351660121385224, 2.134774684906006]
['CO', 290, 'UO', 5, 'shuf', 'readelf', 'O2', 'O1', 0.10263462651997679, 0.3453490734100342]
['CO', 67, 'BO', 25, 'nohup', 'dot', 'O3', 'O3', 0.15553121577217965, 0.016082286834716797]
['UO', 18, 'CO', 212, 'diff3', 'test', 'O1', 'O2', 0.08133971291866027, 0.04621434211730957]
['BO', 4, 'UO', 55, 'libgeany.so.0.0.0', 'ar', 'O2', 'O3', 0.1328103608783746, 40.79867744445801]
['CO', 141, 'BO', 42, 'truncate', 'cmp', 'O1', 'O1', 0.042059463379260364, 0.03927183151245117]
['CO', 200, 'BO', 25, 'fold', 'dot', 'O1', 'O3', 0.18685121107266434, 0.018908023834228516]
['CO', 388, 'BO', 2, 'md5sum', 'perl', 'O0', 'O1', 0.07438038227263177, 2.7415897846221924]
['BO', 21, 'UO', 26, 'cp', 'nm', 'O1', 'O2', 0.10919857876036321, 1.430736780166626]
['CO', 334, 'UO', 71, 'pwd', 'c++filt', 'O0', 'O0', 0.14708143592169853, 2.3499133586883545]
['BO', 34, 'CO', 252, 'cp', 'seq', 'O2', 'O2', 0.12012359984550014, 0.09426999092102051]
['BO', 3, 'UO', 58, 'openssl', 'objdump', 'O1', 'O3', 0.11378712113480971, 17.372918367385864]
['BO', 79, 'CO', 365, 'bash', 'chmod', 'O3', 'O0', 0.10418344261666479, 3.0565271377563477]
['BO', 72, 'CO', 374, 'make', 'printf', 'O2', 'O0', 0.11383568999463045, 0.2748563289642334]
['CO', 48, 'BO', 13, 'ls', 'ruby', 'O3', 'O1', 0.09828753841105042, 15.336628675460815]
['CO', 379, 'BO', 48, 'nohup', 'libvlccore.so.9.0.0', 'O0', 'O0', 0.18016649627574122, 11.626826763153076]
['BO', 26, 'UO', 68, 'gvmap', 'readelf', 'O3', 'O0', 0.07454464682363393, 0.9241373538970947]
['UO', 70, 'CO', 366, 'ranlib', 'true', 'O0', 'O0', 0.15117663736886877, 2.4675889015197754]
['CO', 122, 'BO', 27, 'uptime', 'perl', 'O1', 'O3', 0.08088836937463473, 2.5933961868286133]
['UO', 23, 'BO', 45, 'cmp', 'diff', 'O2', 'O2', 0.10292119565217395, 0.11766886711120605]
['BO', 40, 'CO', 19, 'lua', 'dd', 'O0', 'O3', 0.1245098976761978, 0.8315236568450928]
['CO', 187, 'BO', 31, 'csplit', 'bash', 'O1', 'O2', 0.11916048782464239, 3.040285348892212]
['UO', 69, 'BO', 67, 'as', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.019877813215938178, 19.702060222625732]
['CO', 179, 'BO', 15, 'mv', 'diff', 'O1', 'O0', 0.0444664031620553, 0.35536742210388184]
['CO', 33, 'UO', 17, 'chown', 'objdump', 'O3', 'O1', 0.13040650406504062, 2.2589871883392334]
['CO', 388, 'BO', 81, 'md5sum', 'sort', 'O0', 'O3', 0.08197267577474177, 0.11878800392150879]
['BO', 39, 'CO', 52, 'codeblocks', 'sha256sum', 'O3', 'O3', 0.18469217970049923, 11.076857566833496]
