['CV', 58, 'BV', 20, 'readlink', 'sort', 'V2', 'V1', 0.08063600227143664, 0.040764570236206055]
['BV', 81, 'UV', 63, 'dot', 'elfedit', 'V1', 'V1', 0.15307262569832403, 0.016073942184448242]
['UV', 68, 'CV', 117, 'diff', 'pinky', 'V0', 'V3', 0.08920014743826021, 0.07984733581542969]
['UV', 77, 'BV', 43, 'ranlib', 'lua', 'V0', 'V0', 0.05703979947423121, 1.8812358379364014]
['CV', 27, 'UV', 32, 'expr', 'addr2line', 'V2', 'V3', 0.13077704418486547, 0.9769208431243896]
['BV', 1, 'CV', 333, 'libSDL2-2.0.so', 'id', 'V3', 'V1', 0.19471570685406592, 4.87276029586792]
['BV', 53, 'CV', 79, 'ssh', 'fold', 'V2', 'V2', 0.1198185880548237, 3.4960103034973145]
['UV', 29, 'BV', 56, 'objcopy', 'ssh', 'V3', 'V3', 0.01679567693880535, 4.671427965164185]
['UV', 47, 'CV', 161, 'sdiff', 'pathchk', 'V1', 'V3', 0.08085612366230677, 0.03571295738220215]
['CV', 63, 'UV', 22, 'mv', 'nm', 'V2', 'V3', 0.12137740149788345, 1.1840238571166992]
['BV', 9, 'CV', 142, 'dot', 'nohup', 'V2', 'V3', 0.15553121577217965, 0.015548229217529297]
['UV', 76, 'BV', 69, 'as', 'gvmap', 'V0', 'V0', 0.10035629453681705, 1.9922471046447754]
['UV', 41, 'CV', 267, 'cmp', 'fmt', 'V3', 'V1', 0.08825978351373853, 0.02482914924621582]
['BV', 36, 'CV', 211, 'libvlc.so', 'seq', 'V2', 'V0', 0.19850628930817615, 0.29907965660095215]
['CV', 259, 'UV', 77, 'mknod', 'ranlib', 'V0', 'V0', 0.1480394771939184, 0.8488225936889648]
['CV', 215, 'BV', 63, 'nice', 'ruby', 'V0', 'V0', 0.11729622266401596, 8.981783628463745]
['CV', 337, 'UV', 26, 'comm', 'ranlib', 'V1', 'V3', 0.14937759336099588, 0.9382445812225342]
['CV', 286, 'BV', 14, 'expand', 'openssl', 'V1', 'V3', 0.2927034120734908, 5.323714971542358]
['BV', 35, 'CV', 188, 'libvlccore.so', 'dirname', 'V2', 'V0', 0.16870451237263462, 3.0982744693756104]
['UV', 48, 'CV', 20, 'locate', 'tee', 'V1', 'V2', 0.11865828092243191, 0.06194019317626953]
['BV', 2, 'CV', 160, 'cmp', 'shred', 'V1', 'V3', 0.06397482957524914, 0.0501399040222168]
['CV', 285, 'BV', 13, 'factor', 'cp', 'V1', 'V2', 0.134453781512605, 0.053968191146850586]
['BV', 61, 'CV', 81, 'cmp', 'sleep', 'V0', 'V2', 0.06320541760722342, 0.014947652816772461]
['BV', 35, 'UV', 86, 'libvlccore.so', 'size', 'V2', 'V0', 0.061510220590523024, 7.297902584075928]
['UV', 43, 'CV', 226, 'sdiff', 'logname', 'V3', 'V0', 0.13279530447542187, 0.027806758880615234]
['BV', 51, 'CV', 25, 'cp', 'expand', 'V0', 'V2', 0.10061349693251531, 0.034613609313964844]
['CV', 117, 'UV', 69, 'pinky', 'sdiff', 'V3', 'V0', 0.052169137836353685, 0.04478883743286133]
['CV', 194, 'BV', 68, 'tee', 'dot', 'V0', 'V0', 0.14197530864197527, 0.010702848434448242]
['BV', 23, 'CV', 71, 'diff', '[', 'V3', 'V2', 0.12591304347826093, 0.08310508728027344]
['UV', 58, 'CV', 74, 'objcopy', 'pathchk', 'V1', 'V2', 0.13642078792958934, 1.1503067016601562]
['UV', 14, 'BV', 72, 'objcopy', 'perl', 'V2', 'V1', 0.023315634218289083, 6.470741271972656]
['BV', 13, 'CV', 189, 'cp', 'uptime', 'V2', 'V0', 0.13011828935395808, 0.05938267707824707]
['UV', 52, 'BV', 44, 'strip', 'make', 'V1', 'V0', 0.07975357042845144, 1.9618897438049316]
['UV', 40, 'CV', 63, 'diff3', 'mv', 'V3', 'V2', 0.0745712155108128, 0.08366107940673828]
['CV', 215, 'BV', 82, 'nice', 'gvmap', 'V0', 'V1', 0.1486527399333939, 0.10303854942321777]
['CV', 250, 'UV', 46, 'comm', 'diff', 'V0', 'V1', 0.12467616580310881, 0.0823514461517334]
['UV', 21, 'CV', 35, 'objdump', 'sum', 'V2', 'V2', 0.1368566357720371, 1.4050633907318115]
['CV', 306, 'UV', 52, 'cp', 'strip', 'V1', 'V1', 0.1223546745245111, 1.3418171405792236]
['CV', 93, 'UV', 69, 'fmt', 'sdiff', 'V3', 'V0', 0.06314580941446613, 0.03930497169494629]
['CV', 255, 'UV', 29, 'sleep', 'objcopy', 'V0', 'V3', 0.14523900573613768, 1.0771150588989258]
['CV', 239, 'BV', 46, 'env', 'cluster', 'V0', 'V3', 0.15551244746201098, 0.09675288200378418]
['CV', 139, 'BV', 25, 'logname', 'git', 'V3', 'V3', 0.08737683295833654, 8.780729532241821]
['UV', 73, 'CV', 326, 'nm', 'env', 'V0', 'V1', 0.1510207886641186, 0.7836391925811768]
['CV', 62, 'UV', 35, 'unexpand', 'size', 'V2', 'V3', 0.15017282153902123, 0.8670032024383545]
['BV', 6, 'CV', 296, 'libvlc.so', 'sum', 'V0', 'V1', 0.1908212560386473, 0.22435259819030762]
['BV', 61, 'CV', 236, 'cmp', 'unexpand', 'V0', 'V0', 0.05104712041884818, 0.013051033020019531]
['BV', 59, 'CV', 116, 'make', 'tail', 'V1', 'V3', 0.09951931636104683, 0.2355196475982666]
['BV', 46, 'UV', 16, 'cluster', 'gprof', 'V3', 'V2', 0.09631767936351476, 1.5160999298095703]
['CV', 211, 'UV', 86, 'seq', 'size', 'V0', 'V0', 0.12807801706623323, 0.781378984451294]
['CV', 115, 'BV', 53, 'chown', 'ssh', 'V3', 'V2', 0.1133090008472919, 3.8529486656188965]
['BV', 16, 'CV', 188, 'libvlc.so', 'dirname', 'V3', 'V0', 0.20313429875024802, 0.29929137229919434]
['UV', 56, 'CV', 100, 'c++filt', 'join', 'V1', 'V3', 0.13391078388912947, 0.9197893142700195]
['CV', 271, 'UV', 74, 'ptx', 'strip', 'V1', 'V0', 0.12210699814573178, 1.2509996891021729]
['UV', 45, 'CV', 189, 'cmp', 'uptime', 'V1', 'V0', 0.08582995951417005, 0.027483463287353516]
['BV', 10, 'CV', 7, 'gvmap', 'dir', 'V2', 'V2', 0.06470848056537104, 0.21621251106262207]
['CV', 158, 'UV', 22, '[', 'nm', 'V3', 'V3', 0.14276966144694248, 0.9513251781463623]
['UV', 77, 'CV', 136, 'ranlib', 'tsort', 'V0', 'V3', 0.14008825819849435, 0.9003317356109619]
