['CV', 155, 'BV', 61, 'cat', 'cmp', 'V3', 'V0', 0.08173076923076927, 0.01952362060546875]
['UV', 72, 'CV', 345, 'find', 'rmdir', 'V0', 'V1', 0.16490765171503963, 0.10767078399658203]
['UV', 37, 'CV', 238, 'locate', 'md5sum', 'V3', 'V0', 0.1491733948481353, 0.09517097473144531]
['CV', 72, 'UV', 77, 'id', 'ranlib', 'V2', 'V0', 0.1451372445847584, 0.9271140098571777]
['BV', 40, 'CV', 32, 'lua', 'paste', 'V2', 'V2', 0.13530349123569463, 0.32454490661621094]
['CV', 185, 'UV', 26, 'printenv', 'ranlib', 'V0', 'V3', 0.15378562685784225, 0.9396655559539795]
['CV', 119, 'UV', 81, 'paste', 'ld', 'V3', 'V0', 0.13343212421880035, 1.433499813079834]
['CV', 137, 'UV', 33, 'cksum', 'ar', 'V3', 'V3', 0.1459132361714821, 1.0157992839813232]
['CV', 5, 'UV', 40, 'mkdir', 'diff3', 'V2', 'V3', 0.045154185022026394, 0.044950246810913086]
['UV', 39, 'CV', 232, 'find', 'readlink', 'V3', 'V0', 0.16666666666666663, 0.26597094535827637]
['BV', 80, 'CV', 40, 'cluster', 'ls', 'V1', 'V2', 0.06429391504018367, 0.21786069869995117]
['CV', 93, 'UV', 54, 'fmt', 'as', 'V3', 'V1', 0.1275090584919768, 1.6660797595977783]
['UV', 14, 'CV', 32, 'objcopy', 'paste', 'V2', 'V2', 0.1412256475330298, 1.14595365524292]
['UV', 33, 'CV', 250, 'ar', 'comm', 'V3', 'V0', 0.14989182172219817, 0.9636588096618652]
['CV', 101, 'UV', 20, 'dirname', 'size', 'V3', 'V2', 0.14707193154470088, 0.9387528896331787]
['BV', 42, 'CV', 69, 'libvlc.so', 'csplit', 'V1', 'V2', 0.1262914143213395, 0.3363642692565918]
['CV', 155, 'UV', 43, 'cat', 'sdiff', 'V3', 'V3', 0.07488207547169812, 0.04112720489501953]
['BV', 62, 'CV', 329, 'diff', 'cat', 'V0', 'V1', 0.12363636363636366, 0.0402064323425293]
['UV', 19, 'CV', 82, 'elfedit', 'sort', 'V2', 'V2', 0.10285714285714287, 0.06469964981079102]
['CV', 193, 'BV', 23, 'pr', 'diff', 'V0', 'V3', 0.10036196117143792, 0.10287022590637207]
['CV', 201, 'BV', 31, 'expr', 'codeblocks', 'V0', 'V0', 0.18201772213641165, 10.166460990905762]
['BV', 56, 'CV', 190, 'ssh', 'dd', 'V3', 'V0', 0.1416666666666666, 1.3602070808410645]
['CV', 203, 'UV', 73, 'tail', 'nm', 'V0', 'V0', 0.14056442160310167, 0.9134902954101562]
['CV', 221, 'BV', 46, 'od', 'cluster', 'V0', 'V3', 0.12956909361069835, 0.11928009986877441]
['CV', 210, 'UV', 22, 'chroot', 'nm', 'V0', 'V3', 0.1541606104651163, 0.9081287384033203]
['UV', 33, 'BV', 31, 'ar', 'codeblocks', 'V3', 'V0', 0.11169347937703233, 17.7326819896698]
['UV', 39, 'BV', 36, 'find', 'libvlc.so', 'V3', 'V2', 0.03522300958732805, 1.0379953384399414]
['UV', 17, 'BV', 30, 'addr2line', 'bash', 'V2', 'V0', 0.03416909235247423, 5.945987701416016]
['UV', 37, 'BV', 20, 'locate', 'sort', 'V3', 'V1', 0.09034267912772587, 0.13816571235656738]
['CV', 51, 'BV', 56, 'printf', 'ssh', 'V2', 'V3', 0.14345827668803002, 1.396435260772705]
['BV', 0, 'CV', 20, 'bash', 'tee', 'V2', 'V2', 0.1279978562815417, 2.4014854431152344]
['CV', 67, 'BV', 47, 'uname', 'dot', 'V2', 'V3', 0.12215909090909094, 0.011005401611328125]
['UV', 54, 'CV', 203, 'as', 'tail', 'V1', 'V0', 0.12726436252803497, 1.680445909500122]
['CV', 146, 'BV', 45, 'head', 'svn', 'V3', 'V3', 0.2108482871125612, 0.6297361850738525]
['CV', 314, 'UV', 62, 'tty', 'ar', 'V1', 'V1', 0.14930851971999315, 0.9705085754394531]
['CV', 55, 'BV', 59, 'nohup', 'make', 'V2', 'V1', 0.1314837153196622, 0.1973876953125]
['BV', 62, 'CV', 173, 'diff', 'ln', 'V0', 'V3', 0.04096204434423145, 0.09289288520812988]
['CV', 41, 'UV', 21, 'nice', 'objdump', 'V2', 'V2', 0.1401138921997087, 1.4355435371398926]
['UV', 14, 'CV', 347, 'objcopy', 'ln', 'V2', 'V1', 0.13795658294435797, 1.1912286281585693]
['UV', 55, 'CV', 317, 'ranlib', 'yes', 'V1', 'V1', 0.1497011101622545, 0.9268393516540527]
['UV', 30, 'CV', 289, 'ld', 'chown', 'V3', 'V1', 0.13790046104740517, 1.9207875728607178]
['CV', 198, 'UV', 84, 'factor', 'ar', 'V0', 'V0', 0.14858616396941138, 0.8796370029449463]
['UV', 10, 'CV', 210, 'as', 'chroot', 'V2', 'V0', 0.13525188255209852, 1.6232948303222656]
['CV', 197, 'UV', 87, 'wc', 'objdump', 'V0', 'V0', 0.13762139151257147, 1.3795452117919922]
['BV', 38, 'CV', 252, 'ruby', 'rm', 'V2', 'V0', 0.2421052631578947, 0.012957334518432617]
['BV', 69, 'CV', 230, 'gvmap', 'yes', 'V0', 'V0', 0.1534772182254196, 0.08766984939575195]
['BV', 47, 'CV', 201, 'dot', 'expr', 'V3', 'V0', 0.13544474393530992, 0.024098634719848633]
['BV', 65, 'CV', 54, 'ssh', 'false', 'V1', 'V2', 0.11933575366411187, 3.5456135272979736]
['CV', 139, 'UV', 28, 'logname', 'strings', 'V3', 'V3', 0.14835415336919855, 0.9281151294708252]
['BV', 45, 'CV', 321, 'svn', 'hostid', 'V3', 'V1', 0.23216094948617738, 0.5600731372833252]
['CV', 113, 'BV', 62, 'date', 'diff', 'V3', 'V0', 0.04126315789473689, 0.0700376033782959]
['BV', 76, 'CV', 131, 'diff', 'true', 'V2', 'V3', 0.13215700396110908, 0.0835580825805664]
['UV', 28, 'CV', 63, 'strings', 'mv', 'V3', 'V2', 0.12083437214327264, 1.1854817867279053]
['UV', 25, 'CV', 253, 'as', 'fold', 'V3', 'V0', 0.13455372238092456, 1.6310713291168213]
['UV', 22, 'CV', 199, 'nm', 'expand', 'V3', 'V0', 0.1531360304099918, 0.9120075702667236]
['CV', 276, 'UV', 41, 'uptime', 'cmp', 'V1', 'V3', 0.08541498791297342, 0.028901100158691406]
['BV', 47, 'CV', 153, 'dot', 'link', 'V3', 'V3', 0.1355311355311355, 0.013089418411254883]
['BV', 43, 'CV', 245, 'lua', '[', 'V0', 'V0', 0.1413603858307002, 0.27419447898864746]
