['CO', 409, 'BO', 18, 'uniq', 'libvlc.so.12.0.0', 'O0', 'O1', 0.19350696991929572, 0.5153765678405762]
['CO', 246, 'BO', 31, 'sha1sum', 'bash', 'O2', 'O2', 0.12409569220651107, 2.7734622955322266]
['CO', 30, 'UO', 14, 'expand', 'ar', 'O3', 'O1', 0.14843495272253016, 1.17899489402771]
['BO', 83, 'CO', 294, 'lua', 'timeout', 'O2', 'O2', 0.12481971941785763, 0.41561150550842285]
['CO', 48, 'UO', 78, 'ls', 'elfedit', 'O3', 'O0', 0.1059063136456212, 0.1075601577758789]
['CO', 285, 'BO', 11, 'env', 'ssh', 'O2', 'O1', 0.14952556836273323, 1.492727279663086]
['CO', 302, 'BO', 56, 'rm', 'libvlc.so.12.0.0', 'O2', 'O3', 0.174508126603935, 0.513657808303833]
['BO', 66, 'CO', 83, 'svn', 'csplit', 'O2', 'O3', 0.20285021224984834, 0.5304689407348633]
['UO', 25, 'CO', 327, 'sdiff', 'join', 'O2', 'O0', 0.048032703117015796, 0.06817102432250977]
['BO', 56, 'CO', 239, 'libvlc.so.12.0.0', 'date', 'O3', 'O2', 0.1843358617040043, 0.47630763053894043]
['UO', 43, 'CO', 196, 'find', 'sha512sum', 'O2', 'O1', 0.15327586206896548, 0.3850522041320801]
['CO', 342, 'UO', 17, 'expand', 'objdump', 'O0', 'O1', 0.13549427332369623, 2.1651034355163574]
['CO', 137, 'UO', 79, 'chown', 'size', 'O1', 'O0', 0.14097744360902253, 2.6021738052368164]
['BO', 44, 'CO', 129, 'cmp', 'chgrp', 'O2', 'O1', 0.07529654461062407, 0.06377100944519043]
['UO', 24, 'BO', 76, 'diff', 'openssl', 'O2', 'O2', 0.2512059816690786, 9.349662065505981]
['CO', 47, 'UO', 8, 'numfmt', 'c++filt', 'O3', 'O1', 0.1449836516950611, 1.10396409034729]
['BO', 37, 'CO', 253, 'gvmap', 'split', 'O2', 'O2', 0.1093290564020315, 0.1529371738433838]
['CO', 68, 'BO', 66, 'yes', 'svn', 'O3', 'O2', 0.2252836304700162, 0.47324395179748535]
['CO', 156, 'BO', 23, 'sha256sum', 'git', 'O1', 'O2', 0.09210062991509838, 6.9143102169036865]
['CO', 373, 'UO', 69, 'cksum', 'as', 'O0', 'O0', 0.13675553259962658, 4.033246278762817]
['CO', 144, 'BO', 63, 'sync', 'cluster', 'O1', 'O0', 0.13150567573356176, 0.2085096836090088]
['UO', 61, 'CO', 126, 'find', 'pwd', 'O3', 'O1', 0.14308710427472726, 0.3247990608215332]
['UO', 32, 'CO', 140, 'strings', 'pinky', 'O2', 'O1', 0.1403178023161864, 0.9996562004089355]
['UO', 35, 'BO', 56, 'gprof', 'libvlc.so.12.0.0', 'O2', 'O3', 0.060023858856030676, 2.445362091064453]
['CO', 369, 'UO', 16, 'od', 'size', 'O0', 'O1', 0.13400779500787796, 1.3223140239715576]
['UO', 40, 'BO', 16, 'objdump', 'make', 'O2', 'O0', 0.07823724442807145, 3.0119075775146484]
['CO', 25, 'BO', 7, 'chgrp', 'sort', 'O3', 'O0', 0.11651495448634586, 0.20362496376037598]
['UO', 15, 'CO', 90, 'elfedit', 'tr', 'O1', 'O3', 0.044544867656552634, 0.03672671318054199]
['CO', 22, 'BO', 6, 'pwd', 'codeblocks', 'O3', 'O0', 0.20616069771757284, 29.299427032470703]
['UO', 71, 'CO', 15, 'c++filt', 'join', 'O0', 'O3', 0.14774121909882532, 2.257962703704834]
['UO', 81, 'CO', 38, 'diff3', 'sha1sum', 'O0', 'O3', 0.09990009990009985, 0.0649111270904541]
['CO', 135, 'BO', 39, 'date', 'codeblocks', 'O1', 'O3', 0.18105263157894735, 12.32568097114563]
['BO', 14, 'CO', 313, 'cmp', 'touch', 'O0', 'O0', 0.0642496558054153, 0.09263181686401367]
['CO', 38, 'BO', 45, 'sha1sum', 'diff', 'O3', 'O2', 0.12053115423901939, 0.10622596740722656]
['BO', 45, 'UO', 70, 'diff', 'ranlib', 'O2', 'O0', 0.1269948536674117, 3.1442208290100098]
['UO', 26, 'CO', 123, 'nm', 'dd', 'O2', 'O1', 0.12966402161067025, 1.1703572273254395]
['CO', 82, 'BO', 68, 'shuf', 'git', 'O3', 'O3', 0.0908012677179133, 7.126687049865723]
['CO', 278, 'UO', 10, 'b2sum', 'objcopy', 'O2', 'O1', 0.1389549549549549, 1.4550204277038574]
['CO', 192, 'UO', 8, 'shred', 'c++filt', 'O1', 'O1', 0.13468697123519457, 1.277359962463379]
['CO', 292, 'BO', 2, 'vdir', 'perl', 'O2', 'O1', 0.06763001353110876, 3.2902708053588867]
['CO', 325, 'BO', 46, 'printenv', 'ruby', 'O0', 'O3', 0.10412468706112232, 13.681264877319336]
['UO', 69, 'BO', 69, 'as', 'cmp', 'O0', 'O3', 0.13753615722946466, 3.9640896320343018]
['CO', 16, 'BO', 48, 'dirname', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.18331426559887354, 11.221601009368896]
['CO', 94, 'UO', 53, 'rm', 'gprof', 'O3', 'O3', 0.12073597655295942, 1.0320804119110107]
['CO', 190, 'UO', 55, 'timeout', 'ar', 'O1', 'O3', 0.13043104928730898, 0.968132734298706]
['UO', 9, 'CO', 398, 'strings', 'timeout', 'O1', 'O0', 0.1395486935866983, 1.2420008182525635]
['UO', 57, 'CO', 251, 'size', 'chroot', 'O3', 'O2', 0.13631767625700886, 0.842292070388794]
['BO', 45, 'CO', 129, 'diff', 'chgrp', 'O2', 'O1', 0.07437037037037042, 0.15040326118469238]
['CO', 167, 'BO', 69, 'logname', 'cmp', 'O1', 'O3', 0.05287356321839076, 0.03280925750732422]
['CO', 144, 'BO', 3, 'sync', 'openssl', 'O1', 'O1', 0.28020532286589317, 7.961682319641113]
['UO', 13, 'CO', 208, 'addr2line', 'sha384sum', 'O1', 'O2', 0.1491942470975567, 1.0936391353607178]
['UO', 66, 'CO', 204, 'nm', 'tac', 'O0', 'O1', 0.14939605848696758, 2.3316965103149414]
['UO', 62, 'CO', 286, 'diff3', 'chcon', 'O3', 'O2', 0.039234002802428725, 0.06274271011352539]
['BO', 82, 'CO', 385, 'cp', 'hostid', 'O3', 'O0', 0.1055970149253731, 0.09453725814819336]
['BO', 30, 'CO', 21, 'libvlccore.so.9.0.0', 'mktemp', 'O2', 'O3', 0.1577946768060836, 4.809445381164551]
['CO', 132, 'UO', 79, 'factor', 'size', 'O1', 'O0', 0.14599550250821658, 2.414050340652466]
['BO', 48, 'UO', 23, 'libvlccore.so.9.0.0', 'cmp', 'O0', 'O2', 0.1806589045493011, 11.131082773208618]
['CO', 138, 'UO', 17, 'tail', 'objdump', 'O1', 'O1', 0.12937595129375956, 2.376159429550171]
['BO', 55, 'UO', 3, 'make', 'nm', 'O1', 'O1', 0.07541863735139975, 2.031775712966919]
['BO', 43, 'CO', 378, 'diff', 'runcon', 'O1', 'O0', 0.11881845336873553, 0.13576674461364746]
['CO', 54, 'UO', 32, 'true', 'strings', 'O3', 'O2', 0.14902175900530268, 0.9102520942687988]
['BO', 37, 'CO', 17, 'gvmap', 'stdbuf', 'O2', 'O3', 0.1216403435854807, 0.13005948066711426]
['CO', 388, 'UO', 24, 'md5sum', 'diff', 'O0', 'O2', 0.09839816933638446, 0.13054442405700684]
['CO', 267, 'BO', 25, 'tsort', 'dot', 'O2', 'O3', 0.17647058823529416, 0.016449928283691406]
['BO', 31, 'CO', 313, 'bash', 'touch', 'O2', 'O0', 0.11504743605139911, 3.2059431076049805]
['UO', 7, 'CO', 263, 'ranlib', 'cp', 'O1', 'O2', 0.11724648408586236, 1.577904224395752]
['CO', 294, 'BO', 79, 'timeout', 'bash', 'O2', 'O3', 0.11170902234966018, 2.652186155319214]
['UO', 7, 'CO', 370, 'ranlib', 'df', 'O1', 'O0', 0.11868990384615385, 1.5757486820220947]
['CO', 368, 'BO', 43, 'cut', 'diff', 'O0', 'O1', 0.10347023241006048, 0.15227794647216797]
['CO', 383, 'UO', 11, 'readlink', 'ld', 'O0', 'O1', 0.1378162832061507, 2.4101898670196533]
['CO', 267, 'BO', 77, 'tsort', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.19019697663765456, 5.192118167877197]
['UO', 18, 'BO', 34, 'diff3', 'cp', 'O1', 'O2', 0.084005376344086, 0.12425041198730469]
['UO', 17, 'CO', 327, 'objdump', 'join', 'O1', 'O0', 0.13146468810112666, 2.2091236114501953]
['CO', 20, 'UO', 43, 'mkfifo', 'find', 'O3', 'O2', 0.16652028807307218, 0.3507065773010254]
['CO', 319, 'UO', 8, 'fmt', 'c++filt', 'O0', 'O1', 0.14214032355740114, 1.1461031436920166]
['CO', 101, 'UO', 40, 'rmdir', 'objdump', 'O3', 'O2', 0.1346754599097535, 1.8387808799743652]
['CO', 368, 'BO', 77, 'cut', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.18448665762098604, 5.4732677936553955]
['UO', 0, 'CO', 328, 'locate', 'dirname', 'O1', 'O0', 0.13062755798090042, 0.13675975799560547]
['CO', 0, 'BO', 25, 'sha384sum', 'dot', 'O3', 'O3', 0.1646464646464647, 0.01826000213623047]
['CO', 148, 'UO', 3, 'seq', 'nm', 'O1', 'O1', 0.14592674054648502, 1.1655170917510986]
['CO', 262, 'UO', 34, 'true', 'ld', 'O2', 'O2', 0.14529604068289137, 1.8411979675292969]
['UO', 57, 'CO', 39, 'size', 'paste', 'O3', 'O3', 0.1383174136664218, 0.7971577644348145]
['BO', 71, 'CO', 53, 'libSDL2-2.0.so.0.16.0', 'chmod', 'O0', 'O3', 0.19472507452798937, 6.793372869491577]
['UO', 28, 'CO', 252, 'readelf', 'seq', 'O2', 'O2', 0.10882860279128115, 0.26256752014160156]
['UO', 45, 'CO', 22, 'strip', 'pwd', 'O3', 'O3', 0.12860394537177544, 1.0421686172485352]
['UO', 19, 'BO', 78, 'cmp', 'ssh', 'O1', 'O0', 0.13858695652173914, 2.2221171855926514]
['CO', 126, 'UO', 71, 'pwd', 'c++filt', 'O1', 'O0', 0.15088387595976427, 2.2412710189819336]
['UO', 18, 'BO', 55, 'diff3', 'make', 'O1', 'O1', 0.10810810810810811, 0.27777647972106934]
['UO', 14, 'CO', 387, 'ar', 'mv', 'O1', 'O0', 0.0908599242833964, 1.9660224914550781]
['CO', 138, 'BO', 16, 'tail', 'make', 'O1', 'O0', 0.09992082343626285, 0.3335587978363037]
['UO', 50, 'CO', 268, 'strings', 'base64', 'O3', 'O2', 0.13819165811327794, 0.8176596164703369]
['UO', 50, 'CO', 135, 'strings', 'date', 'O3', 'O1', 0.1234008528784648, 0.9562931060791016]
['CO', 231, 'BO', 10, 'pr', 'openssl', 'O2', 'O3', 0.27054997043169715, 8.055278062820435]
['UO', 62, 'CO', 229, 'diff3', 'mktemp', 'O3', 'O2', 0.043404735062006816, 0.05064892768859863]
['BO', 9, 'CO', 275, 'git', 'nohup', 'O0', 'O2', 0.09314331704061396, 6.683300495147705]
['BO', 60, 'CO', 282, 'openssl', 'unexpand', 'O0', 'O2', 0.271817719935905, 9.171285390853882]
['CO', 182, 'BO', 28, 'chcon', 'ruby', 'O1', 'O0', 0.10201350355633754, 14.840715885162354]
['UO', 79, 'BO', 69, 'size', 'cmp', 'O0', 'O3', 0.1507402422611036, 2.2772672176361084]
['BO', 71, 'UO', 12, 'libSDL2-2.0.so.0.16.0', 'gprof', 'O0', 'O1', 0.08807693415104656, 13.715574979782104]
['CO', 196, 'UO', 0, 'sha512sum', 'locate', 'O1', 'O1', 0.12174199934015173, 0.15060901641845703]
['CO', 82, 'BO', 22, 'shuf', 'perl', 'O3', 'O0', 0.10802336304949278, 4.197248220443726]
['CO', 300, 'UO', 52, 'sha512sum', 'ld', 'O2', 'O3', 0.13275240384615383, 1.748784065246582]
['CO', 131, 'UO', 41, 'wc', 'locate', 'O1', 'O2', 0.10584776216922576, 0.1462090015411377]
['CO', 141, 'UO', 53, 'truncate', 'gprof', 'O1', 'O3', 0.13309816742665403, 0.9281277656555176]
['CO', 244, 'BO', 14, 'pinky', 'cmp', 'O2', 'O0', 0.07992327365728902, 0.04968714714050293]
['CO', 288, 'BO', 10, 'uname', 'openssl', 'O2', 'O3', 0.28128245067497404, 7.759899854660034]
