['UO', 45, 'CO', 130, 'strip', 'kill', 'O3', 'O1', 0.1287098496986343, 0.9931840896606445]
['BO', 16, 'CO', 415, 'make', 'ln', 'O0', 'O0', 0.07347484043342734, 0.3948049545288086]
['CO', 357, 'UO', 27, 'split', 'strip', 'O0', 'O2', 0.12280071813285454, 1.3796019554138184]
['CO', 215, 'BO', 56, 'fmt', 'libvlc.so.12.0.0', 'O2', 'O3', 0.21072723802252336, 0.3947288990020752]
['UO', 0, 'CO', 179, 'locate', 'mv', 'O1', 'O1', 0.026709401709401726, 0.27628278732299805]
['BO', 76, 'CO', 86, 'openssl', 'timeout', 'O2', 'O3', 0.2749734212204975, 7.474436521530151]
['BO', 56, 'UO', 17, 'libvlc.so.12.0.0', 'objdump', 'O3', 'O1', 0.08070271754048863, 3.799844980239868]
['CO', 115, 'UO', 82, 'groups', 'cmp', 'O1', 'O0', 0.07741935483870965, 0.04695606231689453]
['UO', 68, 'CO', 6, 'readelf', 'mkdir', 'O0', 'O3', 0.11972891566265065, 0.5374157428741455]
['UO', 42, 'CO', 302, 'xargs', 'rm', 'O2', 'O2', 0.050420168067226934, 0.09662175178527832]
['BO', 38, 'CO', 277, 'acyclic', 'who', 'O2', 'O2', 0.1814432989690722, 0.019706249237060547]
['CO', 322, 'UO', 65, 'users', 'sdiff', 'O0', 'O3', 0.05318527177089427, 0.04943037033081055]
['CO', 339, 'UO', 65, 'wc', 'sdiff', 'O0', 'O3', 0.05944584382871532, 0.06651592254638672]
['CO', 356, 'BO', 77, 'seq', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.18566376496191506, 5.086631536483765]
['UO', 69, 'CO', 260, 'as', 'sha256sum', 'O0', 'O2', 0.13860361436191382, 3.594404458999634]
['CO', 396, 'BO', 13, 'vdir', 'ruby', 'O0', 'O1', 0.09430339551301936, 15.623851537704468]
['CO', 219, 'BO', 58, 'groups', 'svn', 'O2', 'O1', 0.22582228767795776, 0.48386645317077637]
['UO', 5, 'BO', 27, 'readelf', 'perl', 'O1', 'O3', 0.054394474212143495, 3.8754022121429443]
['CO', 276, 'BO', 17, 'yes', 'codeblocks', 'O2', 'O2', 0.18916588272185642, 10.176541090011597]
['BO', 67, 'UO', 58, 'libSDL2-2.0.so.0.16.0', 'objdump', 'O1', 'O3', 0.060318240126641, 12.710902452468872]
['BO', 62, 'UO', 53, 'bash', 'gprof', 'O1', 'O3', 0.04451774871555347, 6.27350115776062]
['UO', 35, 'CO', 301, 'gprof', 'nl', 'O2', 'O2', 0.14177470954706184, 0.9790029525756836]
['CO', 108, 'UO', 65, 'test', 'sdiff', 'O1', 'O3', 0.05652911249293391, 0.04607677459716797]
['CO', 267, 'UO', 6, 'tsort', 'as', 'O2', 'O1', 0.1335591714333315, 1.8450736999511719]
['BO', 10, 'UO', 68, 'openssl', 'readelf', 'O3', 'O0', 0.1746650347848493, 11.404564142227173]
['CO', 264, 'BO', 23, 'cut', 'git', 'O2', 'O2', 0.09264449365972205, 6.406722784042358]
['CO', 112, 'BO', 22, 'dir', 'perl', 'O1', 'O0', 0.09834063216849886, 4.554117441177368]
['CO', 320, 'UO', 9, 'dir', 'strings', 'O0', 'O1', 0.09471139759742164, 1.7495999336242676]
['UO', 82, 'CO', 351, 'cmp', 'paste', 'O0', 'O0', 0.04562043795620441, 0.05111217498779297]
['BO', 46, 'UO', 44, 'ruby', 'nm', 'O3', 'O3', 0.07166768511384469, 20.219250440597534]
['UO', 41, 'CO', 405, 'locate', 'nl', 'O2', 'O0', 0.10799347471451881, 0.14446568489074707]
['BO', 34, 'CO', 116, 'cp', 'ptx', 'O2', 'O1', 0.07460732984293195, 0.12384772300720215]
['CO', 300, 'UO', 78, 'sha512sum', 'elfedit', 'O2', 'O0', 0.06194081211286995, 0.03806257247924805]
['UO', 46, 'CO', 83, 'readelf', 'csplit', 'O3', 'O3', 0.09150517266501534, 0.2554588317871094]
['CO', 21, 'BO', 33, 'mktemp', 'sort', 'O3', 'O2', 0.102268635217861, 0.10539865493774414]
['BO', 20, 'CO', 380, 'sort', 'yes', 'O1', 'O0', 0.13020637898686682, 0.11170291900634766]
