['CV', 39, 'BV', 64, 'whoami', 'openssl', 'V2', 'V2', 0.2887340036563071, 4.4184722900390625]
['UV', 58, 'CV', 279, 'objcopy', 'pwd', 'V1', 'V1', 0.13645920941968037, 1.1393072605133057]
['UV', 43, 'CV', 142, 'sdiff', 'nohup', 'V3', 'V3', 0.07126030624263846, 0.03928422927856445]
['CV', 345, 'UV', 80, 'rmdir', 'objcopy', 'V1', 'V0', 0.13871180479226197, 1.067014455795288]
['CV', 70, 'UV', 48, 'vdir', 'locate', 'V2', 'V1', 0.024523946912867856, 0.13477802276611328]
['UV', 35, 'CV', 275, 'size', 'dirname', 'V3', 'V1', 0.1533431571191748, 0.8329410552978516]
['CV', 107, 'BV', 68, 'tee', 'dot', 'V3', 'V0', 0.15195071868583165, 0.016181468963623047]
['BV', 21, 'UV', 64, 'cp', 'size', 'V1', 'V1', 0.12884728897883457, 1.0142157077789307]
['CV', 105, 'UV', 20, 'pwd', 'size', 'V3', 'V2', 0.14222809335094677, 0.9262850284576416]
['CV', 11, 'UV', 55, 'printenv', 'ranlib', 'V2', 'V1', 0.14750487164280268, 0.9289941787719727]
['BV', 74, 'CV', 207, 'git', 'sync', 'V1', 'V0', 0.09535797473119545, 4.280266046524048]
['CV', 223, 'BV', 49, 'tsort', 'make', 'V0', 'V3', 0.14390573691327024, 0.2023007869720459]
['BV', 37, 'CV', 116, 'geany', 'tail', 'V1', 'V3', 0.18041755267736326, 19.07487654685974]
['CV', 278, 'BV', 62, 'mkfifo', 'diff', 'V1', 'V0', 0.1340333539221742, 0.03655862808227539]
['BV', 27, 'CV', 28, 'libSDL2-2.0.so', 'chown', 'V1', 'V2', 0.18472641102972853, 3.6697001457214355]
['UV', 4, 'CV', 17, 'cmp', 'mkfifo', 'V2', 'V2', 0.08446215139442237, 0.024640798568725586]
['CV', 331, 'UV', 64, 'vdir', 'size', 'V1', 'V1', 0.1222479721900348, 1.1231298446655273]
['CV', 210, 'BV', 30, 'chroot', 'bash', 'V0', 'V0', 0.13270616493194554, 1.891023874282837]
['CV', 315, 'BV', 66, 'false', 'lua', 'V1', 'V1', 0.14328499369482972, 0.2679617404937744]
['CV', 127, 'BV', 73, 'ls', 'geany', 'V3', 'V0', 0.17342596613113326, 16.736196517944336]
['UV', 58, 'CV', 145, 'objcopy', 'readlink', 'V1', 'V3', 0.12974120224565244, 1.216054916381836]
['UV', 86, 'CV', 245, 'size', '[', 'V0', 'V0', 0.12637362637362637, 0.7584433555603027]
['BV', 21, 'CV', 223, 'cp', 'tsort', 'V1', 'V0', 0.11419354838709683, 0.034404754638671875]
['CV', 302, 'UV', 39, 'nice', 'find', 'V1', 'V3', 0.1670424652386321, 0.2646338939666748]
['CV', 72, 'BV', 46, 'id', 'cluster', 'V2', 'V3', 0.13906485671191549, 0.10813093185424805]
['BV', 36, 'CV', 38, 'libvlc.so', 'split', 'V2', 'V2', 0.16734477268706882, 0.35941243171691895]
['UV', 86, 'CV', 289, 'size', 'chown', 'V0', 'V1', 0.1174111355772256, 0.83428955078125]
['CV', 172, 'BV', 50, 'mknod', 'sort', 'V3', 'V0', 0.05871330418488441, 0.03427433967590332]
['BV', 25, 'CV', 17, 'git', 'mkfifo', 'V3', 'V2', 0.08776508972267538, 8.55586552619934]
['UV', 87, 'CV', 151, 'objdump', 'md5sum', 'V0', 'V3', 0.13169555584517134, 1.336284875869751]
['BV', 37, 'CV', 128, 'geany', 'nice', 'V1', 'V3', 0.1843217023939916, 18.544054985046387]
['UV', 11, 'CV', 323, 'ranlib', 'unexpand', 'V2', 'V1', 0.1501326714028931, 0.9217150211334229]
['BV', 56, 'CV', 227, 'ssh', 'tty', 'V3', 'V0', 0.15155139193409073, 1.1719281673431396]
['CV', 229, 'UV', 82, 'nohup', 'gprof', 'V0', 'V0', 0.14388801947487395, 0.8355281352996826]
['CV', 78, 'BV', 4, 'rm', 'geany', 'V2', 'V3', 0.17928582523601588, 24.355704069137573]
['CV', 104, 'UV', 15, 'mkfifo', 'ld', 'V3', 'V2', 0.13377152942608483, 1.55220365524292]
['UV', 33, 'BV', 23, 'ar', 'diff', 'V3', 'V3', 0.10951418519350253, 1.3343136310577393]
['CV', 117, 'BV', 15, 'pinky', 'libvlccore.so', 'V3', 'V3', 0.16122468294529624, 3.3438379764556885]
['CV', 286, 'BV', 75, 'expand', 'cmp', 'V1', 'V2', 0.09855564995751909, 0.023543119430541992]
['BV', 47, 'CV', 337, 'dot', 'comm', 'V3', 'V1', 0.14574314574314573, 0.011339664459228516]
['UV', 10, 'CV', 25, 'as', 'expand', 'V2', 'V2', 0.13288210112229548, 1.5319108963012695]
['CV', 75, 'UV', 54, 'tr', 'as', 'V2', 'V1', 0.1285467128027682, 1.5643913745880127]
['CV', 79, 'UV', 72, 'fold', 'find', 'V2', 'V0', 0.1486825595984944, 0.11247110366821289]
['BV', 32, 'CV', 249, 'perl', 'tr', 'V0', 'V0', 0.10951781970649899, 1.8352622985839844]
['BV', 16, 'UV', 49, 'libvlc.so', 'xargs', 'V3', 'V1', 0.1774606659348701, 0.33669471740722656]
['UV', 16, 'CV', 284, 'gprof', 'wc', 'V2', 'V1', 0.143489518082352, 0.9404287338256836]
['BV', 46, 'CV', 109, 'cluster', 'kill', 'V3', 'V3', 0.1277533039647577, 0.11525893211364746]
['CV', 225, 'BV', 22, 'printf', 'cmp', 'V0', 'V3', 0.06666666666666665, 0.027883291244506836]
['UV', 77, 'CV', 20, 'ranlib', 'tee', 'V0', 'V2', 0.14486886111600072, 0.8531115055084229]
['BV', 57, 'UV', 23, 'svn', 'strip', 'V2', 'V3', 0.07070649704679688, 2.522326946258545]
['UV', 36, 'CV', 240, 'objdump', 'link', 'V3', 'V0', 0.1412292613804098, 1.607330322265625]
