['UO', 26, 'CO', 378, 'nm', 'runcon', 'O2', 'O0', 0.1401089248067463, 1.0492017269134521]
['BO', 83, 'CO', 303, 'lua', 'sha224sum', 'O2', 'O2', 0.12740034432525493, 0.4030330181121826]
['CO', 172, 'UO', 83, 'yes', 'diff', 'O1', 'O0', 0.16188714153561512, 0.1554102897644043]
['BO', 21, 'CO', 303, 'cp', 'sha224sum', 'O1', 'O2', 0.12166729252722497, 0.10458636283874512]
['UO', 23, 'BO', 7, 'cmp', 'sort', 'O2', 'O0', 0.1475265017667844, 0.16777348518371582]
['BO', 18, 'CO', 165, 'libvlc.so.12.0.0', 'cksum', 'O1', 'O1', 0.22078937084798755, 0.43656015396118164]
['UO', 9, 'CO', 221, 'strings', 'printenv', 'O1', 'O2', 0.15519532288068028, 1.0115485191345215]
['UO', 87, 'CO', 35, 'find', 'base32', 'O0', 'O3', 0.1688587750763917, 0.5935928821563721]
['CO', 410, 'UO', 39, 'sleep', 'size', 'O0', 'O2', 0.14147217235188514, 0.9967527389526367]
['CO', 157, 'UO', 26, 'chmod', 'nm', 'O1', 'O2', 0.13123561013046814, 1.1052095890045166]
['CO', 247, 'UO', 20, 'paste', 'diff', 'O2', 'O1', 0.14632405424696648, 0.105010986328125]
['CO', 16, 'BO', 56, 'dirname', 'libvlc.so.12.0.0', 'O3', 'O3', 0.21540820237638947, 0.3900437355041504]
['UO', 17, 'CO', 180, 'objdump', 'md5sum', 'O1', 'O1', 0.13694427400011155, 2.0778491497039795]
['CO', 259, 'BO', 52, 'realpath', 'svn', 'O2', 'O3', 0.2048833933322899, 0.49048686027526855]
['CO', 234, 'UO', 59, 'kill', 'locate', 'O2', 'O3', 0.1385428463571159, 0.10491085052490234]
['BO', 42, 'CO', 263, 'cmp', 'cp', 'O1', 'O2', 0.10967503692762182, 0.10312795639038086]
['CO', 202, 'UO', 56, 'sleep', 'elfedit', 'O1', 'O3', 0.04615384615384621, 0.032689571380615234]
['CO', 105, 'UO', 84, 'touch', 'sdiff', 'O1', 'O0', 0.04866286716352475, 0.09128832817077637]
['CO', 63, 'UO', 75, 'logname', 'gprof', 'O3', 'O0', 0.1516984118012773, 2.282946825027466]
['CO', 69, 'BO', 52, 'who', 'svn', 'O3', 'O3', 0.2020558453513348, 0.486544132232666]
['CO', 41, 'UO', 35, 'echo', 'gprof', 'O3', 'O2', 0.14402632467094167, 0.9923303127288818]
['CO', 263, 'UO', 76, 'cp', 'addr2line', 'O2', 'O0', 0.12974874924404856, 2.817363977432251]
['CO', 219, 'UO', 38, 'groups', 'elfedit', 'O2', 'O2', 0.06332046332046337, 0.032120466232299805]
['CO', 185, 'BO', 24, 'cat', 'cluster', 'O1', 'O3', 0.12412746585735968, 0.12511110305786133]
