['CO', 213, 'BO', 56, 'basename', 'libvlc.so.12.0.0', 'O2', 'O3', 0.2190364735712893, 0.4118363857269287]
['BO', 12, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O3', 0.19208436098110426, 29.15284299850464]
['CO', 262, 'BO', 2, 'true', 'perl', 'O2', 'O1', 0.07796520122194184, 2.5529894828796387]
['CO', 270, 'BO', 25, 'printf', 'dot', 'O2', 'O3', 0.17640449438202244, 0.018823862075805664]
['CO', 373, 'UO', 9, 'cksum', 'strings', 'O0', 'O1', 0.14605183323220938, 1.1621901988983154]
['CO', 25, 'BO', 54, 'chgrp', 'lua', 'O3', 'O3', 0.10089431918377634, 0.3896925449371338]
['CO', 362, 'UO', 66, 'dircolors', 'nm', 'O0', 'O0', 0.1471384934585903, 2.4638314247131348]
['BO', 10, 'CO', 66, 'openssl', 'runcon', 'O3', 'O3', 0.28032066201189554, 7.693804740905762]
['CO', 351, 'UO', 45, 'paste', 'strip', 'O0', 'O3', 0.12607905497501137, 1.1315858364105225]
['CO', 258, 'BO', 13, 'dircolors', 'ruby', 'O2', 'O1', 0.10437556277948201, 13.649265766143799]
['BO', 24, 'CO', 166, 'cluster', 'printf', 'O3', 'O1', 0.11318553092182027, 0.13263726234436035]
['CO', 244, 'BO', 77, 'pinky', 'libSDL2-2.0.so.0.16.0', 'O2', 'O3', 0.18940397350993377, 5.336331844329834]
['CO', 289, 'BO', 26, 'cat', 'gvmap', 'O2', 'O3', 0.13175775480059082, 0.12233710289001465]
['CO', 77, 'UO', 65, 'env', 'sdiff', 'O3', 'O3', 0.08012048192771082, 0.03981614112854004]
['CO', 277, 'BO', 57, 'who', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.1536289520779479, 4.633975267410278]
['UO', 67, 'CO', 356, 'strip', 'seq', 'O0', 'O0', 0.14083039833325062, 2.8691301345825195]
['CO', 324, 'UO', 11, 'ptx', 'ld', 'O0', 'O1', 0.13189703413542253, 2.4632554054260254]
['UO', 12, 'CO', 66, 'gprof', 'runcon', 'O1', 'O3', 0.14922813036020588, 1.094538927078247]
['UO', 77, 'CO', 47, 'ar', 'numfmt', 'O0', 'O3', 0.14920457716996927, 2.419652223587036]
['CO', 233, 'UO', 35, 'chgrp', 'gprof', 'O2', 'O2', 0.12831894116697606, 1.1597795486450195]
['CO', 88, 'BO', 22, 'shred', 'perl', 'O3', 'O0', 0.10702689456594983, 4.031689643859863]
['CO', 188, 'BO', 23, 'vdir', 'git', 'O1', 'O2', 0.08483265990699096, 7.901572942733765]
['CO', 47, 'BO', 69, 'numfmt', 'cmp', 'O3', 'O3', 0.029484029484029506, 0.03935861587524414]
['CO', 375, 'BO', 15, 'logname', 'diff', 'O0', 'O0', 0.1464447806354009, 0.17500734329223633]
['UO', 68, 'CO', 310, 'readelf', 'mknod', 'O0', 'O2', 0.1290864308105688, 0.5211403369903564]
['CO', 44, 'UO', 72, 'seq', 'strings', 'O3', 'O0', 0.1515561569688768, 2.213801622390747]
['CO', 280, 'UO', 10, 'head', 'objcopy', 'O2', 'O1', 0.1417077413743114, 1.349656105041504]
['CO', 230, 'BO', 62, 'pwd', 'bash', 'O2', 'O1', 0.12649515255802246, 2.8029353618621826]
