['CV', 29, 'UV', 75, 'tail', 'readelf', 'V2', 'V0', 0.07308192457737317, 0.10734915733337402]
['UV', 70, 'CV', 281, 'locate', 'tee', 'V0', 'V1', 0.12636815920398003, 0.05050158500671387]
['CV', 107, 'BV', 53, 'tee', 'ssh', 'V3', 'V2', 0.11778535713103078, 3.650376558303833]
['CV', 229, 'UV', 20, 'nohup', 'size', 'V0', 'V2', 0.15015340191301207, 0.8671541213989258]
['BV', 17, 'CV', 40, 'codeblocks', 'ls', 'V2', 'V2', 0.17705104360405044, 10.854869365692139]
['CV', 25, 'UV', 65, 'expand', 'objdump', 'V2', 'V1', 0.13744075829383884, 1.399550199508667]
['CV', 29, 'UV', 24, 'tail', 'readelf', 'V2', 'V3', 0.0982779097387173, 0.28156518936157227]
['BV', 51, 'CV', 240, 'cp', 'link', 'V0', 'V0', 0.12311901504787959, 0.02932000160217285]
['UV', 55, 'CV', 197, 'ranlib', 'wc', 'V1', 'V0', 0.1465626854284987, 0.9071183204650879]
['BV', 51, 'CV', 226, 'cp', 'logname', 'V0', 'V0', 0.12457221081451064, 0.0295717716217041]
['CV', 312, 'UV', 10, 'printf', 'as', 'V1', 'V2', 0.13193680921242978, 1.6183607578277588]
['UV', 38, 'CV', 252, 'xargs', 'rm', 'V3', 'V0', 0.10197210197210194, 0.07031011581420898]
['UV', 74, 'CV', 134, 'strip', 'od', 'V0', 'V3', 0.12456458130137937, 1.144824743270874]
['BV', 74, 'CV', 226, 'git', 'logname', 'V1', 'V0', 0.09523921531730728, 4.240427732467651]
['CV', 77, 'BV', 16, 'nl', 'libvlc.so', 'V2', 'V3', 0.1530765382691346, 0.38562631607055664]
['UV', 83, 'CV', 310, 'addr2line', 'tsort', 'V0', 'V1', 0.14838892029395145, 0.7565138339996338]
['BV', 10, 'UV', 27, 'gvmap', 'c++filt', 'V2', 'V3', 0.09430106713085595, 1.3650851249694824]
['CV', 270, 'BV', 30, 'users', 'bash', 'V1', 'V0', 0.13122352354846745, 1.9519288539886475]
['BV', 3, 'CV', 229, 'diff', 'nohup', 'V1', 'V0', 0.12952705581593527, 0.06035804748535156]
['UV', 84, 'BV', 36, 'ar', 'libvlc.so', 'V0', 'V2', 0.061858995033219344, 2.032334089279175]
['BV', 14, 'CV', 257, 'openssl', 'tac', 'V3', 'V0', 0.27568139452869156, 5.51614785194397]
['BV', 81, 'UV', 40, 'dot', 'diff3', 'V1', 'V3', 0.17405063291139244, 0.023781776428222656]
['CV', 255, 'UV', 41, 'sleep', 'cmp', 'V0', 'V3', 0.10595446584938706, 0.02281641960144043]
['BV', 33, 'CV', 157, 'openssl', 'vdir', 'V0', 'V3', 0.09341768133687056, 6.610886573791504]
