['BV', 76, 'CV', 179, 'diff', 'mkdir', 'V2', 'V0', 0.1310469314079422, 0.08229732513427734]
['BV', 83, 'UV', 54, 'git', 'as', 'V2', 'V1', 0.03893249607535321, 14.667835474014282]
['BV', 0, 'CV', 141, 'bash', 'false', 'V2', 'V3', 0.12786182889275677, 2.275585174560547]
['UV', 31, 'BV', 56, 'gprof', 'ssh', 'V3', 'V3', 0.023514470443349755, 4.322031736373901]
['UV', 48, 'BV', 33, 'locate', 'openssl', 'V1', 'V0', 0.09524461482292812, 6.4163758754730225]
['BV', 74, 'CV', 94, 'git', 'dir', 'V1', 'V3', 0.0841893752963222, 5.384139060974121]
['CV', 174, 'BV', 69, 'touch', 'gvmap', 'V0', 'V0', 0.12429200755191949, 0.105194091796875]
['BV', 23, 'CV', 217, 'diff', 'chmod', 'V3', 'V0', 0.11527967257844474, 0.08937215805053711]
['CV', 29, 'UV', 64, 'tail', 'size', 'V2', 'V1', 0.13304940374787055, 0.9716408252716064]
['CV', 253, 'UV', 25, 'fold', 'as', 'V0', 'V3', 0.13455372238092456, 1.5787208080291748]
['UV', 16, 'CV', 146, 'gprof', 'head', 'V2', 'V3', 0.1380013042060646, 0.9657599925994873]
['CV', 249, 'BV', 34, 'tr', 'svn', 'V0', 'V0', 0.21277009927973523, 0.3079392910003662]
['BV', 0, 'CV', 233, 'bash', 'head', 'V2', 'V0', 0.12810895289127033, 2.2526276111602783]
['BV', 43, 'CV', 229, 'lua', 'nohup', 'V0', 'V0', 0.14252179745137494, 0.25354671478271484]
['BV', 17, 'UV', 20, 'codeblocks', 'size', 'V2', 'V2', 0.11563756702412864, 17.225028038024902]
['BV', 15, 'CV', 307, 'libvlccore.so', 'cut', 'V3', 'V1', 0.16593865501848026, 3.1839330196380615]
['BV', 80, 'UV', 52, 'cluster', 'strip', 'V1', 'V1', 0.09637462235649541, 1.7853643894195557]
['CV', 193, 'UV', 19, 'pr', 'elfedit', 'V0', 'V2', 0.05364511691884455, 0.032594919204711914]
['UV', 74, 'CV', 242, 'strip', 'cat', 'V0', 'V0', 0.13749725736853646, 1.0651943683624268]
