['UO', 15, 'CO', 411, 'elfedit', 'sort', 'O1', 'O0', 0.15260217583063806, 0.17180180549621582]
['CO', 329, 'UO', 11, 'stdbuf', 'ld', 'O0', 'O1', 0.14032258064516134, 2.265875816345215]
['UO', 80, 'CO', 339, 'objdump', 'wc', 'O0', 'O0', 0.13573721713256592, 4.468620777130127]
['CO', 342, 'UO', 86, 'expand', 'xargs', 'O0', 'O0', 0.10567757977621217, 0.11948466300964355]
['CO', 66, 'UO', 0, 'runcon', 'locate', 'O3', 'O1', 0.1530398322851153, 0.11393165588378906]
['CO', 108, 'UO', 55, 'test', 'ar', 'O1', 'O3', 0.13208035175446153, 0.9583971500396729]
['UO', 3, 'CO', 137, 'nm', 'chown', 'O1', 'O1', 0.13270527085194517, 1.3194000720977783]
['CO', 18, 'BO', 41, 'uptime', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.20491723466407008, 5.5072855949401855]
['CO', 174, 'BO', 29, 'b2sum', 'libvlc.so.12.0.0', 'O1', 'O2', 0.2000751455945895, 0.4882698059082031]
['CO', 42, 'UO', 22, 'sum', 'diff3', 'O3', 'O2', 0.04731308411214952, 0.04884171485900879]
['BO', 44, 'CO', 310, 'cmp', 'mknod', 'O2', 'O2', 0.060842433697347875, 0.032674551010131836]
['UO', 43, 'CO', 273, 'find', 'false', 'O2', 'O2', 0.1745771958537916, 0.3390648365020752]
['UO', 48, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O3', 'O0', 0.13784371652111804, 42.31309366226196]
['UO', 45, 'CO', 281, 'strip', 'hostid', 'O3', 'O2', 0.1340916125038688, 1.0202467441558838]
['UO', 8, 'CO', 266, 'c++filt', 'df', 'O1', 'O2', 0.13024446646845056, 1.2880094051361084]
['CO', 132, 'BO', 63, 'factor', 'cluster', 'O1', 'O0', 0.10884086444007857, 0.2375342845916748]
['BO', 79, 'CO', 217, 'bash', 'du', 'O3', 'O2', 0.10033205041128967, 3.0948188304901123]
['UO', 77, 'CO', 82, 'ar', 'shuf', 'O0', 'O3', 0.14495879652674082, 2.5430707931518555]
['CO', 357, 'UO', 56, 'split', 'elfedit', 'O0', 'O3', 0.10194672131147542, 0.06635069847106934]
['CO', 120, 'BO', 47, 'dirname', 'libvlc.so.12.0.0', 'O1', 'O0', 0.2336787564766839, 0.6113107204437256]
['BO', 40, 'CO', 125, 'lua', 'mktemp', 'O0', 'O1', 0.1329043932844074, 0.7834007740020752]
['CO', 383, 'UO', 52, 'readlink', 'ld', 'O0', 'O3', 0.1254287403903016, 1.935983657836914]
['CO', 104, 'UO', 35, 'sha384sum', 'gprof', 'O1', 'O2', 0.13713572023313902, 1.094050407409668]
