['CV', 56, 'UV', 7, 'yes', 'nm', 'V2', 'V2', 0.15106061950829863, 0.9391412734985352]
['BV', 70, 'CV', 101, 'ssh', 'dirname', 'V0', 'V3', 0.11706458735854264, 3.2462456226348877]
['UV', 52, 'CV', 207, 'strip', 'sync', 'V1', 'V0', 0.1399293286219081, 1.142730474472046]
['UV', 13, 'CV', 160, 'strings', 'shred', 'V2', 'V3', 0.13005632360471076, 1.0183093547821045]
['CV', 27, 'UV', 42, 'expr', 'diff', 'V2', 'V3', 0.0712713263621354, 0.12230038642883301]
['BV', 76, 'CV', 56, 'diff', 'yes', 'V2', 'V2', 0.14402679568291776, 0.07632327079772949]
['CV', 324, 'BV', 12, 'mv', 'sort', 'V1', 'V2', 0.04081632653061229, 0.10330319404602051]
['BV', 73, 'CV', 206, 'geany', 'paste', 'V0', 'V0', 0.1867370653669984, 15.68648648262024]
['BV', 27, 'CV', 313, 'libSDL2-2.0.so', 'logname', 'V1', 'V1', 0.19767571795731365, 3.5196571350097656]
['CV', 241, 'BV', 59, 'uname', 'make', 'V0', 'V1', 0.14723797521529092, 0.1758742332458496]
['BV', 52, 'CV', 286, 'libSDL2-2.0.so', 'expand', 'V2', 'V1', 0.19571353894406696, 3.959728956222534]
['CV', 305, 'BV', 5, 'true', 'libvlccore.so', 'V1', 'V0', 0.17424326421998004, 2.6364340782165527]
['CV', 271, 'UV', 60, 'ptx', 'gprof', 'V1', 'V1', 0.12610585131150087, 1.10677170753479]
['UV', 43, 'CV', 39, 'sdiff', 'whoami', 'V3', 'V2', 0.10821643286573146, 0.03236222267150879]
['CV', 326, 'UV', 43, 'env', 'sdiff', 'V1', 'V3', 0.12609329446064144, 0.02978062629699707]
['CV', 135, 'UV', 49, 'df', 'xargs', 'V3', 'V1', 0.08065953654188951, 0.06159830093383789]
['CV', 128, 'BV', 7, 'nice', 'libSDL2-2.0.so', 'V3', 'V0', 0.21661496035849703, 3.042287826538086]
['CV', 316, 'UV', 74, 'nohup', 'strip', 'V1', 'V0', 0.13646956015147105, 1.135132074356079]
['CV', 52, 'UV', 53, 'logname', 'readelf', 'V2', 'V1', 0.10606496119574593, 0.0831599235534668]
['UV', 77, 'CV', 208, 'ranlib', 'echo', 'V0', 'V0', 0.15057707792788766, 0.8613007068634033]
['UV', 17, 'CV', 200, 'addr2line', 'date', 'V2', 'V0', 0.1436944937833038, 0.9490997791290283]
['UV', 5, 'BV', 22, 'diff', 'cmp', 'V2', 'V3', 0.09386523633925581, 0.10229635238647461]
['BV', 20, 'CV', 10, 'sort', 'ptx', 'V1', 'V2', 0.03588087549336205, 0.07826876640319824]
['UV', 62, 'CV', 17, 'ar', 'mkfifo', 'V1', 'V2', 0.1461603375527426, 0.9460818767547607]
['BV', 58, 'CV', 316, 'ruby', 'nohup', 'V3', 'V1', 0.24731182795698925, 0.00751042366027832]
['BV', 69, 'CV', 25, 'gvmap', 'expand', 'V0', 'V2', 0.13764135702746372, 0.09502983093261719]
['UV', 59, 'CV', 200, 'ld', 'date', 'V1', 'V0', 0.13134328358208958, 1.5952355861663818]
['CV', 207, 'BV', 73, 'sync', 'geany', 'V0', 'V0', 0.18707928619832848, 14.941769361495972]
