['CO', 108, 'UO', 18, 'test', 'diff3', 'O1', 'O1', 0.0597098214285714, 0.05373048782348633]
['UO', 70, 'CO', 104, 'ranlib', 'sha384sum', 'O0', 'O1', 0.14960054011477442, 2.39728045463562]
['UO', 57, 'CO', 155, 'size', 'realpath', 'O3', 'O1', 0.13049786886732562, 0.8810653686523438]
['CO', 317, 'UO', 68, 'basename', 'readelf', 'O0', 'O0', 0.12119205298013247, 0.5611169338226318]
['UO', 38, 'CO', 382, 'elfedit', 'b2sum', 'O2', 'O0', 0.08356391809629216, 0.05830526351928711]
['CO', 63, 'BO', 0, 'logname', 'codeblocks', 'O3', 'O1', 0.18693834900731454, 10.50128722190857]
['BO', 16, 'CO', 191, 'make', 'id', 'O0', 'O1', 0.12136170212765962, 0.28122687339782715]
['BO', 23, 'CO', 113, 'git', 'du', 'O2', 'O1', 0.08618147701380507, 7.717958450317383]
['BO', 14, 'CO', 283, 'cmp', 'mv', 'O0', 'O2', 0.09887359198998746, 0.1400136947631836]
['CO', 368, 'BO', 72, 'cut', 'make', 'O0', 'O2', 0.11028103877623618, 0.28183889389038086]
['CO', 290, 'UO', 38, 'shuf', 'elfedit', 'O2', 'O2', 0.0674224343675418, 0.04771304130554199]
['UO', 21, 'CO', 314, 'sdiff', 'stat', 'O1', 'O0', 0.10204081632653061, 0.1155998706817627]
['UO', 58, 'BO', 26, 'objdump', 'gvmap', 'O3', 'O3', 0.09526502493445066, 2.1806654930114746]
['UO', 44, 'BO', 31, 'nm', 'bash', 'O3', 'O2', 0.04585325784023231, 6.609984636306763]
['BO', 15, 'CO', 200, 'diff', 'fold', 'O0', 'O1', 0.1515333734215274, 0.16599774360656738]
['UO', 15, 'CO', 362, 'elfedit', 'dircolors', 'O1', 'O0', 0.0641607258587168, 0.04758882522583008]
['BO', 60, 'CO', 349, 'openssl', 'truncate', 'O0', 'O0', 0.26746987951807233, 9.21925163269043]
['CO', 287, 'UO', 75, 'link', 'gprof', 'O2', 'O0', 0.15308445253812886, 2.2727248668670654]
['BO', 15, 'CO', 159, 'diff', 'cp', 'O0', 'O1', 0.0577740016992353, 0.3091397285461426]
['BO', 28, 'CO', 18, 'ruby', 'uptime', 'O0', 'O3', 0.1040960793804453, 13.389550685882568]
['BO', 58, 'CO', 230, 'svn', 'pwd', 'O1', 'O2', 0.22328990228013024, 0.49601054191589355]
['BO', 0, 'CO', 375, 'codeblocks', 'logname', 'O1', 'O0', 0.1853407786243607, 10.708099842071533]
['CO', 281, 'BO', 73, 'hostid', 'cluster', 'O2', 'O1', 0.1473256177666562, 0.1166226863861084]
['UO', 22, 'CO', 113, 'diff3', 'du', 'O2', 'O1', 0.09692585895117545, 0.11221170425415039]
['BO', 6, 'CO', 218, 'codeblocks', 'users', 'O0', 'O2', 0.206977436890312, 28.491084098815918]
['CO', 19, 'BO', 13, 'dd', 'ruby', 'O3', 'O1', 0.1017678406980782, 14.036214351654053]
['BO', 17, 'CO', 40, 'codeblocks', 'sync', 'O2', 'O3', 0.18811958473187107, 11.0764741897583]
['CO', 25, 'UO', 48, 'chgrp', 'ranlib', 'O3', 'O3', 0.12305903844557009, 1.028182029724121]
['CO', 44, 'UO', 9, 'seq', 'strings', 'O3', 'O1', 0.14757064093728467, 1.0956740379333496]
['BO', 26, 'CO', 109, 'gvmap', 'basename', 'O3', 'O1', 0.12591294186386215, 0.12158846855163574]
['UO', 40, 'CO', 347, 'objdump', 'base32', 'O2', 'O0', 0.12978808935852526, 1.921504020690918]
['CO', 313, 'UO', 31, 'touch', 'c++filt', 'O0', 'O2', 0.12429769210822028, 1.1757175922393799]
['CO', 292, 'BO', 62, 'vdir', 'bash', 'O2', 'O1', 0.10917966424574355, 3.5531668663024902]
['UO', 40, 'CO', 159, 'objdump', 'cp', 'O2', 'O1', 0.1111409684527328, 2.3845605850219727]
['BO', 34, 'CO', 303, 'cp', 'sha224sum', 'O2', 'O2', 0.11386522075910144, 0.09379243850708008]
['BO', 52, 'CO', 242, 'svn', 'tail', 'O3', 'O2', 0.18603963324460215, 0.5360538959503174]
['UO', 5, 'BO', 24, 'readelf', 'cluster', 'O1', 'O3', 0.056095304186907224, 0.5423729419708252]
