['CO', 347, 'UO', 34, 'base32', 'ld', 'O0', 'O2', 0.13591774021983216, 1.9868626594543457]
['CO', 213, 'BO', 65, 'basename', 'gvmap', 'O2', 'O0', 0.13897280966767367, 0.18859481811523438]
['UO', 22, 'CO', 246, 'diff3', 'sha1sum', 'O2', 'O2', 0.06270200387847447, 0.04168987274169922]
['BO', 34, 'UO', 26, 'cp', 'nm', 'O2', 'O2', 0.11212650985378259, 1.3480677604675293]
['CO', 132, 'BO', 62, 'factor', 'bash', 'O1', 'O1', 0.12129457843743552, 2.9717109203338623]
['UO', 67, 'BO', 71, 'strip', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.04609795225063695, 19.41255497932434]
['CO', 129, 'BO', 25, 'chgrp', 'dot', 'O1', 'O3', 0.198581560283688, 0.03660893440246582]
['CO', 284, 'UO', 14, 'md5sum', 'ar', 'O2', 'O1', 0.14864975785931211, 1.201934576034546]
['BO', 32, 'CO', 305, 'ruby', 'uniq', 'O2', 'O2', 0.12498299551081482, 15.469532012939453]
['UO', 9, 'CO', 136, 'strings', 'expr', 'O1', 'O1', 0.14256515074093, 1.144392728805542]
['CO', 149, 'BO', 9, 'split', 'git', 'O1', 'O0', 0.09052680761593268, 6.982205152511597]
['BO', 71, 'CO', 337, 'libSDL2-2.0.so.0.16.0', 'chgrp', 'O0', 'O0', 0.18686889334041945, 7.698437929153442]
['UO', 71, 'CO', 161, 'c++filt', 'od', 'O0', 'O1', 0.14560728036401827, 2.303274154663086]
['CO', 106, 'BO', 70, 'stat', 'diff', 'O1', 'O3', 0.05352112676056342, 0.15610742568969727]
['CO', 26, 'BO', 55, 'kill', 'make', 'O3', 'O1', 0.13149319532298254, 0.2281324863433838]
['CO', 373, 'UO', 70, 'cksum', 'ranlib', 'O0', 'O0', 0.14921333107765178, 2.5034339427948]
['CO', 90, 'UO', 21, 'tr', 'sdiff', 'O3', 'O1', 0.06804238706079202, 0.048027753829956055]
['CO', 10, 'UO', 30, 'users', 'ranlib', 'O3', 'O2', 0.14455580091727538, 1.0485584735870361]
['UO', 69, 'CO', 290, 'as', 'shuf', 'O0', 'O2', 0.1345268542199488, 4.006114482879639]
['CO', 190, 'UO', 49, 'timeout', 'c++filt', 'O1', 'O3', 0.13130755064456723, 0.8958499431610107]
['CO', 130, 'BO', 72, 'kill', 'make', 'O1', 'O2', 0.12472160356347439, 0.24189329147338867]
['CO', 272, 'UO', 0, 'tty', 'locate', 'O2', 'O1', 0.15779949330437926, 0.11420655250549316]
['UO', 2, 'BO', 8, 'find', 'cp', 'O1', 'O0', 0.060229558632114544, 0.8500566482543945]
['BO', 39, 'CO', 343, 'codeblocks', 'date', 'O3', 'O0', 0.1786633688354955, 12.018069982528687]
['CO', 86, 'UO', 33, 'timeout', 'objcopy', 'O3', 'O2', 0.13487718259840187, 1.2761132717132568]
['BO', 20, 'CO', 390, 'sort', 'chcon', 'O1', 'O0', 0.048378229796591565, 0.2109687328338623]
['UO', 78, 'CO', 358, 'elfedit', 'whoami', 'O0', 'O0', 0.038115038115038136, 0.04377913475036621]
['UO', 22, 'CO', 406, 'diff3', 'rm', 'O2', 'O0', 0.08987393249288322, 0.09697699546813965]
['BO', 36, 'CO', 148, 'cluster', 'seq', 'O2', 'O1', 0.11930649426976192, 0.13342738151550293]
['CO', 286, 'UO', 52, 'chcon', 'ld', 'O2', 'O3', 0.12413026954335493, 1.8457422256469727]
['BO', 21, 'CO', 326, 'cp', 'stty', 'O1', 'O0', 0.08697100966344551, 0.14026713371276855]
['UO', 32, 'CO', 270, 'strings', 'printf', 'O2', 'O2', 0.14409769335142464, 0.9405004978179932]
['BO', 15, 'CO', 22, 'diff', 'pwd', 'O0', 'O3', 0.152327637006482, 0.15782618522644043]
['UO', 51, 'CO', 33, 'objcopy', 'chown', 'O3', 'O3', 0.11819641033124184, 1.134566068649292]
['UO', 4, 'CO', 278, 'strip', 'b2sum', 'O1', 'O2', 0.1389549549549549, 1.3873515129089355]
['CO', 161, 'UO', 71, 'od', 'c++filt', 'O1', 'O0', 0.14560728036401827, 2.3446621894836426]
['BO', 2, 'CO', 186, 'perl', 'shuf', 'O1', 'O1', 0.07315288953913679, 2.7845780849456787]
['UO', 29, 'CO', 261, 'as', 'chmod', 'O2', 'O2', 0.12340737399932344, 1.843867301940918]
['BO', 33, 'UO', 49, 'sort', 'c++filt', 'O2', 'O3', 0.10339351387495821, 1.1614344120025635]
['CO', 296, 'BO', 42, 'shred', 'cmp', 'O2', 'O1', 0.06282124500285546, 0.055550336837768555]
['UO', 3, 'CO', 239, 'nm', 'date', 'O1', 'O2', 0.13955599570850874, 1.2158305644989014]
['UO', 19, 'CO', 31, 'cmp', 'date', 'O1', 'O3', 0.04926624737945495, 0.05091142654418945]
['BO', 3, 'CO', 21, 'openssl', 'mktemp', 'O1', 'O3', 0.2757533137279973, 8.08646297454834]
['BO', 70, 'CO', 276, 'diff', 'yes', 'O3', 'O2', 0.1350954478707782, 0.0857999324798584]
['BO', 4, 'CO', 38, 'libgeany.so.0.0.0', 'sha1sum', 'O2', 'O3', 0.17748725198964277, 28.644869089126587]
['BO', 58, 'CO', 355, 'svn', 'chroot', 'O1', 'O0', 0.201774871555348, 0.5873031616210938]
['CO', 95, 'UO', 65, 'sha224sum', 'sdiff', 'O3', 'O3', 0.062322946175637384, 0.04461264610290527]
['CO', 17, 'BO', 60, 'stdbuf', 'openssl', 'O3', 'O0', 0.26909937888198754, 9.308170557022095]
['CO', 361, 'BO', 70, 'nice', 'diff', 'O0', 'O3', 0.10603477667916805, 0.11310148239135742]
['CO', 44, 'UO', 0, 'seq', 'locate', 'O3', 'O1', 0.13263639333551125, 0.13189148902893066]
['BO', 11, 'CO', 380, 'ssh', 'yes', 'O1', 'O0', 0.14570164348925407, 1.536513328552246]
['CO', 121, 'UO', 41, 'stdbuf', 'locate', 'O1', 'O2', 0.11974436596030946, 0.13335633277893066]
['UO', 21, 'CO', 385, 'sdiff', 'hostid', 'O1', 'O0', 0.07283950617283952, 0.0503079891204834]
['CO', 66, 'UO', 5, 'runcon', 'readelf', 'O3', 'O1', 0.12304866850321394, 0.27901244163513184]
['CO', 280, 'BO', 6, 'head', 'codeblocks', 'O2', 'O0', 0.20617121214934186, 29.565748929977417]
['UO', 33, 'CO', 224, 'objcopy', 'dirname', 'O2', 'O2', 0.1424007302601552, 1.1500451564788818]
['BO', 45, 'UO', 77, 'diff', 'ar', 'O2', 'O0', 0.12693047683427805, 3.091123342514038]
['CO', 366, 'UO', 20, 'true', 'diff', 'O0', 'O1', 0.1343596920923723, 0.12784743309020996]
['CO', 261, 'UO', 23, 'chmod', 'cmp', 'O2', 'O2', 0.05085714285714282, 0.048455238342285156]
['UO', 76, 'CO', 129, 'addr2line', 'chgrp', 'O0', 'O1', 0.14158682806494172, 2.519810914993286]
['CO', 131, 'BO', 30, 'wc', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.15713888999087555, 4.998323440551758]
['BO', 67, 'CO', 209, 'libSDL2-2.0.so.0.16.0', 'touch', 'O1', 'O2', 0.19847038145456275, 5.596802473068237]
['UO', 1, 'BO', 31, 'xargs', 'bash', 'O1', 'O2', 0.11255083326688464, 3.3490145206451416]
['UO', 62, 'CO', 313, 'diff3', 'touch', 'O3', 'O0', 0.07532467532467535, 0.08397054672241211]
['BO', 52, 'CO', 356, 'svn', 'seq', 'O3', 'O0', 0.19608447664559892, 0.5227153301239014]
['UO', 27, 'CO', 234, 'strip', 'kill', 'O2', 'O2', 0.13984587488667266, 1.1630713939666748]
['CO', 198, 'UO', 44, 'rm', 'nm', 'O1', 'O3', 0.119376124775045, 1.0412676334381104]
['BO', 9, 'CO', 263, 'git', 'cp', 'O0', 'O2', 0.0862727863339321, 7.577787637710571]
['CO', 187, 'UO', 37, 'csplit', 'ar', 'O1', 'O2', 0.13404026178444206, 1.1454463005065918]
['CO', 318, 'UO', 26, 'mkdir', 'nm', 'O0', 'O2', 0.11163761946831574, 1.3892533779144287]
['UO', 41, 'CO', 204, 'locate', 'tac', 'O2', 'O1', 0.1194883877482329, 0.13200139999389648]
['CO', 364, 'BO', 43, 'sha256sum', 'diff', 'O0', 'O1', 0.10211156634100216, 0.14564919471740723]
['CO', 123, 'UO', 37, 'dd', 'ar', 'O1', 'O2', 0.12905323039414873, 1.2294399738311768]
['CO', 235, 'UO', 34, 'wc', 'ld', 'O2', 'O2', 0.13804373662942715, 1.9807648658752441]
['UO', 31, 'CO', 183, 'c++filt', 'link', 'O2', 'O1', 0.14686088319350976, 0.9378280639648438]
['UO', 36, 'CO', 409, 'addr2line', 'uniq', 'O2', 'O0', 0.13419570573741635, 1.033428430557251]
['CO', 145, 'UO', 34, 'echo', 'ld', 'O1', 'O2', 0.14247069431920645, 1.8630850315093994]
['CO', 265, 'BO', 80, 'od', 'ssh', 'O2', 'O3', 0.13451570598888407, 1.4263262748718262]
['BO', 17, 'UO', 86, 'codeblocks', 'xargs', 'O2', 'O0', 0.17703579758645172, 12.364314794540405]
['CO', 3, 'BO', 23, 'unlink', 'git', 'O3', 'O2', 0.09352136986838755, 6.579875230789185]
['UO', 41, 'CO', 335, 'locate', 'pr', 'O2', 'O0', 0.06302286670384827, 0.20401501655578613]
['UO', 70, 'CO', 151, 'ranlib', 'numfmt', 'O0', 'O1', 0.14797429449566923, 2.482753276824951]
['BO', 63, 'CO', 343, 'cluster', 'date', 'O0', 'O0', 0.08602150537634412, 0.2985537052154541]
['BO', 56, 'UO', 78, 'libvlc.so.12.0.0', 'elfedit', 'O3', 'O0', 0.192378160498351, 0.4366147518157959]
['CO', 172, 'BO', 74, 'yes', 'dot', 'O1', 'O1', 0.1696428571428572, 0.01611328125]
['CO', 37, 'BO', 30, 'truncate', 'libvlccore.so.9.0.0', 'O3', 'O2', 0.1610738255033557, 4.7269275188446045]
['CO', 36, 'BO', 48, 'pinky', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.18086718340229613, 11.218860387802124]
['BO', 21, 'CO', 157, 'cp', 'chmod', 'O1', 'O1', 0.07652733118971056, 0.13988304138183594]
['CO', 300, 'UO', 11, 'sha512sum', 'ld', 'O2', 'O1', 0.1451133515939157, 2.1269290447235107]
['CO', 179, 'BO', 4, 'mv', 'libgeany.so.0.0.0', 'O1', 'O2', 0.16876742025394864, 32.540642976760864]
['CO', 177, 'UO', 5, 'hostid', 'readelf', 'O1', 'O1', 0.11942357810823245, 0.29923057556152344]
['BO', 41, 'CO', 132, 'libSDL2-2.0.so.0.16.0', 'factor', 'O2', 'O1', 0.20127548555415986, 5.443310260772705]
['CO', 219, 'UO', 55, 'groups', 'ar', 'O2', 'O3', 0.13826705293652886, 0.9304499626159668]
['CO', 87, 'BO', 66, 'id', 'svn', 'O3', 'O2', 0.21532156368221944, 0.5083127021789551]
['CO', 322, 'BO', 46, 'users', 'ruby', 'O0', 'O3', 0.10371635011127711, 13.714745283126831]
['UO', 28, 'CO', 114, 'readelf', 'users', 'O2', 'O1', 0.10821012897137461, 0.26316022872924805]
['CO', 165, 'BO', 24, 'cksum', 'cluster', 'O1', 'O3', 0.12726157620361855, 0.11861133575439453]
['CO', 2, 'UO', 51, 'stat', 'objcopy', 'O3', 'O3', 0.11644832605531297, 1.2480781078338623]
['CO', 224, 'BO', 68, 'dirname', 'git', 'O2', 'O3', 0.09384464110127833, 6.573891639709473]
['UO', 81, 'CO', 134, 'diff3', 'expand', 'O0', 'O1', 0.09802904564315351, 0.07008695602416992]
['CO', 99, 'UO', 3, 'sort', 'nm', 'O3', 'O1', 0.11645493042952204, 1.5301423072814941]
['CO', 304, 'BO', 82, 'fold', 'cp', 'O2', 'O3', 0.11742133537989252, 0.08491158485412598]
['CO', 134, 'BO', 41, 'expand', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.20718951038648525, 5.688796520233154]
['UO', 5, 'CO', 151, 'readelf', 'numfmt', 'O1', 'O1', 0.10609613130128959, 0.3340635299682617]
['UO', 72, 'CO', 222, 'strings', 'stty', 'O0', 'O2', 0.15030295899758805, 2.262478828430176]
['CO', 115, 'BO', 7, 'groups', 'sort', 'O1', 'O0', 0.1556029232643118, 0.1661241054534912]
['BO', 44, 'CO', 371, 'cmp', 'tsort', 'O2', 'O0', 0.05301047120418845, 0.04630017280578613]
['CO', 48, 'UO', 39, 'ls', 'size', 'O3', 'O2', 0.10964773087908597, 1.3292632102966309]
['BO', 23, 'CO', 321, 'git', 'du', 'O2', 'O0', 0.08355349438351733, 8.16896915435791]
['CO', 90, 'UO', 77, 'tr', 'ar', 'O3', 'O0', 0.15058044977847573, 2.4589502811431885]
['UO', 41, 'CO', 327, 'locate', 'join', 'O2', 'O0', 0.09203980099502485, 0.16154956817626953]
['CO', 85, 'BO', 19, '[', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.16174767362913856, 4.944079160690308]
['BO', 72, 'CO', 57, 'make', 'od', 'O2', 'O3', 0.11029285836615854, 0.2677724361419678]
['CO', 356, 'BO', 68, 'seq', 'git', 'O0', 'O3', 0.09154819559443839, 7.02615761756897]
['BO', 83, 'UO', 11, 'lua', 'ld', 'O2', 'O1', 0.07050187777398431, 4.084471225738525]
['UO', 43, 'CO', 386, 'find', 'unexpand', 'O2', 'O0', 0.14912131035659448, 0.4127790927886963]
['UO', 52, 'CO', 99, 'ld', 'sort', 'O3', 'O3', 0.11046158936745165, 2.138535737991333]
['CO', 192, 'BO', 76, 'shred', 'openssl', 'O1', 'O2', 0.2692145803518815, 8.817076683044434]
['CO', 243, 'BO', 82, 'base32', 'cp', 'O2', 'O3', 0.11292156119742325, 0.08888626098632812]
['UO', 77, 'CO', 119, 'ar', 'join', 'O0', 'O1', 0.14736783279311505, 2.506263494491577]
['CO', 154, 'UO', 83, 'dircolors', 'diff', 'O1', 'O0', 0.14420524918902977, 0.1778717041015625]
['CO', 181, 'BO', 54, 'env', 'lua', 'O1', 'O3', 0.11602887103363746, 0.34316205978393555]
['UO', 15, 'CO', 104, 'elfedit', 'sha384sum', 'O1', 'O1', 0.04643337819650073, 0.04238772392272949]
['BO', 2, 'CO', 106, 'perl', 'stat', 'O1', 'O1', 0.07164372890158399, 2.930497884750366]
['UO', 0, 'CO', 308, 'locate', 'tac', 'O1', 'O2', 0.13482384823848237, 0.1297917366027832]
['BO', 1, 'UO', 53, 'ssh', 'gprof', 'O2', 'O3', 0.031184316123361477, 4.482486009597778]
['UO', 21, 'CO', 68, 'sdiff', 'yes', 'O1', 'O3', 0.09874213836477985, 0.03991198539733887]
['BO', 5, 'CO', 249, 'libgeany.so.0.0.0', 'echo', 'O1', 'O2', 0.17559985293412406, 29.039252758026123]
['BO', 29, 'CO', 332, 'libvlc.so.12.0.0', 'mkfifo', 'O2', 'O0', 0.15002475656048853, 0.6411683559417725]
['CO', 57, 'BO', 74, 'od', 'dot', 'O3', 'O1', 0.15613099771515615, 0.024198532104492188]
['CO', 152, 'UO', 15, 'ls', 'elfedit', 'O1', 'O1', 0.12764456981664318, 0.1170206069946289]
['UO', 40, 'CO', 233, 'objdump', 'chgrp', 'O2', 'O2', 0.1261658470408682, 1.9672844409942627]
['CO', 261, 'UO', 4, 'chmod', 'strip', 'O2', 'O1', 0.13395704869232405, 1.4732224941253662]
['CO', 98, 'BO', 28, 'sleep', 'ruby', 'O3', 'O0', 0.10527674044387769, 13.37038516998291]
['CO', 79, 'UO', 41, 'link', 'locate', 'O3', 'O2', 0.14740190880169668, 0.11277365684509277]
['BO', 14, 'CO', 57, 'cmp', 'od', 'O0', 'O3', 0.04258517034068132, 0.05731701850891113]
['CO', 399, 'BO', 70, 'id', 'diff', 'O0', 'O3', 0.0890367553865653, 0.1255018711090088]
['UO', 84, 'CO', 339, 'sdiff', 'wc', 'O0', 'O0', 0.0369685767097967, 0.0930330753326416]
['CO', 317, 'BO', 82, 'basename', 'cp', 'O0', 'O3', 0.1011401250459728, 0.0971536636352539]
['UO', 15, 'CO', 337, 'elfedit', 'chgrp', 'O1', 'O0', 0.10533578656853726, 0.07984495162963867]
['CO', 262, 'UO', 25, 'true', 'sdiff', 'O2', 'O2', 0.11412268188302421, 0.03526878356933594]
['UO', 48, 'BO', 26, 'ranlib', 'gvmap', 'O3', 'O3', 0.09137389525965967, 1.3456940650939941]
['CO', 375, 'BO', 18, 'logname', 'libvlc.so.12.0.0', 'O0', 'O1', 0.21445221445221452, 0.4448819160461426]
['CO', 96, 'UO', 68, 'fold', 'readelf', 'O3', 'O0', 0.12633549950435063, 0.5214598178863525]
['UO', 29, 'CO', 220, 'as', 'ptx', 'O2', 'O2', 0.1232845894263217, 1.8353939056396484]
['CO', 1, 'UO', 82, 'touch', 'cmp', 'O3', 'O0', 0.03622124326970144, 0.06303906440734863]
['CO', 184, 'UO', 25, 'uname', 'sdiff', 'O1', 'O2', 0.08262849707221864, 0.04334568977355957]
['BO', 76, 'CO', 111, 'openssl', 'fmt', 'O2', 'O1', 0.27690333618477325, 7.746407747268677]
['CO', 7, 'UO', 26, 'fmt', 'nm', 'O3', 'O2', 0.14430268367795862, 0.9918603897094727]
['CO', 50, 'BO', 52, 'dircolors', 'svn', 'O3', 'O3', 0.20624512099921932, 0.4706451892852783]
['CO', 192, 'BO', 41, 'shred', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.1989692707831615, 5.960436105728149]
['CO', 301, 'BO', 22, 'nl', 'perl', 'O2', 'O0', 0.11185912420134014, 3.8362362384796143]
['BO', 2, 'UO', 46, 'perl', 'readelf', 'O1', 'O3', 0.054029580440688174, 3.9103002548217773]
['BO', 25, 'UO', 19, 'dot', 'cmp', 'O3', 'O1', 0.19494949494949498, 0.021488666534423828]
['CO', 303, 'BO', 48, 'sha224sum', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.18208701762604673, 11.028318166732788]
['CO', 110, 'BO', 3, 'mkdir', 'openssl', 'O1', 'O1', 0.2752015698988951, 8.147912502288818]
['CO', 209, 'UO', 6, 'touch', 'as', 'O2', 'O1', 0.12622096809203387, 2.084516763687134]
['CO', 243, 'UO', 30, 'base32', 'ranlib', 'O2', 'O2', 0.145169578622816, 1.0260024070739746]
['CO', 272, 'UO', 77, 'tty', 'ar', 'O2', 'O0', 0.15542857142857147, 2.313194513320923]
['CO', 391, 'BO', 61, 'link', 'git', 'O0', 'O1', 0.0925700842971966, 6.672290325164795]
['UO', 40, 'CO', 204, 'objdump', 'tac', 'O2', 'O1', 0.13205150412841382, 1.8742549419403076]
['CO', 56, 'BO', 47, 'cut', 'libvlc.so.12.0.0', 'O3', 'O0', 0.2242585804731756, 0.6093297004699707]
['BO', 33, 'CO', 202, 'sort', 'sleep', 'O2', 'O1', 0.13261217948717952, 0.09806466102600098]
['UO', 11, 'CO', 202, 'ld', 'sleep', 'O1', 'O1', 0.14603063252659887, 2.0420644283294678]
['BO', 8, 'CO', 403, 'cp', 'comm', 'O0', 'O0', 0.1325728770595691, 0.21732044219970703]
['CO', 247, 'UO', 18, 'paste', 'diff3', 'O2', 'O1', 0.09456869009584667, 0.04193925857543945]
['CO', 198, 'BO', 10, 'rm', 'openssl', 'O1', 'O3', 0.2657921122994653, 8.527920961380005]
['CO', 177, 'BO', 60, 'hostid', 'openssl', 'O1', 'O0', 0.27206889802309653, 9.448431730270386]
['BO', 25, 'CO', 27, 'dot', 'wc', 'O3', 'O3', 0.18223028105167727, 0.029842376708984375]
['BO', 39, 'CO', 150, 'codeblocks', 'whoami', 'O3', 'O1', 0.1857264143662044, 10.995915174484253]
['CO', 205, 'UO', 47, 'rmdir', 'as', 'O1', 'O3', 0.12113568369801142, 1.5512900352478027]
['CO', 15, 'BO', 59, 'join', 'libgeany.so.0.0.0', 'O3', 'O3', 0.16683813443072704, 26.60860300064087]
['BO', 49, 'CO', 76, 'svn', 'md5sum', 'O0', 'O3', 0.20655642587757472, 0.5523312091827393]
['BO', 82, 'CO', 99, 'cp', 'sort', 'O3', 'O3', 0.023361144219308683, 0.18737125396728516]
['CO', 196, 'BO', 80, 'sha512sum', 'ssh', 'O1', 'O3', 0.13644694432155724, 1.40946626663208]
['CO', 262, 'BO', 83, 'true', 'lua', 'O2', 'O2', 0.1362769146906514, 0.3727998733520508]
['BO', 62, 'CO', 205, 'bash', 'rmdir', 'O1', 'O1', 0.1256222547584187, 2.8534114360809326]
['CO', 60, 'BO', 13, 'base64', 'ruby', 'O3', 'O1', 0.10435591050417603, 13.575816869735718]
['CO', 194, 'BO', 78, 'tr', 'ssh', 'O1', 'O0', 0.13893083660525518, 2.226475238800049]
['CO', 45, 'BO', 6, 'split', 'codeblocks', 'O3', 'O0', 0.20390603408567487, 29.894558429718018]
['UO', 45, 'CO', 41, 'strip', 'echo', 'O3', 'O3', 0.1324488074238822, 1.0139446258544922]
['UO', 71, 'BO', 79, 'c++filt', 'bash', 'O0', 'O3', 0.010005626636005571, 9.768778800964355]
['BO', 81, 'UO', 3, 'sort', 'nm', 'O3', 'O1', 0.11645493042952204, 1.5235416889190674]
['BO', 13, 'CO', 376, 'ruby', 'tty', 'O1', 'O0', 0.10404236163037339, 13.38462209701538]
['UO', 16, 'CO', 42, 'size', 'sum', 'O1', 'O3', 0.1462768231170386, 1.0975711345672607]
['CO', 143, 'UO', 61, 'paste', 'find', 'O1', 'O3', 0.14938804895608349, 0.31740403175354004]
['UO', 53, 'BO', 19, 'gprof', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.07257927278915421, 9.935911893844604]
