['BV', 57, 'UV', 11, 'svn', 'ranlib', 'V2', 'V2', 0.06846690972007663, 2.4595212936401367]
['UV', 59, 'CV', 219, 'ld', 'cp', 'V1', 'V0', 0.1236520914800332, 2.122218370437622]
['CV', 271, 'BV', 9, 'ptx', 'dot', 'V1', 'V2', 0.14539473684210524, 0.02640390396118164]
['CV', 299, 'UV', 43, 'split', 'sdiff', 'V1', 'V3', 0.09173715029277818, 0.0366063117980957]
['BV', 8, 'CV', 182, 'cluster', 'du', 'V2', 'V0', 0.0936349289847449, 0.16061067581176758]
['CV', 315, 'UV', 28, 'false', 'strings', 'V1', 'V3', 0.15519492631971643, 0.8629951477050781]
['CV', 189, 'BV', 34, 'uptime', 'svn', 'V0', 'V0', 0.21733122779313074, 0.3210029602050781]
['CV', 300, 'BV', 75, 'whoami', 'cmp', 'V1', 'V2', 0.10796460176991152, 0.02337789535522461]
['UV', 79, 'CV', 282, 'strings', 'chgrp', 'V0', 'V1', 0.13676309044306112, 0.8672540187835693]
['UV', 14, 'CV', 226, 'objcopy', 'logname', 'V2', 'V0', 0.1446365214765607, 1.1018173694610596]
['BV', 61, 'CV', 126, 'cmp', 'whoami', 'V0', 'V3', 0.07348242811501593, 0.017011642456054688]
['CV', 305, 'BV', 23, 'true', 'diff', 'V1', 'V3', 0.15746815901196443, 0.07305002212524414]
['CV', 235, 'UV', 26, 'ginstall', 'ranlib', 'V0', 'V3', 0.12886723507917175, 1.2314071655273438]
['CV', 38, 'BV', 51, 'split', 'cp', 'V2', 'V0', 0.0431034482758621, 0.05449628829956055]
['UV', 74, 'CV', 203, 'strip', 'tail', 'V0', 'V0', 0.1310748999428245, 1.1701276302337646]
['BV', 35, 'UV', 85, 'libvlccore.so', 'elfedit', 'V2', 'V0', 0.16206402293358813, 3.3690502643585205]
['CV', 319, 'UV', 44, 'readlink', 'diff3', 'V1', 'V1', 0.10225669957686878, 0.02961277961730957]
['UV', 78, 'CV', 275, 'c++filt', 'dirname', 'V0', 'V1', 0.15023023791250956, 0.7694149017333984]
['CV', 54, 'UV', 17, 'false', 'addr2line', 'V2', 'V2', 0.151611151339609, 0.8980929851531982]
['BV', 24, 'CV', 38, 'git', 'split', 'V0', 'V2', 0.09203953375946716, 3.69162654876709]
['UV', 31, 'CV', 79, 'gprof', 'fold', 'V3', 'V2', 0.14500846023688663, 0.9622271060943604]
['UV', 4, 'BV', 79, 'cmp', 'bash', 'V2', 'V3', 0.12334539263673117, 2.715165376663208]
['BV', 49, 'CV', 308, 'make', 'od', 'V3', 'V1', 0.1307335190343547, 0.22857666015625]
['BV', 18, 'UV', 10, 'sort', 'as', 'V3', 'V2', 0.10801227773073663, 2.2407703399658203]
['BV', 49, 'CV', 110, 'make', 'wc', 'V3', 'V3', 0.11618404689998219, 0.2564880847930908]
['CV', 333, 'BV', 19, 'id', 'cp', 'V1', 'V3', 0.13639968279143533, 0.07539033889770508]
['UV', 48, 'CV', 223, 'locate', 'tsort', 'V1', 'V0', 0.13251426064063188, 0.059453487396240234]
['CV', 36, 'UV', 57, 'chroot', 'strings', 'V2', 'V1', 0.14332536097085657, 0.9260578155517578]
['BV', 31, 'UV', 40, 'codeblocks', 'diff3', 'V0', 'V3', 0.18335468745740535, 10.38249683380127]
['CV', 254, 'BV', 78, 'uniq', 'make', 'V0', 'V2', 0.13589335455630724, 0.21689200401306152]
['UV', 70, 'CV', 193, 'locate', 'pr', 'V0', 'V0', 0.08191850594227501, 0.07230830192565918]
['BV', 21, 'CV', 115, 'cp', 'chown', 'V1', 'V3', 0.025000000000000022, 0.06843876838684082]
['UV', 52, 'CV', 165, 'strip', 'rm', 'V1', 'V3', 0.12153560535737962, 1.4011330604553223]
['CV', 333, 'UV', 47, 'id', 'sdiff', 'V1', 'V1', 0.10694822888283384, 0.03445887565612793]
['CV', 153, 'BV', 62, 'link', 'diff', 'V3', 'V0', 0.10514786418400879, 0.04509258270263672]
['BV', 30, 'UV', 16, 'bash', 'gprof', 'V0', 'V2', 0.031050904176587957, 6.030534982681274]
['CV', 202, 'UV', 66, 'chown', 'diff3', 'V0', 'V0', 0.04625928041119365, 0.043669700622558594]
['CV', 254, 'UV', 73, 'uniq', 'nm', 'V0', 'V0', 0.14534617148097206, 0.8961796760559082]
['UV', 0, 'CV', 324, 'locate', 'mv', 'V2', 'V1', 0.04077743902439024, 0.09772968292236328]
['UV', 48, 'BV', 4, 'locate', 'geany', 'V1', 'V3', 0.17447539951326607, 28.386298656463623]
['CV', 115, 'BV', 63, 'chown', 'ruby', 'V3', 'V0', 0.11254812913416923, 10.477729082107544]
['CV', 96, 'UV', 10, 'users', 'as', 'V3', 'V2', 0.1299460947356348, 1.7577762603759766]
['CV', 152, 'BV', 79, 'env', 'bash', 'V3', 'V3', 0.12592465899858896, 2.6677770614624023]
['CV', 66, 'UV', 16, 'link', 'gprof', 'V2', 'V2', 0.14615964486137867, 0.9954049587249756]
['CV', 248, 'UV', 12, 'pathchk', 'c++filt', 'V0', 'V2', 0.15248618784530388, 0.8841922283172607]
['CV', 32, 'UV', 5, 'paste', 'diff', 'V2', 'V2', 0.13653001464128844, 0.08155083656311035]
['BV', 23, 'CV', 141, 'diff', 'false', 'V3', 'V3', 0.13181332383327393, 0.0836648941040039]
['UV', 43, 'BV', 81, 'sdiff', 'dot', 'V3', 'V1', 0.18866396761133597, 0.02595043182373047]
['BV', 5, 'UV', 2, 'libvlccore.so', 'find', 'V0', 'V2', 0.12527773838226253, 4.027151107788086]
['BV', 24, 'CV', 294, 'git', 'sync', 'V0', 'V1', 0.0965662305023629, 3.472867012023926]
['UV', 33, 'BV', 2, 'ar', 'cmp', 'V3', 'V1', 0.14108514049447307, 1.0425336360931396]
['CV', 275, 'UV', 75, 'dirname', 'readelf', 'V1', 'V0', 0.11314321140731554, 0.0773162841796875]
['CV', 336, 'UV', 47, 'tr', 'sdiff', 'V1', 'V1', 0.08831003811944094, 0.03617525100708008]
['CV', 272, 'BV', 80, 'printenv', 'cluster', 'V1', 'V1', 0.15626010999676476, 0.10270142555236816]
['BV', 76, 'CV', 241, 'diff', 'uname', 'V2', 'V0', 0.15608055770720375, 0.07259202003479004]
['CV', 321, 'BV', 77, 'hostid', 'perl', 'V1', 'V2', 0.09304683411826264, 2.23356294631958]
['UV', 56, 'BV', 7, 'c++filt', 'libSDL2-2.0.so', 'V1', 'V0', 0.06736153688943392, 7.491048336029053]
['BV', 82, 'CV', 277, 'gvmap', 'dd', 'V1', 'V1', 0.11550888529886916, 0.14316654205322266]
['BV', 63, 'UV', 35, 'ruby', 'size', 'V0', 'V3', 0.0708738999014713, 17.096171379089355]
['BV', 56, 'CV', 159, 'ssh', 'id', 'V3', 'V3', 0.1428663820980468, 1.3571712970733643]
['CV', 219, 'UV', 84, 'cp', 'ar', 'V0', 'V0', 0.12891606634277097, 1.0366768836975098]
['UV', 34, 'CV', 318, 'elfedit', 'who', 'V3', 'V1', 0.06757782839787396, 0.0312345027923584]
['UV', 34, 'CV', 308, 'elfedit', 'od', 'V3', 'V1', 0.054426705370101636, 0.031408071517944336]
['BV', 59, 'CV', 346, 'make', 'mknod', 'V1', 'V1', 0.14161490683229816, 0.1806182861328125]
['CV', 337, 'UV', 15, 'comm', 'ld', 'V1', 'V2', 0.13631058418821795, 1.5830297470092773]
['CV', 297, 'BV', 71, 'chroot', 'ruby', 'V1', 'V1', 0.23191489361702122, 0.005644798278808594]
['BV', 48, 'CV', 20, 'gvmap', 'tee', 'V3', 'V2', 0.13772107857349958, 0.11496233940124512]
['CV', 104, 'BV', 60, 'mkfifo', 'codeblocks', 'V3', 'V1', 0.1855180554810324, 9.91242527961731]
['CV', 232, 'UV', 36, 'readlink', 'objdump', 'V0', 'V3', 0.1397647058823529, 1.704118013381958]
['CV', 28, 'UV', 51, 'chown', 'nm', 'V2', 'V1', 0.13222101115116958, 1.0443525314331055]
['CV', 46, 'UV', 1, 'cut', 'xargs', 'V2', 'V2', 0.07849133537206932, 0.051549434661865234]
['UV', 61, 'CV', 98, 'addr2line', 'printenv', 'V1', 'V3', 0.14460719041278292, 0.888176679611206]
['UV', 81, 'BV', 32, 'ld', 'perl', 'V0', 'V0', 0.017169519515583653, 6.86974835395813]
['CV', 291, 'UV', 62, 'pinky', 'ar', 'V1', 'V1', 0.14312080536912752, 1.016965389251709]
['UV', 23, 'CV', 165, 'strip', 'rm', 'V3', 'V3', 0.1263519805171549, 1.2825040817260742]
['CV', 164, 'UV', 48, 'nl', 'locate', 'V3', 'V1', 0.09922480620155039, 0.07453298568725586]
['CV', 99, 'BV', 34, 'stty', 'svn', 'V3', 'V0', 0.19130275899872096, 0.3651454448699951]
['CV', 87, 'UV', 67, 'touch', 'cmp', 'V3', 'V0', 0.05673382820784734, 0.047796010971069336]
['UV', 84, 'CV', 330, 'ar', 'csplit', 'V0', 'V1', 0.1251428571428571, 1.0304844379425049]
['BV', 62, 'CV', 288, 'diff', 'expr', 'V0', 'V1', 0.04875100725221593, 0.0635981559753418]
['UV', 2, 'CV', 78, 'find', 'rm', 'V2', 'V2', 0.10865684962070499, 0.20167922973632812]
['CV', 264, 'BV', 23, 'test', 'diff', 'V1', 'V3', 0.13944954128440368, 0.08078479766845703]
