['UV', 57, 'CV', 62, 'strings', 'unexpand', 'V1', 'V2', 0.14593386952636278, 0.8775424957275391]
['BV', 45, 'CV', 54, 'svn', 'false', 'V3', 'V2', 0.22815812088226872, 0.5520815849304199]
['UV', 66, 'CV', 85, 'diff3', 'mknod', 'V0', 'V2', 0.08106312292358808, 0.0316922664642334]
['CV', 67, 'UV', 33, 'uname', 'ar', 'V2', 'V3', 0.1503584074617843, 0.9750759601593018]
['CV', 95, 'UV', 74, 'du', 'strip', 'V3', 'V0', 0.10947939405966789, 1.5276031494140625]
['CV', 121, 'UV', 64, 'echo', 'size', 'V3', 'V1', 0.14401981599433822, 0.915799617767334]
['BV', 5, 'CV', 83, 'libvlccore.so', 'tac', 'V0', 'V2', 0.15798592880394835, 2.9180092811584473]
['BV', 68, 'UV', 23, 'dot', 'strip', 'V0', 'V3', 0.1503252788104089, 1.0752930641174316]
['UV', 18, 'CV', 58, 'ar', 'readlink', 'V2', 'V2', 0.14412826324183658, 1.009453535079956]
['CV', 303, 'UV', 55, 'dircolors', 'ranlib', 'V1', 'V1', 0.14544994090832342, 0.9674098491668701]
['CV', 324, 'UV', 83, 'mv', 'addr2line', 'V1', 'V0', 0.12522891776401845, 1.1065428256988525]
['CV', 191, 'UV', 61, 'mkfifo', 'addr2line', 'V0', 'V1', 0.149454315865428, 0.8834404945373535]
['CV', 170, 'BV', 49, 'tac', 'make', 'V3', 'V3', 0.12063377745768811, 0.2453000545501709]
['CV', 275, 'UV', 41, 'dirname', 'cmp', 'V1', 'V3', 0.10526315789473684, 0.023892641067504883]
['BV', 75, 'CV', 111, 'cmp', 'factor', 'V2', 'V3', 0.02421171171171166, 0.04224371910095215]
['BV', 24, 'CV', 340, 'git', 'fold', 'V0', 'V1', 0.09589377249427422, 3.409919500350952]
['BV', 78, 'CV', 265, 'make', 'basename', 'V2', 'V1', 0.1450851631438539, 0.18388152122497559]
['UV', 46, 'BV', 29, 'diff', 'perl', 'V1', 'V3', 0.08676373262739911, 3.2278008460998535]
['CV', 183, 'BV', 45, 'users', 'svn', 'V0', 'V3', 0.22731176638992268, 0.5769023895263672]
['CV', 297, 'BV', 2, 'chroot', 'cmp', 'V1', 'V1', 0.10008857395925597, 0.022691965103149414]
['UV', 22, 'BV', 73, 'nm', 'geany', 'V3', 'V0', 0.12206564166468137, 26.394197940826416]
['BV', 77, 'CV', 323, 'perl', 'unexpand', 'V2', 'V1', 0.09256781016418059, 2.2756214141845703]
['CV', 212, 'UV', 42, 'split', 'diff', 'V0', 'V3', 0.13189189189189188, 0.08662724494934082]
['UV', 30, 'CV', 223, 'ld', 'tsort', 'V3', 'V0', 0.14614360092020828, 1.7942256927490234]
