['UO', 17, 'CO', 194, 'objdump', 'tr', 'O1', 'O1', 0.1364825015300729, 2.0764694213867188]
['BO', 83, 'CO', 321, 'lua', 'du', 'O2', 'O0', 0.07017735931683822, 0.7274811267852783]
['CO', 179, 'UO', 1, 'mv', 'xargs', 'O1', 'O1', 0.06029882604055492, 0.20501041412353516]
['BO', 49, 'CO', 116, 'svn', 'ptx', 'O0', 'O1', 0.18590539235967452, 0.656653881072998]
['BO', 8, 'UO', 12, 'cp', 'gprof', 'O0', 'O1', 0.09114197114736422, 1.9545557498931885]
['BO', 2, 'CO', 53, 'perl', 'chmod', 'O1', 'O3', 0.07446836268754076, 2.594999313354492]
['UO', 54, 'CO', 203, 'addr2line', 'sort', 'O3', 'O1', 0.10035988876165547, 1.2153868675231934]
['BO', 24, 'CO', 375, 'cluster', 'logname', 'O3', 'O0', 0.11880887268307505, 0.12598490715026855]
['BO', 29, 'UO', 20, 'libvlc.so.12.0.0', 'diff', 'O2', 'O1', 0.1283653131042689, 0.6984958648681641]
['UO', 83, 'CO', 327, 'diff', 'join', 'O0', 'O0', 0.11132332878581175, 0.20527935028076172]
['BO', 30, 'UO', 53, 'libvlccore.so.9.0.0', 'gprof', 'O2', 'O3', 0.07134783837242153, 9.659803628921509]
['BO', 63, 'CO', 189, 'cluster', '[', 'O0', 'O1', 0.11940298507462688, 0.2236318588256836]
['BO', 36, 'CO', 285, 'cluster', 'env', 'O2', 'O2', 0.141021623315575, 0.11399459838867188]
['CO', 377, 'UO', 18, 'false', 'diff3', 'O0', 'O1', 0.07402837754472547, 0.050454139709472656]
['UO', 24, 'CO', 144, 'diff', 'sync', 'O2', 'O1', 0.12963629816348576, 0.1042938232421875]
['UO', 36, 'BO', 28, 'addr2line', 'ruby', 'O2', 'O0', 0.07093697573347779, 22.699889421463013]
['UO', 45, 'CO', 195, 'strip', 'comm', 'O3', 'O1', 0.12683962979820973, 1.0843913555145264]
['CO', 240, 'BO', 56, 'expr', 'libvlc.so.12.0.0', 'O2', 'O3', 0.19974226804123707, 0.42472076416015625]
['CO', 394, 'BO', 23, 'shuf', 'git', 'O0', 'O2', 0.088108453073933, 7.723726034164429]
['CO', 163, 'UO', 27, 'tsort', 'strip', 'O1', 'O2', 0.1362106365472362, 1.2668125629425049]
['UO', 84, 'CO', 204, 'sdiff', 'tac', 'O0', 'O1', 0.08311688311688314, 0.07036375999450684]
['CO', 76, 'BO', 64, 'md5sum', 'dot', 'O3', 'O0', 0.16428571428571426, 0.01778435707092285]
['CO', 392, 'UO', 60, 'uname', 'xargs', 'O0', 'O3', 0.09907597535934287, 0.07692503929138184]
