['BO', 57, 'UO', 67, 'libvlccore.so.9.0.0', 'strip', 'O3', 'O0', 0.02464989833915887, 14.079848051071167]
['CO', 212, 'UO', 2, 'test', 'find', 'O2', 'O1', 0.16125231442518095, 0.3833019733428955]
['CO', 351, 'UO', 57, 'paste', 'size', 'O0', 'O3', 0.13243884629426794, 0.847210168838501]
['UO', 25, 'CO', 215, 'sdiff', 'fmt', 'O2', 'O2', 0.07638446849140679, 0.041704654693603516]
['UO', 35, 'BO', 59, 'gprof', 'libgeany.so.0.0.0', 'O2', 'O3', 0.12259424902964122, 39.25814628601074]
['UO', 70, 'CO', 52, 'ranlib', 'sha256sum', 'O0', 'O3', 0.15093809684305137, 2.2372689247131348]
['UO', 26, 'CO', 335, 'nm', 'pr', 'O2', 'O0', 0.12333222148098733, 1.1649858951568604]
['BO', 67, 'CO', 195, 'libSDL2-2.0.so.0.16.0', 'comm', 'O1', 'O1', 0.20360464555925017, 5.171790838241577]
['CO', 32, 'BO', 15, 'expr', 'diff', 'O3', 'O0', 0.1401238041643219, 0.1595287322998047]
['CO', 27, 'UO', 15, 'wc', 'elfedit', 'O3', 'O1', 0.04581551618814905, 0.04023265838623047]
['UO', 68, 'CO', 104, 'readelf', 'sha384sum', 'O0', 'O1', 0.12134486912714926, 0.5471978187561035]
['BO', 65, 'UO', 25, 'gvmap', 'sdiff', 'O0', 'O2', 0.1121513555685586, 0.22666692733764648]
['CO', 120, 'BO', 15, 'dirname', 'diff', 'O1', 'O0', 0.1624381188118812, 0.14574623107910156]
['CO', 192, 'BO', 8, 'shred', 'cp', 'O1', 'O0', 0.11111111111111116, 0.24306583404541016]
['BO', 78, 'CO', 80, 'ssh', 'uname', 'O0', 'O3', 0.14263227378897125, 1.9173457622528076]
['CO', 216, 'BO', 12, 'dir', 'libgeany.so.0.0.0', 'O2', 'O0', 0.18379619090978072, 30.416648149490356]
['CO', 292, 'BO', 52, 'vdir', 'svn', 'O2', 'O3', 0.1471128608923884, 0.7010946273803711]
['CO', 153, 'UO', 45, 'nice', 'strip', 'O1', 'O3', 0.12999846790255853, 0.999049186706543]
['UO', 19, 'BO', 25, 'cmp', 'dot', 'O1', 'O3', 0.19494949494949498, 0.019934654235839844]
['BO', 19, 'CO', 385, 'libvlccore.so.9.0.0', 'hostid', 'O1', 'O0', 0.1622295503900909, 4.539010047912598]
['BO', 6, 'CO', 315, 'codeblocks', 'unlink', 'O0', 'O0', 0.20587743266603464, 27.5108380317688]
['BO', 74, 'CO', 3, 'dot', 'unlink', 'O1', 'O3', 0.1358629130966953, 0.012740850448608398]
['CO', 118, 'BO', 63, 'stty', 'cluster', 'O1', 'O0', 0.11511227999190776, 0.2229175567626953]
['BO', 29, 'UO', 25, 'libvlc.so.12.0.0', 'sdiff', 'O2', 'O2', 0.19653711549088226, 0.45556044578552246]
['BO', 69, 'CO', 366, 'cmp', 'true', 'O3', 'O0', 0.040983606557377095, 0.03549766540527344]
['CO', 87, 'BO', 8, 'id', 'cp', 'O3', 'O0', 0.15063938618925832, 0.18516874313354492]
['BO', 81, 'CO', 27, 'sort', 'wc', 'O3', 'O3', 0.08737541528239201, 0.09981250762939453]
['BO', 41, 'CO', 19, 'libSDL2-2.0.so.0.16.0', 'dd', 'O2', 'O3', 0.19668934024639684, 5.304765701293945]
['CO', 142, 'UO', 46, 'sha1sum', 'readelf', 'O1', 'O3', 0.09744214372716198, 0.24987292289733887]
