['UO', 30, 'CO', 186, 'ranlib', 'shuf', 'O2', 'O1', 0.13045981738915846, 1.1798298358917236]
['CO', 254, 'BO', 61, 'whoami', 'git', 'O2', 'O1', 0.09375307234009078, 6.598043441772461]
['BO', 75, 'CO', 225, 'gvmap', 'stdbuf', 'O1', 'O2', 0.12608817747823642, 0.1434309482574463]
['UO', 60, 'CO', 339, 'xargs', 'wc', 'O3', 'O0', 0.0501964207769533, 0.10537195205688477]
['UO', 30, 'CO', 274, 'ranlib', 'runcon', 'O2', 'O2', 0.14970527045769766, 0.9830379486083984]
['CO', 268, 'BO', 34, 'base64', 'cp', 'O2', 'O2', 0.12385867407701467, 0.09005117416381836]
['UO', 55, 'BO', 83, 'ar', 'lua', 'O3', 'O2', 0.04027715187021186, 2.1654422283172607]
['BO', 37, 'UO', 14, 'gvmap', 'ar', 'O2', 'O1', 0.10323296794782855, 1.7573564052581787]
['UO', 38, 'CO', 25, 'elfedit', 'chgrp', 'O2', 'O3', 0.062146892655367214, 0.04955458641052246]
['UO', 46, 'CO', 260, 'readelf', 'sha256sum', 'O3', 'O2', 0.10201880104792727, 0.24559617042541504]
['BO', 14, 'CO', 99, 'cmp', 'sort', 'O0', 'O3', 0.08486842105263159, 0.11661696434020996]
['BO', 1, 'CO', 252, 'ssh', 'seq', 'O2', 'O2', 0.14521640091116172, 1.455676794052124]
['BO', 3, 'CO', 276, 'openssl', 'yes', 'O1', 'O2', 0.28311868522613937, 7.630342960357666]
['BO', 47, 'CO', 279, 'libvlc.so.12.0.0', 'readlink', 'O0', 'O2', 0.22563756122276646, 0.6232490539550781]
['UO', 69, 'CO', 120, 'as', 'dirname', 'O0', 'O1', 0.13962686269026414, 3.8285443782806396]
['CO', 316, 'BO', 58, 'test', 'svn', 'O0', 'O1', 0.20009328358208955, 0.5764360427856445]
['UO', 26, 'CO', 13, 'nm', 'printenv', 'O2', 'O3', 0.14855816444960268, 0.9377686977386475]
['BO', 36, 'UO', 4, 'cluster', 'strip', 'O2', 'O1', 0.10464306074618357, 1.9385464191436768]
['CO', 89, 'UO', 44, 'pathchk', 'nm', 'O3', 'O3', 0.1386425339366516, 0.8366248607635498]
['UO', 61, 'CO', 27, 'find', 'wc', 'O3', 'O3', 0.1363558007240131, 0.3349592685699463]
['BO', 78, 'CO', 208, 'ssh', 'sha384sum', 'O0', 'O2', 0.1406360781930518, 2.1077160835266113]
['UO', 28, 'BO', 60, 'readelf', 'openssl', 'O2', 'O0', 0.20605942269517397, 12.48684048652649]
['BO', 18, 'CO', 209, 'libvlc.so.12.0.0', 'touch', 'O1', 'O2', 0.1940783534934103, 0.5126974582672119]
['UO', 37, 'CO', 22, 'ar', 'pwd', 'O2', 'O3', 0.14276037256562235, 1.0351083278656006]
['BO', 37, 'CO', 406, 'gvmap', 'rm', 'O2', 'O0', 0.059172949508796036, 0.23273992538452148]
