['UV', 11, 'CV', 9, 'ranlib', 'users', 'V2', 'V2', 0.14699162223914697, 1.0055780410766602]
['UV', 51, 'CV', 299, 'nm', 'split', 'V1', 'V1', 0.14474605954465847, 0.9142184257507324]
['CV', 138, 'UV', 63, 'printf', 'elfedit', 'V3', 'V1', 0.039375424304141204, 0.03235507011413574]
['CV', 219, 'BV', 13, 'cp', 'cp', 'V0', 'V2', 0.04605030109812258, 0.09770083427429199]
['UV', 42, 'CV', 120, 'diff', 'sync', 'V3', 'V3', 0.12357217030114231, 0.08861756324768066]
['CV', 228, 'BV', 48, 'false', 'gvmap', 'V0', 'V3', 0.15503397158739962, 0.10244369506835938]
['CV', 6, 'UV', 24, 'fmt', 'readelf', 'V2', 'V3', 0.11568409343715236, 0.2396564483642578]
['CV', 130, 'UV', 29, 'chmod', 'objcopy', 'V3', 'V3', 0.12919596896976726, 1.2721571922302246]
['UV', 34, 'CV', 10, 'elfedit', 'ptx', 'V3', 'V2', 0.07063197026022305, 0.0604550838470459]
['CV', 41, 'UV', 44, 'nice', 'diff3', 'V2', 'V1', 0.08776595744680848, 0.03128170967102051]
['CV', 53, 'UV', 45, 'tty', 'cmp', 'V2', 'V1', 0.08631921824104238, 0.024547576904296875]
['CV', 120, 'BV', 75, 'sync', 'cmp', 'V3', 'V2', 0.05907780979827093, 0.030480146408081055]
['UV', 72, 'CV', 64, 'find', 'md5sum', 'V0', 'V2', 0.1399011735639284, 0.12465333938598633]
['CV', 201, 'UV', 87, 'expr', 'objdump', 'V0', 'V0', 0.1255599722379961, 1.4883952140808105]
['BV', 83, 'UV', 72, 'git', 'find', 'V2', 'V0', 0.08276435988122488, 8.05430555343628]
['UV', 7, 'CV', 190, 'nm', 'dd', 'V2', 'V0', 0.1411805315843977, 0.9966857433319092]
['CV', 283, 'UV', 49, 'kill', 'xargs', 'V1', 'V1', 0.06857142857142862, 0.02436232566833496]
['CV', 192, 'BV', 34, 'pwd', 'svn', 'V0', 'V0', 0.22058823529411764, 0.3161442279815674]
['UV', 75, 'CV', 324, 'readelf', 'mv', 'V0', 'V1', 0.05738498789346247, 0.14244341850280762]
['UV', 12, 'CV', 165, 'c++filt', 'rm', 'V2', 'V3', 0.12953191489361704, 1.0102555751800537]
['BV', 72, 'CV', 213, 'perl', 'whoami', 'V1', 'V0', 0.09379398163661956, 2.1082828044891357]
['UV', 3, 'CV', 200, 'diff3', 'date', 'V2', 'V0', 0.06288156288156288, 0.04181861877441406]
['CV', 338, 'UV', 6, 'nl', 'sdiff', 'V1', 'V2', 0.03165988240615103, 0.05570173263549805]
['UV', 62, 'CV', 9, 'ar', 'users', 'V1', 'V2', 0.14460866644272752, 0.964169979095459]
['BV', 10, 'UV', 2, 'gvmap', 'find', 'V2', 'V2', 0.041024834957560485, 0.3818700313568115]
['UV', 70, 'BV', 39, 'locate', 'svn', 'V0', 'V1', 0.15858352578906854, 0.5403187274932861]
['CV', 191, 'BV', 50, 'mkfifo', 'sort', 'V0', 'V0', 0.10207214121258634, 0.026743173599243164]
['CV', 72, 'BV', 65, 'id', 'ssh', 'V2', 'V1', 0.11783993576017127, 3.5980727672576904]
['CV', 246, 'BV', 35, 'id', 'libvlccore.so', 'V0', 'V2', 0.1672061452244069, 3.3971447944641113]
['CV', 343, 'UV', 45, 'sort', 'cmp', 'V1', 'V1', 0.06283566058002144, 0.05138254165649414]
['UV', 20, 'CV', 175, 'size', 'stat', 'V2', 'V0', 0.14730903555117758, 0.9380795955657959]
['BV', 61, 'CV', 45, 'cmp', 'cp', 'V0', 'V2', 0.14741420976317055, 0.05527210235595703]
['BV', 20, 'CV', 35, 'sort', 'sum', 'V1', 'V2', 0.0772334293948127, 0.04337263107299805]
['CV', 183, 'BV', 67, 'users', 'cluster', 'V0', 'V0', 0.14479638009049778, 0.09205889701843262]
['CV', 124, 'UV', 45, 'seq', 'cmp', 'V3', 'V1', 0.03976143141153077, 0.034387826919555664]
['CV', 126, 'UV', 69, 'whoami', 'sdiff', 'V3', 'V0', 0.08671241422333131, 0.03565645217895508]
['UV', 0, 'CV', 287, 'locate', 'date', 'V2', 'V1', 0.09817813765182182, 0.05988717079162598]
['CV', 330, 'UV', 54, 'csplit', 'as', 'V1', 'V1', 0.11767958856384453, 1.8155932426452637]
['CV', 285, 'BV', 51, 'factor', 'cp', 'V1', 'V0', 0.10684039087947883, 0.03449511528015137]
['BV', 52, 'CV', 254, 'libSDL2-2.0.so', 'uniq', 'V2', 'V0', 0.19302893356189288, 4.099536180496216]
['CV', 128, 'BV', 31, 'nice', 'codeblocks', 'V3', 'V0', 0.18694656699125545, 9.722957372665405]
['CV', 145, 'BV', 17, 'readlink', 'codeblocks', 'V3', 'V2', 0.18434176847771588, 10.732664585113525]
['UV', 83, 'BV', 72, 'addr2line', 'perl', 'V0', 'V1', 0.03341066115285696, 5.802690029144287]
['CV', 213, 'UV', 17, 'whoami', 'addr2line', 'V0', 'V2', 0.15342565597667635, 0.9131615161895752]
['CV', 49, 'UV', 24, 'tsort', 'readelf', 'V2', 'V3', 0.11641221374045796, 0.23600268363952637]
['UV', 48, 'BV', 39, 'locate', 'svn', 'V1', 'V1', 0.1500295333727112, 0.5668261051177979]
['UV', 11, 'CV', 125, 'ranlib', 'split', 'V2', 'V3', 0.13288014890345556, 1.1088614463806152]
['UV', 12, 'CV', 127, 'c++filt', 'ls', 'V2', 'V3', 0.10889911167512689, 1.2930963039398193]
['UV', 61, 'CV', 188, 'addr2line', 'dirname', 'V1', 'V0', 0.15057845263919023, 0.8605465888977051]
['CV', 310, 'BV', 49, 'tsort', 'make', 'V1', 'V3', 0.1428296067848882, 0.21039581298828125]
['BV', 67, 'CV', 24, 'cluster', 'factor', 'V0', 'V2', 0.13628734474655924, 0.09546542167663574]
['CV', 19, 'UV', 29, 'pr', 'objcopy', 'V2', 'V3', 0.1341103570374742, 1.2595679759979248]
['UV', 26, 'CV', 123, 'ranlib', 'chroot', 'V3', 'V3', 0.14212343184305798, 1.0918848514556885]
['UV', 55, 'CV', 274, 'ranlib', 'join', 'V1', 'V1', 0.14170006680026725, 1.0458285808563232]
['CV', 122, 'UV', 52, 'sum', 'strip', 'V3', 'V1', 0.12973750942361728, 1.3180418014526367]
['UV', 66, 'CV', 172, 'diff3', 'mknod', 'V0', 'V3', 0.060496067755595906, 0.03729104995727539]
['BV', 58, 'UV', 1, 'ruby', 'xargs', 'V3', 'V2', 0.22896854425749813, 0.02404022216796875]
['BV', 66, 'UV', 55, 'lua', 'ranlib', 'V1', 'V1', 0.05528361646991076, 2.224120616912842]
['BV', 56, 'CV', 316, 'ssh', 'nohup', 'V3', 'V1', 0.1483483879475176, 1.3053438663482666]
['CV', 196, 'BV', 9, 'kill', 'dot', 'V0', 'V2', 0.14351145038167945, 0.011365413665771484]
['CV', 54, 'BV', 44, 'false', 'make', 'V2', 'V0', 0.13749999999999996, 0.1540079116821289]
['UV', 24, 'CV', 25, 'readelf', 'expand', 'V3', 'V2', 0.11882296497681111, 0.2344527244567871]
['CV', 128, 'UV', 69, 'nice', 'sdiff', 'V3', 'V0', 0.08123076923076922, 0.037725210189819336]
['UV', 23, 'CV', 115, 'strip', 'chown', 'V3', 'V3', 0.12648136177547942, 1.2999043464660645]
['CV', 262, 'UV', 63, 'stat', 'elfedit', 'V1', 'V1', 0.061864406779660985, 0.02613353729248047]
['CV', 95, 'BV', 48, 'du', 'gvmap', 'V3', 'V3', 0.059563758389261756, 0.23021245002746582]
['UV', 15, 'CV', 25, 'ld', 'expand', 'V2', 'V2', 0.1361660442049838, 1.5508723258972168]
['UV', 2, 'BV', 39, 'find', 'svn', 'V2', 'V1', 0.09407124073631368, 0.8243894577026367]
['CV', 319, 'UV', 13, 'readlink', 'strings', 'V1', 'V2', 0.15077343039126478, 0.9025208950042725]
['CV', 269, 'UV', 75, 'du', 'readelf', 'V1', 'V0', 0.05994411988823978, 0.1326007843017578]
['UV', 72, 'CV', 210, 'find', 'chroot', 'V0', 'V0', 0.16699801192842945, 0.10802268981933594]
['CV', 27, 'BV', 5, 'expr', 'libvlccore.so', 'V2', 'V0', 0.15795817829254233, 3.0297579765319824]
['UV', 82, 'CV', 239, 'gprof', 'env', 'V0', 'V0', 0.14654870357393135, 0.8580081462860107]
['CV', 221, 'UV', 34, 'od', 'elfedit', 'V0', 'V3', 0.05632772494513538, 0.031128883361816406]
['CV', 287, 'UV', 10, 'date', 'as', 'V1', 'V2', 0.12932322187751355, 1.7640454769134521]
['BV', 30, 'CV', 178, 'bash', 'basename', 'V0', 'V0', 0.13283597035850192, 1.974674940109253]
['BV', 44, 'CV', 46, 'make', 'cut', 'V0', 'V2', 0.11956062526404732, 0.17914319038391113]
['CV', 88, 'UV', 35, 'stat', 'size', 'V3', 'V3', 0.12859819451541477, 1.1421771049499512]
['CV', 26, 'UV', 65, 'date', 'objdump', 'V2', 'V1', 0.13227212431305668, 1.5897762775421143]
['UV', 67, 'CV', 27, 'cmp', 'expr', 'V0', 'V2', 0.04609595484477891, 0.049300432205200195]
['UV', 50, 'BV', 69, 'find', 'gvmap', 'V1', 'V0', 0.05023962981325403, 0.35961437225341797]
['CV', 164, 'UV', 9, 'nl', 'readelf', 'V3', 'V2', 0.08762526217664879, 0.1207284927368164]
['UV', 32, 'CV', 42, 'addr2line', 'dircolors', 'V3', 'V2', 0.14946295284908062, 0.9116885662078857]
['UV', 44, 'CV', 58, 'diff3', 'readlink', 'V1', 'V2', 0.06703229737964655, 0.03667736053466797]
['CV', 21, 'UV', 40, 'chgrp', 'diff3', 'V2', 'V3', 0.030882352941176472, 0.05296683311462402]
['BV', 2, 'CV', 192, 'cmp', 'pwd', 'V1', 'V0', 0.08499999999999996, 0.0256345272064209]
['BV', 57, 'CV', 188, 'svn', 'dirname', 'V2', 'V0', 0.22992424242424248, 0.34262728691101074]
['BV', 5, 'UV', 48, 'libvlccore.so', 'locate', 'V0', 'V1', 0.14862723043100368, 3.3023123741149902]
['CV', 72, 'UV', 73, 'id', 'nm', 'V2', 'V0', 0.14591332967635762, 0.8717963695526123]
['CV', 296, 'UV', 29, 'sum', 'objcopy', 'V1', 'V3', 0.14106939704209331, 1.20084547996521]
['CV', 274, 'BV', 53, 'join', 'ssh', 'V1', 'V2', 0.1186778838160476, 3.853104591369629]
['CV', 55, 'BV', 27, 'nohup', 'libSDL2-2.0.so', 'V2', 'V1', 0.19353591160220995, 3.70664119720459]
['CV', 322, 'BV', 55, 'ginstall', 'codeblocks', 'V1', 'V3', 0.18252322813483834, 12.55480146408081]
['BV', 23, 'CV', 102, 'diff', 'uptime', 'V3', 'V3', 0.09649404953361207, 0.10991859436035156]
['CV', 326, 'BV', 12, 'env', 'sort', 'V1', 'V2', 0.13805399898115134, 0.04856610298156738]
['BV', 33, 'CV', 170, 'openssl', 'tac', 'V0', 'V3', 0.10144012718006268, 5.976345539093018]
['UV', 44, 'CV', 83, 'diff3', 'tac', 'V1', 'V2', 0.03304721030042923, 0.05978584289550781]
['CV', 56, 'BV', 3, 'yes', 'diff', 'V2', 'V1', 0.1317567567567568, 0.0623323917388916]
['UV', 48, 'CV', 302, 'locate', 'nice', 'V1', 'V1', 0.13632326820603913, 0.05898571014404297]
['BV', 50, 'CV', 140, 'sort', 'tty', 'V0', 'V3', 0.07538358905937292, 0.032630205154418945]
['UV', 55, 'BV', 53, 'ranlib', 'ssh', 'V1', 'V2', 0.04764355562091027, 9.07050895690918]
['UV', 46, 'BV', 13, 'diff', 'cp', 'V1', 'V2', 0.03909843606255747, 0.1829066276550293]
['UV', 16, 'CV', 140, 'gprof', 'tty', 'V2', 'V3', 0.14303513580862193, 1.0016939640045166]
['UV', 12, 'BV', 20, 'c++filt', 'sort', 'V2', 'V1', 0.1311928189193855, 1.0149242877960205]
['CV', 286, 'BV', 54, 'expand', 'lua', 'V1', 'V3', 0.1376762009032435, 0.3667902946472168]
['CV', 52, 'BV', 45, 'logname', 'svn', 'V2', 'V3', 0.2263801935116676, 0.5826971530914307]
