['CO', 11, 'UO', 35, 'groups', 'gprof', 'O3', 'O2', 0.14175732217573223, 1.0286328792572021]
['UO', 19, 'CO', 396, 'cmp', 'vdir', 'O1', 'O0', 0.15227145260796404, 0.19689464569091797]
['BO', 39, 'CO', 410, 'codeblocks', 'sleep', 'O3', 'O0', 0.1841038534557956, 10.945719480514526]
['UO', 74, 'CO', 83, 'ld', 'csplit', 'O0', 'O3', 0.14600517050350859, 4.173677921295166]
['CO', 137, 'BO', 31, 'chown', 'bash', 'O1', 'O2', 0.11640126749829527, 3.281986713409424]
['UO', 68, 'CO', 278, 'readelf', 'b2sum', 'O0', 'O2', 0.12109971634300676, 0.5813703536987305]
['BO', 28, 'CO', 174, 'ruby', 'b2sum', 'O0', 'O1', 0.10361095989838509, 13.762657642364502]
['CO', 409, 'BO', 24, 'uniq', 'cluster', 'O0', 'O3', 0.09457579972183594, 0.15974831581115723]
['BO', 16, 'CO', 33, 'make', 'chown', 'O0', 'O3', 0.10315591144606684, 0.3173813819885254]
['CO', 42, 'BO', 6, 'sum', 'codeblocks', 'O3', 'O0', 0.2056594333154198, 29.74539566040039]
['UO', 66, 'CO', 42, 'nm', 'sum', 'O0', 'O3', 0.15037463976945242, 2.29915452003479]
['CO', 163, 'BO', 26, 'tsort', 'gvmap', 'O1', 'O3', 0.11604868383809797, 0.1309490203857422]
['CO', 238, 'BO', 46, 'expand', 'ruby', 'O2', 'O3', 0.10469165215797671, 13.372790575027466]
['UO', 28, 'CO', 85, 'readelf', '[', 'O2', 'O3', 0.10703879773040947, 0.2622053623199463]
['BO', 7, 'CO', 373, 'sort', 'cksum', 'O0', 'O0', 0.13912259615384615, 0.1784071922302246]
['CO', 273, 'UO', 35, 'false', 'gprof', 'O2', 'O2', 0.14655393287214968, 1.0004973411560059]
['CO', 232, 'UO', 74, 'tee', 'ld', 'O2', 'O0', 0.15035271528154603, 4.192636251449585]
['CO', 45, 'BO', 40, 'split', 'lua', 'O3', 'O0', 0.12956257950875816, 0.8124427795410156]
['UO', 46, 'CO', 10, 'readelf', 'users', 'O3', 'O3', 0.10377069282648677, 0.23584246635437012]
['CO', 98, 'BO', 12, 'sleep', 'libgeany.so.0.0.0', 'O3', 'O0', 0.192767332321227, 29.31431555747986]
['CO', 243, 'BO', 64, 'base32', 'dot', 'O2', 'O0', 0.18125000000000002, 0.017330408096313477]
['UO', 35, 'BO', 27, 'gprof', 'perl', 'O2', 'O3', 0.02779393993644541, 6.6034369468688965]
['UO', 85, 'CO', 249, 'locate', 'echo', 'O0', 'O2', 0.17183017785427424, 0.18106889724731445]
['UO', 0, 'CO', 204, 'locate', 'tac', 'O1', 'O1', 0.12203947368421053, 0.13982009887695312]
['BO', 30, 'CO', 403, 'libvlccore.so.9.0.0', 'comm', 'O2', 'O0', 0.1574850061564126, 4.963953733444214]
['CO', 67, 'UO', 30, 'nohup', 'ranlib', 'O3', 'O2', 0.1436206311503223, 1.0665984153747559]
['BO', 14, 'CO', 388, 'cmp', 'md5sum', 'O0', 'O0', 0.027011817670230753, 0.06314373016357422]
['CO', 375, 'BO', 39, 'logname', 'codeblocks', 'O0', 'O3', 0.18463435308622944, 11.301502227783203]
