['UV', 74, 'CV', 41, 'strip', 'nice', 'V0', 'V2', 0.1362844702467344, 1.0360910892486572]
['CV', 51, 'UV', 66, 'printf', 'diff3', 'V2', 'V0', 0.04712041884816753, 0.04349160194396973]
['BV', 66, 'CV', 254, 'lua', 'uniq', 'V1', 'V0', 0.13308913308913306, 0.28774333000183105]
['BV', 39, 'CV', 186, 'svn', 'stty', 'V1', 'V0', 0.21442922374429219, 0.35449695587158203]
['BV', 13, 'UV', 18, 'cp', 'ar', 'V2', 'V2', 0.11867149572320257, 1.2514674663543701]
['UV', 27, 'CV', 166, 'c++filt', 'fold', 'V3', 'V3', 0.14526565205504416, 0.8551621437072754]
['CV', 29, 'UV', 71, 'tail', 'xargs', 'V2', 'V0', 0.0575139146567718, 0.037015438079833984]
['CV', 318, 'BV', 59, 'who', 'make', 'V1', 'V1', 0.12969283276450505, 0.19310474395751953]
['CV', 60, 'UV', 4, 'hostid', 'cmp', 'V2', 'V2', 0.09083536090835365, 0.02336907386779785]
['BV', 44, 'CV', 333, 'make', 'id', 'V0', 'V1', 0.13448735019973368, 0.14936017990112305]
['UV', 40, 'CV', 248, 'diff3', 'pathchk', 'V3', 'V0', 0.11314125087842586, 0.02713155746459961]
['BV', 31, 'CV', 87, 'codeblocks', 'touch', 'V0', 'V3', 0.18249544577068433, 9.412517786026001]
['UV', 86, 'CV', 239, 'size', 'env', 'V0', 'V0', 0.12956457805734822, 0.7443723678588867]
['UV', 33, 'BV', 42, 'ar', 'libvlc.so', 'V3', 'V1', 0.07614280068502177, 1.8844001293182373]
['CV', 191, 'BV', 21, 'mkfifo', 'cp', 'V0', 'V1', 0.12217795484727756, 0.06646871566772461]
['UV', 49, 'CV', 317, 'xargs', 'yes', 'V1', 'V1', 0.08939526730937775, 0.03917264938354492]
['UV', 9, 'BV', 1, 'readelf', 'libSDL2-2.0.so', 'V2', 'V3', 0.1562412566449498, 6.36101508140564]
['UV', 61, 'BV', 14, 'addr2line', 'openssl', 'V1', 'V3', 0.1370670848104718, 11.209199666976929]
['BV', 57, 'CV', 68, 'svn', 'cat', 'V2', 'V2', 0.19775280898876402, 0.38669323921203613]
['BV', 52, 'CV', 60, 'libSDL2-2.0.so', 'hostid', 'V2', 'V2', 0.19482956322318357, 3.7695417404174805]
['BV', 26, 'CV', 229, 'geany', 'nohup', 'V2', 'V0', 0.1838204867772637, 19.776522636413574]
['UV', 71, 'BV', 28, 'xargs', 'openssl', 'V0', 'V1', 0.10247467567087254, 6.346654653549194]
['BV', 59, 'CV', 307, 'make', 'cut', 'V1', 'V1', 0.13660423452768733, 0.18183255195617676]
['CV', 111, 'UV', 16, 'factor', 'gprof', 'V3', 'V2', 0.1331036140716404, 1.0383505821228027]
['CV', 43, 'BV', 74, 'chmod', 'git', 'V2', 'V1', 0.0919049387300408, 4.603251218795776]
['BV', 14, 'CV', 310, 'openssl', 'tsort', 'V3', 'V1', 0.29195510803440317, 5.218500137329102]
['BV', 81, 'UV', 12, 'dot', 'c++filt', 'V1', 'V2', 0.15820951312961407, 0.8232955932617188]
['BV', 73, 'CV', 340, 'geany', 'fold', 'V0', 'V1', 0.18638105975197294, 14.085389375686646]
['BV', 57, 'UV', 65, 'svn', 'objdump', 'V2', 'V1', 0.07535102183580666, 3.059067487716675]
['CV', 329, 'BV', 43, 'cat', 'lua', 'V1', 'V0', 0.14449116904962156, 0.2615184783935547]
['CV', 239, 'BV', 83, 'env', 'git', 'V0', 'V2', 0.09471457101615488, 6.191765546798706]
