['CV', 112, 'BV', 9, 'expand', 'dot', 'V3', 'V2', 0.1522678185745141, 0.016080617904663086]
['UV', 7, 'CV', 120, 'nm', 'sync', 'V2', 'V3', 0.14572952181134713, 0.9694898128509521]
['BV', 36, 'CV', 300, 'libvlc.so', 'whoami', 'V2', 'V1', 0.20198216055500495, 0.30550265312194824]
['CV', 66, 'BV', 3, 'link', 'diff', 'V2', 'V1', 0.1306532663316583, 0.0625603199005127]
['BV', 61, 'CV', 276, 'cmp', 'uptime', 'V0', 'V1', 0.08085612366230677, 0.016793489456176758]
['CV', 41, 'UV', 71, 'nice', 'xargs', 'V2', 'V0', 0.05417406749555953, 0.02297210693359375]
['BV', 39, 'CV', 175, 'svn', 'stat', 'V1', 'V0', 0.2177908472707223, 0.3810253143310547]
['CV', 139, 'UV', 1, 'logname', 'xargs', 'V3', 'V2', 0.0955723542116631, 0.045549869537353516]
['UV', 75, 'CV', 114, 'readelf', 'expr', 'V0', 'V3', 0.08140161725067385, 0.1010124683380127]
['CV', 110, 'UV', 41, 'wc', 'cmp', 'V3', 'V3', 0.03676470588235292, 0.0428929328918457]
['BV', 19, 'CV', 59, 'cp', 'head', 'V3', 'V2', 0.11810154525386318, 0.08111786842346191]
['UV', 34, 'CV', 222, 'elfedit', 'df', 'V3', 'V0', 0.042465753424657526, 0.036565542221069336]
['UV', 44, 'CV', 31, 'diff3', 'sha1sum', 'V1', 'V2', 0.07129217059197968, 0.03678297996520996]
['UV', 1, 'CV', 7, 'xargs', 'dir', 'V2', 'V2', 0.055747922437673125, 0.11115908622741699]
['CV', 220, 'UV', 24, 'cut', 'readelf', 'V0', 'V3', 0.11809125964010281, 0.23607134819030762]
['BV', 43, 'CV', 55, 'lua', 'nohup', 'V0', 'V2', 0.13704250779583127, 0.27813172340393066]
['UV', 56, 'BV', 17, 'c++filt', 'codeblocks', 'V1', 'V2', 0.11668694667058277, 18.311793565750122]
['BV', 8, 'UV', 20, 'cluster', 'size', 'V2', 'V2', 0.09718383506386796, 1.5033206939697266]
