['CO', 364, 'UO', 72, 'sha256sum', 'strings', 'O0', 'O0', 0.1453654552878726, 2.3736798763275146]
['UO', 6, 'CO', 45, 'as', 'split', 'O1', 'O3', 0.1267894765274702, 2.016577959060669]
['UO', 86, 'CO', 23, 'xargs', 'pr', 'O0', 'O3', 0.08967001434720234, 0.12222456932067871]
['UO', 82, 'CO', 389, 'cmp', 'env', 'O0', 'O0', 0.040143798681845366, 0.05709958076477051]
['CO', 313, 'BO', 8, 'touch', 'cp', 'O0', 'O0', 0.09751131221719456, 0.285977840423584]
['CO', 106, 'UO', 80, 'stat', 'objdump', 'O1', 'O0', 0.13365302807641732, 4.6301374435424805]
['CO', 260, 'UO', 55, 'sha256sum', 'ar', 'O2', 'O3', 0.13529053053401863, 0.9257490634918213]
['UO', 65, 'BO', 17, 'sdiff', 'codeblocks', 'O3', 'O2', 0.18493803622497618, 11.357775688171387]
['BO', 73, 'UO', 28, 'cluster', 'readelf', 'O1', 'O2', 0.044961057351899925, 0.5057153701782227]
['CO', 221, 'UO', 4, 'printenv', 'strip', 'O2', 'O1', 0.14714781196959636, 1.3066632747650146]
['CO', 97, 'BO', 82, 'uniq', 'cp', 'O3', 'O3', 0.09343263371699395, 0.09435343742370605]
['BO', 35, 'CO', 277, 'make', 'who', 'O3', 'O2', 0.12278133577310157, 0.2434828281402588]
['UO', 52, 'BO', 73, 'ld', 'cluster', 'O3', 'O1', 0.10088561673068719, 2.2863576412200928]
['UO', 34, 'BO', 63, 'ld', 'cluster', 'O2', 'O0', 0.09284227223158525, 2.887277126312256]
['CO', 238, 'BO', 41, 'expand', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.20940445058469437, 5.448308944702148]
['UO', 74, 'CO', 304, 'ld', 'fold', 'O0', 'O2', 0.1511360307962677, 4.033407926559448]
['BO', 20, 'CO', 298, 'sort', 'tr', 'O1', 'O2', 0.131803035912625, 0.11178302764892578]
['BO', 81, 'CO', 331, 'sort', 'dd', 'O3', 'O0', 0.04171364148816237, 0.16219377517700195]
['UO', 12, 'CO', 36, 'gprof', 'pinky', 'O1', 'O3', 0.14277706598334405, 1.1806049346923828]
['BO', 78, 'CO', 118, 'ssh', 'stty', 'O0', 'O1', 0.1361678685897436, 2.2243471145629883]
['CO', 415, 'UO', 20, 'ln', 'diff', 'O0', 'O1', 0.04491481672689723, 0.22763895988464355]
['CO', 242, 'UO', 32, 'tail', 'strings', 'O2', 'O2', 0.13246821111304652, 1.0493369102478027]
['UO', 58, 'CO', 244, 'objdump', 'pinky', 'O3', 'O2', 0.12494204914232732, 1.6143279075622559]
['CO', 244, 'BO', 32, 'pinky', 'ruby', 'O2', 'O2', 0.12532770419801842, 15.640209674835205]
['CO', 226, 'UO', 16, 'uptime', 'size', 'O2', 'O1', 0.14646508031956018, 1.161088466644287]
['BO', 73, 'CO', 83, 'cluster', 'csplit', 'O1', 'O3', 0.10809371671991475, 0.14610028266906738]
['UO', 86, 'CO', 257, 'xargs', 'nice', 'O0', 'O2', 0.15594175669328325, 0.0885629653930664]
['UO', 37, 'CO', 267, 'ar', 'tsort', 'O2', 'O2', 0.14498332050295093, 1.0153436660766602]
['CO', 219, 'BO', 2, 'groups', 'perl', 'O2', 'O1', 0.07696584590945199, 2.533815860748291]
['CO', 25, 'BO', 36, 'chgrp', 'cluster', 'O3', 'O2', 0.09595047717307192, 0.16027092933654785]
