['BV', 9, 'CV', 227, 'dot', 'tty', 'V2', 'V0', 0.12173913043478257, 0.009625673294067383]
['CV', 193, 'BV', 42, 'pr', 'libvlc.so', 'V0', 'V1', 0.16125051419169067, 0.2735483646392822]
['UV', 15, 'CV', 45, 'ld', 'cp', 'V2', 'V2', 0.11537144813420064, 1.9499998092651367]
['BV', 70, 'CV', 61, 'ssh', 'ginstall', 'V0', 'V2', 0.1060999135235815, 3.943350315093994]
['UV', 18, 'CV', 158, 'ar', '[', 'V2', 'V3', 0.14097245270494518, 1.0335431098937988]
['CV', 276, 'BV', 74, 'uptime', 'git', 'V1', 'V1', 0.09430688426186462, 4.659605264663696]
['UV', 72, 'CV', 244, 'find', 'vdir', 'V0', 'V0', 0.07571933366986372, 0.20342588424682617]
['UV', 78, 'CV', 312, 'c++filt', 'printf', 'V0', 'V1', 0.1457129322595926, 0.8211274147033691]
['BV', 52, 'UV', 16, 'libSDL2-2.0.so', 'gprof', 'V2', 'V2', 0.06966724115073575, 9.328977346420288]
['UV', 25, 'CV', 155, 'as', 'cat', 'V3', 'V3', 0.12979114069313746, 1.6846141815185547]
['CV', 71, 'BV', 63, '[', 'ruby', 'V2', 'V0', 0.11606196901549226, 9.624473810195923]
['UV', 46, 'BV', 56, 'diff', 'ssh', 'V1', 'V3', 0.11197646244375214, 1.892669677734375]
['CV', 289, 'UV', 25, 'chown', 'as', 'V1', 'V3', 0.12676457194899815, 1.7985384464263916]
['UV', 31, 'BV', 16, 'gprof', 'libvlc.so', 'V3', 'V3', 0.06363921077356716, 2.2671985626220703]
['UV', 68, 'CV', 22, 'diff', 'kill', 'V0', 'V2', 0.11908646003262646, 0.06825900077819824]
['CV', 290, 'UV', 25, 'tail', 'as', 'V1', 'V3', 0.12849800114220444, 1.763214111328125]
['BV', 58, 'CV', 36, 'ruby', 'chroot', 'V3', 'V2', 0.22861150070126224, 0.009369850158691406]
