['CV', 123, 'BV', 41, 'chroot', 'libvlccore.so', 'V3', 'V1', 0.16059479553903344, 2.605952501296997]
['CV', 255, 'BV', 46, 'sleep', 'cluster', 'V0', 'V3', 0.15239616613418527, 0.09800529479980469]
['CV', 253, 'UV', 19, 'fold', 'elfedit', 'V0', 'V2', 0.08018433179723505, 0.020466089248657227]
['CV', 310, 'UV', 23, 'tsort', 'strip', 'V1', 'V3', 0.14378238341968919, 1.0841598510742188]
['CV', 291, 'UV', 41, 'pinky', 'cmp', 'V1', 'V3', 0.06661619984859957, 0.030469179153442383]
['CV', 117, 'UV', 32, 'pinky', 'addr2line', 'V3', 'V3', 0.1416118128446895, 0.9221339225769043]
['CV', 150, 'BV', 41, 'mv', 'libvlccore.so', 'V3', 'V1', 0.13651073845248596, 3.309546947479248]
['CV', 270, 'UV', 7, 'users', 'nm', 'V1', 'V2', 0.15039530958514702, 0.9022324085235596]
['CV', 332, 'BV', 43, '[', 'lua', 'V1', 'V0', 0.14046434494195692, 0.26336026191711426]
['UV', 23, 'CV', 158, 'strip', '[', 'V3', 'V3', 0.13638050011130076, 1.1222281455993652]
['CV', 103, 'UV', 78, 'dd', 'c++filt', 'V3', 'V0', 0.1258464514994284, 0.9181008338928223]
['BV', 83, 'UV', 77, 'git', 'ranlib', 'V2', 'V0', 0.05246347376007343, 11.955968856811523]
['CV', 334, 'UV', 70, 'shred', 'locate', 'V1', 'V0', 0.06910907577019154, 0.0789179801940918]
['UV', 25, 'CV', 175, 'as', 'stat', 'V3', 'V0', 0.13200880444856344, 1.603571891784668]
['UV', 47, 'CV', 316, 'sdiff', 'nohup', 'V1', 'V1', 0.09898305084745762, 0.03302931785583496]
['CV', 299, 'UV', 82, 'split', 'gprof', 'V1', 'V0', 0.14104554865424435, 0.865588903427124]
['BV', 16, 'CV', 283, 'libvlc.so', 'kill', 'V3', 'V1', 0.19675971110677337, 0.30840349197387695]
['BV', 56, 'CV', 120, 'ssh', 'sync', 'V3', 'V3', 0.14558737199139005, 1.2465400695800781]
['BV', 12, 'UV', 23, 'sort', 'strip', 'V2', 'V3', 0.11898096304591266, 1.3855202198028564]
['UV', 20, 'CV', 187, 'size', 'join', 'V2', 'V0', 0.1451799200355397, 0.8844597339630127]
['BV', 75, 'CV', 320, 'cmp', 'head', 'V2', 'V1', 0.06666666666666665, 0.026695966720581055]
['CV', 15, 'BV', 12, 'uptime', 'sort', 'V2', 'V2', 0.1001335113484646, 0.06030869483947754]
['CV', 151, 'UV', 87, 'md5sum', 'objdump', 'V3', 'V0', 0.13169555584517134, 1.3438546657562256]
['BV', 50, 'CV', 202, 'sort', 'chown', 'V0', 'V0', 0.04061212477928189, 0.03984856605529785]
['BV', 42, 'CV', 164, 'libvlc.so', 'nl', 'V1', 'V3', 0.16573092118943644, 0.2489175796508789]
['UV', 10, 'BV', 2, 'as', 'cmp', 'V2', 'V1', 0.12777619183556954, 1.635028600692749]
['BV', 3, 'CV', 87, 'diff', 'touch', 'V1', 'V3', 0.0630541871921182, 0.09499216079711914]
['BV', 25, 'CV', 70, 'git', 'vdir', 'V3', 'V2', 0.08278737343656939, 9.791855812072754]
['BV', 53, 'CV', 129, 'ssh', 'dircolors', 'V2', 'V3', 0.11770747059797915, 3.6775524616241455]
['CV', 312, 'BV', 63, 'printf', 'ruby', 'V1', 'V0', 0.11651243840884506, 9.010850667953491]
['UV', 45, 'CV', 171, 'cmp', 'rmdir', 'V1', 'V3', 0.04810996563573888, 0.03186798095703125]
['CV', 270, 'BV', 81, 'users', 'dot', 'V1', 'V1', 0.1471025260029718, 0.011215925216674805]
['CV', 148, 'BV', 16, 'ginstall', 'libvlc.so', 'V3', 'V3', 0.1102835863649384, 0.5657153129577637]
['CV', 28, 'BV', 48, 'chown', 'gvmap', 'V2', 'V3', 0.10174639331814728, 0.14882993698120117]
['BV', 36, 'UV', 6, 'libvlc.so', 'sdiff', 'V2', 'V2', 0.1647617372955864, 0.37574315071105957]
['BV', 13, 'CV', 104, 'cp', 'mkfifo', 'V2', 'V3', 0.10792291220556749, 0.06155204772949219]
['CV', 238, 'BV', 10, 'md5sum', 'gvmap', 'V0', 'V2', 0.1367096018735363, 0.11286735534667969]
['CV', 247, 'UV', 84, 'shred', 'ar', 'V0', 'V0', 0.1369898622303094, 0.9451189041137695]
['UV', 53, 'BV', 14, 'readelf', 'openssl', 'V1', 'V3', 0.2426147658453146, 6.6566197872161865]
['CV', 250, 'BV', 25, 'comm', 'git', 'V0', 'V3', 0.08779130326632778, 8.732184648513794]
['UV', 58, 'CV', 3, 'objcopy', 'test', 'V1', 'V2', 0.13493607559755416, 1.1763849258422852]
['CV', 103, 'UV', 48, 'dd', 'locate', 'V3', 'V1', 0.053358443188951665, 0.1000661849975586]
['CV', 29, 'BV', 66, 'tail', 'lua', 'V2', 'V1', 0.1160039903092489, 0.3456308841705322]
['CV', 86, 'BV', 18, 'ln', 'sort', 'V2', 'V3', 0.09492200464653167, 0.09954547882080078]
['CV', 32, 'BV', 77, 'paste', 'perl', 'V2', 'V2', 0.09199518213483515, 2.1826813220977783]
['BV', 51, 'UV', 24, 'cp', 'readelf', 'V0', 'V3', 0.09343471267729198, 0.2941603660583496]
['CV', 59, 'BV', 27, 'head', 'libSDL2-2.0.so', 'V2', 'V1', 0.19236901423937547, 3.628753423690796]
['BV', 6, 'CV', 213, 'libvlc.so', 'whoami', 'V0', 'V0', 0.20384711466400196, 0.2080850601196289]
['CV', 17, 'BV', 9, 'mkfifo', 'dot', 'V2', 'V2', 0.12603878116343492, 0.011134862899780273]
['UV', 21, 'CV', 28, 'objdump', 'chown', 'V2', 'V2', 0.12936883881705286, 1.4850506782531738]
['CV', 49, 'BV', 35, 'tsort', 'libvlccore.so', 'V2', 'V2', 0.16580161476355249, 3.224172353744507]
['CV', 128, 'UV', 21, 'nice', 'objdump', 'V3', 'V2', 0.13794011187890753, 1.4271066188812256]
['UV', 43, 'CV', 106, 'sdiff', 'pr', 'V3', 'V3', 0.031061659712563694, 0.056722402572631836]
['BV', 18, 'CV', 173, 'sort', 'ln', 'V3', 'V3', 0.052794158944116765, 0.13734149932861328]
['CV', 48, 'UV', 21, 'df', 'objdump', 'V2', 'V2', 0.12774882420236433, 1.5232734680175781]
['BV', 58, 'CV', 132, 'ruby', 'cp', 'V3', 'V3', 0.21577726218097448, 0.046630859375]
['UV', 4, 'CV', 119, 'cmp', 'paste', 'V2', 'V3', 0.05820476858345025, 0.029156923294067383]
['CV', 77, 'BV', 38, 'nl', 'ruby', 'V2', 'V2', 0.1840796019900497, 0.017764806747436523]
['BV', 24, 'CV', 331, 'git', 'vdir', 'V0', 'V1', 0.08842849924204144, 3.9317402839660645]
['CV', 278, 'BV', 41, 'mkfifo', 'libvlccore.so', 'V1', 'V1', 0.16708242950108465, 2.510120391845703]
['BV', 55, 'CV', 210, 'codeblocks', 'chroot', 'V3', 'V0', 0.19028032486245738, 9.955159664154053]
['BV', 20, 'CV', 306, 'sort', 'cp', 'V1', 'V1', 0.0322291853178156, 0.06443977355957031]
['CV', 262, 'BV', 48, 'stat', 'gvmap', 'V1', 'V3', 0.13714619200466882, 0.11536693572998047]
['UV', 29, 'CV', 346, 'objcopy', 'mknod', 'V3', 'V1', 0.1438706232359448, 1.0634543895721436]
['CV', 334, 'BV', 12, 'shred', 'sort', 'V1', 'V2', 0.060568603213844274, 0.07523822784423828]
['CV', 64, 'UV', 84, 'md5sum', 'ar', 'V2', 'V0', 0.14311990890776916, 0.8898365497589111]
['BV', 12, 'UV', 68, 'sort', 'diff', 'V2', 'V0', 0.03218456280262039, 0.12740802764892578]
['UV', 3, 'CV', 292, 'diff3', 'sha1sum', 'V2', 'V1', 0.085868830290737, 0.03242373466491699]
['UV', 33, 'CV', 68, 'ar', 'cat', 'V3', 'V2', 0.1390003343363424, 0.9907519817352295]
['BV', 67, 'UV', 67, 'cluster', 'cmp', 'V0', 'V0', 0.1160966426106056, 0.10793137550354004]
['BV', 12, 'CV', 325, 'sort', 'md5sum', 'V2', 'V1', 0.11031175059952036, 0.05314159393310547]
['CV', 78, 'BV', 11, 'rm', 'bash', 'V2', 'V1', 0.12283435695297462, 2.30778431892395]
['BV', 9, 'CV', 114, 'dot', 'expr', 'V2', 'V3', 0.1534246575342466, 0.017819643020629883]
['CV', 144, 'UV', 1, 'who', 'xargs', 'V3', 'V2', 0.06311822892133767, 0.061371803283691406]
['UV', 65, 'CV', 321, 'objdump', 'hostid', 'V1', 'V1', 0.14024074553455868, 1.3007762432098389]
['UV', 67, 'CV', 7, 'cmp', 'dir', 'V0', 'V2', 0.10152284263959388, 0.07591581344604492]
['UV', 1, 'CV', 303, 'xargs', 'dircolors', 'V2', 'V1', 0.10859728506787336, 0.04163861274719238]
['CV', 98, 'BV', 29, 'printenv', 'perl', 'V3', 'V3', 0.10370554588410841, 2.347235918045044]
['CV', 234, 'BV', 31, 'hostid', 'codeblocks', 'V0', 'V0', 0.1892868057677881, 8.96868085861206]
['CV', 213, 'BV', 51, 'whoami', 'cp', 'V0', 'V0', 0.12185159972770587, 0.03035902976989746]
['UV', 39, 'CV', 121, 'find', 'echo', 'V3', 'V3', 0.15604515659140572, 0.2745223045349121]
['CV', 79, 'BV', 31, 'fold', 'codeblocks', 'V2', 'V0', 0.18750172742599713, 9.107075452804565]
['UV', 34, 'CV', 287, 'elfedit', 'date', 'V3', 'V1', 0.0505050505050505, 0.03240156173706055]
