['CV', 234, 'BV', 40, 'hostid', 'lua', 'V0', 'V2', 0.14150244480663798, 0.3134496212005615]
['UV', 25, 'BV', 80, 'as', 'cluster', 'V3', 'V1', 0.09941490453705604, 2.373295783996582]
['UV', 27, 'CV', 193, 'c++filt', 'pr', 'V3', 'V0', 0.1414515255461275, 0.938654899597168]
['CV', 99, 'BV', 77, 'stty', 'perl', 'V3', 'V2', 0.08872886259885548, 2.407069444656372]
['UV', 77, 'CV', 236, 'ranlib', 'unexpand', 'V0', 'V0', 0.14884341637010678, 0.8639554977416992]
['BV', 65, 'CV', 55, 'ssh', 'nohup', 'V1', 'V2', 0.11770021083631743, 3.601140260696411]
['CV', 83, 'BV', 21, 'tac', 'cp', 'V2', 'V1', 0.025568181818181768, 0.06894731521606445]
['BV', 37, 'CV', 240, 'geany', 'link', 'V1', 'V0', 0.1860442260442261, 19.760695457458496]
['CV', 306, 'BV', 5, 'cp', 'libvlccore.so', 'V1', 'V0', 0.15963887413701539, 3.0903801918029785]
['CV', 222, 'UV', 43, 'df', 'sdiff', 'V0', 'V3', 0.06199304750869061, 0.045556068420410156]
['CV', 329, 'UV', 11, 'cat', 'ranlib', 'V1', 'V2', 0.14905821917808215, 1.0031545162200928]
['UV', 40, 'CV', 105, 'diff3', 'pwd', 'V3', 'V3', 0.06117781589479698, 0.0413966178894043]
['BV', 29, 'UV', 74, 'perl', 'strip', 'V3', 'V0', 0.028565833598511725, 7.260352373123169]
['UV', 21, 'CV', 27, 'objdump', 'expr', 'V2', 'V2', 0.12616676063396604, 1.611870288848877]
['UV', 42, 'CV', 119, 'diff', 'paste', 'V3', 'V3', 0.12025965152032803, 0.08987593650817871]
['CV', 147, 'UV', 12, 'hostid', 'c++filt', 'V3', 'V2', 0.14743415693727946, 0.9246985912322998]
['UV', 71, 'BV', 23, 'xargs', 'diff', 'V0', 'V3', 0.12051549982584464, 0.0960078239440918]
['CV', 81, 'BV', 38, 'sleep', 'ruby', 'V2', 'V2', 0.21474358974358976, 0.007596015930175781]
['CV', 256, 'BV', 10, 'sort', 'gvmap', 'V0', 'V2', 0.10948905109489049, 0.1489419937133789]
['CV', 172, 'UV', 54, 'mknod', 'as', 'V3', 'V1', 0.12800553537450265, 1.6956465244293213]
['CV', 3, 'UV', 33, 'test', 'ar', 'V2', 'V3', 0.14712427250941462, 1.0002949237823486]
['CV', 126, 'BV', 16, 'whoami', 'libvlc.so', 'V3', 'V3', 0.18986140117714068, 0.34458255767822266]
['CV', 50, 'BV', 65, 'cksum', 'ssh', 'V2', 'V1', 0.11891256922302396, 3.643585205078125]
['BV', 29, 'CV', 307, 'perl', 'cut', 'V3', 'V1', 0.10416147520558183, 2.4566829204559326]
['CV', 159, 'BV', 29, 'id', 'perl', 'V3', 'V3', 0.10131226188796383, 2.556933641433716]
['CV', 98, 'UV', 41, 'printenv', 'cmp', 'V3', 'V3', 0.0700152207001522, 0.028935909271240234]
['BV', 18, 'CV', 274, 'sort', 'join', 'V3', 'V1', 0.11760435571687844, 0.08766698837280273]
['BV', 57, 'UV', 6, 'svn', 'sdiff', 'V2', 'V2', 0.1892165122156697, 0.43514347076416016]
['CV', 211, 'UV', 48, 'seq', 'locate', 'V0', 'V1', 0.13492063492063489, 0.06028461456298828]
['CV', 165, 'BV', 44, 'rm', 'make', 'V3', 'V0', 0.09077241120090207, 0.22426128387451172]
['CV', 311, 'UV', 26, 'cksum', 'ranlib', 'V1', 'V3', 0.15245230420768363, 0.9829545021057129]
['UV', 81, 'BV', 35, 'ld', 'libvlccore.so', 'V0', 'V2', 0.04164767547857795, 9.762359857559204]
['UV', 81, 'CV', 53, 'ld', 'tty', 'V0', 'V2', 0.13693000195707483, 1.392141342163086]
['UV', 42, 'CV', 148, 'diff', 'ginstall', 'V3', 'V3', 0.03070848870366305, 0.22912836074829102]
['CV', 75, 'BV', 41, 'tr', 'libvlccore.so', 'V2', 'V1', 0.16209289909236513, 2.7524662017822266]
['CV', 75, 'BV', 40, 'tr', 'lua', 'V2', 'V2', 0.1284442560406952, 0.3505079746246338]
['CV', 24, 'BV', 22, 'factor', 'cmp', 'V2', 'V3', 0.07247494217424832, 0.02758622169494629]
['UV', 66, 'CV', 101, 'diff3', 'dirname', 'V0', 'V3', 0.07239819004524883, 0.033322811126708984]
['BV', 70, 'CV', 342, 'ssh', 'sleep', 'V0', 'V1', 0.11824675775019067, 3.3504269123077393]
['CV', 333, 'UV', 27, 'id', 'c++filt', 'V1', 'V3', 0.15115738588825878, 0.9020733833312988]
['CV', 29, 'UV', 27, 'tail', 'c++filt', 'V2', 'V3', 0.13651243032823146, 1.011303424835205]
['BV', 22, 'CV', 92, 'cmp', 'mkdir', 'V3', 'V3', 0.04070473876063185, 0.04186534881591797]
['BV', 63, 'CV', 96, 'ruby', 'users', 'V0', 'V3', 0.11570792484475767, 9.6635901927948]
['CV', 291, 'BV', 39, 'pinky', 'svn', 'V1', 'V1', 0.2160043747721473, 0.3915433883666992]
['CV', 221, 'UV', 18, 'od', 'ar', 'V0', 'V2', 0.14463609591922588, 1.0383851528167725]
['CV', 222, 'BV', 56, 'df', 'ssh', 'V0', 'V3', 0.1432833884672764, 1.4267334938049316]
['CV', 239, 'UV', 1, 'env', 'xargs', 'V0', 'V2', 0.1340713407134071, 0.0375521183013916]
['UV', 13, 'CV', 29, 'strings', 'tail', 'V2', 'V2', 0.13573095876199537, 1.0188446044921875]
['BV', 79, 'CV', 36, 'bash', 'chroot', 'V3', 'V2', 0.12625224762394038, 2.5449583530426025]
['BV', 83, 'CV', 27, 'git', 'expr', 'V2', 'V2', 0.09041223326937609, 6.935621500015259]
['UV', 11, 'BV', 18, 'ranlib', 'sort', 'V2', 'V3', 0.11124384052560843, 1.3959646224975586]
['CV', 325, 'BV', 25, 'md5sum', 'git', 'V1', 'V3', 0.0875652660367976, 9.166346311569214]
['BV', 16, 'CV', 248, 'libvlc.so', 'pathchk', 'V3', 'V0', 0.20193446506119228, 0.3124878406524658]
['UV', 83, 'CV', 266, 'addr2line', 'mkdir', 'V0', 'V1', 0.14374709437470945, 0.8475399017333984]
