['BV', 41, 'CV', 190, 'libvlccore.so', 'dd', 'V1', 'V0', 0.15893160577740018, 2.582928419113159]
['UV', 1, 'CV', 9, 'xargs', 'users', 'V2', 'V2', 0.10327868852459021, 0.041828155517578125]
['UV', 56, 'CV', 141, 'c++filt', 'false', 'V1', 'V3', 0.1449392712550608, 0.8281729221343994]
['UV', 12, 'CV', 155, 'c++filt', 'cat', 'V2', 'V3', 0.14361225586812398, 0.8663196563720703]
['CV', 273, 'BV', 52, 'stty', 'libSDL2-2.0.so', 'V1', 'V2', 0.19218798630563338, 3.884955644607544]
['BV', 65, 'CV', 92, 'ssh', 'mkdir', 'V1', 'V3', 0.11454298672493135, 3.5889692306518555]
['CV', 189, 'BV', 40, 'uptime', 'lua', 'V0', 'V2', 0.13540607293331397, 0.31928586959838867]
['CV', 337, 'UV', 21, 'comm', 'objdump', 'V1', 'V2', 0.14040913921360254, 1.359889030456543]
['BV', 72, 'UV', 86, 'perl', 'size', 'V1', 'V0', 0.03205143699693025, 5.478849411010742]
['BV', 54, 'UV', 53, 'lua', 'readelf', 'V3', 'V1', 0.0701860841423948, 0.6149575710296631]
['UV', 73, 'CV', 45, 'nm', 'cp', 'V0', 'V2', 0.11605960264900661, 1.0889935493469238]
['UV', 68, 'CV', 63, 'diff', 'mv', 'V0', 'V2', 0.034337179848015764, 0.1485302448272705]
['BV', 34, 'UV', 64, 'svn', 'size', 'V0', 'V1', 0.06946076511293908, 2.0491528511047363]
['CV', 319, 'BV', 20, 'readlink', 'sort', 'V1', 'V1', 0.1124837451235371, 0.03363466262817383]
['UV', 29, 'CV', 137, 'objcopy', 'cksum', 'V3', 'V3', 0.13978978978978973, 1.077131986618042]
['CV', 330, 'UV', 67, 'csplit', 'cmp', 'V1', 'V0', 0.05665591893136801, 0.05058097839355469]
['BV', 71, 'UV', 34, 'ruby', 'elfedit', 'V1', 'V3', 0.22607655502392343, 0.012005805969238281]
['UV', 35, 'CV', 57, 'size', 'who', 'V3', 'V2', 0.1432393863717445, 0.9000649452209473]
['UV', 49, 'CV', 114, 'xargs', 'expr', 'V1', 'V3', 0.025392986698911768, 0.03317689895629883]
['CV', 233, 'UV', 3, 'head', 'diff3', 'V0', 'V2', 0.08240680183126226, 0.030693769454956055]
['BV', 72, 'CV', 336, 'perl', 'tr', 'V1', 'V1', 0.09199227850629033, 2.062718629837036]
['CV', 332, 'BV', 64, '[', 'openssl', 'V1', 'V2', 0.2878995433789955, 4.416036367416382]
['CV', 120, 'BV', 62, 'sync', 'diff', 'V3', 'V0', 0.09774436090225569, 0.04568076133728027]
['BV', 16, 'UV', 54, 'libvlc.so', 'as', 'V3', 'V1', 0.07252283907238233, 3.1630008220672607]
['BV', 74, 'CV', 106, 'git', 'pr', 'V1', 'V3', 0.09030664080539397, 4.6345930099487305]
['UV', 35, 'CV', 246, 'size', 'id', 'V3', 'V0', 0.15146520146520148, 0.860304594039917]
['BV', 16, 'CV', 132, 'libvlc.so', 'cp', 'V3', 'V3', 0.1194959229058562, 0.5191936492919922]
['BV', 65, 'CV', 231, 'ssh', 'who', 'V1', 'V0', 0.11724738092847342, 3.463050603866577]
['UV', 65, 'CV', 336, 'objdump', 'tr', 'V1', 'V1', 0.13591364884716106, 1.4024741649627686]
['CV', 16, 'BV', 69, 'dd', 'gvmap', 'V2', 'V0', 0.10062006764374298, 0.12486815452575684]
['CV', 49, 'UV', 82, 'tsort', 'gprof', 'V2', 'V0', 0.14162794699707448, 0.8547401428222656]
['CV', 167, 'UV', 79, 'uniq', 'strings', 'V3', 'V0', 0.1360914534567229, 0.8484320640563965]
['BV', 42, 'CV', 21, 'libvlc.so', 'chgrp', 'V1', 'V2', 0.14912453275624626, 0.278308629989624]
['BV', 7, 'CV', 181, 'libSDL2-2.0.so', 'dir', 'V0', 'V0', 0.19705437569859952, 3.3457064628601074]
['CV', 302, 'BV', 54, 'nice', 'lua', 'V1', 'V3', 0.1386029916289282, 0.3492569923400879]
['CV', 135, 'BV', 70, 'df', 'ssh', 'V3', 'V0', 0.10900569132909277, 3.733616352081299]
['UV', 22, 'CV', 29, 'nm', 'tail', 'V3', 'V2', 0.13687102867937484, 0.9795794486999512]
['UV', 31, 'CV', 234, 'gprof', 'hostid', 'V3', 'V0', 0.15018913342503437, 0.878777265548706]
['UV', 45, 'CV', 280, 'cmp', 'pr', 'V1', 'V1', 0.027450980392156876, 0.0355374813079834]
['CV', 113, 'BV', 44, 'date', 'make', 'V3', 'V0', 0.09614643545279389, 0.2019643783569336]
['BV', 36, 'CV', 39, 'libvlc.so', 'whoami', 'V2', 'V2', 0.19554263565891472, 0.2985568046569824]
['CV', 303, 'UV', 71, 'dircolors', 'xargs', 'V1', 'V0', 0.05791855203619911, 0.023005008697509766]
['BV', 45, 'CV', 168, 'svn', 'sleep', 'V3', 'V3', 0.21952241307080023, 0.5801115036010742]
['UV', 42, 'CV', 112, 'diff', 'expand', 'V3', 'V3', 0.11587837837837833, 0.0889444351196289]
['UV', 79, 'BV', 14, 'strings', 'openssl', 'V0', 'V3', 0.14314025450246848, 11.103151559829712]
['UV', 42, 'CV', 23, 'diff', 'wc', 'V3', 'V2', 0.11209239130434778, 0.0924072265625]
['BV', 22, 'CV', 161, 'cmp', 'pathchk', 'V3', 'V3', 0.05886475122634893, 0.0284426212310791]
['CV', 152, 'BV', 26, 'env', 'geany', 'V3', 'V2', 0.1826373667547163, 20.688655853271484]
['CV', 142, 'UV', 3, 'nohup', 'diff3', 'V3', 'V2', 0.0582986317668055, 0.0370943546295166]
['UV', 34, 'CV', 68, 'elfedit', 'cat', 'V3', 'V2', 0.04228855721393032, 0.0350801944732666]
['CV', 207, 'UV', 8, 'sync', 'strip', 'V0', 'V2', 0.14490782713810813, 1.0617222785949707]
['BV', 69, 'CV', 128, 'gvmap', 'nice', 'V0', 'V3', 0.12798742138364783, 0.09787178039550781]
['UV', 53, 'CV', 193, 'readelf', 'pr', 'V1', 'V0', 0.08306878306878307, 0.09994745254516602]
['UV', 84, 'CV', 311, 'ar', 'cksum', 'V0', 'V1', 0.1497011330181104, 0.8302168846130371]
['CV', 330, 'BV', 38, 'csplit', 'ruby', 'V1', 'V2', 0.19378306878306883, 0.02107405662536621]
['CV', 97, 'UV', 20, 'ptx', 'size', 'V3', 'V2', 0.13164578394852688, 0.9960150718688965]
['CV', 138, 'BV', 69, 'printf', 'gvmap', 'V3', 'V0', 0.11344786729857814, 0.10920572280883789]
['BV', 71, 'CV', 40, 'ruby', 'ls', 'V1', 'V2', 0.23812316715542525, 0.03713822364807129]
['CV', 0, 'UV', 33, 'touch', 'ar', 'V2', 'V3', 0.14216847090663065, 0.9897768497467041]
['BV', 6, 'CV', 164, 'libvlc.so', 'nl', 'V0', 'V3', 0.17647058823529416, 0.2487494945526123]
['CV', 202, 'UV', 6, 'chown', 'sdiff', 'V0', 'V2', 0.0625, 0.04455280303955078]
['BV', 35, 'CV', 113, 'libvlccore.so', 'date', 'V2', 'V3', 0.15677292698887535, 3.318937063217163]
['CV', 286, 'BV', 47, 'expand', 'dot', 'V1', 'V3', 0.13509316770186341, 0.010280132293701172]
['CV', 166, 'BV', 4, 'fold', 'geany', 'V3', 'V3', 0.1814140080929474, 23.70591115951538]
['UV', 15, 'CV', 151, 'ld', 'md5sum', 'V2', 'V3', 0.1311040019315507, 1.554213285446167]
['BV', 2, 'UV', 86, 'cmp', 'size', 'V1', 'V0', 0.11921525195791471, 0.8399901390075684]
['UV', 62, 'BV', 36, 'ar', 'libvlc.so', 'V1', 'V2', 0.06420816173717703, 2.1358530521392822]
['UV', 25, 'CV', 129, 'as', 'dircolors', 'V3', 'V3', 0.12885506665903756, 1.6219594478607178]
['CV', 54, 'BV', 45, 'false', 'svn', 'V2', 'V3', 0.22815812088226872, 0.5333774089813232]
['CV', 271, 'BV', 55, 'ptx', 'codeblocks', 'V1', 'V3', 0.18312957184510714, 10.635814428329468]
['CV', 208, 'UV', 25, 'echo', 'as', 'V0', 'V3', 0.13587687986424013, 1.5678040981292725]
['UV', 28, 'BV', 36, 'strings', 'libvlc.so', 'V3', 'V2', 0.062271791807740784, 2.045330762863159]
['CV', 325, 'BV', 61, 'md5sum', 'cmp', 'V1', 'V0', 0.07398568019093077, 0.015632152557373047]
['BV', 44, 'UV', 33, 'make', 'ar', 'V0', 'V3', 0.07981778570013864, 1.6749849319458008]
['CV', 97, 'BV', 58, 'ptx', 'ruby', 'V3', 'V3', 0.21763304209690226, 0.017927169799804688]
['BV', 9, 'CV', 150, 'dot', 'mv', 'V2', 'V3', 0.18433359314107567, 0.06681537628173828]
['UV', 39, 'CV', 9, 'find', 'users', 'V3', 'V2', 0.15936473165388831, 0.2680504322052002]
['CV', 342, 'BV', 30, 'sleep', 'bash', 'V1', 'V0', 0.1317535545023697, 1.9281346797943115]
['CV', 170, 'BV', 60, 'tac', 'codeblocks', 'V3', 'V1', 0.1839442560803054, 9.828841924667358]
['BV', 30, 'UV', 28, 'bash', 'strings', 'V0', 'V3', 0.03512513746792412, 5.444783687591553]
['CV', 340, 'BV', 4, 'fold', 'geany', 'V1', 'V3', 0.182772816075914, 23.40846848487854]
['CV', 99, 'UV', 59, 'stty', 'ld', 'V3', 'V1', 0.12803121248499405, 1.605259895324707]
['UV', 1, 'BV', 28, 'xargs', 'openssl', 'V2', 'V1', 0.09884191860592395, 6.982708215713501]
['BV', 50, 'CV', 258, 'sort', 'rmdir', 'V0', 'V0', 0.10901960784313725, 0.04830765724182129]
['CV', 126, 'UV', 39, 'whoami', 'find', 'V3', 'V3', 0.15577342047930287, 0.324937105178833]
['CV', 264, 'BV', 83, 'test', 'git', 'V1', 'V2', 0.09422348484848486, 6.157893419265747]
['BV', 72, 'CV', 141, 'perl', 'false', 'V1', 'V3', 0.09211095940590763, 2.097421407699585]
['CV', 166, 'BV', 43, 'fold', 'lua', 'V3', 'V0', 0.1328603676233473, 0.27838659286499023]
['BV', 62, 'CV', 1, 'diff', 'stat', 'V0', 'V2', 0.09565217391304348, 0.04628753662109375]
['CV', 49, 'UV', 29, 'tsort', 'objcopy', 'V2', 'V3', 0.14164904862579286, 1.0965189933776855]
['CV', 154, 'BV', 48, 'uname', 'gvmap', 'V3', 'V3', 0.13299086757990874, 0.11502718925476074]
['CV', 268, 'UV', 28, 'dir', 'strings', 'V1', 'V3', 0.12541535315668395, 1.1063063144683838]
['CV', 67, 'UV', 9, 'uname', 'readelf', 'V2', 'V2', 0.1048726193420727, 0.09533381462097168]
['BV', 27, 'CV', 178, 'libSDL2-2.0.so', 'basename', 'V1', 'V0', 0.1979428699200626, 3.365198850631714]
['CV', 190, 'BV', 12, 'dd', 'sort', 'V0', 'V2', 0.07436974789915962, 0.06650280952453613]
['CV', 316, 'BV', 79, 'nohup', 'bash', 'V1', 'V3', 0.12791449381545483, 2.438617706298828]
['CV', 203, 'BV', 8, 'tail', 'cluster', 'V0', 'V2', 0.1251441753171857, 0.11944055557250977]
['UV', 72, 'BV', 9, 'find', 'dot', 'V0', 'V2', 0.19680111265646727, 0.09334111213684082]
['UV', 31, 'CV', 164, 'gprof', 'nl', 'V3', 'V3', 0.14004995836802658, 0.9625792503356934]
['BV', 83, 'CV', 199, 'git', 'expand', 'V2', 'V0', 0.09450918427809596, 6.237575054168701]
['BV', 57, 'CV', 311, 'svn', 'cksum', 'V2', 'V1', 0.22886792452830185, 0.32732415199279785]
['UV', 17, 'BV', 38, 'addr2line', 'ruby', 'V2', 'V2', 0.16381806294947232, 0.7672476768493652]
['UV', 77, 'BV', 76, 'ranlib', 'diff', 'V0', 'V2', 0.10659315414656556, 1.2264492511749268]
['BV', 57, 'CV', 141, 'svn', 'false', 'V2', 'V3', 0.21759005302614742, 0.3484365940093994]
['BV', 2, 'CV', 14, 'cmp', 'dirname', 'V1', 'V2', 0.08259109311740886, 0.023065805435180664]
['UV', 45, 'CV', 262, 'cmp', 'stat', 'V1', 'V1', 0.0744849445324881, 0.02771925926208496]
['BV', 19, 'CV', 336, 'cp', 'tr', 'V3', 'V1', 0.12633181126331805, 0.07407021522521973]
['UV', 63, 'BV', 59, 'elfedit', 'make', 'V1', 'V1', 0.12288302481291846, 0.19858646392822266]
['BV', 80, 'CV', 328, 'cluster', 'uname', 'V1', 'V1', 0.1555054732775274, 0.09595918655395508]
['CV', 319, 'BV', 6, 'readlink', 'libvlc.so', 'V1', 'V0', 0.1977886977886978, 0.20910143852233887]
['UV', 47, 'CV', 165, 'sdiff', 'rm', 'V1', 'V3', 0.03942181340341655, 0.05839371681213379]
['UV', 30, 'BV', 15, 'ld', 'libvlccore.so', 'V3', 'V3', 0.03138299332802508, 10.303582906723022]
['CV', 51, 'BV', 59, 'printf', 'make', 'V2', 'V1', 0.1237873496313543, 0.20009756088256836]
['CV', 291, 'UV', 34, 'pinky', 'elfedit', 'V1', 'V3', 0.06636155606407323, 0.029575347900390625]
['CV', 259, 'BV', 28, 'mknod', 'openssl', 'V0', 'V1', 0.1041252984092278, 6.194748878479004]
['CV', 338, 'BV', 69, 'nl', 'gvmap', 'V1', 'V0', 0.09151193633952259, 0.12858176231384277]
['UV', 41, 'CV', 240, 'cmp', 'link', 'V3', 'V0', 0.11642599277978338, 0.02091193199157715]
['BV', 30, 'CV', 201, 'bash', 'expr', 'V0', 'V0', 0.12133550488599343, 2.026358127593994]
['CV', 266, 'BV', 63, 'mkdir', 'ruby', 'V1', 'V0', 0.11573008982335409, 9.117276906967163]
['CV', 318, 'UV', 47, 'who', 'sdiff', 'V1', 'V1', 0.08470290771175726, 0.03659653663635254]
['UV', 61, 'BV', 57, 'addr2line', 'svn', 'V1', 'V2', 0.06450787149622428, 2.1027493476867676]
['BV', 0, 'CV', 112, 'bash', 'expand', 'V2', 'V3', 0.12615248226950349, 2.2718539237976074]
