['CO', 320, 'UO', 30, 'dir', 'ranlib', 'O0', 'O2', 0.09085677289403638, 1.6840434074401855]
['CO', 79, 'BO', 82, 'link', 'cp', 'O3', 'O3', 0.1223184042152804, 0.0735938549041748]
['BO', 37, 'CO', 117, 'gvmap', 'printenv', 'O2', 'O1', 0.13309671694764869, 0.11635208129882812]
['UO', 4, 'CO', 339, 'strip', 'wc', 'O1', 'O0', 0.13131743327654744, 1.4624812602996826]
['BO', 19, 'UO', 79, 'libvlccore.so.9.0.0', 'size', 'O1', 'O0', 0.038192391090084765, 13.25965666770935]
['UO', 33, 'BO', 70, 'objcopy', 'diff', 'O2', 'O3', 0.10805566706811187, 1.52728271484375]
['BO', 13, 'CO', 361, 'ruby', 'nice', 'O1', 'O0', 0.10375114364135407, 12.57592487335205]
['CO', 197, 'UO', 50, 'nl', 'strings', 'O1', 'O3', 0.13381321520856404, 0.8294284343719482]
['BO', 45, 'CO', 140, 'diff', 'pinky', 'O2', 'O1', 0.10888057162300102, 0.1144413948059082]
['BO', 74, 'UO', 37, 'dot', 'ar', 'O1', 'O2', 0.1581456953642384, 0.8838093280792236]
['CO', 50, 'UO', 51, 'dircolors', 'objcopy', 'O3', 'O3', 0.12843619840969334, 1.0001327991485596]
['CO', 291, 'UO', 53, 'csplit', 'gprof', 'O2', 'O3', 0.1273767457513041, 0.9021363258361816]
['CO', 260, 'UO', 63, 'sha256sum', 'cmp', 'O2', 'O3', 0.043790380473797574, 0.034333229064941406]
['CO', 266, 'BO', 57, 'df', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.14586483657089677, 4.954091310501099]
['UO', 72, 'CO', 329, 'strings', 'stdbuf', 'O0', 'O0', 0.14648711943793913, 2.1771767139434814]
['UO', 45, 'CO', 198, 'strip', 'rm', 'O3', 'O1', 0.11480889405609651, 1.1920971870422363]
['BO', 26, 'CO', 367, 'gvmap', 'cp', 'O3', 'O0', 0.055499999999999994, 0.3779103755950928]
['UO', 32, 'CO', 76, 'strings', 'md5sum', 'O2', 'O3', 0.14283150906154674, 0.8965692520141602]
['CO', 151, 'BO', 82, 'numfmt', 'cp', 'O1', 'O3', 0.08656818962555823, 0.09977412223815918]
['BO', 37, 'CO', 141, 'gvmap', 'truncate', 'O2', 'O1', 0.12626408552441493, 0.12395954132080078]
['CO', 97, 'UO', 64, 'uniq', 'diff', 'O3', 'O3', 0.0984126984126984, 0.09647631645202637]
['CO', 329, 'BO', 70, 'stdbuf', 'diff', 'O0', 'O3', 0.09035172636334299, 0.11392092704772949]
['BO', 24, 'UO', 31, 'cluster', 'c++filt', 'O3', 'O2', 0.09909006785934604, 1.3251688480377197]
['CO', 195, 'BO', 17, 'comm', 'codeblocks', 'O1', 'O2', 0.18660262235492664, 10.671377420425415]
['UO', 85, 'BO', 24, 'locate', 'cluster', 'O0', 'O3', 0.056227009984235465, 0.3834967613220215]
['CO', 120, 'UO', 61, 'dirname', 'find', 'O1', 'O3', 0.15335404861999635, 0.29780030250549316]
['CO', 243, 'BO', 41, 'base32', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.20916806473897165, 5.11328125]
['CO', 271, 'BO', 36, 'logname', 'cluster', 'O2', 'O2', 0.14655172413793105, 0.10868215560913086]
['CO', 367, 'BO', 7, 'cp', 'sort', 'O0', 'O0', 0.030737351061992713, 0.45038533210754395]
['CO', 173, 'BO', 33, 'who', 'sort', 'O1', 'O2', 0.10914454277286134, 0.10940241813659668]
['CO', 322, 'UO', 60, 'users', 'xargs', 'O0', 'O3', 0.08924144769459597, 0.08010745048522949]
['UO', 7, 'CO', 341, 'ranlib', 'nproc', 'O1', 'O0', 0.14409127954360224, 1.1416125297546387]
['CO', 273, 'BO', 73, 'false', 'cluster', 'O2', 'O1', 0.14894288419059643, 0.10653185844421387]
['UO', 67, 'CO', 102, 'strip', 'mknod', 'O0', 'O3', 0.14573968634502044, 2.565803050994873]
['BO', 20, 'UO', 46, 'sort', 'readelf', 'O1', 'O3', 0.052912066996574025, 0.4287867546081543]
['UO', 73, 'BO', 59, 'objcopy', 'libgeany.so.0.0.0', 'O0', 'O3', 0.09610257404624556, 47.23410201072693]
['UO', 73, 'CO', 295, 'objcopy', 'id', 'O0', 'O2', 0.14533633408352087, 2.6105334758758545]
['UO', 51, 'CO', 263, 'objcopy', 'cp', 'O3', 'O2', 0.10185249427600085, 1.3369057178497314]
['CO', 285, 'BO', 42, 'env', 'cmp', 'O2', 'O1', 0.07176287051482055, 0.031075477600097656]
['UO', 75, 'BO', 47, 'gprof', 'libvlc.so.12.0.0', 'O0', 'O0', 0.0750961624474461, 4.740218877792358]
['BO', 26, 'CO', 50, 'gvmap', 'dircolors', 'O3', 'O3', 0.1199107640825432, 0.11687302589416504]
['CO', 49, 'UO', 58, 'nice', 'objdump', 'O3', 'O3', 0.1269250886267217, 1.5108952522277832]
['UO', 87, 'BO', 0, 'find', 'codeblocks', 'O0', 'O1', 0.13633096756805319, 15.830686092376709]
['CO', 413, 'BO', 28, 'rmdir', 'ruby', 'O0', 'O0', 0.10393015747912149, 13.29383373260498]
['UO', 55, 'CO', 288, 'ar', 'uname', 'O3', 'O2', 0.14043155288291476, 0.8192362785339355]
['BO', 28, 'CO', 301, 'ruby', 'nl', 'O0', 'O2', 0.10495467452207052, 12.710785388946533]
['UO', 65, 'CO', 270, 'sdiff', 'printf', 'O3', 'O2', 0.06567164179104479, 0.04326796531677246]
['CO', 160, 'BO', 32, 'cut', 'ruby', 'O1', 'O2', 0.12489584927477082, 14.94026803970337]
['UO', 64, 'CO', 116, 'diff', 'ptx', 'O3', 'O1', 0.06642941874258601, 0.12910079956054688]
['BO', 32, 'CO', 173, 'ruby', 'who', 'O2', 'O1', 0.12447357695965222, 14.651784420013428]
['UO', 14, 'BO', 70, 'ar', 'diff', 'O1', 'O3', 0.11456675828149865, 1.4937012195587158]
['BO', 34, 'CO', 290, 'cp', 'shuf', 'O2', 'O2', 0.08034782608695656, 0.11203384399414062]
['UO', 23, 'CO', 186, 'cmp', 'shuf', 'O2', 'O1', 0.07123136388735507, 0.05565381050109863]
['UO', 65, 'CO', 140, 'sdiff', 'pinky', 'O3', 'O1', 0.045480386583286014, 0.049932003021240234]
['CO', 301, 'BO', 35, 'nl', 'make', 'O2', 'O3', 0.13000374111485224, 0.2224888801574707]
['UO', 77, 'CO', 112, 'ar', 'dir', 'O0', 'O1', 0.12710534574746313, 2.868905544281006]
['CO', 292, 'BO', 11, 'vdir', 'ssh', 'O2', 'O1', 0.12097338935574231, 1.9463884830474854]
['UO', 28, 'CO', 148, 'readelf', 'seq', 'O2', 'O1', 0.10402476780185754, 0.2495889663696289]
['BO', 47, 'CO', 48, 'libvlc.so.12.0.0', 'ls', 'O0', 'O3', 0.15541090317331163, 0.8301987648010254]
['UO', 84, 'CO', 1, 'sdiff', 'touch', 'O0', 'O3', 0.061531841652323616, 0.07384586334228516]
['BO', 23, 'UO', 47, 'git', 'as', 'O2', 'O3', 0.041150044923629836, 13.946831226348877]
['UO', 45, 'BO', 70, 'strip', 'diff', 'O3', 'O3', 0.10007468259895447, 1.3564221858978271]
['UO', 59, 'CO', 398, 'locate', 'timeout', 'O3', 'O0', 0.09252551860388536, 0.13905644416809082]
['CO', 30, 'UO', 5, 'expand', 'readelf', 'O3', 'O1', 0.11696869851729819, 0.27942514419555664]
['CO', 304, 'UO', 27, 'fold', 'strip', 'O2', 'O2', 0.14006046863189714, 1.1365480422973633]
['BO', 48, 'CO', 233, 'libvlccore.so.9.0.0', 'chgrp', 'O0', 'O2', 0.1774254108540565, 10.899226188659668]
['BO', 34, 'CO', 229, 'cp', 'mktemp', 'O2', 'O2', 0.09746079163554888, 0.10029411315917969]
['CO', 276, 'UO', 45, 'yes', 'strip', 'O2', 'O3', 0.13374565133359106, 0.970853328704834]
['CO', 216, 'BO', 35, 'dir', 'make', 'O2', 'O3', 0.06670646172213102, 0.38385558128356934]
