['UV', 57, 'CV', 79, 'strings', 'fold', 'V1', 'V2', 0.1449352967425257, 0.8830928802490234]
['CV', 330, 'BV', 23, 'csplit', 'diff', 'V1', 'V3', 0.06360424028268552, 0.13097786903381348]
['BV', 20, 'UV', 76, 'sort', 'as', 'V1', 'V0', 0.12132934763495695, 1.6971867084503174]
['BV', 51, 'CV', 69, 'cp', 'csplit', 'V0', 'V2', 0.03863636363636358, 0.07531952857971191]
['CV', 146, 'UV', 22, 'head', 'nm', 'V3', 'V3', 0.14247030048916842, 0.9775736331939697]
['CV', 269, 'BV', 57, 'du', 'svn', 'V1', 'V2', 0.1821203057494184, 0.4662771224975586]
['CV', 338, 'BV', 75, 'nl', 'cmp', 'V1', 'V2', 0.042966751918158574, 0.04576706886291504]
['BV', 29, 'CV', 248, 'perl', 'pathchk', 'V3', 'V0', 0.10550212720317476, 2.3620564937591553]
['CV', 331, 'UV', 9, 'vdir', 'readelf', 'V1', 'V2', 0.053349623294644655, 0.18812799453735352]
['CV', 68, 'BV', 40, 'cat', 'lua', 'V2', 'V2', 0.12114537444933915, 0.3673837184906006]
['UV', 15, 'CV', 281, 'ld', 'tee', 'V2', 'V1', 0.13665743305632505, 1.5424368381500244]
['BV', 41, 'CV', 76, 'libvlccore.so', 'comm', 'V1', 'V2', 0.16339659054358313, 2.6197447776794434]
['CV', 115, 'UV', 7, 'chown', 'nm', 'V3', 'V2', 0.13034454130344542, 1.1010627746582031]
['CV', 185, 'UV', 25, 'printenv', 'as', 'V0', 'V3', 0.13606557377049178, 1.6228952407836914]
['CV', 275, 'UV', 47, 'dirname', 'sdiff', 'V1', 'V1', 0.11899641577060938, 0.030492544174194336]
['UV', 61, 'CV', 177, 'addr2line', 'test', 'V1', 'V0', 0.14801864801864806, 0.8723454475402832]
['CV', 341, 'UV', 62, 'uniq', 'ar', 'V1', 'V1', 0.14379304552326555, 0.9950301647186279]
['BV', 42, 'CV', 222, 'libvlc.so', 'df', 'V1', 'V0', 0.16360983743226343, 0.26892709732055664]
['BV', 20, 'CV', 106, 'sort', 'pr', 'V1', 'V3', 0.02879929109437307, 0.06428098678588867]
['UV', 58, 'BV', 10, 'objcopy', 'gvmap', 'V1', 'V2', 0.09448065538479944, 1.8830742835998535]
['CV', 172, 'UV', 42, 'mknod', 'diff', 'V3', 'V3', 0.11840762164001362, 0.09241628646850586]
['UV', 36, 'CV', 169, 'objdump', 'sort', 'V3', 'V3', 0.11263692225487576, 2.287897825241089]
['BV', 62, 'CV', 44, 'diff', 'true', 'V0', 'V2', 0.13033033033033037, 0.03958868980407715]
['CV', 6, 'UV', 86, 'fmt', 'size', 'V2', 'V0', 0.12471892065531642, 0.8352162837982178]
['CV', 5, 'BV', 7, 'mkdir', 'libSDL2-2.0.so', 'V2', 'V0', 0.21212947189097098, 3.1434316635131836]
['CV', 126, 'UV', 41, 'whoami', 'cmp', 'V3', 'V3', 0.06646751306945486, 0.029349088668823242]
['UV', 60, 'CV', 199, 'gprof', 'expand', 'V1', 'V0', 0.14476206350529208, 0.9408168792724609]
['BV', 17, 'CV', 257, 'codeblocks', 'tac', 'V2', 'V0', 0.18159041678628285, 10.772066354751587]
['UV', 53, 'CV', 99, 'readelf', 'stty', 'V1', 'V3', 0.07892030848329046, 0.10996174812316895]
['UV', 8, 'CV', 260, 'strip', 'ln', 'V2', 'V0', 0.13866607248960183, 1.178295373916626]
['CV', 289, 'BV', 83, 'chown', 'git', 'V1', 'V2', 0.09224651308572329, 6.800371885299683]
['BV', 65, 'CV', 191, 'ssh', 'mkfifo', 'V1', 'V0', 0.11964171465131157, 3.561795949935913]
['CV', 323, 'BV', 59, 'unexpand', 'make', 'V1', 'V1', 0.14226547939531997, 0.1831521987915039]
['UV', 73, 'CV', 88, 'nm', 'stat', 'V0', 'V3', 0.12548345509239367, 1.0700173377990723]
['CV', 129, 'BV', 56, 'dircolors', 'ssh', 'V3', 'V3', 0.1429774552993004, 1.4011304378509521]
['CV', 311, 'UV', 69, 'cksum', 'sdiff', 'V1', 'V0', 0.12025769506084472, 0.0293123722076416]
['CV', 277, 'UV', 2, 'dd', 'find', 'V1', 'V2', 0.12623645784267545, 0.1873946189880371]
['UV', 21, 'CV', 23, 'objdump', 'wc', 'V2', 'V2', 0.1355987690695999, 1.4950892925262451]
['UV', 36, 'CV', 150, 'objdump', 'mv', 'V3', 'V3', 0.10996618051151974, 2.32947039604187]
