['BV', 63, 'CV', 60, 'ruby', 'hostid', 'V0', 'V2', 0.11705155961831448, 8.684760570526123]
['UV', 38, 'CV', 114, 'xargs', 'expr', 'V3', 'V3', 0.09240622140896615, 0.06846976280212402]
['CV', 85, 'BV', 7, 'mknod', 'libSDL2-2.0.so', 'V2', 'V0', 0.2189189189189189, 2.878800630569458]
['BV', 51, 'CV', 99, 'cp', 'stty', 'V0', 'V3', 0.05105105105105101, 0.04968714714050293]
['UV', 6, 'CV', 102, 'sdiff', 'uptime', 'V2', 'V3', 0.05418454935622319, 0.048511505126953125]
['BV', 46, 'CV', 39, 'cluster', 'whoami', 'V3', 'V2', 0.14493651285227627, 0.10008811950683594]
['UV', 41, 'CV', 12, 'cmp', 'stty', 'V3', 'V2', 0.04116865869853914, 0.03255581855773926]
['CV', 222, 'BV', 48, 'df', 'gvmap', 'V0', 'V3', 0.11946050096339111, 0.12745928764343262]
['BV', 12, 'CV', 112, 'sort', 'expand', 'V2', 'V3', 0.09296264118158126, 0.0596776008605957]
['UV', 31, 'CV', 214, 'gprof', 'ls', 'V3', 'V0', 0.1238685088137208, 1.1696183681488037]
['BV', 51, 'UV', 55, 'cp', 'ranlib', 'V0', 'V1', 0.1291228633336008, 1.0631086826324463]
['UV', 44, 'CV', 267, 'diff3', 'fmt', 'V1', 'V1', 0.09324982602644394, 0.029410839080810547]
['UV', 0, 'CV', 258, 'locate', 'rmdir', 'V2', 'V0', 0.15462085308056872, 0.040113210678100586]
['UV', 83, 'CV', 263, 'addr2line', 'unlink', 'V0', 'V1', 0.15108664705324093, 0.7402026653289795]
['CV', 99, 'UV', 22, 'stty', 'nm', 'V3', 'V3', 0.1395369005290088, 0.970867395401001]
['UV', 1, 'CV', 187, 'xargs', 'join', 'V2', 'V0', 0.08912466843501332, 0.04508090019226074]
['BV', 9, 'UV', 6, 'dot', 'sdiff', 'V2', 'V2', 0.18805488297013717, 0.024364471435546875]
['CV', 0, 'UV', 84, 'touch', 'ar', 'V2', 'V0', 0.13925913103687038, 0.9319515228271484]
['CV', 47, 'UV', 26, 'od', 'ranlib', 'V2', 'V3', 0.13923205342237055, 1.0176012516021729]
['BV', 74, 'CV', 76, 'git', 'comm', 'V1', 'V2', 0.09382161732379213, 4.358885288238525]
['UV', 62, 'CV', 286, 'ar', 'expand', 'V1', 'V1', 0.14780835881753318, 0.904365062713623]
['CV', 207, 'UV', 64, 'sync', 'size', 'V0', 'V1', 0.15085311907556198, 0.8262252807617188]
['CV', 129, 'UV', 34, 'dircolors', 'elfedit', 'V3', 'V3', 0.04462474645030423, 0.03250765800476074]
['BV', 64, 'UV', 26, 'openssl', 'ranlib', 'V2', 'V3', 0.12170572962976134, 9.841001510620117]
['BV', 19, 'CV', 281, 'cp', 'tee', 'V3', 'V1', 0.1377653183820584, 0.06920552253723145]
['BV', 12, 'CV', 160, 'sort', 'shred', 'V2', 'V3', 0.04280014508523755, 0.08567452430725098]
['BV', 1, 'CV', 156, 'libSDL2-2.0.so', 'csplit', 'V3', 'V3', 0.1859978636282713, 5.12553334236145]
['CV', 143, 'UV', 9, 'yes', 'readelf', 'V3', 'V2', 0.09732594555528784, 0.10178780555725098]
['CV', 65, 'UV', 73, 'env', 'nm', 'V2', 'V0', 0.14850387883265603, 0.8090662956237793]
['UV', 72, 'BV', 25, 'find', 'git', 'V0', 'V3', 0.0789849516679445, 10.636629819869995]
['UV', 40, 'CV', 100, 'diff3', 'join', 'V3', 'V3', 0.033217649975210706, 0.04522895812988281]
['UV', 79, 'CV', 234, 'strings', 'hostid', 'V0', 'V0', 0.1516221374045802, 0.7352824211120605]
