['CV', 156, 'BV', 40, 'csplit', 'lua', 'V3', 'V2', 0.11709159584513695, 0.36548352241516113]
['CV', 58, 'UV', 76, 'readlink', 'as', 'V2', 'V0', 0.12998433923623653, 1.443385124206543]
['BV', 69, 'CV', 237, 'gvmap', 'mv', 'V0', 'V0', 0.081933316102352, 0.15422654151916504]
['CV', 159, 'UV', 76, 'id', 'as', 'V3', 'V0', 0.12811153662039254, 1.506065845489502]
['BV', 76, 'CV', 238, 'diff', 'md5sum', 'V2', 'V0', 0.13260073260073257, 0.08054900169372559]
['UV', 17, 'BV', 0, 'addr2line', 'bash', 'V2', 'V2', 0.03929297283981026, 6.020496606826782]
['UV', 58, 'CV', 142, 'objcopy', 'nohup', 'V1', 'V3', 0.13203642384105962, 1.1804306507110596]
['CV', 89, 'UV', 12, 'unlink', 'c++filt', 'V3', 'V2', 0.14691001084206723, 0.8563151359558105]
['BV', 61, 'CV', 124, 'cmp', 'seq', 'V0', 'V3', 0.09450945094509455, 0.02020430564880371]
['BV', 82, 'CV', 153, 'gvmap', 'link', 'V1', 'V3', 0.13365631233969788, 0.11035823822021484]
['CV', 131, 'BV', 51, 'true', 'cp', 'V3', 'V0', 0.09420289855072461, 0.035881757736206055]
['CV', 302, 'UV', 9, 'nice', 'readelf', 'V1', 'V2', 0.10774665657330307, 0.09157228469848633]
['UV', 35, 'CV', 171, 'size', 'rmdir', 'V3', 'V3', 0.14425055928411634, 0.8831264972686768]
['CV', 60, 'UV', 19, 'hostid', 'elfedit', 'V2', 'V2', 0.07832898172323755, 0.020411968231201172]
['BV', 63, 'CV', 75, 'ruby', 'tr', 'V0', 'V2', 0.11586071956235278, 8.836020469665527]
['BV', 59, 'CV', 302, 'make', 'nice', 'V1', 'V1', 0.14270855003120453, 0.18160247802734375]
['BV', 25, 'CV', 219, 'git', 'cp', 'V3', 'V0', 0.08520068948534842, 8.794840335845947]
