['CO', 183, 'BO', 5, 'link', 'libgeany.so.0.0.0', 'O1', 'O1', 0.17493097559807846, 27.469248294830322]
['BO', 32, 'CO', 186, 'ruby', 'shuf', 'O2', 'O1', 0.12275332668278582, 15.968875169754028]
['BO', 15, 'CO', 173, 'diff', 'who', 'O0', 'O1', 0.13740676993689038, 0.17649483680725098]
['UO', 44, 'CO', 145, 'nm', 'echo', 'O3', 'O1', 0.13910256410256405, 0.7979888916015625]
['UO', 53, 'CO', 246, 'gprof', 'sha1sum', 'O3', 'O2', 0.13391244517072332, 0.8534111976623535]
['CO', 233, 'BO', 82, 'chgrp', 'cp', 'O2', 'O3', 0.06307158625039422, 0.11327981948852539]
['BO', 5, 'CO', 27, 'libgeany.so.0.0.0', 'wc', 'O1', 'O3', 0.1734457356956881, 27.17882013320923]
['CO', 191, 'BO', 63, 'id', 'cluster', 'O1', 'O0', 0.12209784411276947, 0.21306848526000977]
['CO', 205, 'BO', 71, 'rmdir', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.20005062436719545, 6.425932168960571]
['UO', 26, 'CO', 16, 'nm', 'dirname', 'O2', 'O3', 0.14828354881854655, 0.907550573348999]
['BO', 6, 'CO', 282, 'codeblocks', 'unexpand', 'O0', 'O2', 0.20668042924361618, 27.44695234298706]
['CO', 400, 'BO', 6, 'shred', 'codeblocks', 'O0', 'O0', 0.2012040673984068, 30.285873889923096]
['BO', 30, 'CO', 24, 'libvlccore.so.9.0.0', 'tee', 'O2', 'O3', 0.160007958615201, 4.4046876430511475]
['BO', 28, 'CO', 108, 'ruby', 'test', 'O0', 'O1', 0.10422441344420719, 12.845829963684082]
['CO', 170, 'UO', 3, 'runcon', 'nm', 'O1', 'O1', 0.15166896077081904, 1.0559136867523193]
['UO', 35, 'CO', 135, 'gprof', 'date', 'O2', 'O1', 0.12824649136957578, 1.094785451889038]
['CO', 395, 'UO', 66, 'csplit', 'nm', 'O0', 'O0', 0.13965381589299763, 2.515044927597046]
['CO', 324, 'BO', 10, 'ptx', 'openssl', 'O0', 'O3', 0.26444111027756945, 8.179511547088623]
['CO', 70, 'BO', 22, 'b2sum', 'perl', 'O3', 'O0', 0.10978733911540484, 3.742668390274048]
['CO', 339, 'BO', 25, 'wc', 'dot', 'O0', 'O3', 0.22416666666666663, 0.03341031074523926]
['UO', 4, 'CO', 343, 'strip', 'date', 'O1', 'O0', 0.1263084922010399, 1.5595824718475342]
['CO', 352, 'BO', 16, 'sync', 'make', 'O0', 'O0', 0.11919958599275482, 0.26319384574890137]
['BO', 52, 'CO', 47, 'svn', 'numfmt', 'O3', 'O3', 0.20048899755501226, 0.4510962963104248]
['UO', 7, 'CO', 7, 'ranlib', 'fmt', 'O1', 'O3', 0.1478317468066065, 1.089536190032959]
['UO', 20, 'BO', 8, 'diff', 'cp', 'O1', 'O0', 0.06034323675954978, 0.3684418201446533]
['BO', 32, 'CO', 293, 'ruby', '[', 'O2', 'O2', 0.12533179064860822, 14.260912418365479]
['BO', 4, 'CO', 324, 'libgeany.so.0.0.0', 'ptx', 'O2', 'O0', 0.173820687918935, 28.960230112075806]
['BO', 60, 'UO', 2, 'openssl', 'find', 'O0', 'O1', 0.20306930693069303, 12.298262357711792]
['CO', 405, 'UO', 45, 'nl', 'strip', 'O0', 'O3', 0.12308270676691735, 1.0978245735168457]
['CO', 260, 'BO', 61, 'sha256sum', 'git', 'O2', 'O1', 0.09278855575151868, 6.386248826980591]
['UO', 28, 'CO', 11, 'readelf', 'groups', 'O2', 'O3', 0.11175367302281969, 0.23832988739013672]
['BO', 45, 'CO', 36, 'diff', 'pinky', 'O2', 'O3', 0.1139325091881056, 0.10338521003723145]
['CO', 346, 'BO', 7, 'tail', 'sort', 'O0', 'O0', 0.06954266855256952, 0.26103806495666504]
['CO', 100, 'BO', 48, 'tac', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.18089632262952393, 10.663975238800049]
['BO', 10, 'CO', 43, 'openssl', 'chroot', 'O3', 'O3', 0.2762051150676743, 7.347080945968628]
['CO', 10, 'BO', 19, 'users', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.1630622316735546, 4.656102657318115]
['CO', 359, 'BO', 56, 'numfmt', 'libvlc.so.12.0.0', 'O0', 'O3', 0.1713939813213421, 0.5071461200714111]
['BO', 3, 'UO', 44, 'openssl', 'nm', 'O1', 'O3', 0.15418675886331235, 13.208005905151367]
['BO', 1, 'UO', 2, 'ssh', 'find', 'O2', 'O1', 0.07116324535679375, 2.847637414932251]
['UO', 65, 'BO', 36, 'sdiff', 'cluster', 'O3', 'O2', 0.10640608034744847, 0.1452195644378662]
['CO', 235, 'BO', 20, 'wc', 'sort', 'O2', 'O1', 0.11420310805926992, 0.11522507667541504]
['UO', 85, 'CO', 347, 'locate', 'base32', 'O0', 'O0', 0.12716464202636346, 0.21755337715148926]
['BO', 74, 'CO', 274, 'dot', 'runcon', 'O1', 'O2', 0.1543116490166414, 0.011725664138793945]
['UO', 7, 'CO', 135, 'ranlib', 'date', 'O1', 'O1', 0.13578299952688844, 1.2624924182891846]
['BO', 74, 'CO', 116, 'dot', 'ptx', 'O1', 'O1', 0.20029895366218242, 0.030640125274658203]
['BO', 72, 'CO', 21, 'make', 'mktemp', 'O2', 'O3', 0.11569953720185122, 0.23734283447265625]
['BO', 76, 'CO', 340, 'openssl', 'factor', 'O2', 'O0', 0.26361185983827495, 8.341943979263306]
['UO', 76, 'CO', 66, 'addr2line', 'runcon', 'O0', 'O3', 0.15555820042846946, 2.0194129943847656]
['BO', 65, 'CO', 209, 'gvmap', 'touch', 'O0', 'O2', 0.10730195622699978, 0.23505115509033203]
['CO', 118, 'BO', 29, 'stty', 'libvlc.so.12.0.0', 'O1', 'O2', 0.2007903650733911, 0.43811702728271484]
['BO', 58, 'CO', 323, 'svn', 'groups', 'O1', 'O0', 0.20936507936507942, 0.5047273635864258]
['BO', 79, 'CO', 156, 'bash', 'sha256sum', 'O3', 'O1', 0.1116956538808842, 2.459622621536255]
['BO', 51, 'CO', 57, 'lua', 'od', 'O1', 'O3', 0.11747167561121052, 0.458066463470459]
['BO', 82, 'UO', 34, 'cp', 'ld', 'O3', 'O2', 0.11842467639768661, 2.276535749435425]
['UO', 38, 'CO', 395, 'elfedit', 'csplit', 'O2', 'O0', 0.09081684424150183, 0.06004214286804199]
['BO', 65, 'CO', 400, 'gvmap', 'shred', 'O0', 'O0', 0.08582431688978542, 0.29527974128723145]
['UO', 49, 'CO', 237, 'c++filt', 'nproc', 'O3', 'O2', 0.13961622081482183, 0.7429177761077881]
['CO', 89, 'BO', 46, 'pathchk', 'ruby', 'O3', 'O3', 0.10469088358190748, 12.51026701927185]
['UO', 12, 'BO', 72, 'gprof', 'make', 'O1', 'O2', 0.0736188853735702, 1.9714288711547852]
['UO', 16, 'CO', 293, 'size', '[', 'O1', 'O2', 0.1485344827586207, 1.0089585781097412]
['UO', 68, 'CO', 279, 'readelf', 'readlink', 'O0', 'O2', 0.12385775624793571, 0.5165395736694336]
['CO', 259, 'UO', 54, 'realpath', 'addr2line', 'O2', 'O3', 0.13432288803371817, 0.8117356300354004]
['BO', 83, 'CO', 270, 'lua', 'printf', 'O2', 'O2', 0.1265672429721526, 0.3799424171447754]
['CO', 27, 'BO', 83, 'wc', 'lua', 'O3', 'O2', 0.12028241335044931, 0.3999655246734619]
['CO', 289, 'BO', 55, 'cat', 'make', 'O2', 'O1', 0.13561320754716988, 0.2106635570526123]
['BO', 62, 'CO', 225, 'bash', 'stdbuf', 'O1', 'O2', 0.12596777568528983, 2.6216535568237305]
['UO', 68, 'CO', 46, 'readelf', 'whoami', 'O0', 'O3', 0.12938035376571366, 0.49526405334472656]
['CO', 35, 'BO', 11, 'base32', 'ssh', 'O3', 'O1', 0.14680342310596528, 1.4320387840270996]
['BO', 59, 'CO', 84, 'libgeany.so.0.0.0', 'vdir', 'O3', 'O3', 0.160873426637675, 27.18254327774048]
['CO', 192, 'UO', 31, 'shred', 'c++filt', 'O1', 'O2', 0.1296394019349164, 1.0635020732879639]
