['BV', 19, 'CV', 327, 'cp', 'link', 'V3', 'V1', 0.15156507413509057, 0.07063722610473633]
['CV', 72, 'BV', 50, 'id', 'sort', 'V2', 'V0', 0.0789825970548862, 0.03339743614196777]
['BV', 69, 'CV', 38, 'gvmap', 'split', 'V0', 'V2', 0.1024486349563749, 0.13255763053894043]
['UV', 84, 'CV', 3, 'ar', 'test', 'V0', 'V2', 0.1442964780094621, 0.9385273456573486]
['CV', 66, 'UV', 49, 'link', 'xargs', 'V2', 'V1', 0.06973058637083995, 0.024184465408325195]
['UV', 41, 'BV', 11, 'cmp', 'bash', 'V3', 'V1', 0.12550494497840925, 2.457034111022949]
['CV', 30, 'BV', 62, 'pinky', 'diff', 'V2', 'V0', 0.08574434508153606, 0.053046464920043945]
['CV', 154, 'BV', 71, 'uname', 'ruby', 'V3', 'V1', 0.21649484536082475, 0.008331298828125]
['CV', 14, 'BV', 4, 'dirname', 'geany', 'V2', 'V3', 0.18259278619968633, 24.623719453811646]
['BV', 53, 'CV', 139, 'ssh', 'logname', 'V2', 'V3', 0.1193592433476538, 3.7686269283294678]
['UV', 7, 'CV', 268, 'nm', 'dir', 'V2', 'V1', 0.1252056597564989, 1.2262616157531738]
['CV', 218, 'BV', 79, 'true', 'bash', 'V0', 'V3', 0.13006331858790876, 2.4972145557403564]
['CV', 149, 'UV', 42, 'unexpand', 'diff', 'V3', 'V3', 0.11440107671601618, 0.09269094467163086]
['CV', 152, 'BV', 28, 'env', 'openssl', 'V3', 'V1', 0.10287654814222935, 6.580029010772705]
['CV', 146, 'BV', 3, 'head', 'diff', 'V3', 'V1', 0.09274935590725064, 0.0775003433227539]
['BV', 1, 'CV', 191, 'libSDL2-2.0.so', 'mkfifo', 'V3', 'V0', 0.19599761872052024, 5.38918399810791]
['BV', 34, 'UV', 43, 'svn', 'sdiff', 'V0', 'V3', 0.18415876989093505, 0.39556431770324707]
['UV', 27, 'CV', 230, 'c++filt', 'yes', 'V3', 'V0', 0.15520481022172117, 0.8424298763275146]
['CV', 165, 'BV', 79, 'rm', 'bash', 'V3', 'V3', 0.11861230269459833, 2.8531601428985596]
['CV', 8, 'BV', 79, 'du', 'bash', 'V2', 'V3', 0.11346761291381224, 3.1505227088928223]
['BV', 37, 'UV', 44, 'geany', 'diff3', 'V1', 'V1', 0.18182524121061516, 20.434123039245605]
['UV', 87, 'CV', 169, 'objdump', 'sort', 'V0', 'V3', 0.10842004544910899, 1.8380300998687744]
['BV', 52, 'CV', 305, 'libSDL2-2.0.so', 'true', 'V2', 'V1', 0.1970802919708029, 4.000979423522949]
['CV', 294, 'BV', 32, 'sync', 'perl', 'V1', 'V0', 0.11197090786079755, 1.958127737045288]
['UV', 47, 'CV', 36, 'sdiff', 'chroot', 'V1', 'V2', 0.08282208588957052, 0.03885984420776367]
['BV', 59, 'CV', 84, 'make', 'rmdir', 'V1', 'V2', 0.13113772455089823, 0.19337964057922363]
['BV', 37, 'CV', 80, 'geany', 'uniq', 'V1', 'V2', 0.18386920342227608, 19.817423820495605]
['CV', 50, 'BV', 44, 'cksum', 'make', 'V2', 'V0', 0.1345261762756793, 0.15713095664978027]
['UV', 36, 'BV', 75, 'objdump', 'cmp', 'V3', 'V2', 0.13269130961305575, 1.8177783489227295]
['BV', 67, 'UV', 46, 'cluster', 'diff', 'V0', 'V1', 0.028999802722430412, 0.238450288772583]
['CV', 108, 'UV', 75, 'chgrp', 'readelf', 'V3', 'V0', 0.06109324758842449, 0.12228822708129883]
['CV', 68, 'BV', 43, 'cat', 'lua', 'V2', 'V0', 0.124237208574558, 0.3148834705352783]
['CV', 88, 'BV', 31, 'stat', 'codeblocks', 'V3', 'V0', 0.18106951292192663, 10.592545747756958]
['BV', 42, 'CV', 115, 'libvlc.so', 'chown', 'V1', 'V3', 0.13820985332831892, 0.3103508949279785]
['BV', 31, 'CV', 207, 'codeblocks', 'sync', 'V0', 'V0', 0.18935141443894854, 9.286734342575073]
['CV', 180, 'BV', 37, 'fmt', 'geany', 'V0', 'V1', 0.185411229075495, 19.84417700767517]
['BV', 53, 'CV', 291, 'ssh', 'pinky', 'V2', 'V1', 0.11866608921611088, 3.7573063373565674]
['BV', 80, 'CV', 320, 'cluster', 'head', 'V1', 'V1', 0.13955609607783526, 0.11067771911621094]
['UV', 24, 'BV', 57, 'readelf', 'svn', 'V3', 'V2', 0.05304168231318063, 1.0046560764312744]
['UV', 70, 'CV', 166, 'locate', 'fold', 'V0', 'V3', 0.09506885828520661, 0.06298398971557617]
['UV', 30, 'CV', 178, 'ld', 'basename', 'V3', 'V0', 0.14768650817778317, 1.7700135707855225]
['BV', 29, 'CV', 154, 'perl', 'uname', 'V3', 'V3', 0.10349968055654146, 2.389925479888916]
['UV', 83, 'CV', 75, 'addr2line', 'tr', 'V0', 'V2', 0.1424359683066151, 0.8259103298187256]
['UV', 71, 'CV', 208, 'xargs', 'echo', 'V0', 'V0', 0.09384775808133472, 0.018738508224487305]
['UV', 65, 'CV', 63, 'objdump', 'mv', 'V1', 'V2', 0.11676127875709597, 1.844970941543579]
['UV', 15, 'CV', 215, 'ld', 'nice', 'V2', 'V0', 0.13821840854373724, 1.5382905006408691]
['UV', 32, 'CV', 221, 'addr2line', 'od', 'V3', 'V0', 0.14635689748689207, 0.9249181747436523]
['CV', 65, 'UV', 25, 'env', 'as', 'V2', 'V3', 0.1339145597210113, 1.6671485900878906]
['CV', 125, 'UV', 1, 'split', 'xargs', 'V3', 'V2', 0.03544303797468351, 0.06897354125976562]
['BV', 6, 'CV', 2, 'libvlc.so', 'unlink', 'V0', 'V2', 0.19577362156910372, 0.2207639217376709]
['UV', 22, 'CV', 131, 'nm', 'true', 'V3', 'V3', 0.1489856108678166, 0.9295713901519775]
['CV', 183, 'BV', 64, 'users', 'openssl', 'V0', 'V2', 0.28956113211871204, 4.6256372928619385]
['CV', 9, 'UV', 23, 'users', 'strip', 'V2', 'V3', 0.1415194079444193, 1.174731969833374]
['CV', 72, 'BV', 80, 'id', 'cluster', 'V2', 'V1', 0.13906485671191549, 0.11346435546875]
['CV', 61, 'UV', 9, 'ginstall', 'readelf', 'V2', 'V2', 0.04655172413793107, 0.20823001861572266]
['UV', 8, 'CV', 138, 'strip', 'printf', 'V2', 'V3', 0.1345550120464335, 1.2118046283721924]
['BV', 26, 'CV', 190, 'geany', 'dd', 'V2', 'V0', 0.18156163564326833, 21.30461835861206]
['CV', 36, 'BV', 2, 'chroot', 'cmp', 'V2', 'V1', 0.05758017492711365, 0.030220985412597656]
['CV', 53, 'BV', 39, 'tty', 'svn', 'V2', 'V1', 0.22279888785912882, 0.3673243522644043]
['CV', 263, 'BV', 0, 'unlink', 'bash', 'V1', 'V2', 0.1306089382960529, 2.439713478088379]
['BV', 28, 'CV', 41, 'openssl', 'nice', 'V1', 'V2', 0.10374460127343155, 6.369853496551514]
['CV', 222, 'BV', 59, 'df', 'make', 'V0', 'V1', 0.12158469945355188, 0.21846556663513184]
['BV', 43, 'UV', 32, 'lua', 'addr2line', 'V0', 'V3', 0.058248778654641065, 2.018561840057373]
['CV', 40, 'BV', 74, 'ls', 'git', 'V2', 'V1', 0.08676383241193397, 5.579905986785889]
['CV', 258, 'UV', 71, 'rmdir', 'xargs', 'V0', 'V0', 0.09006211180124224, 0.01956915855407715]
['BV', 74, 'CV', 235, 'git', 'ginstall', 'V1', 'V0', 0.08942733308742157, 5.153477430343628]
['BV', 74, 'CV', 344, 'git', 'tac', 'V1', 'V1', 0.0905822154612087, 4.890962600708008]
['UV', 3, 'BV', 59, 'diff3', 'make', 'V2', 'V1', 0.10720236993149412, 0.24168920516967773]
