['BO', 1, 'CO', 361, 'ssh', 'nice', 'O2', 'O0', 0.1429383527033855, 1.4310946464538574]
['UO', 54, 'CO', 392, 'addr2line', 'uname', 'O3', 'O0', 0.13549459684123022, 0.8083958625793457]
['CO', 64, 'BO', 28, 'tty', 'ruby', 'O3', 'O0', 0.10536148238153098, 12.891852140426636]
['UO', 32, 'CO', 167, 'strings', 'logname', 'O2', 'O1', 0.1467873137738781, 0.8984072208404541]
['CO', 396, 'BO', 52, 'vdir', 'svn', 'O0', 'O3', 0.10801558257584698, 0.8985438346862793]
['BO', 0, 'UO', 83, 'codeblocks', 'diff', 'O1', 'O0', 0.16780152029118278, 12.355873823165894]
['CO', 259, 'UO', 76, 'realpath', 'addr2line', 'O2', 'O0', 0.15089890951959917, 2.175459861755371]
['CO', 379, 'UO', 39, 'nohup', 'size', 'O0', 'O2', 0.13965332380271622, 0.9627792835235596]
['CO', 349, 'BO', 28, 'truncate', 'ruby', 'O0', 'O0', 0.10390338515622632, 13.049502611160278]
['BO', 46, 'UO', 72, 'ruby', 'strings', 'O3', 'O0', 0.053561085024833366, 26.671796560287476]
['BO', 34, 'CO', 292, 'cp', 'vdir', 'O2', 'O2', 0.02722835859234518, 0.20276498794555664]
['UO', 34, 'CO', 367, 'ld', 'cp', 'O2', 'O0', 0.09942310690712541, 2.7809667587280273]
['BO', 28, 'UO', 64, 'ruby', 'diff', 'O0', 'O3', 0.09854711867419019, 14.475194215774536]
['CO', 180, 'UO', 0, 'md5sum', 'locate', 'O1', 'O1', 0.1242956579383494, 0.1355571746826172]
['UO', 10, 'CO', 187, 'objcopy', 'csplit', 'O1', 'O1', 0.1339108207895484, 1.3811159133911133]
['CO', 159, 'UO', 50, 'cp', 'strings', 'O1', 'O3', 0.10069872585285655, 1.137277603149414]
['BO', 32, 'CO', 348, 'ruby', 'pinky', 'O2', 'O0', 0.1236282840618057, 15.137265920639038]
['UO', 48, 'CO', 253, 'ranlib', 'split', 'O3', 'O2', 0.12800409067666607, 0.9193179607391357]
['CO', 308, 'BO', 25, 'tac', 'dot', 'O2', 'O3', 0.1924398625429553, 0.017447233200073242]
['CO', 369, 'UO', 32, 'od', 'strings', 'O0', 'O2', 0.12917208495882093, 1.074181079864502]
['BO', 7, 'CO', 391, 'sort', 'link', 'O0', 'O0', 0.14903403863845444, 0.15839648246765137]
['BO', 17, 'CO', 178, 'codeblocks', 'unexpand', 'O2', 'O1', 0.18696736645188117, 10.361546754837036]
