['BO', 81, 'UO', 22, 'sort', 'diff3', 'O3', 'O2', 0.08493956223456389, 0.10969138145446777]
['BO', 27, 'CO', 24, 'perl', 'tee', 'O3', 'O3', 0.08274771609276177, 2.381882905960083]
['BO', 69, 'CO', 250, 'cmp', 'sum', 'O3', 'O2', 0.035251798561151126, 0.03653073310852051]
['UO', 9, 'CO', 397, 'strings', '[', 'O1', 'O0', 0.13973464874978736, 1.183974027633667]
['CO', 318, 'BO', 82, 'mkdir', 'cp', 'O0', 'O3', 0.0338239091143816, 0.20784497261047363]
['CO', 187, 'UO', 31, 'csplit', 'c++filt', 'O1', 'O2', 0.13426213506078621, 1.0491461753845215]
['UO', 82, 'CO', 342, 'cmp', 'expand', 'O0', 'O0', 0.03749999999999998, 0.05877947807312012]
['UO', 64, 'CO', 331, 'diff', 'dd', 'O3', 'O0', 0.04734693877551022, 0.17012763023376465]
['CO', 136, 'UO', 67, 'expr', 'strip', 'O1', 'O0', 0.14169920427025162, 2.8920788764953613]
['UO', 84, 'CO', 24, 'sdiff', 'tee', 'O0', 'O3', 0.10165118679050567, 0.05978083610534668]
['BO', 43, 'CO', 239, 'diff', 'date', 'O1', 'O2', 0.09377845220030345, 0.14403915405273438]
['UO', 30, 'CO', 85, 'ranlib', '[', 'O2', 'O3', 0.1417998317914213, 1.0420312881469727]
['UO', 15, 'CO', 397, 'elfedit', '[', 'O1', 'O0', 0.06962785114045622, 0.0523076057434082]
['CO', 106, 'UO', 30, 'stat', 'ranlib', 'O1', 'O2', 0.12565571785973684, 1.295039176940918]
['BO', 1, 'CO', 162, 'ssh', 'df', 'O2', 'O1', 0.12940751009583507, 1.7795741558074951]
['UO', 43, 'CO', 59, 'find', 'tsort', 'O2', 'O3', 0.16000000000000003, 0.3605926036834717]
['UO', 17, 'CO', 354, 'objdump', 'sum', 'O1', 'O0', 0.1333812790440363, 2.1811790466308594]
['UO', 64, 'BO', 82, 'diff', 'cp', 'O3', 'O3', 0.030078667283664928, 0.19647860527038574]
['UO', 2, 'CO', 233, 'find', 'chgrp', 'O1', 'O2', 0.13260530421216843, 0.45389246940612793]
['UO', 41, 'CO', 184, 'locate', 'uname', 'O2', 'O1', 0.1405579399141631, 0.11608386039733887]
['BO', 68, 'CO', 378, 'git', 'runcon', 'O3', 'O0', 0.0919349161027887, 6.828653812408447]
['CO', 3, 'UO', 37, 'unlink', 'ar', 'O3', 'O2', 0.14693807731782416, 1.025320053100586]
['CO', 341, 'UO', 2, 'nproc', 'find', 'O0', 'O1', 0.1525395503746878, 0.4304952621459961]
['CO', 125, 'UO', 38, 'mktemp', 'elfedit', 'O1', 'O2', 0.06892150606253988, 0.046362876892089844]
['CO', 220, 'UO', 55, 'ptx', 'ar', 'O2', 'O3', 0.12552618285906725, 0.995203971862793]
['CO', 262, 'UO', 59, 'true', 'locate', 'O2', 'O3', 0.15399841646872525, 0.0943765640258789]
['CO', 178, 'BO', 35, 'unexpand', 'make', 'O1', 'O3', 0.1247240618101545, 0.24785518646240234]
['BO', 20, 'UO', 43, 'sort', 'find', 'O1', 'O2', 0.09107545045045051, 0.6147291660308838]
['BO', 43, 'CO', 95, 'diff', 'sha224sum', 'O1', 'O3', 0.1266115702479339, 0.11704230308532715]
['CO', 46, 'BO', 1, 'whoami', 'ssh', 'O3', 'O2', 0.1473670837832688, 1.4397287368774414]
['CO', 280, 'BO', 40, 'head', 'lua', 'O2', 'O0', 0.13969613541348014, 0.7632791996002197]
['UO', 5, 'CO', 7, 'readelf', 'fmt', 'O1', 'O3', 0.11597014925373139, 0.2948751449584961]
['CO', 343, 'BO', 44, 'date', 'cmp', 'O0', 'O2', 0.10019361084220713, 0.07262921333312988]
['BO', 31, 'CO', 174, 'bash', 'b2sum', 'O2', 'O1', 0.12066720911310003, 2.8786325454711914]
['CO', 172, 'UO', 23, 'yes', 'cmp', 'O1', 'O2', 0.05255140898705257, 0.03406524658203125]
['BO', 17, 'CO', 170, 'codeblocks', 'runcon', 'O2', 'O1', 0.1882874657623581, 11.079887628555298]
['UO', 9, 'CO', 323, 'strings', 'groups', 'O1', 'O0', 0.14476749201967043, 1.160871982574463]
['BO', 55, 'CO', 238, 'make', 'expand', 'O1', 'O2', 0.13584096667316314, 0.22647547721862793]
['CO', 45, 'BO', 42, 'split', 'cmp', 'O3', 'O1', 0.03924731182795704, 0.05003166198730469]
['CO', 349, 'BO', 82, 'truncate', 'cp', 'O0', 'O3', 0.08980322003577812, 0.10565710067749023]
['CO', 38, 'BO', 13, 'sha1sum', 'ruby', 'O3', 'O1', 0.10415365634472151, 13.62505578994751]
['BO', 54, 'CO', 199, 'lua', 'sha224sum', 'O3', 'O1', 0.11027736835052926, 0.3663020133972168]
['UO', 63, 'CO', 326, 'cmp', 'stty', 'O3', 'O0', 0.07510109763142692, 0.05557751655578613]
['CO', 292, 'BO', 33, 'vdir', 'sort', 'O2', 'O2', 0.023056994818652865, 0.21405887603759766]
['CO', 408, 'BO', 16, 'fold', 'make', 'O0', 'O0', 0.11565321069664458, 0.2947826385498047]
['CO', 47, 'BO', 52, 'numfmt', 'svn', 'O3', 'O3', 0.20048899755501226, 0.49610114097595215]
['CO', 320, 'UO', 38, 'dir', 'elfedit', 'O0', 'O2', 0.15966149506346972, 0.1913926601409912]
['UO', 2, 'CO', 367, 'find', 'cp', 'O1', 'O0', 0.060229558632114544, 0.8557224273681641]
['UO', 49, 'CO', 16, 'c++filt', 'dirname', 'O3', 'O3', 0.14057207376740688, 0.7779161930084229]
['CO', 37, 'BO', 35, 'truncate', 'make', 'O3', 'O3', 0.12958163643095144, 0.22739863395690918]
['CO', 9, 'BO', 69, 'du', 'cmp', 'O3', 'O3', 0.09404990403071012, 0.0845637321472168]
['UO', 3, 'CO', 237, 'nm', 'nproc', 'O1', 'O2', 0.15193251269690966, 1.0891525745391846]
['CO', 216, 'UO', 56, 'dir', 'elfedit', 'O2', 'O3', 0.12687687687687688, 0.101470947265625]
['BO', 75, 'UO', 0, 'gvmap', 'locate', 'O1', 'O1', 0.029135518497220625, 0.31741905212402344]
['CO', 127, 'BO', 40, 'pr', 'lua', 'O1', 'O0', 0.12414733969986358, 0.8711509704589844]
['CO', 260, 'UO', 84, 'sha256sum', 'sdiff', 'O2', 'O0', 0.10339168490153172, 0.06157350540161133]
['CO', 194, 'BO', 46, 'tr', 'ruby', 'O1', 'O3', 0.10376180322875417, 13.677306175231934]
['UO', 69, 'CO', 9, 'as', 'du', 'O0', 'O3', 0.12561707298549407, 4.529181480407715]
['UO', 76, 'CO', 238, 'addr2line', 'expand', 'O0', 'O2', 0.15413422100695473, 2.213120698928833]
['BO', 29, 'CO', 377, 'libvlc.so.12.0.0', 'false', 'O2', 'O0', 0.21483832572902206, 0.4432363510131836]
['CO', 288, 'BO', 67, 'uname', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.20861169356804998, 5.4960668087005615]
['CO', 171, 'UO', 24, 'nohup', 'diff', 'O1', 'O2', 0.12045213705404456, 0.11458468437194824]
['UO', 66, 'CO', 83, 'nm', 'csplit', 'O0', 'O3', 0.14675767918088733, 2.3710379600524902]
['BO', 79, 'CO', 241, 'bash', 'chown', 'O3', 'O2', 0.107540173053152, 2.758760929107666]
['CO', 160, 'BO', 67, 'cut', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.20349677295058277, 5.657629728317261]
['CO', 250, 'UO', 17, 'sum', 'objdump', 'O2', 'O1', 0.13848739495798323, 2.134439706802368]
['UO', 45, 'CO', 371, 'strip', 'tsort', 'O3', 'O0', 0.12450921171851403, 1.1168241500854492]
['CO', 183, 'UO', 12, 'link', 'gprof', 'O1', 'O1', 0.1472944253719144, 1.1571505069732666]
['BO', 25, 'CO', 345, 'dot', 'chown', 'O3', 'O0', 0.2138138138138138, 0.053072214126586914]
['BO', 66, 'UO', 74, 'svn', 'ld', 'O2', 'O0', 0.100141677321262, 7.436054468154907]
['CO', 7, 'BO', 15, 'fmt', 'diff', 'O3', 'O0', 0.153462441314554, 0.15880417823791504]
['CO', 192, 'UO', 58, 'shred', 'objdump', 'O1', 'O3', 0.11617247623358984, 1.897627830505371]
['CO', 365, 'UO', 67, 'chmod', 'strip', 'O0', 'O0', 0.13188567006819174, 3.3493995666503906]
['BO', 63, 'CO', 77, 'cluster', 'env', 'O0', 'O3', 0.13292476754015214, 0.1975538730621338]
['BO', 56, 'CO', 408, 'libvlc.so.12.0.0', 'fold', 'O3', 'O0', 0.19472315124489037, 0.4585304260253906]
['UO', 50, 'CO', 40, 'strings', 'sync', 'O3', 'O3', 0.1387057840497632, 0.8125467300415039]
['BO', 28, 'CO', 411, 'ruby', 'sort', 'O0', 'O0', 0.09526684731385482, 16.00425696372986]
['CO', 329, 'UO', 78, 'stdbuf', 'elfedit', 'O0', 'O0', 0.045949214026602125, 0.05431938171386719]
['UO', 19, 'BO', 35, 'cmp', 'make', 'O1', 'O3', 0.12001450326323426, 0.25681281089782715]
['UO', 52, 'BO', 4, 'ld', 'libgeany.so.0.0.0', 'O3', 'O2', 0.11586215715107728, 48.463329792022705]
