['BV', 13, 'CV', 101, 'cp', 'dirname', 'V2', 'V3', 0.11446046308431623, 0.06369400024414062]
['CV', 336, 'UV', 34, 'tr', 'elfedit', 'V1', 'V3', 0.07333842627960274, 0.02803778648376465]
['BV', 13, 'CV', 73, 'cp', 'shred', 'V2', 'V2', 0.0675471698113208, 0.09139847755432129]
['CV', 143, 'BV', 13, 'yes', 'cp', 'V3', 'V2', 0.11381407471763683, 0.06348180770874023]
['CV', 270, 'BV', 33, 'users', 'openssl', 'V1', 'V0', 0.10365638039557745, 5.85633111000061]
['CV', 121, 'BV', 43, 'echo', 'lua', 'V3', 'V0', 0.13697506561679784, 0.28447771072387695]
['BV', 55, 'CV', 114, 'codeblocks', 'expr', 'V3', 'V3', 0.1862539756419207, 11.229068279266357]
['UV', 84, 'CV', 56, 'ar', 'yes', 'V0', 'V2', 0.14803330970942596, 0.8810245990753174]
['CV', 232, 'BV', 65, 'readlink', 'ssh', 'V0', 'V1', 0.11946724068343872, 3.6065211296081543]
['UV', 84, 'CV', 70, 'ar', 'vdir', 'V0', 'V2', 0.11669211604918428, 1.2065489292144775]
['UV', 27, 'CV', 211, 'c++filt', 'seq', 'V3', 'V0', 0.15289834780173617, 0.8721127510070801]
['CV', 75, 'UV', 42, 'tr', 'diff', 'V2', 'V3', 0.11818801089918252, 0.09076619148254395]
['CV', 76, 'UV', 36, 'comm', 'objdump', 'V2', 'V3', 0.13658054003724396, 1.7841877937316895]
['BV', 15, 'UV', 9, 'libvlccore.so', 'readelf', 'V3', 'V2', 0.12911731469468046, 4.410393953323364]
['BV', 4, 'CV', 144, 'geany', 'who', 'V3', 'V3', 0.18017799632925857, 25.073896884918213]
['CV', 57, 'UV', 76, 'who', 'as', 'V2', 'V0', 0.12803307171529565, 1.6094307899475098]
['BV', 63, 'CV', 220, 'ruby', 'cut', 'V0', 'V0', 0.11678890625626226, 9.628368854522705]
['UV', 61, 'BV', 6, 'addr2line', 'libvlc.so', 'V1', 'V0', 0.07562556632048512, 1.8570213317871094]
['CV', 214, 'BV', 41, 'ls', 'libvlccore.so', 'V0', 'V1', 0.14940095021689737, 3.2483930587768555]
['CV', 290, 'UV', 72, 'tail', 'find', 'V1', 'V0', 0.12810763381105583, 0.14148497581481934]
['UV', 16, 'BV', 71, 'gprof', 'ruby', 'V2', 'V1', 0.15822730026832854, 0.8955094814300537]
['UV', 59, 'CV', 214, 'ld', 'ls', 'V1', 'V0', 0.11925531292078917, 1.8879685401916504]
['UV', 23, 'BV', 40, 'strip', 'lua', 'V3', 'V2', 0.05611148949546807, 2.5653555393218994]
['UV', 61, 'CV', 283, 'addr2line', 'kill', 'V1', 'V1', 0.14731742329086672, 0.8903870582580566]
['UV', 80, 'CV', 13, 'objcopy', 'join', 'V0', 'V2', 0.13082846142877513, 1.1827173233032227]
['BV', 43, 'CV', 97, 'lua', 'ptx', 'V0', 'V3', 0.11248879593665972, 0.34819531440734863]
['BV', 70, 'CV', 257, 'ssh', 'tac', 'V0', 'V0', 0.11171864452544888, 3.5279598236083984]
['CV', 2, 'BV', 60, 'unlink', 'codeblocks', 'V2', 'V1', 0.18675428910016434, 10.16184139251709]
['CV', 249, 'UV', 33, 'tr', 'ar', 'V0', 'V3', 0.147503003260683, 1.0257129669189453]
['BV', 59, 'CV', 343, 'make', 'sort', 'V1', 'V1', 0.09931134469010505, 0.25096607208251953]
['CV', 318, 'BV', 57, 'who', 'svn', 'V1', 'V2', 0.21568984346559883, 0.383774995803833]
['BV', 30, 'CV', 162, 'bash', 'tr', 'V0', 'V3', 0.12637820355760276, 2.105301856994629]
['CV', 235, 'UV', 83, 'ginstall', 'addr2line', 'V0', 'V0', 0.1259655898876404, 1.0280280113220215]
['UV', 60, 'CV', 133, 'gprof', 'cut', 'V1', 'V3', 0.13521172374706503, 1.034012794494629]
['UV', 77, 'CV', 198, 'ranlib', 'factor', 'V0', 'V0', 0.14858616396941138, 0.869210958480835]
