['BO', 59, 'CO', 144, 'libgeany.so.0.0.0', 'sync', 'O3', 'O1', 0.1683317388372203, 26.301501035690308]
['BO', 78, 'CO', 47, 'ssh', 'numfmt', 'O0', 'O3', 0.13843150993443776, 2.189526319503784]
['CO', 205, 'UO', 8, 'rmdir', 'c++filt', 'O1', 'O1', 0.14781693845344557, 1.0907814502716064]
['UO', 9, 'CO', 320, 'strings', 'dir', 'O1', 'O0', 0.09471139759742164, 1.7465829849243164]
['UO', 23, 'CO', 311, 'cmp', 'ln', 'O2', 'O2', 0.0848544647261964, 0.06689715385437012]
['CO', 242, 'BO', 7, 'tail', 'sort', 'O2', 'O0', 0.11569362613818956, 0.20322036743164062]
['CO', 313, 'BO', 52, 'touch', 'svn', 'O0', 'O3', 0.17072467944100267, 0.6432211399078369]
['CO', 161, 'UO', 47, 'od', 'as', 'O1', 'O3', 0.11553052074951142, 1.6220855712890625]
['UO', 69, 'BO', 39, 'as', 'codeblocks', 'O0', 'O3', 0.062013281735225245, 29.854780197143555]
['BO', 27, 'CO', 287, 'perl', 'link', 'O3', 'O2', 0.08432026935231396, 2.3354897499084473]
['BO', 4, 'UO', 10, 'libgeany.so.0.0.0', 'objcopy', 'O2', 'O1', 0.12349137644887609, 44.0299277305603]
['CO', 405, 'UO', 36, 'nl', 'addr2line', 'O0', 'O2', 0.13692430561717983, 1.0622978210449219]
['UO', 51, 'CO', 366, 'objcopy', 'true', 'O3', 'O0', 0.1291162505743606, 1.0399129390716553]
['BO', 70, 'UO', 16, 'diff', 'size', 'O3', 'O1', 0.11402110377286878, 1.5078763961791992]
['BO', 48, 'CO', 356, 'libvlccore.so.9.0.0', 'seq', 'O0', 'O0', 0.1790749155307002, 11.139606237411499]
['CO', 383, 'BO', 24, 'readlink', 'cluster', 'O0', 'O3', 0.09024867281363513, 0.16874122619628906]
['UO', 20, 'CO', 219, 'diff', 'groups', 'O1', 'O2', 0.1453385324353066, 0.10788393020629883]
['CO', 178, 'UO', 1, 'unexpand', 'xargs', 'O1', 'O1', 0.10500729217306759, 0.0794064998626709]
['UO', 23, 'BO', 46, 'cmp', 'ruby', 'O2', 'O3', 0.10384586093976089, 13.541880130767822]
['CO', 76, 'UO', 16, 'md5sum', 'size', 'O3', 'O1', 0.14738646101113972, 1.1103615760803223]
['UO', 73, 'CO', 385, 'objcopy', 'hostid', 'O0', 'O0', 0.14424570369256973, 2.803422212600708]
['CO', 270, 'UO', 21, 'printf', 'sdiff', 'O2', 'O1', 0.07314148681055155, 0.048462867736816406]
['CO', 330, 'BO', 9, 'uptime', 'git', 'O0', 'O0', 0.0906114813515726, 7.345521450042725]
['CO', 377, 'UO', 47, 'false', 'as', 'O0', 'O3', 0.12163515344289333, 1.546306848526001]
['BO', 47, 'CO', 10, 'libvlc.so.12.0.0', 'users', 'O0', 'O3', 0.23005409060175797, 0.5778558254241943]
['CO', 285, 'BO', 31, 'env', 'bash', 'O2', 'O2', 0.12560366533206757, 2.780250310897827]
['CO', 297, 'UO', 48, 'pathchk', 'ranlib', 'O2', 'O3', 0.1397175639894086, 0.8867936134338379]
['CO', 406, 'BO', 67, 'rm', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.1881403866660485, 6.353765487670898]
['CO', 41, 'UO', 10, 'echo', 'objcopy', 'O3', 'O1', 0.14530039467914047, 1.3331632614135742]
['CO', 35, 'BO', 47, 'base32', 'libvlc.so.12.0.0', 'O3', 'O0', 0.22763954270342968, 0.5977816581726074]
['CO', 344, 'UO', 28, 'expr', 'readelf', 'O0', 'O2', 0.09045226130653261, 0.3246269226074219]
['BO', 57, 'CO', 379, 'libvlccore.so.9.0.0', 'nohup', 'O3', 'O0', 0.15299590473539815, 4.556560277938843]
['UO', 53, 'CO', 20, 'gprof', 'mkfifo', 'O3', 'O3', 0.13552326081348354, 0.8816497325897217]
['CO', 328, 'UO', 36, 'dirname', 'addr2line', 'O0', 'O2', 0.14303786030541255, 0.9925141334533691]
['BO', 44, 'UO', 30, 'cmp', 'ranlib', 'O2', 'O2', 0.14062763624093133, 1.0732290744781494]
['BO', 64, 'CO', 218, 'dot', 'users', 'O0', 'O2', 0.17894736842105263, 0.015265703201293945]
['CO', 34, 'UO', 38, 'tail', 'elfedit', 'O3', 'O2', 0.06554019457245264, 0.050079345703125]
['CO', 374, 'BO', 56, 'printf', 'libvlc.so.12.0.0', 'O0', 'O3', 0.18959854014598543, 0.46898770332336426]
['UO', 14, 'CO', 120, 'ar', 'dirname', 'O1', 'O1', 0.1499793644242674, 1.185699462890625]
['CO', 219, 'UO', 22, 'groups', 'diff3', 'O2', 'O2', 0.07837837837837835, 0.039060354232788086]
['BO', 51, 'CO', 352, 'lua', 'sync', 'O1', 'O0', 0.12510991081522427, 0.47628307342529297]
['UO', 77, 'CO', 59, 'ar', 'tsort', 'O0', 'O3', 0.1515083295812697, 2.351332664489746]
['CO', 162, 'BO', 64, 'df', 'dot', 'O1', 'O0', 0.21243210621605313, 0.04765009880065918]
['CO', 400, 'BO', 27, 'shred', 'perl', 'O0', 'O3', 0.07638668779714741, 2.9566807746887207]
['CO', 278, 'BO', 34, 'b2sum', 'cp', 'O2', 'O2', 0.10314232902033271, 0.10576081275939941]
['UO', 41, 'CO', 300, 'locate', 'sha512sum', 'O2', 'O2', 0.13221990257480865, 0.12192845344543457]
['UO', 36, 'CO', 145, 'addr2line', 'echo', 'O2', 'O1', 0.14678564924421778, 0.9472544193267822]
['CO', 340, 'BO', 23, 'factor', 'git', 'O0', 'O2', 0.08861443458124274, 7.791109323501587]
['UO', 27, 'BO', 49, 'strip', 'svn', 'O2', 'O0', 0.0575298804780876, 3.10117244720459]
['CO', 14, 'BO', 39, 'stty', 'codeblocks', 'O3', 'O3', 0.18372448979591838, 11.268938779830933]
['UO', 27, 'CO', 171, 'strip', 'nohup', 'O2', 'O1', 0.13692977190876354, 1.2335638999938965]
['BO', 74, 'CO', 100, 'dot', 'tac', 'O1', 'O3', 0.16828793774319073, 0.01929497718811035]
['CO', 115, 'BO', 52, 'groups', 'svn', 'O1', 'O3', 0.2089670468948035, 0.48087477684020996]
['CO', 388, 'BO', 63, 'md5sum', 'cluster', 'O0', 'O0', 0.109270854372854, 0.24424266815185547]
['CO', 136, 'UO', 4, 'expr', 'strip', 'O1', 'O1', 0.13681805198514707, 1.4566454887390137]
['CO', 28, 'UO', 78, 'factor', 'elfedit', 'O3', 'O0', 0.03275109170305679, 0.04676198959350586]
['BO', 5, 'CO', 135, 'libgeany.so.0.0.0', 'date', 'O1', 'O1', 0.17176749703440097, 31.009158849716187]
['BO', 17, 'CO', 254, 'codeblocks', 'whoami', 'O2', 'O2', 0.18913480885311873, 11.14291787147522]
['UO', 4, 'CO', 356, 'strip', 'seq', 'O1', 'O0', 0.136826992103374, 1.454904556274414]
['CO', 236, 'UO', 49, 'factor', 'c++filt', 'O2', 'O3', 0.12984884356219273, 0.8767461776733398]
['UO', 6, 'CO', 242, 'as', 'tail', 'O1', 'O2', 0.125675383617895, 2.0816776752471924]
['BO', 4, 'CO', 218, 'libgeany.so.0.0.0', 'users', 'O2', 'O2', 0.1784348103283392, 28.53203821182251]
['BO', 45, 'CO', 30, 'diff', 'expand', 'O2', 'O3', 0.1265997924593566, 0.10336685180664062]
['CO', 209, 'BO', 58, 'touch', 'svn', 'O2', 'O1', 0.1976567255021302, 0.5795912742614746]
['BO', 12, 'CO', 402, 'libgeany.so.0.0.0', 'tr', 'O0', 'O0', 0.1894706336939722, 29.114499807357788]
['BO', 6, 'CO', 97, 'codeblocks', 'uniq', 'O0', 'O3', 0.20511919513232602, 28.966522216796875]
['UO', 21, 'CO', 362, 'sdiff', 'dircolors', 'O1', 'O0', 0.045886961387800795, 0.060865163803100586]
['UO', 78, 'CO', 32, 'elfedit', 'expr', 'O0', 'O3', 0.04988123515439424, 0.04085040092468262]
['CO', 203, 'UO', 28, 'sort', 'readelf', 'O1', 'O2', 0.05771708322597269, 0.4679532051086426]
['BO', 59, 'CO', 285, 'libgeany.so.0.0.0', 'env', 'O3', 'O2', 0.16883076101804018, 25.77892518043518]
['CO', 116, 'BO', 51, 'ptx', 'lua', 'O1', 'O1', 0.11296076099881092, 0.541243314743042]
['UO', 48, 'CO', 9, 'ranlib', 'du', 'O3', 'O3', 0.10850208809392481, 1.165032148361206]
['BO', 70, 'CO', 219, 'diff', 'groups', 'O3', 'O2', 0.12669039145907468, 0.17857646942138672]
['BO', 42, 'CO', 254, 'cmp', 'whoami', 'O1', 'O2', 0.082859463850528, 0.059162139892578125]
['BO', 5, 'CO', 128, 'libgeany.so.0.0.0', 'tee', 'O1', 'O1', 0.17407088946211902, 28.935972690582275]
['UO', 79, 'CO', 213, 'size', 'basename', 'O0', 'O2', 0.1557854679510049, 2.1716294288635254]
['CO', 170, 'BO', 29, 'runcon', 'libvlc.so.12.0.0', 'O1', 'O2', 0.22387161484453366, 0.413161039352417]
['CO', 94, 'BO', 31, 'rm', 'bash', 'O3', 'O2', 0.11779538904899134, 2.9755043983459473]
['CO', 301, 'UO', 70, 'nl', 'ranlib', 'O2', 'O0', 0.15281714091372867, 2.424318790435791]
['CO', 306, 'UO', 23, 'sleep', 'cmp', 'O2', 'O2', 0.0721732157177225, 0.030778884887695312]
['CO', 383, 'UO', 24, 'readlink', 'diff', 'O0', 'O2', 0.08744756373023554, 0.14611268043518066]
['BO', 48, 'CO', 160, 'libvlccore.so.9.0.0', 'cut', 'O0', 'O1', 0.18082247794847828, 11.105530500411987]
['UO', 25, 'CO', 98, 'sdiff', 'sleep', 'O2', 'O3', 0.09256926952141054, 0.0390629768371582]
['UO', 45, 'CO', 134, 'strip', 'expand', 'O3', 'O1', 0.12812904207562958, 1.070786476135254]
['CO', 171, 'BO', 76, 'nohup', 'openssl', 'O1', 'O2', 0.27778968577185237, 7.988961935043335]
['CO', 346, 'BO', 71, 'tail', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.1844518380264546, 8.048951148986816]
['UO', 9, 'CO', 332, 'strings', 'mkfifo', 'O1', 'O0', 0.12049450108372806, 1.4374420642852783]
['CO', 113, 'UO', 21, 'du', 'sdiff', 'O1', 'O1', 0.08982035928143717, 0.12027645111083984]
['UO', 9, 'BO', 40, 'strings', 'lua', 'O1', 'O0', 0.02438047559449308, 3.309452533721924]
['UO', 48, 'CO', 185, 'ranlib', 'cat', 'O3', 'O1', 0.13423462712603573, 0.9264204502105713]
['UO', 72, 'CO', 282, 'strings', 'unexpand', 'O0', 'O2', 0.15378216174460757, 2.190228223800659]
['UO', 73, 'CO', 162, 'objcopy', 'df', 'O0', 'O1', 0.13290012033694343, 3.2041337490081787]
['CO', 336, 'BO', 3, 'tee', 'openssl', 'O0', 'O1', 0.2756245722108145, 8.203731536865234]
['CO', 173, 'BO', 20, 'who', 'sort', 'O1', 'O1', 0.11577832686198375, 0.13044023513793945]
['CO', 343, 'UO', 53, 'date', 'gprof', 'O0', 'O3', 0.1150068987906826, 1.2005598545074463]
['BO', 82, 'CO', 106, 'cp', 'stat', 'O3', 'O1', 0.04949314251639836, 0.15230250358581543]
['BO', 51, 'CO', 15, 'lua', 'join', 'O1', 'O3', 0.12072507552870093, 0.48742032051086426]
['CO', 121, 'UO', 58, 'stdbuf', 'objdump', 'O1', 'O3', 0.12302457030799396, 1.6742479801177979]
['CO', 323, 'UO', 71, 'groups', 'c++filt', 'O0', 'O0', 0.14863983879570908, 2.304065465927124]
['CO', 130, 'UO', 56, 'kill', 'elfedit', 'O1', 'O3', 0.040710584752035484, 0.035822391510009766]
['CO', 69, 'UO', 57, 'who', 'size', 'O3', 'O3', 0.13227322009396458, 0.8671410083770752]
['UO', 53, 'BO', 72, 'gprof', 'make', 'O3', 'O2', 0.0614847715736041, 1.7031400203704834]
['UO', 49, 'CO', 53, 'c++filt', 'chmod', 'O3', 'O3', 0.12607526881720432, 0.8430886268615723]
['BO', 15, 'CO', 94, 'diff', 'rm', 'O0', 'O3', 0.11141990904497223, 0.19799399375915527]
['BO', 71, 'CO', 331, 'libSDL2-2.0.so.0.16.0', 'dd', 'O0', 'O0', 0.1869021339220015, 7.554888725280762]
['BO', 33, 'CO', 259, 'sort', 'realpath', 'O2', 'O2', 0.11829593001141114, 0.10721564292907715]
['CO', 221, 'BO', 15, 'printenv', 'diff', 'O2', 'O0', 0.17713004484304928, 0.1440114974975586]
['BO', 24, 'CO', 76, 'cluster', 'md5sum', 'O3', 'O3', 0.12054874489200229, 0.12036633491516113]
['BO', 69, 'CO', 87, 'cmp', 'id', 'O3', 'O3', 0.04290429042904287, 0.03654074668884277]
['BO', 23, 'CO', 83, 'git', 'csplit', 'O2', 'O3', 0.09117967473348376, 6.762308120727539]
['UO', 29, 'CO', 272, 'as', 'tty', 'O2', 'O2', 0.13301552235335157, 1.6797046661376953]
['CO', 51, 'UO', 18, 'realpath', 'diff3', 'O3', 'O1', 0.056524035921817206, 0.05227041244506836]
['CO', 212, 'UO', 7, 'test', 'ranlib', 'O2', 'O1', 0.1484515811895789, 1.1840894222259521]
['CO', 43, 'BO', 56, 'chroot', 'libvlc.so.12.0.0', 'O3', 'O3', 0.2027301235934329, 0.4386124610900879]
['BO', 82, 'CO', 165, 'cp', 'cksum', 'O3', 'O1', 0.10926902788244164, 0.0866396427154541]
['CO', 307, 'UO', 2, 'sort', 'find', 'O2', 'O1', 0.09914032168607878, 0.6174821853637695]
['UO', 35, 'CO', 323, 'gprof', 'groups', 'O2', 'O0', 0.13632204940530646, 1.1066243648529053]
['CO', 168, 'UO', 32, 'tty', 'strings', 'O1', 'O2', 0.14677389873880464, 0.9783785343170166]
['CO', 400, 'BO', 39, 'shred', 'codeblocks', 'O0', 'O3', 0.17860749267898623, 12.396449327468872]
['CO', 339, 'UO', 72, 'wc', 'strings', 'O0', 'O0', 0.14284054603543428, 2.5539700984954834]
['BO', 9, 'CO', 317, 'git', 'basename', 'O0', 'O0', 0.09238544870413534, 6.761293888092041]
['CO', 46, 'UO', 31, 'whoami', 'c++filt', 'O3', 'O2', 0.14812092253974085, 0.915266752243042]
['CO', 257, 'BO', 75, 'nice', 'gvmap', 'O2', 'O1', 0.13937077330197, 0.1227879524230957]
['BO', 70, 'CO', 246, 'diff', 'sha1sum', 'O3', 'O2', 0.1157455683003128, 0.09632396697998047]
['CO', 308, 'BO', 48, 'tac', 'libvlccore.so.9.0.0', 'O2', 'O0', 0.18186341948892082, 11.25758981704712]
['CO', 104, 'UO', 0, 'sha384sum', 'locate', 'O1', 'O1', 0.12174199934015173, 0.14453577995300293]
['UO', 56, 'CO', 292, 'elfedit', 'vdir', 'O3', 'O2', 0.12687687687687688, 0.10142350196838379]
['UO', 75, 'CO', 328, 'gprof', 'dirname', 'O0', 'O0', 0.14788097385031562, 2.384600877761841]
['BO', 36, 'CO', 256, 'cluster', 'ls', 'O2', 'O2', 0.04692906574394462, 0.256793737411499]
['UO', 75, 'CO', 71, 'gprof', 'readlink', 'O0', 'O3', 0.14748241598749579, 2.337998628616333]
['CO', 209, 'BO', 6, 'touch', 'codeblocks', 'O2', 'O0', 0.20386772955417776, 29.641268253326416]
['UO', 17, 'CO', 231, 'objdump', 'pr', 'O1', 'O2', 0.13259153694365278, 2.192150592803955]
['UO', 26, 'BO', 37, 'nm', 'gvmap', 'O2', 'O2', 0.09704922894424672, 1.4813752174377441]
['BO', 39, 'CO', 353, 'codeblocks', 'echo', 'O3', 'O0', 0.18471697628407724, 11.017549276351929]
['UO', 34, 'BO', 13, 'ld', 'ruby', 'O2', 'O1', 0.05628534037877475, 26.417787551879883]
['BO', 67, 'CO', 383, 'libSDL2-2.0.so.0.16.0', 'readlink', 'O1', 'O0', 0.19834829100630136, 5.835174798965454]
['BO', 73, 'UO', 25, 'cluster', 'sdiff', 'O1', 'O2', 0.10594245764990584, 0.1586768627166748]
['BO', 45, 'CO', 343, 'diff', 'date', 'O2', 'O0', 0.060536836093660784, 0.1706397533416748]
['CO', 27, 'UO', 56, 'wc', 'elfedit', 'O3', 'O3', 0.053391959798995026, 0.0402369499206543]
['CO', 161, 'UO', 49, 'od', 'c++filt', 'O1', 'O3', 0.12627677845069152, 0.9132659435272217]
['BO', 52, 'CO', 39, 'svn', 'paste', 'O3', 'O3', 0.2122120542757968, 0.4493832588195801]
['CO', 139, 'BO', 46, 'base32', 'ruby', 'O1', 'O3', 0.10397926513187983, 13.366598129272461]
['UO', 32, 'BO', 53, 'strings', 'bash', 'O2', 'O0', 0.05305074879610516, 8.475132465362549]
['CO', 97, 'BO', 28, 'uniq', 'ruby', 'O3', 'O0', 0.10412226202893293, 14.917243242263794]
['UO', 20, 'CO', 253, 'diff', 'split', 'O1', 'O2', 0.1008217446270544, 0.13931059837341309]
['CO', 238, 'UO', 45, 'expand', 'strip', 'O2', 'O3', 0.13098796658235612, 1.0589017868041992]
['CO', 223, 'UO', 73, 'join', 'objcopy', 'O2', 'O0', 0.14344710916509107, 2.8106184005737305]
['CO', 403, 'BO', 40, 'comm', 'lua', 'O0', 'O0', 0.1318548387096774, 0.7865900993347168]
['BO', 31, 'CO', 389, 'bash', 'env', 'O2', 'O0', 0.12181766172203834, 2.8628642559051514]
['UO', 19, 'CO', 60, 'cmp', 'base64', 'O1', 'O3', 0.05098572399728074, 0.03588294982910156]
['CO', 51, 'BO', 83, 'realpath', 'lua', 'O3', 'O2', 0.12261966031909421, 0.42580246925354004]
['UO', 49, 'CO', 305, 'c++filt', 'uniq', 'O3', 'O2', 0.13409428359317, 0.8275010585784912]
['UO', 11, 'CO', 176, 'ld', 'head', 'O1', 'O1', 0.14255983350676382, 2.0861124992370605]
['CO', 238, 'BO', 19, 'expand', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.16369934745830983, 4.8525896072387695]
['BO', 34, 'CO', 90, 'cp', 'tr', 'O2', 'O3', 0.1101353823637029, 0.09631729125976562]
['BO', 47, 'CO', 346, 'libvlc.so.12.0.0', 'tail', 'O0', 'O0', 0.17012569424144985, 0.8428406715393066]
['UO', 42, 'CO', 105, 'xargs', 'touch', 'O2', 'O1', 0.051882845188284565, 0.10651183128356934]
['UO', 39, 'CO', 269, 'size', 'cksum', 'O2', 'O2', 0.14903319956220362, 0.9150044918060303]
['UO', 37, 'CO', 18, 'ar', 'uptime', 'O2', 'O3', 0.13983263598326356, 1.064446210861206]
['UO', 30, 'CO', 97, 'ranlib', 'uniq', 'O2', 'O3', 0.13935451588691516, 1.0444004535675049]
['BO', 20, 'UO', 64, 'sort', 'diff', 'O1', 'O3', 0.030069930069930084, 0.22704410552978516]
['UO', 79, 'BO', 26, 'size', 'gvmap', 'O0', 'O3', 0.11920150109454808, 2.9696950912475586]
['CO', 285, 'UO', 65, 'env', 'sdiff', 'O2', 'O3', 0.0890635232481991, 0.039549827575683594]
['CO', 39, 'UO', 0, 'paste', 'locate', 'O3', 'O1', 0.14401076716016148, 0.1223595142364502]
['BO', 4, 'CO', 130, 'libgeany.so.0.0.0', 'kill', 'O2', 'O1', 0.17767062904791464, 28.749236345291138]
['BO', 55, 'CO', 193, 'make', 'pathchk', 'O1', 'O1', 0.13341135166764184, 0.23119449615478516]
['BO', 26, 'CO', 184, 'gvmap', 'uname', 'O3', 'O1', 0.126905041031653, 0.11887979507446289]
['CO', 401, 'BO', 7, 'pathchk', 'sort', 'O0', 'O0', 0.14302920806985853, 0.1788034439086914]
['UO', 21, 'CO', 92, 'sdiff', 'sha512sum', 'O1', 'O3', 0.0678733031674208, 0.04743051528930664]
['BO', 78, 'CO', 335, 'ssh', 'pr', 'O0', 'O0', 0.12704076644833318, 2.5037965774536133]
['UO', 45, 'CO', 101, 'strip', 'rmdir', 'O3', 'O3', 0.12920367418203904, 1.050166368484497]
['UO', 20, 'CO', 147, 'diff', 'chroot', 'O1', 'O1', 0.1213930348258706, 0.12669801712036133]
['BO', 53, 'CO', 61, 'bash', 'cksum', 'O0', 'O3', 0.12668973142632955, 3.6789233684539795]
['BO', 81, 'CO', 361, 'sort', 'nice', 'O3', 'O0', 0.10156806842480404, 0.10621452331542969]
['CO', 183, 'BO', 32, 'link', 'ruby', 'O1', 'O2', 0.12589750149228274, 15.57222056388855]
['BO', 56, 'CO', 78, 'libvlc.so.12.0.0', 'chcon', 'O3', 'O3', 0.17789941840574752, 0.4702327251434326]
['CO', 283, 'UO', 6, 'mv', 'as', 'O2', 'O1', 0.10835363377994311, 2.6043431758880615]
['BO', 60, 'CO', 63, 'openssl', 'logname', 'O0', 'O3', 0.2724535679374389, 9.097806692123413]
['BO', 83, 'UO', 26, 'lua', 'nm', 'O2', 'O2', 0.04540534381587191, 2.4174234867095947]
['CO', 276, 'UO', 1, 'yes', 'xargs', 'O2', 'O1', 0.14207947740881877, 0.06427502632141113]
['BO', 19, 'UO', 45, 'libvlccore.so.9.0.0', 'strip', 'O1', 'O3', 0.06593316811460004, 10.543356895446777]
['UO', 58, 'BO', 19, 'objdump', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.04817743396411167, 12.552229404449463]
['BO', 73, 'CO', 141, 'cluster', 'truncate', 'O1', 'O1', 0.12838844206136435, 0.13370800018310547]
['BO', 46, 'CO', 65, 'ruby', 'false', 'O3', 'O3', 0.10505890082354197, 13.178900718688965]
['BO', 61, 'CO', 81, 'git', 'cat', 'O1', 'O3', 0.09289895647747515, 6.578871726989746]
