['CO', 114, 'UO', 52, 'users', 'ld', 'O1', 'O3', 0.132788068318499, 1.6253690719604492]
['CO', 40, 'UO', 47, 'sync', 'as', 'O3', 'O3', 0.12327398789588107, 1.476611852645874]
['UO', 45, 'CO', 249, 'strip', 'echo', 'O3', 'O2', 0.1340094449175505, 1.0042166709899902]
['BO', 63, 'UO', 52, 'cluster', 'ld', 'O0', 'O3', 0.0859433351590898, 2.5836455821990967]
['BO', 56, 'CO', 107, 'libvlc.so.12.0.0', 'unlink', 'O3', 'O1', 0.21278644328904295, 0.389819860458374]
['BO', 55, 'CO', 175, 'make', 'readlink', 'O1', 'O1', 0.11978971085242207, 0.23437285423278809]
['UO', 87, 'CO', 81, 'find', 'cat', 'O0', 'O3', 0.17010789929399228, 0.569453239440918]
['BO', 51, 'CO', 55, 'lua', 'cp', 'O1', 'O3', 0.09102564102564104, 0.607489824295044]
['CO', 6, 'UO', 18, 'mkdir', 'diff3', 'O3', 'O1', 0.04987012987012984, 0.052181243896484375]
['CO', 268, 'UO', 0, 'base64', 'locate', 'O2', 'O1', 0.14236111111111116, 0.11730766296386719]
['BO', 36, 'CO', 197, 'cluster', 'nl', 'O2', 'O1', 0.12051053725140992, 0.12789607048034668]
['CO', 238, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19274292503359758, 27.741530179977417]
['CO', 70, 'BO', 24, 'b2sum', 'cluster', 'O3', 'O3', 0.10924839340597936, 0.1256411075592041]
['UO', 78, 'CO', 184, 'elfedit', 'uname', 'O0', 'O1', 0.0676363636363636, 0.03536844253540039]
['CO', 333, 'UO', 48, 'mktemp', 'ranlib', 'O0', 'O3', 0.1235259183846611, 1.0289561748504639]
['BO', 34, 'CO', 81, 'cp', 'cat', 'O2', 'O3', 0.11715481171548114, 0.08448243141174316]
['CO', 40, 'UO', 70, 'sync', 'ranlib', 'O3', 'O0', 0.15324998585732874, 2.284008502960205]
['BO', 72, 'UO', 18, 'make', 'diff3', 'O2', 'O1', 0.10598201936376206, 0.26727867126464844]
['CO', 410, 'UO', 23, 'sleep', 'cmp', 'O0', 'O2', 0.04641350210970463, 0.04043102264404297]
['BO', 79, 'CO', 319, 'bash', 'fmt', 'O3', 'O0', 0.11046761886127965, 2.5319626331329346]
['UO', 54, 'CO', 269, 'addr2line', 'cksum', 'O3', 'O2', 0.14166744643024232, 0.7724652290344238]
['CO', 224, 'UO', 24, 'dirname', 'diff', 'O2', 'O2', 0.14647036617591547, 0.08680295944213867]
['BO', 72, 'CO', 321, 'make', 'du', 'O2', 'O0', 0.05105406568191595, 0.45989179611206055]
['BO', 22, 'UO', 35, 'perl', 'gprof', 'O0', 'O2', 0.04687536530054004, 8.303881406784058]
['CO', 248, 'UO', 56, 'sync', 'elfedit', 'O2', 'O3', 0.07036423841059603, 0.028151988983154297]
['UO', 51, 'CO', 413, 'objcopy', 'rmdir', 'O3', 'O0', 0.12552142586272286, 1.055600881576538]
['CO', 79, 'UO', 57, 'link', 'size', 'O3', 'O3', 0.14009617162936938, 0.7657668590545654]
['UO', 80, 'CO', 201, 'objdump', 'uniq', 'O0', 'O1', 0.13949732114717928, 3.957852363586426]
['UO', 32, 'CO', 357, 'strings', 'split', 'O2', 'O0', 0.1266769865841073, 1.0900311470031738]
['CO', 292, 'UO', 10, 'vdir', 'objcopy', 'O2', 'O1', 0.11505012281749982, 1.7297468185424805]
['UO', 49, 'BO', 80, 'c++filt', 'ssh', 'O3', 'O3', 0.03196819085487079, 3.796283721923828]
['CO', 304, 'BO', 13, 'fold', 'ruby', 'O2', 'O1', 0.10476859845070208, 12.773096084594727]
['UO', 7, 'CO', 139, 'ranlib', 'base32', 'O1', 'O1', 0.14572454308093996, 1.1430389881134033]
