['CO', 363, 'BO', 57, 'realpath', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.14916322110651703, 5.1011857986450195]
['CO', 182, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O0', 0.18830881645995579, 31.62839388847351]
['BO', 27, 'CO', 374, 'perl', 'printf', 'O3', 'O0', 0.08058062443412484, 2.559216022491455]
['CO', 335, 'UO', 61, 'pr', 'find', 'O0', 'O3', 0.10360216767612362, 0.4503931999206543]
['CO', 89, 'BO', 0, 'pathchk', 'codeblocks', 'O3', 'O1', 0.186262247237857, 10.742533922195435]
['UO', 60, 'CO', 132, 'xargs', 'factor', 'O3', 'O1', 0.06325301204819278, 0.0917520523071289]
['CO', 125, 'BO', 59, 'mktemp', 'libgeany.so.0.0.0', 'O1', 'O3', 0.166820319702486, 27.141477823257446]
['BO', 58, 'CO', 64, 'svn', 'tty', 'O1', 'O3', 0.22629521016617793, 0.48239660263061523]
['UO', 53, 'BO', 64, 'gprof', 'dot', 'O3', 'O0', 0.14768984242855865, 0.8186848163604736]
['BO', 47, 'CO', 244, 'libvlc.so.12.0.0', 'pinky', 'O0', 'O2', 0.2290606985418786, 0.615833044052124]
['CO', 137, 'BO', 32, 'chown', 'ruby', 'O1', 'O2', 0.12212723624529986, 17.064209938049316]
['UO', 54, 'CO', 193, 'addr2line', 'pathchk', 'O3', 'O1', 0.13837295690936102, 0.8512833118438721]
['BO', 60, 'CO', 254, 'openssl', 'whoami', 'O0', 'O2', 0.2737197612315425, 9.05322790145874]
['BO', 74, 'CO', 266, 'dot', 'df', 'O1', 'O2', 0.2037854889589905, 0.04260396957397461]
['UO', 9, 'CO', 161, 'strings', 'od', 'O1', 'O1', 0.13895446880269813, 1.2079193592071533]
['CO', 271, 'BO', 26, 'logname', 'gvmap', 'O2', 'O3', 0.13841039588999693, 0.11490845680236816]
['BO', 52, 'CO', 134, 'svn', 'expand', 'O3', 'O1', 0.20668453413211418, 0.49735116958618164]
['CO', 257, 'UO', 25, 'nice', 'sdiff', 'O2', 'O2', 0.0997267759562841, 0.03925514221191406]
['BO', 24, 'CO', 34, 'cluster', 'tail', 'O3', 'O3', 0.09358081979891719, 0.15148258209228516]
['CO', 261, 'UO', 78, 'chmod', 'elfedit', 'O2', 'O0', 0.046961325966850875, 0.053569793701171875]
['CO', 140, 'UO', 16, 'pinky', 'size', 'O1', 'O1', 0.14498842493355057, 1.1740696430206299]
['CO', 27, 'BO', 8, 'wc', 'cp', 'O3', 'O0', 0.13757139309659794, 0.21698236465454102]
['BO', 82, 'CO', 56, 'cp', 'cut', 'O3', 'O3', 0.10272759475735038, 0.09240007400512695]
['BO', 12, 'CO', 364, 'libgeany.so.0.0.0', 'sha256sum', 'O0', 'O0', 0.18999787106388744, 29.749865293502808]
['CO', 146, 'UO', 79, 'sum', 'size', 'O1', 'O0', 0.149947263564983, 2.2996468544006348]
['BO', 17, 'CO', 411, 'codeblocks', 'sort', 'O2', 'O0', 0.16966250463592536, 13.279093503952026]
['CO', 243, 'BO', 52, 'base32', 'svn', 'O2', 'O3', 0.21373679154658975, 0.47990918159484863]
['CO', 141, 'BO', 57, 'truncate', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.1550009982032342, 4.545055389404297]
['UO', 32, 'CO', 34, 'strings', 'tail', 'O2', 'O3', 0.13173549443917576, 1.0339877605438232]
['UO', 32, 'BO', 82, 'strings', 'cp', 'O2', 'O3', 0.1114590861639766, 1.262359380722046]
['BO', 29, 'CO', 171, 'libvlc.so.12.0.0', 'nohup', 'O2', 'O1', 0.2157440125638006, 0.41791367530822754]
['CO', 345, 'UO', 1, 'chown', 'xargs', 'O0', 'O1', 0.024537695590327147, 0.14105963706970215]
['UO', 20, 'CO', 61, 'diff', 'cksum', 'O1', 'O3', 0.14226662073716845, 0.10294795036315918]
['BO', 38, 'UO', 23, 'acyclic', 'cmp', 'O2', 'O2', 0.17821782178217815, 0.020491361618041992]
['BO', 24, 'CO', 113, 'cluster', 'du', 'O3', 'O1', 0.04549489569462939, 0.2355029582977295]
['UO', 0, 'CO', 116, 'locate', 'ptx', 'O1', 'O1', 0.09072285630670174, 0.16951274871826172]
