['CO', 68, 'BO', 19, 'yes', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.1642373973264616, 4.5258824825286865]
['UO', 63, 'CO', 59, 'cmp', 'tsort', 'O3', 'O3', 0.041188386225523343, 0.0331878662109375]
['UO', 51, 'CO', 345, 'objcopy', 'chown', 'O3', 'O0', 0.10855499640546373, 1.280097246170044]
['CO', 184, 'BO', 15, 'uname', 'diff', 'O1', 'O0', 0.16178736517719572, 0.1492321491241455]
['CO', 325, 'UO', 49, 'printenv', 'c++filt', 'O0', 'O3', 0.13554075602663918, 0.8158810138702393]
['CO', 381, 'BO', 16, 'who', 'make', 'O0', 'O0', 0.10462247080111864, 0.2965528964996338]
['UO', 21, 'CO', 48, 'sdiff', 'ls', 'O1', 'O3', 0.08516746411483256, 0.11679720878601074]
['UO', 80, 'CO', 395, 'objdump', 'csplit', 'O0', 'O0', 0.13386834147476157, 4.2635393142700195]
['BO', 33, 'CO', 49, 'sort', 'nice', 'O2', 'O3', 0.13905442987683747, 0.08549785614013672]
['UO', 16, 'BO', 40, 'size', 'lua', 'O1', 'O0', 0.02465315899790399, 3.124770164489746]
['BO', 18, 'CO', 81, 'libvlc.so.12.0.0', 'cat', 'O1', 'O3', 0.2194513715710723, 0.4181966781616211]
['BO', 2, 'CO', 385, 'perl', 'hostid', 'O1', 'O0', 0.07601226345279632, 2.3891193866729736]
['CO', 376, 'UO', 7, 'tty', 'ranlib', 'O0', 'O1', 0.14673556430446189, 1.1743073463439941]
['CO', 183, 'BO', 2, 'link', 'perl', 'O1', 'O1', 0.07694344418555388, 2.4112274646759033]
['CO', 211, 'BO', 54, 'unlink', 'lua', 'O2', 'O3', 0.12314107018763032, 0.304318904876709]
['UO', 34, 'CO', 90, 'ld', 'tr', 'O2', 'O3', 0.13949768984717448, 1.7890560626983643]
['CO', 290, 'UO', 37, 'shuf', 'ar', 'O2', 'O2', 0.13447473404255317, 1.058539628982544]
['BO', 31, 'CO', 391, 'bash', 'link', 'O2', 'O0', 0.12351514653294426, 2.681701898574829]
['BO', 12, 'CO', 334, 'libgeany.so.0.0.0', 'pwd', 'O0', 'O0', 0.19085406076597722, 27.355037212371826]
['UO', 79, 'BO', 11, 'size', 'ssh', 'O0', 'O1', 0.02741029789664029, 7.09921407699585]
['UO', 22, 'CO', 55, 'diff3', 'cp', 'O2', 'O3', 0.08823529411764708, 0.1039738655090332]
['CO', 111, 'UO', 9, 'fmt', 'strings', 'O1', 'O1', 0.14664356864443484, 1.0624682903289795]
['BO', 80, 'CO', 70, 'ssh', 'b2sum', 'O3', 'O3', 0.13520774757888154, 1.2926785945892334]
['CO', 78, 'UO', 73, 'chcon', 'objcopy', 'O3', 'O0', 0.1378504672897196, 2.7510125637054443]
['CO', 183, 'BO', 35, 'link', 'make', 'O1', 'O3', 0.13207547169811318, 0.2241520881652832]
['BO', 13, 'CO', 414, 'ruby', 'mknod', 'O1', 'O0', 0.09919776455741847, 13.87311863899231]
['UO', 87, 'CO', 241, 'find', 'chown', 'O0', 'O2', 0.1445072190834903, 0.6758551597595215]
['CO', 108, 'BO', 19, 'test', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.16098848368522067, 4.618701219558716]
['BO', 33, 'CO', 153, 'sort', 'nice', 'O2', 'O1', 0.13151563753007212, 0.09388303756713867]
['BO', 8, 'CO', 172, 'cp', 'yes', 'O0', 'O1', 0.1612729234088457, 0.1762101650238037]
['CO', 345, 'BO', 73, 'chown', 'cluster', 'O0', 'O1', 0.06359072436050683, 0.21221518516540527]
['BO', 65, 'CO', 369, 'gvmap', 'od', 'O0', 'O0', 0.09384441087613293, 0.2637913227081299]
['CO', 112, 'UO', 58, 'dir', 'objdump', 'O1', 'O3', 0.10178294158590784, 2.1069047451019287]
