['CO', 240, 'UO', 5, 'expr', 'readelf', 'O2', 'O1', 0.11191602602010642, 0.291001558303833]
['CO', 365, 'UO', 41, 'chmod', 'locate', 'O0', 'O2', 0.06414565826330532, 0.18685674667358398]
['UO', 55, 'CO', 309, 'ar', 'rmdir', 'O3', 'O2', 0.1373717892522135, 0.829303503036499]
['CO', 271, 'UO', 47, 'logname', 'as', 'O2', 'O3', 0.12530420846441503, 1.3781819343566895]
['CO', 64, 'UO', 45, 'tty', 'strip', 'O3', 'O3', 0.1325107296137339, 0.9531574249267578]
['UO', 2, 'CO', 243, 'find', 'base32', 'O1', 'O2', 0.16366110922082344, 0.35475993156433105]
['BO', 71, 'UO', 63, 'libSDL2-2.0.so.0.16.0', 'cmp', 'O0', 'O3', 0.1988655462184874, 6.314122438430786]
['UO', 26, 'CO', 90, 'nm', 'tr', 'O2', 'O3', 0.1424197358061412, 0.943220853805542]
['CO', 110, 'BO', 58, 'mkdir', 'svn', 'O1', 'O1', 0.2057767369242779, 0.5195262432098389]
['BO', 41, 'CO', 242, 'libSDL2-2.0.so.0.16.0', 'tail', 'O2', 'O2', 0.1994995669329227, 5.172492742538452]
['UO', 76, 'BO', 76, 'addr2line', 'openssl', 'O0', 'O2', 0.10341107572177133, 18.33544921875]
['CO', 105, 'UO', 52, 'touch', 'ld', 'O1', 'O3', 0.12396887614813079, 1.8464751243591309]
['UO', 48, 'CO', 87, 'ranlib', 'id', 'O3', 'O3', 0.1340401689509525, 0.8465709686279297]
['CO', 176, 'UO', 69, 'head', 'as', 'O1', 'O0', 0.1370492062863703, 3.759138584136963]
['UO', 4, 'BO', 69, 'strip', 'cmp', 'O1', 'O3', 0.13990048316146253, 1.304487705230713]
['CO', 186, 'BO', 49, 'shuf', 'svn', 'O1', 'O0', 0.18610145934676858, 0.6427609920501709]
['UO', 32, 'BO', 26, 'strings', 'gvmap', 'O2', 'O3', 0.09742466581073939, 1.3286540508270264]
['CO', 397, 'UO', 37, '[', 'ar', 'O0', 'O2', 0.13433830265678348, 1.0891990661621094]
['CO', 103, 'BO', 29, 'ln', 'libvlc.so.12.0.0', 'O3', 'O2', 0.1722203332199932, 0.5121393203735352]
['UO', 6, 'CO', 24, 'as', 'tee', 'O1', 'O3', 0.1321772639691715, 1.8095312118530273]
['CO', 9, 'BO', 49, 'du', 'svn', 'O3', 'O0', 0.15921892602328203, 0.7255897521972656]
['UO', 20, 'CO', 290, 'diff', 'shuf', 'O1', 'O2', 0.10087445346658341, 0.13398480415344238]
['CO', 206, 'BO', 58, 'mknod', 'svn', 'O1', 'O1', 0.21905840478886907, 0.4800875186920166]
['CO', 316, 'UO', 2, 'test', 'find', 'O0', 'O1', 0.14334305150631677, 0.4248936176300049]
['CO', 349, 'BO', 3, 'truncate', 'openssl', 'O0', 'O1', 0.27649176954732513, 7.596560478210449]
['UO', 49, 'BO', 58, 'c++filt', 'svn', 'O3', 'O1', 0.048802356859228846, 2.154691696166992]
['UO', 51, 'BO', 63, 'objcopy', 'cluster', 'O3', 'O0', 0.07352585790236832, 1.7248711585998535]
['UO', 27, 'CO', 12, 'strip', 'ptx', 'O2', 'O3', 0.12804966074779844, 1.216928243637085]
['BO', 29, 'UO', 35, 'libvlc.so.12.0.0', 'gprof', 'O2', 'O2', 0.06018047788510428, 2.3487625122070312]
['CO', 114, 'UO', 60, 'users', 'xargs', 'O1', 'O3', 0.10653628409675764, 0.06859707832336426]
['CO', 14, 'BO', 26, 'stty', 'gvmap', 'O3', 'O3', 0.11013098102111729, 0.12575769424438477]
['UO', 13, 'CO', 370, 'addr2line', 'df', 'O1', 'O0', 0.11827956989247312, 1.3901309967041016]
['CO', 135, 'UO', 32, 'date', 'strings', 'O1', 'O2', 0.13124728378965667, 1.053962230682373]
['UO', 36, 'CO', 349, 'addr2line', 'truncate', 'O2', 'O0', 0.1393787485453406, 0.9332482814788818]
['CO', 60, 'BO', 61, 'base64', 'git', 'O3', 'O1', 0.09282345343170828, 6.373022794723511]
['CO', 318, 'UO', 41, 'mkdir', 'locate', 'O0', 'O2', 0.03930778739184182, 0.2477726936340332]
