['BO', 50, 'CO', 318, 'perl', 'mkdir', 'O2', 'O0', 0.07645348837209298, 3.014421224594116]
['UO', 77, 'CO', 125, 'ar', 'mktemp', 'O0', 'O1', 0.14733542319749215, 2.347752332687378]
['CO', 301, 'UO', 84, 'nl', 'sdiff', 'O2', 'O0', 0.11154708520179368, 0.056730031967163086]
['BO', 61, 'CO', 384, 'git', 'head', 'O1', 'O0', 0.09098344693281402, 6.441364049911499]
['BO', 16, 'CO', 139, 'make', 'base32', 'O0', 'O1', 0.12281003091721054, 0.25705695152282715]
['CO', 106, 'BO', 10, 'stat', 'openssl', 'O1', 'O3', 0.2651347399206183, 8.419477939605713]
['CO', 7, 'UO', 75, 'fmt', 'gprof', 'O3', 'O0', 0.1493273542600897, 2.2329206466674805]
['CO', 292, 'BO', 46, 'vdir', 'ruby', 'O2', 'O3', 0.09851759883920963, 14.545876264572144]
['CO', 63, 'UO', 42, 'logname', 'xargs', 'O3', 'O2', 0.1306666666666667, 0.060852766036987305]
['CO', 385, 'BO', 5, 'hostid', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1743268448993256, 28.22627019882202]
['CO', 46, 'UO', 86, 'whoami', 'xargs', 'O3', 'O0', 0.1527403414195867, 0.08715701103210449]
['CO', 381, 'BO', 17, 'who', 'codeblocks', 'O0', 'O2', 0.1841079769800511, 11.07653284072876]
['UO', 25, 'CO', 316, 'sdiff', 'test', 'O2', 'O0', 0.044913419913419905, 0.06194758415222168]
['UO', 16, 'CO', 279, 'size', 'readlink', 'O1', 'O2', 0.14750280341585442, 1.0480389595031738]
['CO', 171, 'BO', 31, 'nohup', 'bash', 'O1', 'O2', 0.12352675454806783, 2.711759567260742]
['CO', 25, 'UO', 85, 'chgrp', 'locate', 'O3', 'O0', 0.11810466760961813, 0.22928977012634277]
['UO', 44, 'CO', 344, 'nm', 'expr', 'O3', 'O0', 0.12495618647038209, 0.9585123062133789]
['UO', 66, 'CO', 59, 'nm', 'tsort', 'O0', 'O3', 0.15161327628079102, 2.1520700454711914]
['CO', 297, 'BO', 27, 'pathchk', 'perl', 'O2', 'O3', 0.08402915056206295, 2.254188299179077]
['BO', 67, 'CO', 29, 'libSDL2-2.0.so.0.16.0', 'nproc', 'O1', 'O3', 0.20617110799438987, 5.1100544929504395]
['CO', 413, 'UO', 29, 'rmdir', 'as', 'O0', 'O2', 0.12688319871684706, 1.7552006244659424]
['BO', 2, 'UO', 14, 'perl', 'ar', 'O1', 'O1', 0.024207764522608977, 6.692922592163086]
['UO', 60, 'CO', 171, 'xargs', 'nohup', 'O3', 'O1', 0.09810935104752172, 0.07204198837280273]
['BO', 34, 'CO', 324, 'cp', 'ptx', 'O2', 'O0', 0.0561797752808989, 0.15076231956481934]
['BO', 5, 'CO', 186, 'libgeany.so.0.0.0', 'shuf', 'O1', 'O1', 0.17200436937008245, 29.196042776107788]
['BO', 52, 'CO', 78, 'svn', 'chcon', 'O3', 'O3', 0.18437136204889404, 0.5024418830871582]
['UO', 72, 'CO', 208, 'strings', 'sha384sum', 'O0', 'O2', 0.15237869542034477, 2.107748031616211]
['UO', 41, 'CO', 175, 'locate', 'readlink', 'O2', 'O1', 0.11572996341868969, 0.12827181816101074]
['CO', 76, 'UO', 63, 'md5sum', 'cmp', 'O3', 'O3', 0.04172185430463582, 0.03385210037231445]
['UO', 65, 'BO', 55, 'sdiff', 'make', 'O3', 'O1', 0.11196980589503958, 0.25379419326782227]
['CO', 155, 'UO', 51, 'realpath', 'objcopy', 'O1', 'O3', 0.12450101679596293, 1.0533525943756104]
['UO', 19, 'CO', 399, 'cmp', 'id', 'O1', 'O0', 0.06979542719614917, 0.051534175872802734]
['CO', 261, 'BO', 5, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1727727949798752, 28.07106590270996]
['UO', 22, 'BO', 28, 'diff3', 'ruby', 'O2', 'O0', 0.10354882083666961, 13.28726840019226]
['BO', 64, 'CO', 256, 'dot', 'ls', 'O0', 'O2', 0.2092916283348666, 0.0675051212310791]
['CO', 162, 'BO', 77, 'df', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.17656139731827802, 5.708763122558594]
['BO', 0, 'CO', 210, 'codeblocks', 'stat', 'O1', 'O2', 0.18101942246428937, 10.9807448387146]
['CO', 96, 'BO', 82, 'fold', 'cp', 'O3', 'O3', 0.11102994886778672, 0.08255219459533691]
['CO', 367, 'BO', 27, 'cp', 'perl', 'O0', 'O3', 0.06442875902823375, 3.396925687789917]
['UO', 23, 'BO', 19, 'cmp', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.16082070151581807, 4.778543472290039]
['CO', 81, 'BO', 58, 'cat', 'svn', 'O3', 'O1', 0.2193403778418188, 0.47285032272338867]
['CO', 186, 'BO', 71, 'shuf', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.19337841762436214, 7.167760848999023]
['BO', 83, 'CO', 242, 'lua', 'tail', 'O2', 'O2', 0.11256871564217885, 0.44634151458740234]
['BO', 69, 'CO', 356, 'cmp', 'seq', 'O3', 'O0', 0.06238064926798215, 0.045005083084106445]
['CO', 158, 'BO', 75, 'true', 'gvmap', 'O1', 'O1', 0.13304221251819504, 0.12177038192749023]
['UO', 61, 'BO', 45, 'find', 'diff', 'O3', 'O2', 0.07802614930409113, 0.5006542205810547]
['CO', 48, 'UO', 61, 'ls', 'find', 'O3', 'O3', 0.07880935506732811, 0.4902775287628174]
['BO', 53, 'UO', 63, 'bash', 'cmp', 'O0', 'O3', 0.1245116840684708, 3.536044120788574]
['CO', 328, 'UO', 82, 'dirname', 'cmp', 'O0', 'O0', 0.056640625, 0.05103611946105957]
['UO', 10, 'CO', 237, 'objcopy', 'nproc', 'O1', 'O2', 0.14459598181551547, 1.255286455154419]
['BO', 18, 'CO', 134, 'libvlc.so.12.0.0', 'expand', 'O1', 'O1', 0.21461538461538465, 0.4188108444213867]
['CO', 346, 'UO', 26, 'tail', 'nm', 'O0', 'O2', 0.11755575524875417, 1.2603163719177246]
['CO', 207, 'BO', 74, 'ln', 'dot', 'O1', 'O1', 0.2125634517766497, 0.042032480239868164]
['BO', 20, 'CO', 337, 'sort', 'chgrp', 'O1', 'O0', 0.05687753917585603, 0.18398475646972656]
['UO', 19, 'CO', 189, 'cmp', '[', 'O1', 'O1', 0.031766200762388785, 0.04081368446350098]
['BO', 51, 'CO', 412, 'lua', 'tac', 'O1', 'O0', 0.1168577701878507, 0.4742252826690674]
['BO', 53, 'CO', 406, 'bash', 'rm', 'O0', 'O0', 0.11474389991014033, 4.113787651062012]
['BO', 31, 'CO', 211, 'bash', 'unlink', 'O2', 'O2', 0.12644296412760148, 2.5696585178375244]
['BO', 46, 'CO', 385, 'ruby', 'hostid', 'O3', 'O0', 0.10413932049207852, 12.48522663116455]
['UO', 83, 'CO', 275, 'diff', 'nohup', 'O0', 'O2', 0.16192830655129786, 0.1489555835723877]
['BO', 26, 'CO', 191, 'gvmap', 'id', 'O3', 'O1', 0.11299749512941837, 0.12794756889343262]
['BO', 1, 'CO', 6, 'ssh', 'mkdir', 'O2', 'O3', 0.14093457943925236, 1.4261245727539062]
