['CO', 284, 'BO', 73, 'md5sum', 'cluster', 'O2', 'O1', 0.1312890741292051, 0.12025833129882812]
['CO', 180, 'BO', 12, 'md5sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19157326288389442, 27.990010499954224]
['CO', 247, 'BO', 26, 'paste', 'gvmap', 'O2', 'O3', 0.13360922258350572, 0.11086869239807129]
['BO', 21, 'CO', 248, 'cp', 'sync', 'O1', 'O2', 0.14336775218427322, 0.08797979354858398]
['BO', 68, 'CO', 193, 'git', 'pathchk', 'O3', 'O1', 0.09306569343065696, 6.1946680545806885]
['BO', 71, 'CO', 45, 'libSDL2-2.0.so.0.16.0', 'split', 'O0', 'O3', 0.19435814589287936, 6.4930315017700195]
['CO', 150, 'UO', 66, 'whoami', 'nm', 'O1', 'O0', 0.15339250262758375, 2.16969633102417]
['CO', 291, 'UO', 40, 'csplit', 'objdump', 'O2', 'O2', 0.13035509736540662, 1.8325071334838867]
['BO', 35, 'UO', 29, 'make', 'as', 'O3', 'O2', 0.07756013585818633, 2.7756502628326416]
['CO', 37, 'BO', 18, 'truncate', 'libvlc.so.12.0.0', 'O3', 'O1', 0.22190034762456545, 0.41305971145629883]
['BO', 2, 'CO', 205, 'perl', 'rmdir', 'O1', 'O1', 0.07611479261821152, 2.418940544128418]
['BO', 30, 'CO', 214, 'libvlccore.so.9.0.0', 'mkdir', 'O2', 'O2', 0.15897517504774028, 4.500789403915405]
['UO', 3, 'CO', 112, 'nm', 'dir', 'O1', 'O1', 0.11299263421672112, 1.4831359386444092]
['CO', 76, 'UO', 9, 'md5sum', 'strings', 'O3', 'O1', 0.14758335487205998, 1.0407800674438477]
['UO', 74, 'BO', 21, 'ld', 'cp', 'O0', 'O1', 0.13183609141055952, 4.667759418487549]
['CO', 340, 'UO', 8, 'factor', 'c++filt', 'O0', 'O1', 0.12819249404615252, 1.30263090133667]
['BO', 17, 'CO', 388, 'codeblocks', 'md5sum', 'O2', 'O0', 0.18475899875879187, 10.600480556488037]
['CO', 190, 'UO', 65, 'timeout', 'sdiff', 'O1', 'O3', 0.03799559471365643, 0.05421090126037598]
['BO', 47, 'CO', 350, 'libvlc.so.12.0.0', 'sha1sum', 'O0', 'O0', 0.20970905524681271, 0.6411771774291992]
['CO', 250, 'UO', 74, 'sum', 'ld', 'O2', 'O0', 0.14963321107035676, 3.925349235534668]
['CO', 364, 'BO', 7, 'sha256sum', 'sort', 'O0', 'O0', 0.11763046544428768, 0.19543695449829102]
['UO', 29, 'CO', 310, 'as', 'mknod', 'O2', 'O2', 0.1315576143601621, 1.6169288158416748]
['UO', 36, 'CO', 231, 'addr2line', 'pr', 'O2', 'O2', 0.134187810619932, 0.982952356338501]
['BO', 8, 'CO', 328, 'cp', 'dirname', 'O0', 'O0', 0.14667725708234047, 0.19267535209655762]
['UO', 10, 'CO', 18, 'objcopy', 'uptime', 'O1', 'O3', 0.13901024135214501, 1.31398606300354]
['CO', 173, 'BO', 12, 'who', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1910487123797704, 28.029045820236206]
['CO', 235, 'UO', 85, 'wc', 'locate', 'O2', 'O0', 0.13960264900662245, 0.20828509330749512]
['UO', 47, 'CO', 245, 'as', 'truncate', 'O3', 'O2', 0.12375096079938508, 1.391338586807251]
['CO', 266, 'BO', 72, 'df', 'make', 'O2', 'O2', 0.09229258713794797, 0.3115808963775635]
['CO', 280, 'BO', 44, 'head', 'cmp', 'O2', 'O2', 0.03897007654836471, 0.03333425521850586]
['UO', 71, 'CO', 353, 'c++filt', 'echo', 'O0', 'O0', 0.15111695137976344, 2.056530237197876]
['BO', 0, 'CO', 77, 'codeblocks', 'env', 'O1', 'O3', 0.18634787369958028, 10.034567832946777]
['UO', 2, 'CO', 391, 'find', 'link', 'O1', 'O0', 0.15892585711872997, 0.3882029056549072]
['CO', 365, 'BO', 17, 'chmod', 'codeblocks', 'O0', 'O2', 0.18033624610353116, 11.699092626571655]
['UO', 80, 'CO', 155, 'objdump', 'realpath', 'O0', 'O1', 0.13955229762749277, 3.889909267425537]
['UO', 11, 'BO', 52, 'ld', 'svn', 'O1', 'O3', 0.08278503830554307, 3.9188694953918457]
['CO', 35, 'BO', 45, 'base32', 'diff', 'O3', 'O2', 0.12327348066298338, 0.09905147552490234]
['UO', 57, 'CO', 86, 'size', 'timeout', 'O3', 'O3', 0.13286270250701415, 0.8316848278045654]
['CO', 319, 'UO', 71, 'fmt', 'c++filt', 'O0', 'O0', 0.14683663833805483, 2.196967601776123]
['CO', 239, 'UO', 71, 'date', 'c++filt', 'O2', 'O0', 0.14570462757897196, 2.193376302719116]
['UO', 23, 'CO', 253, 'cmp', 'split', 'O2', 'O2', 0.04672330097087374, 0.044922828674316406]
['CO', 54, 'BO', 39, 'true', 'codeblocks', 'O3', 'O3', 0.18637088887745124, 10.126323699951172]
['UO', 46, 'CO', 411, 'readelf', 'sort', 'O3', 'O0', 0.034503061705134286, 0.5239074230194092]
['CO', 310, 'BO', 62, 'mknod', 'bash', 'O2', 'O1', 0.1275709779179811, 2.6495606899261475]
['CO', 278, 'UO', 35, 'b2sum', 'gprof', 'O2', 'O2', 0.1369032793690328, 1.0344085693359375]
['CO', 312, 'BO', 64, 'sha384sum', 'dot', 'O0', 'O0', 0.20674356699201424, 0.027554750442504883]
['BO', 58, 'CO', 407, 'svn', 'sha224sum', 'O1', 'O0', 0.1995977100417763, 0.5320794582366943]
['UO', 80, 'CO', 415, 'objdump', 'ln', 'O0', 'O0', 0.12800427954606242, 4.569084882736206]
['CO', 55, 'BO', 27, 'cp', 'perl', 'O3', 'O3', 0.07325325664016247, 2.8703081607818604]
['UO', 52, 'CO', 157, 'ld', 'chmod', 'O3', 'O1', 0.12412945514133555, 1.7231018543243408]
['UO', 77, 'BO', 75, 'ar', 'gvmap', 'O0', 'O1', 0.11827202565901573, 2.989427328109741]
['CO', 50, 'UO', 35, 'dircolors', 'gprof', 'O3', 'O2', 0.13929106340489272, 0.9998533725738525]
['BO', 35, 'UO', 34, 'make', 'ld', 'O3', 'O2', 0.08458475267475896, 2.9553942680358887]
['CO', 224, 'BO', 61, 'dirname', 'git', 'O2', 'O1', 0.09384464110127833, 6.173553705215454]
['CO', 67, 'UO', 60, 'nohup', 'xargs', 'O3', 'O3', 0.10578842315369263, 0.0674288272857666]
['CO', 280, 'BO', 22, 'head', 'perl', 'O2', 'O0', 0.111180182140304, 3.696876049041748]
['BO', 48, 'CO', 165, 'libvlccore.so.9.0.0', 'cksum', 'O0', 'O1', 0.18246056412361455, 10.52083969116211]
['UO', 26, 'CO', 258, 'nm', 'dircolors', 'O2', 'O2', 0.14487475572925923, 0.9412684440612793]
['CO', 62, 'UO', 34, 'printf', 'ld', 'O3', 'O2', 0.13950873039360756, 1.819504737854004]
['BO', 22, 'CO', 221, 'perl', 'printenv', 'O0', 'O2', 0.11312954146830367, 3.461061477661133]
