['CV', 344, 'UV', 82, 'tac', 'gprof', 'V1', 'V0', 0.12660699755899107, 0.9659397602081299]
['UV', 31, 'CV', 197, 'gprof', 'wc', 'V3', 'V0', 0.14701117080242176, 0.9102761745452881]
['BV', 67, 'CV', 220, 'cluster', 'cut', 'V0', 'V0', 0.1382724479344486, 0.0905601978302002]
['BV', 50, 'CV', 6, 'sort', 'fmt', 'V0', 'V2', 0.07215104517869186, 0.030368804931640625]
['CV', 271, 'UV', 33, 'ptx', 'ar', 'V1', 'V3', 0.13134328358208958, 1.0721681118011475]
['BV', 63, 'CV', 211, 'ruby', 'seq', 'V0', 'V0', 0.11729287090558771, 8.803100824356079]
['BV', 10, 'CV', 85, 'gvmap', 'mknod', 'V2', 'V2', 0.13751087902523929, 0.11107063293457031]
['UV', 48, 'CV', 179, 'locate', 'mkdir', 'V1', 'V0', 0.11528822055137844, 0.06574559211730957]
['CV', 85, 'UV', 79, 'mknod', 'strings', 'V2', 'V0', 0.14592516177436, 0.7970411777496338]
['CV', 198, 'UV', 33, 'factor', 'ar', 'V0', 'V3', 0.15135463702674534, 0.9424734115600586]
['CV', 43, 'UV', 71, 'chmod', 'xargs', 'V2', 'V0', 0.047433398310591235, 0.034941673278808594]
['BV', 60, 'CV', 214, 'codeblocks', 'ls', 'V1', 'V0', 0.17898064006321612, 10.592243194580078]
['BV', 33, 'CV', 214, 'openssl', 'ls', 'V0', 'V0', 0.09750011552146387, 6.165531396865845]
['CV', 24, 'BV', 81, 'factor', 'dot', 'V2', 'V1', 0.13151041666666663, 0.011760711669921875]
['CV', 298, 'UV', 26, 'seq', 'ranlib', 'V1', 'V3', 0.1507633587786259, 0.9388391971588135]
['CV', 179, 'BV', 20, 'mkdir', 'sort', 'V0', 'V1', 0.08903694730466383, 0.040218353271484375]
['CV', 49, 'UV', 28, 'tsort', 'strings', 'V2', 'V3', 0.14899059102950574, 0.8672230243682861]
['CV', 41, 'UV', 56, 'nice', 'c++filt', 'V2', 'V1', 0.1461961916794513, 0.8429884910583496]
['BV', 26, 'UV', 6, 'geany', 'sdiff', 'V2', 'V2', 0.18022812273226285, 20.702569246292114]
['CV', 309, 'UV', 10, 'df', 'as', 'V1', 'V2', 0.1279807857265397, 1.7268967628479004]
['CV', 199, 'BV', 24, 'expand', 'git', 'V0', 'V0', 0.09617587692979113, 3.408217191696167]
['BV', 6, 'CV', 253, 'libvlc.so', 'fold', 'V0', 'V0', 0.19911176905995553, 0.20870733261108398]
['CV', 328, 'UV', 76, 'uname', 'as', 'V1', 'V0', 0.1352742874655225, 1.4020357131958008]
['CV', 122, 'UV', 7, 'sum', 'nm', 'V3', 'V2', 0.14104554865424435, 0.9694647789001465]
['UV', 63, 'CV', 37, 'elfedit', 'seq', 'V1', 'V2', 0.05283605283605286, 0.025231361389160156]
['UV', 49, 'CV', 0, 'xargs', 'touch', 'V1', 'V2', 0.02917771883289122, 0.03250741958618164]
['CV', 118, 'BV', 79, 'sha1sum', 'bash', 'V3', 'V3', 0.12433997615397718, 2.510040044784546]
['CV', 73, 'BV', 76, 'shred', 'diff', 'V2', 'V2', 0.08723135271807836, 0.1118161678314209]
['BV', 36, 'CV', 60, 'libvlc.so', 'hostid', 'V2', 'V2', 0.19638694638694643, 0.2971956729888916]
['CV', 339, 'UV', 63, 'rm', 'elfedit', 'V1', 'V1', 0.05958904109589036, 0.0337982177734375]
['CV', 153, 'UV', 64, 'link', 'size', 'V3', 'V1', 0.1438785417953924, 0.878669261932373]
['CV', 169, 'UV', 74, 'sort', 'strip', 'V3', 'V0', 0.10527341213144559, 1.497945785522461]
