['BO', 62, 'CO', 145, 'bash', 'echo', 'O1', 'O1', 0.12707019756200078, 2.5694940090179443]
['BO', 52, 'CO', 148, 'svn', 'seq', 'O3', 'O1', 0.20409438974839822, 0.470522403717041]
['CO', 220, 'UO', 32, 'ptx', 'strings', 'O2', 'O2', 0.1338816940847043, 0.9850320816040039]
['CO', 58, 'BO', 15, 'df', 'diff', 'O3', 'O0', 0.0982142857142857, 0.22285246849060059]
['BO', 77, 'CO', 296, 'libSDL2-2.0.so.0.16.0', 'shred', 'O3', 'O2', 0.18335208098987632, 5.0889387130737305]
['CO', 268, 'UO', 40, 'base64', 'objdump', 'O2', 'O2', 0.1356722419721429, 1.7411677837371826]
['BO', 62, 'CO', 285, 'bash', 'env', 'O1', 'O2', 0.12792459181955906, 2.537881851196289]
['UO', 14, 'CO', 199, 'ar', 'sha224sum', 'O1', 'O1', 0.14454205303400036, 1.2157959938049316]
['BO', 26, 'CO', 239, 'gvmap', 'date', 'O3', 'O2', 0.09416924664602688, 0.14419865608215332]
['UO', 38, 'BO', 5, 'elfedit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.17386323861647623, 27.73997950553894]
['CO', 276, 'BO', 31, 'yes', 'bash', 'O2', 'O2', 0.1263288521199586, 2.6265854835510254]
['UO', 50, 'CO', 236, 'strings', 'factor', 'O3', 'O2', 0.12964134068118172, 0.8346107006072998]
['BO', 9, 'CO', 188, 'git', 'vdir', 'O0', 'O1', 0.08483265990699096, 7.376240253448486]
['BO', 15, 'CO', 314, 'diff', 'stat', 'O0', 'O0', 0.06451612903225801, 0.2914092540740967]
['CO', 348, 'BO', 37, 'pinky', 'gvmap', 'O0', 'O2', 0.09946236559139787, 0.15902137756347656]
['CO', 0, 'UO', 33, 'sha384sum', 'objcopy', 'O3', 'O2', 0.13618792744573294, 1.1643617153167725]
['BO', 11, 'CO', 305, 'ssh', 'uniq', 'O1', 'O2', 0.14495851144078453, 1.4307136535644531]
['UO', 86, 'CO', 237, 'xargs', 'nproc', 'O0', 'O2', 0.14912280701754388, 0.12716913223266602]
['UO', 22, 'CO', 397, 'diff3', '[', 'O2', 'O0', 0.050108932461873645, 0.0577092170715332]
['UO', 31, 'CO', 386, 'c++filt', 'unexpand', 'O2', 'O0', 0.1385531300739672, 0.9125540256500244]
['BO', 71, 'UO', 6, 'libSDL2-2.0.so.0.16.0', 'as', 'O0', 'O1', 0.06087192921753748, 15.543171405792236]
['BO', 15, 'CO', 315, 'diff', 'unlink', 'O0', 'O0', 0.14744171964880415, 0.16331696510314941]
['CO', 367, 'BO', 65, 'cp', 'gvmap', 'O0', 'O0', 0.0273972602739726, 0.515139102935791]
['CO', 34, 'BO', 72, 'tail', 'make', 'O3', 'O2', 0.10318791946308725, 0.2655811309814453]
['CO', 256, 'BO', 22, 'ls', 'perl', 'O2', 'O0', 0.09973086124401909, 4.4217634201049805]
['BO', 48, 'CO', 99, 'libvlccore.so.9.0.0', 'sort', 'O0', 'O3', 0.16806463377002268, 12.064848184585571]
['UO', 38, 'CO', 374, 'elfedit', 'printf', 'O2', 'O0', 0.0677215189873418, 0.045790672302246094]
['UO', 7, 'CO', 296, 'ranlib', 'shred', 'O1', 'O2', 0.13725802596988768, 1.21952223777771]
['CO', 236, 'UO', 73, 'factor', 'objcopy', 'O2', 'O0', 0.14158855451406016, 2.688758373260498]
['CO', 287, 'BO', 28, 'link', 'ruby', 'O2', 'O0', 0.10564837639611668, 12.680691242218018]
['BO', 44, 'CO', 81, 'cmp', 'cat', 'O2', 'O3', 0.047222222222222276, 0.032607316970825195]
['BO', 48, 'UO', 65, 'libvlccore.so.9.0.0', 'sdiff', 'O0', 'O3', 0.17830557566980443, 10.764289855957031]
['UO', 30, 'CO', 216, 'ranlib', 'dir', 'O2', 'O2', 0.11195402298850576, 1.3364818096160889]
['BO', 59, 'CO', 344, 'libgeany.so.0.0.0', 'expr', 'O3', 'O0', 0.1658178759986918, 26.297393560409546]
['CO', 127, 'UO', 49, 'pr', 'c++filt', 'O1', 'O3', 0.12223016440314516, 0.937326192855835]
['CO', 132, 'UO', 84, 'factor', 'sdiff', 'O1', 'O0', 0.054619936276741, 0.0750722885131836]
['CO', 355, 'UO', 40, 'chroot', 'objdump', 'O0', 'O2', 0.12954258855898204, 1.8627421855926514]
['BO', 83, 'UO', 22, 'lua', 'diff3', 'O2', 'O2', 0.1183522509883943, 0.41186022758483887]
['BO', 3, 'CO', 151, 'openssl', 'numfmt', 'O1', 'O1', 0.2752516635386453, 7.43953800201416]
['BO', 35, 'UO', 22, 'make', 'diff3', 'O3', 'O2', 0.11285211267605633, 0.25067853927612305]
['BO', 56, 'CO', 212, 'libvlc.so.12.0.0', 'test', 'O3', 'O2', 0.20859360212000755, 0.38877320289611816]
['CO', 401, 'BO', 38, 'pathchk', 'acyclic', 'O0', 'O2', 0.18181818181818188, 0.021344423294067383]
['UO', 60, 'CO', 47, 'xargs', 'numfmt', 'O3', 'O3', 0.08995433789954332, 0.07048320770263672]
['BO', 80, 'CO', 245, 'ssh', 'truncate', 'O3', 'O2', 0.14135723431498082, 1.211571455001831]
['UO', 83, 'CO', 212, 'diff', 'test', 'O0', 'O2', 0.15768883538970813, 0.15436148643493652]
['BO', 19, 'CO', 261, 'libvlccore.so.9.0.0', 'chmod', 'O1', 'O2', 0.15828877005347597, 4.89101767539978]
['UO', 54, 'CO', 376, 'addr2line', 'tty', 'O3', 'O0', 0.1353974121996303, 0.8143773078918457]
['BO', 70, 'CO', 305, 'diff', 'uniq', 'O3', 'O2', 0.10365649111036568, 0.09653687477111816]
['BO', 19, 'CO', 249, 'libvlccore.so.9.0.0', 'echo', 'O1', 'O2', 0.16528992549400712, 4.440034627914429]
['UO', 65, 'CO', 299, 'sdiff', 'comm', 'O3', 'O2', 0.07151664611590625, 0.04100179672241211]
['UO', 53, 'CO', 220, 'gprof', 'ptx', 'O3', 'O2', 0.12384826097783685, 0.9396095275878906]
['UO', 5, 'CO', 299, 'readelf', 'comm', 'O1', 'O2', 0.11763812993321188, 0.27825045585632324]
['CO', 217, 'BO', 14, 'du', 'cmp', 'O2', 'O0', 0.08664666166541635, 0.10505485534667969]
['BO', 72, 'CO', 49, 'make', 'nice', 'O2', 'O3', 0.13251213139231055, 0.20732355117797852]
['CO', 46, 'BO', 17, 'whoami', 'codeblocks', 'O3', 'O2', 0.18847035531937062, 10.279725551605225]
['CO', 228, 'BO', 55, 'mkfifo', 'make', 'O2', 'O1', 0.14053195712584365, 0.21147418022155762]
['BO', 49, 'CO', 361, 'svn', 'nice', 'O0', 'O0', 0.20273047563123903, 0.5401146411895752]
['CO', 174, 'UO', 41, 'b2sum', 'locate', 'O1', 'O2', 0.10434782608695647, 0.1345815658569336]
['BO', 69, 'CO', 340, 'cmp', 'factor', 'O3', 'O0', 0.10352725606962898, 0.07524323463439941]
['BO', 46, 'CO', 209, 'ruby', 'touch', 'O3', 'O2', 0.10254426289199403, 12.926729679107666]
['CO', 19, 'BO', 3, 'dd', 'openssl', 'O3', 'O1', 0.26841907309122814, 7.92141318321228]
