['UO', 45, 'CO', 324, 'strip', 'ptx', 'O3', 'O0', 0.11266280752532565, 1.2078614234924316]
['UO', 44, 'CO', 94, 'nm', 'rm', 'O3', 'O3', 0.12325122307098102, 0.8902664184570312]
['UO', 64, 'CO', 61, 'diff', 'cksum', 'O3', 'O3', 0.12413554633471646, 0.08191633224487305]
['UO', 82, 'BO', 19, 'cmp', 'libvlccore.so.9.0.0', 'O0', 'O1', 0.1580077115713321, 4.858816146850586]
['CO', 359, 'UO', 50, 'numfmt', 'strings', 'O0', 'O3', 0.12164198953807959, 0.9565880298614502]
['CO', 282, 'BO', 33, 'unexpand', 'sort', 'O2', 'O2', 0.13325330132052815, 0.09006237983703613]
['UO', 40, 'CO', 194, 'objdump', 'tr', 'O2', 'O1', 0.1322223503632799, 1.747223138809204]
['UO', 77, 'CO', 321, 'ar', 'du', 'O0', 'O0', 0.121216840575196, 3.024171829223633]
['BO', 53, 'CO', 311, 'bash', 'ln', 'O0', 'O2', 0.11859678487986891, 4.009246349334717]
['CO', 241, 'UO', 26, 'chown', 'nm', 'O2', 'O2', 0.13058973271107344, 1.0617048740386963]
['CO', 352, 'BO', 58, 'sync', 'svn', 'O0', 'O1', 0.21304627249357333, 0.5040783882141113]
['BO', 1, 'CO', 178, 'ssh', 'unexpand', 'O2', 'O1', 0.1441014959288014, 1.3926727771759033]
['CO', 87, 'BO', 61, 'id', 'git', 'O3', 'O1', 0.09256725054738824, 6.34172248840332]
['UO', 60, 'CO', 152, 'xargs', 'ls', 'O3', 'O1', 0.05894488653109342, 0.18178796768188477]
['CO', 27, 'BO', 61, 'wc', 'git', 'O3', 'O1', 0.09163432093467794, 6.465405225753784]
['BO', 79, 'CO', 297, 'bash', 'pathchk', 'O3', 'O2', 0.11508282476024412, 2.3608558177948]
['CO', 409, 'UO', 48, 'uniq', 'ranlib', 'O0', 'O3', 0.1256268593285168, 0.9701035022735596]
['BO', 17, 'CO', 98, 'codeblocks', 'sleep', 'O2', 'O3', 0.1882077313549395, 10.297713041305542]
['CO', 58, 'BO', 82, 'df', 'cp', 'O3', 'O3', 0.051376667612829996, 0.13384747505187988]
['BO', 25, 'CO', 240, 'dot', 'expr', 'O3', 'O2', 0.1727541954590326, 0.018621444702148438]
['CO', 403, 'UO', 61, 'comm', 'find', 'O0', 'O3', 0.1360377688407064, 0.34227943420410156]
['CO', 273, 'UO', 68, 'false', 'readelf', 'O2', 'O0', 0.13284258210645528, 0.4791703224182129]
['CO', 325, 'UO', 32, 'printenv', 'strings', 'O0', 'O2', 0.14340274620351, 0.9361116886138916]
