['BO', 34, 'CO', 78, 'cp', 'chcon', 'O2', 'O3', 0.07440381558028619, 0.11830377578735352]
['CO', 223, 'UO', 10, 'join', 'objcopy', 'O2', 'O1', 0.13944768909077798, 1.4192063808441162]
['CO', 278, 'BO', 62, 'b2sum', 'bash', 'O2', 'O1', 0.12445333000124958, 2.920274019241333]
['UO', 54, 'CO', 403, 'addr2line', 'comm', 'O3', 'O0', 0.13047038486034024, 0.9113636016845703]
['UO', 47, 'CO', 25, 'as', 'chgrp', 'O3', 'O3', 0.11402910413824463, 1.5903823375701904]
['CO', 124, 'BO', 3, 'mkfifo', 'openssl', 'O1', 'O1', 0.2804557027575195, 8.05138349533081]
['CO', 390, 'BO', 56, 'chcon', 'libvlc.so.12.0.0', 'O0', 'O3', 0.14541673332266836, 0.6423811912536621]
['CO', 390, 'UO', 71, 'chcon', 'c++filt', 'O0', 'O0', 0.13179255918827515, 2.7502222061157227]
['BO', 43, 'CO', 19, 'diff', 'dd', 'O1', 'O3', 0.08104357479877877, 0.15552663803100586]
['BO', 9, 'CO', 155, 'git', 'realpath', 'O0', 'O1', 0.09176139692956753, 6.772475004196167]
['CO', 311, 'UO', 73, 'ln', 'objcopy', 'O2', 'O0', 0.13504729565850115, 3.2096519470214844]
['BO', 42, 'CO', 34, 'cmp', 'tail', 'O1', 'O3', 0.04913880445795338, 0.0551753044128418]
['UO', 64, 'CO', 317, 'diff', 'basename', 'O3', 'O0', 0.10874785591766722, 0.10825967788696289]
['CO', 379, 'BO', 58, 'nohup', 'svn', 'O0', 'O1', 0.20939490445859876, 0.5519394874572754]
['CO', 338, 'UO', 20, 'kill', 'diff', 'O0', 'O1', 0.11852589641434264, 0.13414573669433594]
['CO', 200, 'BO', 53, 'fold', 'bash', 'O1', 'O0', 0.1255437495543037, 3.9480700492858887]
['BO', 50, 'CO', 358, 'perl', 'whoami', 'O2', 'O0', 0.08585448086938197, 2.5893754959106445]
['UO', 67, 'CO', 357, 'strip', 'split', 'O0', 'O0', 0.13435374149659862, 3.127851724624634]
['UO', 13, 'CO', 108, 'addr2line', 'test', 'O1', 'O1', 0.14585834333733494, 1.1339304447174072]
['BO', 64, 'CO', 156, 'dot', 'sha256sum', 'O0', 'O1', 0.19768664563617244, 0.022194385528564453]
['CO', 111, 'UO', 59, 'fmt', 'locate', 'O1', 'O3', 0.11846814602720113, 0.1187281608581543]
['UO', 55, 'CO', 2, 'ar', 'stat', 'O3', 'O3', 0.12064409578860447, 1.067430019378662]
['CO', 189, 'UO', 27, '[', 'strip', 'O1', 'O2', 0.13411381149970358, 1.271566390991211]
['CO', 219, 'BO', 69, 'groups', 'cmp', 'O2', 'O3', 0.06360153256704981, 0.03229951858520508]
['BO', 82, 'CO', 213, 'cp', 'basename', 'O3', 'O2', 0.12608012568735272, 0.08017611503601074]
['CO', 192, 'BO', 83, 'shred', 'lua', 'O1', 'O2', 0.10996993987975956, 0.5034208297729492]
['UO', 20, 'CO', 296, 'diff', 'shred', 'O1', 'O2', 0.09674447174447176, 0.14504051208496094]
['BO', 55, 'CO', 131, 'make', 'wc', 'O1', 'O1', 0.11598513011152412, 0.2589240074157715]
['CO', 207, 'UO', 69, 'ln', 'as', 'O1', 'O0', 0.1292482774638074, 4.482290506362915]
['CO', 227, 'BO', 73, 'dd', 'cluster', 'O2', 'O1', 0.09816109816109819, 0.16862034797668457]
['CO', 353, 'UO', 84, 'echo', 'sdiff', 'O0', 'O0', 0.09010011123470518, 0.06606817245483398]
['BO', 63, 'CO', 313, 'cluster', 'touch', 'O0', 'O0', 0.08724079955165331, 0.30440831184387207]
['BO', 58, 'CO', 299, 'svn', 'comm', 'O1', 'O2', 0.22116007777057678, 0.5066096782684326]
['UO', 76, 'CO', 253, 'addr2line', 'split', 'O0', 'O2', 0.14766627771295215, 2.3022799491882324]
['UO', 17, 'CO', 105, 'objdump', 'touch', 'O1', 'O1', 0.13033977930733087, 2.2996432781219482]
['CO', 32, 'UO', 68, 'expr', 'readelf', 'O3', 'O0', 0.1217381927970671, 0.560006856918335]
['CO', 187, 'BO', 29, 'csplit', 'libvlc.so.12.0.0', 'O1', 'O2', 0.19358407079646023, 0.48634886741638184]
['UO', 32, 'CO', 291, 'strings', 'csplit', 'O2', 'O2', 0.13774740392296092, 0.9914097785949707]
['CO', 191, 'BO', 39, 'id', 'codeblocks', 'O1', 'O3', 0.18421591723855368, 11.325011968612671]
['UO', 79, 'CO', 283, 'size', 'mv', 'O0', 'O2', 0.12495301508886858, 2.9383625984191895]
['CO', 184, 'BO', 3, 'uname', 'openssl', 'O1', 'O1', 0.28077903009889016, 8.080667495727539]
['CO', 355, 'UO', 16, 'chroot', 'size', 'O0', 'O1', 0.14112252695932748, 1.2388825416564941]
['BO', 59, 'UO', 51, 'libgeany.so.0.0.0', 'objcopy', 'O3', 'O3', 0.1204854317592935, 38.76455354690552]
['CO', 365, 'UO', 19, 'chmod', 'cmp', 'O0', 'O1', 0.09333333333333338, 0.07978105545043945]
['BO', 34, 'CO', 282, 'cp', 'unexpand', 'O2', 'O2', 0.12480252764612954, 0.08938145637512207]
['BO', 79, 'CO', 403, 'bash', 'comm', 'O3', 'O0', 0.1107282693813626, 2.6200947761535645]
['CO', 125, 'UO', 64, 'mktemp', 'diff', 'O1', 'O3', 0.09085009733938998, 0.12028264999389648]
['BO', 57, 'UO', 54, 'libvlccore.so.9.0.0', 'addr2line', 'O3', 'O3', 0.07113151966730202, 8.969456672668457]
['UO', 6, 'CO', 382, 'as', 'b2sum', 'O1', 'O0', 0.12435737864603058, 2.1836166381835938]
['BO', 16, 'CO', 76, 'make', 'md5sum', 'O0', 'O3', 0.12379011716760058, 0.25479912757873535]
['UO', 39, 'CO', 205, 'size', 'rmdir', 'O2', 'O1', 0.14303683737646, 0.9418520927429199]
['BO', 16, 'CO', 90, 'make', 'tr', 'O0', 'O3', 0.12324835387472566, 0.25574159622192383]
['BO', 2, 'CO', 144, 'perl', 'sync', 'O1', 'O1', 0.07670740094164952, 2.46250581741333]
['BO', 42, 'CO', 372, 'cmp', 'base64', 'O1', 'O0', 0.057499999999999996, 0.051824092864990234]
['BO', 77, 'CO', 125, 'libSDL2-2.0.so.0.16.0', 'mktemp', 'O3', 'O1', 0.18547729127005708, 5.294067621231079]
['CO', 231, 'UO', 67, 'pr', 'strip', 'O2', 'O0', 0.139652464166503, 2.8917429447174072]
['CO', 56, 'BO', 48, 'cut', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.18126914660831506, 11.436847686767578]
['CO', 131, 'BO', 66, 'wc', 'svn', 'O1', 'O2', 0.20564830706818538, 0.5657203197479248]
['BO', 43, 'CO', 104, 'diff', 'sha384sum', 'O1', 'O1', 0.11778445111778446, 0.12760424613952637]
['UO', 44, 'CO', 358, 'nm', 'whoami', 'O3', 'O0', 0.13556242049791023, 0.8830015659332275]
['CO', 1, 'UO', 78, 'touch', 'elfedit', 'O3', 'O0', 0.0502821959979477, 0.05362367630004883]
['UO', 67, 'CO', 94, 'strip', 'rm', 'O0', 'O3', 0.1374175397749321, 2.895040988922119]
['UO', 69, 'CO', 33, 'as', 'chown', 'O0', 'O3', 0.13266456705159613, 4.086400270462036]
['CO', 286, 'BO', 67, 'chcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.19719975403244883, 5.81295371055603]
['CO', 234, 'UO', 34, 'kill', 'ld', 'O2', 'O2', 0.1425395108467039, 1.8964202404022217]
['UO', 42, 'BO', 67, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.19088906594179123, 6.335043907165527]
['CO', 147, 'UO', 28, 'chroot', 'readelf', 'O1', 'O2', 0.1036133415688697, 0.28360772132873535]
['UO', 28, 'CO', 15, 'readelf', 'join', 'O2', 'O3', 0.09986585184081087, 0.27236509323120117]
['UO', 34, 'CO', 414, 'ld', 'mknod', 'O2', 'O0', 0.12033802816901407, 2.3636412620544434]
['BO', 46, 'CO', 13, 'ruby', 'printenv', 'O3', 'O3', 0.10502436565283146, 13.17487096786499]
['CO', 331, 'BO', 18, 'dd', 'libvlc.so.12.0.0', 'O0', 'O1', 0.16590947332996797, 0.6186091899871826]
['CO', 375, 'BO', 32, 'logname', 'ruby', 'O0', 'O2', 0.1251809835283697, 15.831607341766357]
['UO', 83, 'CO', 101, 'diff', 'rmdir', 'O0', 'O3', 0.1547091821671096, 0.15881824493408203]
['BO', 28, 'CO', 113, 'ruby', 'du', 'O0', 'O1', 0.09931741631643265, 15.155646562576294]
['BO', 20, 'CO', 43, 'sort', 'chroot', 'O1', 'O3', 0.12891737891737898, 0.11508631706237793]
['CO', 103, 'UO', 70, 'ln', 'ranlib', 'O3', 'O0', 0.1390993721584759, 2.751498222351074]
['CO', 14, 'UO', 3, 'stty', 'nm', 'O3', 'O1', 0.14421632448673005, 1.205307960510254]
['UO', 75, 'CO', 81, 'gprof', 'cat', 'O0', 'O3', 0.14958993371531282, 2.310861349105835]
['CO', 12, 'UO', 10, 'ptx', 'objcopy', 'O3', 'O1', 0.13277310924369745, 1.4731996059417725]
['BO', 47, 'CO', 133, 'libvlc.so.12.0.0', 'nproc', 'O0', 'O1', 0.22855193586900902, 0.610790491104126]
['UO', 30, 'CO', 276, 'ranlib', 'yes', 'O2', 'O2', 0.14881106787721576, 0.979111909866333]
['BO', 47, 'CO', 69, 'libvlc.so.12.0.0', 'who', 'O0', 'O3', 0.21970443349753688, 0.6190164089202881]
['CO', 200, 'BO', 39, 'fold', 'codeblocks', 'O1', 'O3', 0.18489422879441364, 11.402212858200073]
['BO', 69, 'UO', 86, 'cmp', 'xargs', 'O3', 'O0', 0.125678496868476, 0.10867619514465332]
['UO', 52, 'CO', 20, 'ld', 'mkfifo', 'O3', 'O3', 0.13446844353528675, 1.6472563743591309]
['CO', 219, 'UO', 9, 'groups', 'strings', 'O2', 'O1', 0.1521662866163831, 1.090475082397461]
['BO', 55, 'CO', 365, 'make', 'chmod', 'O1', 'O0', 0.08745118016641196, 0.3400709629058838]
['CO', 24, 'BO', 15, 'tee', 'diff', 'O3', 'O0', 0.15088843577046318, 0.16027331352233887]
['UO', 33, 'CO', 151, 'objcopy', 'numfmt', 'O2', 'O1', 0.13247137052087177, 1.2757644653320312]
['CO', 285, 'UO', 45, 'env', 'strip', 'O2', 'O3', 0.13220913220913222, 1.0351221561431885]
['CO', 334, 'UO', 65, 'pwd', 'sdiff', 'O0', 'O3', 0.04199328107502798, 0.05684328079223633]
['BO', 73, 'UO', 74, 'cluster', 'ld', 'O1', 'O0', 0.12567531323039194, 5.391603708267212]
['CO', 2, 'BO', 32, 'stat', 'ruby', 'O3', 'O2', 0.12236336680369297, 17.030029296875]
['CO', 269, 'UO', 26, 'cksum', 'nm', 'O2', 'O2', 0.1491960837150813, 0.9899942874908447]
['UO', 75, 'CO', 370, 'gprof', 'df', 'O0', 'O0', 0.12793595249456557, 2.939037561416626]
['CO', 29, 'BO', 51, 'nproc', 'lua', 'O3', 'O1', 0.13156899810964084, 0.44975829124450684]
['UO', 74, 'CO', 130, 'ld', 'kill', 'O0', 'O1', 0.149501938065269, 4.129569053649902]
['UO', 80, 'BO', 62, 'objdump', 'bash', 'O0', 'O1', 0.01796544944995193, 14.281354904174805]
['CO', 80, 'UO', 73, 'uname', 'objcopy', 'O3', 'O0', 0.14732299663806514, 2.837667942047119]
['CO', 335, 'BO', 21, 'pr', 'cp', 'O0', 'O1', 0.05511111111111111, 0.20000791549682617]
['UO', 52, 'BO', 7, 'ld', 'sort', 'O3', 'O0', 0.0979456096121869, 2.53143048286438]
['BO', 31, 'CO', 335, 'bash', 'pr', 'O2', 'O0', 0.11436095925940704, 3.332873582839966]
['CO', 98, 'UO', 83, 'sleep', 'diff', 'O3', 'O0', 0.164745145631068, 0.152479887008667]
['CO', 351, 'UO', 84, 'paste', 'sdiff', 'O0', 'O0', 0.07376623376623381, 0.07098865509033203]
['BO', 56, 'CO', 101, 'libvlc.so.12.0.0', 'rmdir', 'O3', 'O3', 0.20684495979053674, 0.4178793430328369]
['CO', 256, 'BO', 8, 'ls', 'cp', 'O2', 'O0', 0.07079819572465185, 0.3566000461578369]
['UO', 12, 'BO', 0, 'gprof', 'codeblocks', 'O1', 'O1', 0.11083664047946873, 19.774800300598145]
['UO', 33, 'CO', 176, 'objcopy', 'head', 'O2', 'O1', 0.1344968436687709, 1.25138258934021]
['CO', 288, 'UO', 59, 'uname', 'locate', 'O2', 'O3', 0.14875389408099693, 0.09681582450866699]
['UO', 82, 'CO', 101, 'cmp', 'rmdir', 'O0', 'O3', 0.08317815021725639, 0.044403076171875]
['UO', 38, 'CO', 148, 'elfedit', 'seq', 'O2', 'O1', 0.041412084181941644, 0.03864002227783203]
['UO', 65, 'CO', 306, 'sdiff', 'sleep', 'O3', 'O2', 0.09647371922821024, 0.03704071044921875]
['BO', 42, 'UO', 9, 'cmp', 'strings', 'O1', 'O1', 0.14531680440771355, 1.1361582279205322]
['BO', 18, 'CO', 286, 'libvlc.so.12.0.0', 'chcon', 'O1', 'O2', 0.18831053473085801, 0.5053095817565918]
['UO', 84, 'CO', 200, 'sdiff', 'fold', 'O0', 'O1', 0.09885308574549423, 0.06333231925964355]
['UO', 2, 'CO', 202, 'find', 'sleep', 'O1', 'O1', 0.16304347826086962, 0.3925974369049072]
['UO', 70, 'CO', 383, 'ranlib', 'readlink', 'O0', 'O0', 0.14390732902650927, 2.674574851989746]
['BO', 62, 'CO', 23, 'bash', 'pr', 'O1', 'O3', 0.12089038288103637, 2.8835322856903076]
['BO', 57, 'UO', 16, 'libvlccore.so.9.0.0', 'size', 'O3', 'O1', 0.06295091243457351, 10.121530532836914]
['UO', 8, 'CO', 112, 'c++filt', 'dir', 'O1', 'O1', 0.11228070175438598, 1.5240199565887451]
['UO', 69, 'BO', 52, 'as', 'svn', 'O0', 'O3', 0.09355619673001025, 6.687795877456665]
['CO', 59, 'UO', 1, 'tsort', 'xargs', 'O3', 'O1', 0.11005240590757503, 0.07463288307189941]
['CO', 352, 'UO', 81, 'sync', 'diff3', 'O0', 'O0', 0.08181344450234496, 0.07319116592407227]
['UO', 79, 'CO', 103, 'size', 'ln', 'O0', 'O3', 0.13921414095924345, 2.5400238037109375]
['BO', 8, 'CO', 138, 'cp', 'tail', 'O0', 'O1', 0.11336873701223737, 0.2617316246032715]
['UO', 77, 'CO', 367, 'ar', 'cp', 'O0', 'O0', 0.11030212976721154, 3.5283713340759277]
['CO', 81, 'UO', 68, 'cat', 'readelf', 'O3', 'O0', 0.12552255225522546, 0.5279562473297119]
['UO', 11, 'CO', 18, 'ld', 'uptime', 'O1', 'O3', 0.14254461715601607, 2.10451602935791]
['CO', 146, 'BO', 61, 'sum', 'git', 'O1', 'O1', 0.09195649622471735, 6.812212944030762]
['BO', 2, 'CO', 402, 'perl', 'tr', 'O1', 'O0', 0.07366602988511761, 2.6887807846069336]
['BO', 3, 'UO', 69, 'openssl', 'as', 'O1', 'O0', 0.06676012659572206, 24.235235691070557]
['UO', 67, 'CO', 16, 'strip', 'dirname', 'O0', 'O3', 0.14751958224543082, 2.6764419078826904]
['CO', 243, 'UO', 13, 'base32', 'addr2line', 'O2', 'O1', 0.15088422336440455, 1.100203514099121]
['UO', 52, 'CO', 73, 'ld', 'hostid', 'O3', 'O3', 0.13557379027392302, 1.599513292312622]
['CO', 230, 'BO', 55, 'pwd', 'make', 'O2', 'O1', 0.13186599142968447, 0.22887039184570312]
['UO', 1, 'CO', 312, 'xargs', 'sha384sum', 'O1', 'O0', 0.06989010989010991, 0.09916496276855469]
['CO', 302, 'UO', 62, 'rm', 'diff3', 'O2', 'O3', 0.043749999999999956, 0.06482481956481934]
['CO', 289, 'UO', 50, 'cat', 'strings', 'O2', 'O3', 0.13911007025761124, 0.8203268051147461]
['CO', 6, 'UO', 70, 'mkdir', 'ranlib', 'O3', 'O0', 0.14828028318189423, 2.4822542667388916]
['UO', 22, 'CO', 266, 'diff3', 'df', 'O2', 'O2', 0.06596767147225857, 0.07949113845825195]
['BO', 12, 'CO', 323, 'libgeany.so.0.0.0', 'groups', 'O0', 'O0', 0.19112336426824061, 29.064454317092896]
['CO', 154, 'UO', 74, 'dircolors', 'ld', 'O1', 'O0', 0.1484021111249636, 4.2936787605285645]
['CO', 190, 'UO', 87, 'timeout', 'find', 'O1', 'O0', 0.16061360954503734, 0.7054293155670166]
['CO', 398, 'UO', 43, 'timeout', 'find', 'O0', 'O2', 0.13976705490848584, 0.4531419277191162]
['CO', 329, 'UO', 52, 'stdbuf', 'ld', 'O0', 'O3', 0.12796152247491244, 1.7941579818725586]
['CO', 4, 'BO', 33, 'test', 'sort', 'O3', 'O2', 0.1262721447418017, 0.09669256210327148]
['CO', 164, 'UO', 64, 'base64', 'diff', 'O1', 'O3', 0.10447761194029848, 0.10453939437866211]
['CO', 260, 'UO', 50, 'sha256sum', 'strings', 'O2', 'O3', 0.13645640074211507, 0.8214991092681885]
['CO', 300, 'UO', 22, 'sha512sum', 'diff3', 'O2', 'O2', 0.058673469387755084, 0.04264521598815918]
['UO', 2, 'BO', 17, 'find', 'codeblocks', 'O1', 'O2', 0.1497506089780768, 15.671242713928223]
['UO', 79, 'CO', 116, 'size', 'ptx', 'O0', 'O1', 0.14356946354883082, 2.479445695877075]
['CO', 164, 'BO', 83, 'base64', 'lua', 'O1', 'O2', 0.12472043152216816, 0.4332244396209717]
['BO', 60, 'CO', 145, 'openssl', 'echo', 'O0', 'O1', 0.2719157433146706, 9.276530265808105]
['CO', 301, 'BO', 1, 'nl', 'ssh', 'O2', 'O2', 0.14638481559068117, 1.4817662239074707]
['BO', 32, 'CO', 7, 'ruby', 'fmt', 'O2', 'O3', 0.12542084679476284, 15.579742431640625]
['CO', 143, 'UO', 54, 'paste', 'addr2line', 'O1', 'O3', 0.13723679349833762, 0.8555984497070312]
['CO', 310, 'BO', 49, 'mknod', 'svn', 'O2', 'O0', 0.21602160216021604, 0.5290300846099854]
['UO', 12, 'CO', 14, 'gprof', 'stty', 'O1', 'O3', 0.14083499005964217, 1.1811480522155762]
['CO', 8, 'UO', 66, 'dir', 'nm', 'O3', 'O0', 0.1281351943954222, 2.9502711296081543]
['BO', 82, 'CO', 190, 'cp', 'timeout', 'O3', 'O1', 0.0913210177762287, 0.1101372241973877]
['CO', 107, 'UO', 38, 'unlink', 'elfedit', 'O1', 'O2', 0.05491105955143083, 0.03189659118652344]
['CO', 104, 'BO', 62, 'sha384sum', 'bash', 'O1', 'O1', 0.12430132643697345, 2.893738031387329]
['CO', 241, 'UO', 22, 'chown', 'diff3', 'O2', 'O2', 0.050168837433671065, 0.06652951240539551]
['BO', 56, 'CO', 21, 'libvlc.so.12.0.0', 'mktemp', 'O3', 'O3', 0.19542732716385414, 0.44440603256225586]
['UO', 51, 'CO', 284, 'objcopy', 'md5sum', 'O3', 'O2', 0.12983340975087887, 1.0345759391784668]
['UO', 9, 'BO', 38, 'strings', 'acyclic', 'O1', 'O2', 0.16287026199693888, 0.9629878997802734]
['UO', 46, 'CO', 31, 'readelf', 'date', 'O3', 'O3', 0.08737308737308735, 0.2755727767944336]
['BO', 62, 'CO', 153, 'bash', 'nice', 'O1', 'O1', 0.1265578448239688, 2.789707899093628]
['BO', 22, 'CO', 253, 'perl', 'split', 'O0', 'O2', 0.1085721343873518, 3.8901402950286865]
