['UV', 61, 'CV', 116, 'addr2line', 'tail', 'V1', 'V3', 0.12858821554473732, 0.9694571495056152]
['UV', 63, 'CV', 230, 'elfedit', 'yes', 'V1', 'V0', 0.10137795275590555, 0.01777482032775879]
['BV', 14, 'CV', 193, 'openssl', 'pr', 'V3', 'V0', 0.2836535984750914, 5.428924322128296]
['CV', 253, 'UV', 40, 'fold', 'diff3', 'V0', 'V3', 0.1006896551724138, 0.029036283493041992]
['UV', 53, 'CV', 62, 'readelf', 'unexpand', 'V1', 'V2', 0.10335036910846107, 0.08183622360229492]
['BV', 76, 'CV', 344, 'diff', 'tac', 'V2', 'V1', 0.07643312101910826, 0.11162638664245605]
['CV', 75, 'UV', 52, 'tr', 'strip', 'V2', 'V1', 0.13289609941318603, 1.2165930271148682]
['CV', 59, 'BV', 25, 'head', 'git', 'V2', 'V3', 0.08714721882119558, 8.87081241607666]
['UV', 73, 'CV', 248, 'nm', 'pathchk', 'V0', 'V0', 0.1504325983812448, 0.7835483551025391]
['UV', 40, 'CV', 57, 'diff3', 'who', 'V3', 'V2', 0.058459808881394015, 0.040679216384887695]
['CV', 298, 'BV', 51, 'seq', 'cp', 'V1', 'V0', 0.11002604166666663, 0.033286333084106445]
['UV', 65, 'CV', 77, 'objdump', 'nl', 'V1', 'V2', 0.12458097153653924, 1.545522689819336]
['UV', 54, 'CV', 327, 'as', 'link', 'V1', 'V1', 0.1335447498238196, 1.4514415264129639]
['CV', 313, 'BV', 23, 'logname', 'diff', 'V1', 'V3', 0.1532596263820053, 0.07058310508728027]
['BV', 37, 'CV', 229, 'geany', 'nohup', 'V1', 'V0', 0.18530947054436986, 18.472561597824097]
['BV', 3, 'CV', 57, 'diff', 'who', 'V1', 'V2', 0.09735849056603774, 0.07617568969726562]
['UV', 20, 'BV', 43, 'size', 'lua', 'V2', 'V0', 0.05837249567153102, 1.8986790180206299]
['BV', 73, 'UV', 76, 'geany', 'as', 'V0', 'V0', 0.10335843951969803, 26.932974100112915]
['UV', 74, 'CV', 121, 'strip', 'echo', 'V0', 'V3', 0.13473075533068302, 1.1009533405303955]
['UV', 5, 'CV', 105, 'diff', 'pwd', 'V2', 'V3', 0.1129635930588635, 0.09278202056884766]
['UV', 31, 'CV', 183, 'gprof', 'users', 'V3', 'V0', 0.14735494880546074, 0.928412675857544]
['CV', 306, 'BV', 41, 'cp', 'libvlccore.so', 'V1', 'V1', 0.15383010898472127, 2.8350300788879395]
['CV', 172, 'UV', 71, 'mknod', 'xargs', 'V3', 'V0', 0.03095975232198145, 0.02634882926940918]
['UV', 65, 'CV', 227, 'objdump', 'tty', 'V1', 'V0', 0.1403963217199844, 1.3143315315246582]
['UV', 54, 'CV', 222, 'as', 'df', 'V1', 'V0', 0.12647448069509182, 1.5902659893035889]
['CV', 251, 'UV', 23, 'nl', 'strip', 'V0', 'V3', 0.12955494742906526, 1.2281315326690674]
['UV', 70, 'CV', 165, 'locate', 'rm', 'V0', 'V3', 0.050175438596491206, 0.08769536018371582]
['CV', 299, 'UV', 5, 'split', 'diff', 'V1', 'V2', 0.13026124818577656, 0.08066749572753906]
['CV', 18, 'UV', 33, 'pwd', 'ar', 'V2', 'V3', 0.14626840123245466, 0.9633450508117676]
['UV', 17, 'CV', 154, 'addr2line', 'uname', 'V2', 'V3', 0.14702731655061596, 0.8712966442108154]
['CV', 297, 'UV', 23, 'chroot', 'strip', 'V1', 'V3', 0.1453501722158439, 1.0671954154968262]
['BV', 12, 'CV', 331, 'sort', 'vdir', 'V2', 'V1', 0.022048846675712386, 0.10770559310913086]
['CV', 295, 'BV', 52, 'echo', 'libSDL2-2.0.so', 'V1', 'V2', 0.19660181446326497, 3.826826810836792]
['CV', 199, 'UV', 74, 'expand', 'strip', 'V0', 'V0', 0.13851104285505333, 1.0721449851989746]
['CV', 36, 'BV', 61, 'chroot', 'cmp', 'V2', 'V0', 0.08512820512820518, 0.017264842987060547]
['UV', 77, 'CV', 21, 'ranlib', 'chgrp', 'V0', 'V2', 0.13236412813794263, 0.9622759819030762]
