['CO', 324, 'BO', 68, 'ptx', 'git', 'O0', 'O3', 0.08894300458050675, 7.1759703159332275]
['BO', 40, 'CO', 190, 'lua', 'timeout', 'O0', 'O1', 0.13393756294058412, 0.7205085754394531]
['BO', 53, 'UO', 50, 'bash', 'strings', 'O0', 'O3', 0.05662538287388463, 7.4732441902160645]
['UO', 30, 'CO', 240, 'ranlib', 'expr', 'O2', 'O2', 0.1409825033647376, 1.0025153160095215]
['BO', 77, 'CO', 221, 'libSDL2-2.0.so.0.16.0', 'printenv', 'O3', 'O2', 0.192877243160954, 4.740508317947388]
['CO', 350, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17287968754961414, 27.892463445663452]
['UO', 13, 'CO', 101, 'addr2line', 'rmdir', 'O1', 'O3', 0.1492331552645183, 1.0363285541534424]
['CO', 126, 'UO', 82, 'pwd', 'cmp', 'O1', 'O0', 0.06852791878172593, 0.04775404930114746]
['BO', 80, 'CO', 335, 'ssh', 'pr', 'O3', 'O0', 0.12306195658782759, 1.5424189567565918]
['BO', 8, 'CO', 227, 'cp', 'dd', 'O0', 'O2', 0.11999062573236463, 0.22136235237121582]
['UO', 75, 'CO', 8, 'gprof', 'dir', 'O0', 'O3', 0.1266105569409809, 2.708362102508545]
['CO', 371, 'BO', 62, 'tsort', 'bash', 'O0', 'O1', 0.12355855293285045, 2.7962534427642822]
['CO', 34, 'BO', 0, 'tail', 'codeblocks', 'O3', 'O1', 0.18187191611842102, 10.615663528442383]
['BO', 77, 'CO', 97, 'libSDL2-2.0.so.0.16.0', 'uniq', 'O3', 'O3', 0.1865341165838229, 4.835423469543457]
['BO', 44, 'UO', 69, 'cmp', 'as', 'O2', 'O0', 0.13741728414629317, 3.7583563327789307]
['CO', 276, 'UO', 83, 'yes', 'diff', 'O2', 'O0', 0.1746586217846935, 0.13867449760437012]
['CO', 348, 'BO', 45, 'pinky', 'diff', 'O0', 'O2', 0.09500489715964744, 0.13104867935180664]
['CO', 273, 'UO', 15, 'false', 'elfedit', 'O2', 'O1', 0.08776371308016873, 0.025906801223754883]
['CO', 147, 'UO', 61, 'chroot', 'find', 'O1', 'O3', 0.13937896965419905, 0.3240671157836914]
['BO', 36, 'CO', 4, 'cluster', 'test', 'O2', 'O3', 0.1273046532045654, 0.11464214324951172]
['BO', 16, 'CO', 53, 'make', 'chmod', 'O0', 'O3', 0.10867126142009942, 0.26758575439453125]
['UO', 66, 'CO', 317, 'nm', 'basename', 'O0', 'O0', 0.14985774835975152, 2.202955961227417]
['BO', 68, 'CO', 123, 'git', 'dd', 'O3', 'O1', 0.08958058764245291, 6.771214962005615]
['CO', 167, 'UO', 42, 'logname', 'xargs', 'O1', 'O2', 0.1211465657111952, 0.06655287742614746]
['UO', 63, 'CO', 298, 'cmp', 'tr', 'O3', 'O2', 0.0393258426966292, 0.03346109390258789]
['CO', 288, 'UO', 27, 'uname', 'strip', 'O2', 'O2', 0.14215127328012156, 1.127810001373291]
['CO', 18, 'UO', 67, 'uptime', 'strip', 'O3', 'O0', 0.14312599049128372, 2.6679956912994385]
['CO', 263, 'UO', 11, 'cp', 'ld', 'O2', 'O1', 0.12305692466013107, 2.5545437335968018]
['BO', 72, 'CO', 50, 'make', 'dircolors', 'O2', 'O3', 0.1248632883703974, 0.2272968292236328]
['CO', 196, 'UO', 37, 'sha512sum', 'ar', 'O1', 'O2', 0.14018770609622044, 1.047611951828003]
['BO', 44, 'CO', 408, 'cmp', 'fold', 'O2', 'O0', 0.052278820375335155, 0.042459726333618164]
