['BO', 17, 'CO', 312, 'codeblocks', 'sha384sum', 'O2', 'O0', 0.18439001705161995, 10.494217157363892]
['CO', 399, 'UO', 33, 'id', 'objcopy', 'O0', 'O2', 0.1304475853945819, 1.2652628421783447]
['CO', 300, 'UO', 57, 'sha512sum', 'size', 'O2', 'O3', 0.13629247628695085, 0.8055477142333984]
['CO', 88, 'UO', 5, 'shred', 'readelf', 'O3', 'O1', 0.09828939988782948, 0.331432580947876]
['CO', 194, 'UO', 33, 'tr', 'objcopy', 'O1', 'O2', 0.1346125241707571, 1.1926209926605225]
['UO', 16, 'CO', 113, 'size', 'du', 'O1', 'O1', 0.11686274509803918, 1.3685333728790283]
['CO', 374, 'BO', 59, 'printf', 'libgeany.so.0.0.0', 'O0', 'O3', 0.1668020621777847, 25.29465413093567]
['BO', 52, 'CO', 108, 'svn', 'test', 'O3', 'O1', 0.20251983201119927, 0.4718508720397949]
['CO', 229, 'UO', 9, 'mktemp', 'strings', 'O2', 'O1', 0.14552045572242367, 1.0676782131195068]
['BO', 10, 'CO', 95, 'openssl', 'sha224sum', 'O3', 'O3', 0.2764648061882986, 7.39376425743103]
['UO', 31, 'CO', 63, 'c++filt', 'logname', 'O2', 'O3', 0.1483218390804597, 0.851548433303833]
['BO', 83, 'UO', 48, 'lua', 'ranlib', 'O2', 'O3', 0.04027715187021186, 2.10557222366333]
['BO', 80, 'CO', 85, 'ssh', '[', 'O3', 'O3', 0.13766838725922192, 1.2516202926635742]
['CO', 189, 'BO', 7, '[', 'sort', 'O1', 'O0', 0.14198782961460443, 0.1699984073638916]
['CO', 158, 'BO', 5, 'true', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1750383190701239, 27.700795888900757]
['CO', 383, 'UO', 54, 'readlink', 'addr2line', 'O0', 'O3', 0.1253602305475504, 0.948714017868042]
['BO', 9, 'CO', 397, 'git', '[', 'O0', 'O0', 0.09097820577800309, 6.382236957550049]
['CO', 115, 'BO', 9, 'groups', 'git', 'O1', 'O0', 0.09270472047498679, 6.4178290367126465]
['UO', 83, 'CO', 163, 'diff', 'tsort', 'O0', 'O1', 0.14735591206179444, 0.1604909896850586]
['CO', 69, 'BO', 28, 'who', 'ruby', 'O3', 'O0', 0.10425049160490096, 12.900744438171387]
['BO', 2, 'CO', 249, 'perl', 'echo', 'O1', 'O2', 0.0777889874157065, 2.299753189086914]
['BO', 71, 'UO', 60, 'libSDL2-2.0.so.0.16.0', 'xargs', 'O0', 'O3', 0.1880797964042361, 7.004326105117798]
['CO', 235, 'UO', 23, 'wc', 'cmp', 'O2', 'O2', 0.03691275167785235, 0.04102206230163574]
['CO', 113, 'UO', 20, 'du', 'diff', 'O1', 'O1', 0.0306867998051632, 0.22458481788635254]
['BO', 1, 'CO', 173, 'ssh', 'who', 'O2', 'O1', 0.14091478696741855, 1.4228851795196533]
['CO', 95, 'UO', 74, 'sha224sum', 'ld', 'O3', 'O0', 0.14910206959479078, 3.9165961742401123]
['UO', 19, 'CO', 387, 'cmp', 'mv', 'O1', 'O0', 0.150125313283208, 0.20585989952087402]
['CO', 211, 'UO', 87, 'unlink', 'find', 'O2', 'O0', 0.17870879120879124, 0.5607342720031738]
['BO', 22, 'CO', 263, 'perl', 'cp', 'O0', 'O2', 0.09987138456016509, 4.297485113143921]
['BO', 4, 'UO', 84, 'libgeany.so.0.0.0', 'sdiff', 'O2', 'O0', 0.17464073320398155, 28.926945209503174]
['UO', 8, 'CO', 96, 'c++filt', 'fold', 'O1', 'O3', 0.15004814847238035, 0.9928231239318848]
['BO', 1, 'CO', 36, 'ssh', 'pinky', 'O2', 'O3', 0.14247227617317204, 1.3969335556030273]
['BO', 74, 'CO', 231, 'dot', 'pr', 'O1', 'O2', 0.19521912350597614, 0.026923656463623047]
['CO', 346, 'BO', 26, 'tail', 'gvmap', 'O0', 'O3', 0.05571781622107386, 0.21871590614318848]
['CO', 12, 'UO', 19, 'ptx', 'cmp', 'O3', 'O1', 0.04140786749482406, 0.050260305404663086]
['CO', 144, 'UO', 76, 'sync', 'addr2line', 'O1', 'O0', 0.15321095467236978, 2.1558239459991455]
['BO', 79, 'CO', 175, 'bash', 'readlink', 'O3', 'O1', 0.11122432983226216, 2.4309470653533936]
['BO', 57, 'CO', 411, 'libvlccore.so.9.0.0', 'sort', 'O3', 'O0', 0.12868909984117016, 5.530317306518555]
['UO', 54, 'CO', 409, 'addr2line', 'uniq', 'O3', 'O0', 0.12652877697841725, 0.8836812973022461]
['CO', 44, 'UO', 57, 'seq', 'size', 'O3', 'O3', 0.13482736631137837, 0.7960679531097412]
['CO', 362, 'BO', 79, 'dircolors', 'bash', 'O0', 'O3', 0.11074114697586968, 2.5528500080108643]
['UO', 9, 'BO', 15, 'strings', 'diff', 'O1', 'O0', 0.0987809383080901, 1.632582664489746]
['BO', 20, 'UO', 72, 'sort', 'strings', 'O1', 'O0', 0.126812982321712, 2.795440196990967]
['CO', 192, 'BO', 46, 'shred', 'ruby', 'O1', 'O3', 0.10176890546132511, 13.847490072250366]
['CO', 371, 'BO', 3, 'tsort', 'openssl', 'O0', 'O1', 0.2758237056054771, 7.67710280418396]
['UO', 85, 'BO', 13, 'locate', 'ruby', 'O0', 'O1', 0.09341379056589894, 15.72469687461853]
['UO', 34, 'CO', 15, 'ld', 'join', 'O2', 'O3', 0.13655536028119508, 1.8123366832733154]
['UO', 32, 'CO', 208, 'strings', 'sha384sum', 'O2', 'O2', 0.14434672227763168, 0.8873543739318848]
['CO', 283, 'BO', 30, 'mv', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.14057519967002885, 5.676892280578613]
['CO', 21, 'BO', 78, 'mktemp', 'ssh', 'O3', 'O0', 0.13717833183138084, 2.1243736743927]
['BO', 4, 'CO', 244, 'libgeany.so.0.0.0', 'pinky', 'O2', 'O2', 0.17764874323894375, 26.525972843170166]
['CO', 221, 'UO', 26, 'printenv', 'nm', 'O2', 'O2', 0.15055510425128626, 0.9119718074798584]
['UO', 86, 'CO', 38, 'xargs', 'sha1sum', 'O0', 'O3', 0.13023450586264662, 0.0959773063659668]
['UO', 53, 'CO', 377, 'gprof', 'false', 'O3', 'O0', 0.13313788048633268, 0.8774867057800293]
['CO', 296, 'UO', 70, 'shred', 'ranlib', 'O2', 'O0', 0.14467919924582706, 2.483569622039795]
['UO', 74, 'CO', 395, 'ld', 'csplit', 'O0', 'O0', 0.14086970670788757, 4.408013582229614]
['CO', 98, 'UO', 30, 'sleep', 'ranlib', 'O3', 'O2', 0.14634562841530052, 0.9719600677490234]
['BO', 11, 'UO', 44, 'ssh', 'nm', 'O1', 'O3', 0.03473770684192001, 4.151154041290283]
['UO', 5, 'CO', 347, 'readelf', 'base32', 'O1', 'O0', 0.10431971789597416, 0.32630276679992676]
['UO', 21, 'BO', 65, 'sdiff', 'gvmap', 'O1', 'O0', 0.11059371362048898, 0.22850298881530762]
['CO', 327, 'UO', 61, 'join', 'find', 'O0', 'O3', 0.125, 0.35641002655029297]
['BO', 24, 'CO', 297, 'cluster', 'pathchk', 'O3', 'O2', 0.13955696202531642, 0.10058355331420898]
['BO', 82, 'CO', 294, 'cp', 'timeout', 'O3', 'O2', 0.10295176385889127, 0.0918738842010498]
['BO', 17, 'CO', 30, 'codeblocks', 'expand', 'O2', 'O3', 0.18751298566382713, 10.316691398620605]
['CO', 150, 'BO', 28, 'whoami', 'ruby', 'O1', 'O0', 0.10505765637106701, 13.0475754737854]
['CO', 91, 'BO', 32, 'comm', 'ruby', 'O3', 'O2', 0.12524215749583656, 14.597726583480835]
