['BO', 26, 'CO', 143, 'gvmap', 'paste', 'O3', 'O1', 0.12227324913892079, 0.12795066833496094]
['CO', 371, 'BO', 42, 'tsort', 'cmp', 'O0', 'O1', 0.04938271604938271, 0.048653602600097656]
['CO', 191, 'UO', 3, 'id', 'nm', 'O1', 'O1', 0.14568193341220215, 1.1852028369903564]
['CO', 149, 'UO', 79, 'split', 'size', 'O1', 'O0', 0.14558058925476602, 2.435955286026001]
['UO', 60, 'CO', 289, 'xargs', 'cat', 'O3', 'O2', 0.12216216216216214, 0.06795477867126465]
['UO', 1, 'CO', 106, 'xargs', 'stat', 'O1', 'O1', 0.039429215170859955, 0.1303415298461914]
['BO', 45, 'CO', 108, 'diff', 'test', 'O2', 'O1', 0.11461512377076977, 0.11285185813903809]
['CO', 100, 'BO', 23, 'tac', 'git', 'O3', 'O2', 0.09235457280150017, 6.770265340805054]
['UO', 47, 'CO', 345, 'as', 'chown', 'O3', 'O0', 0.10617533232374221, 1.8773138523101807]
['CO', 69, 'UO', 32, 'who', 'strings', 'O3', 'O2', 0.14041644420715427, 0.9896347522735596]
['UO', 86, 'CO', 308, 'xargs', 'tac', 'O0', 'O2', 0.13280908693752735, 0.10215306282043457]
['UO', 74, 'BO', 81, 'ld', 'sort', 'O0', 'O3', 0.13300376647834278, 4.806501626968384]
['UO', 79, 'BO', 27, 'size', 'perl', 'O0', 'O3', 0.006855925047247524, 9.468896389007568]
['UO', 80, 'CO', 237, 'objdump', 'nproc', 'O0', 'O2', 0.14343216961581384, 3.992664098739624]
['CO', 86, 'BO', 60, 'timeout', 'openssl', 'O3', 'O0', 0.2677430595888024, 9.614288806915283]
['BO', 1, 'CO', 146, 'ssh', 'sum', 'O2', 'O1', 0.14248851406633523, 1.5130023956298828]
['BO', 33, 'CO', 138, 'sort', 'tail', 'O2', 'O1', 0.07018111254851234, 0.13909268379211426]
['BO', 28, 'CO', 167, 'ruby', 'logname', 'O0', 'O1', 0.10511601051463992, 13.594891786575317]
['CO', 83, 'BO', 72, 'csplit', 'make', 'O3', 'O2', 0.11120749479528103, 0.2683734893798828]
['CO', 170, 'BO', 16, 'runcon', 'make', 'O1', 'O0', 0.1316857899382171, 0.24891090393066406]
['CO', 80, 'BO', 29, 'uname', 'libvlc.so.12.0.0', 'O3', 'O2', 0.22440476190476188, 0.4005110263824463]
['CO', 124, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O1', 'O1', 0.17470926986456525, 29.202834606170654]
['BO', 9, 'CO', 109, 'git', 'basename', 'O0', 'O1', 0.09308714165178655, 6.585309028625488]
['CO', 338, 'BO', 31, 'kill', 'bash', 'O0', 'O2', 0.12158514640929163, 2.894001007080078]
['BO', 52, 'CO', 358, 'svn', 'whoami', 'O3', 'O0', 0.2060644546753453, 0.4977095127105713]
['UO', 48, 'CO', 37, 'ranlib', 'truncate', 'O3', 'O3', 0.13645461665651382, 0.8715612888336182]
['CO', 361, 'BO', 54, 'nice', 'lua', 'O0', 'O3', 0.1105263157894737, 0.35036134719848633]
['BO', 67, 'UO', 53, 'libSDL2-2.0.so.0.16.0', 'gprof', 'O1', 'O3', 0.08989306879670189, 10.55319094657898]
['CO', 72, 'UO', 47, 'head', 'as', 'O3', 'O3', 0.12090020935101187, 1.5241303443908691]
['CO', 151, 'BO', 51, 'numfmt', 'lua', 'O1', 'O1', 0.12105586249232658, 0.4781773090362549]
['CO', 215, 'UO', 18, 'fmt', 'diff3', 'O2', 'O1', 0.07862407862407861, 0.045851945877075195]
['CO', 245, 'UO', 4, 'truncate', 'strip', 'O2', 'O1', 0.14453325511476134, 1.321190595626831]
['CO', 262, 'UO', 70, 'true', 'ranlib', 'O2', 'O0', 0.15612659531849138, 2.333644390106201]
['BO', 71, 'CO', 311, 'libSDL2-2.0.so.0.16.0', 'ln', 'O0', 'O2', 0.19063283852132074, 7.357995986938477]
['CO', 292, 'UO', 35, 'vdir', 'gprof', 'O2', 'O2', 0.10987682309378066, 1.4470813274383545]
['BO', 70, 'CO', 345, 'diff', 'chown', 'O3', 'O0', 0.04433630711002978, 0.17435455322265625]
['UO', 13, 'CO', 178, 'addr2line', 'unexpand', 'O1', 'O1', 0.14765274421815677, 1.0921227931976318]
['BO', 22, 'CO', 106, 'perl', 'stat', 'O0', 'O1', 0.10515237485128581, 4.286125183105469]
['CO', 153, 'UO', 16, 'nice', 'size', 'O1', 'O1', 0.1496782049052009, 1.0996336936950684]
['CO', 21, 'BO', 36, 'mktemp', 'cluster', 'O3', 'O2', 0.1146568765885343, 0.13996624946594238]
