['CV', 84, 'BV', 36, 'rmdir', 'libvlc.so', 'V2', 'V2', 0.18767772511848335, 0.3209648132324219]
['CV', 82, 'BV', 20, 'sort', 'sort', 'V2', 'V1', 0.032460346735522005, 0.08458280563354492]
['BV', 47, 'CV', 0, 'dot', 'touch', 'V3', 'V2', 0.17492096944151736, 0.017415761947631836]
['UV', 4, 'CV', 14, 'cmp', 'dirname', 'V2', 'V2', 0.08856682769726243, 0.0239865779876709]
['CV', 39, 'UV', 23, 'whoami', 'strip', 'V2', 'V3', 0.1434643995749203, 1.064903974533081]
['BV', 67, 'CV', 232, 'cluster', 'readlink', 'V0', 'V0', 0.1482649842271293, 0.08371734619140625]
['UV', 76, 'CV', 165, 'as', 'rm', 'V0', 'V3', 0.12005805515239476, 1.5582950115203857]
['UV', 71, 'CV', 60, 'xargs', 'hostid', 'V0', 'V2', 0.0671573137074517, 0.020041465759277344]
['CV', 116, 'BV', 66, 'tail', 'lua', 'V3', 'V1', 0.1092646447860407, 0.3641488552093506]
['CV', 216, 'UV', 25, 'dircolors', 'as', 'V0', 'V3', 0.1333991520994251, 1.5883111953735352]
['UV', 41, 'CV', 38, 'cmp', 'split', 'V3', 'V2', 0.021337946943483233, 0.040016889572143555]
['UV', 69, 'CV', 318, 'sdiff', 'who', 'V0', 'V1', 0.08296668761785042, 0.03695845603942871]
['UV', 85, 'CV', 35, 'elfedit', 'sum', 'V0', 'V2', 0.05061349693251538, 0.027025938034057617]
['BV', 65, 'CV', 145, 'ssh', 'readlink', 'V1', 'V3', 0.11579716401554152, 3.489687919616699]
['BV', 74, 'UV', 49, 'git', 'xargs', 'V1', 'V1', 0.09232739550587965, 4.4841930866241455]
['BV', 37, 'CV', 194, 'geany', 'tee', 'V1', 'V0', 0.18536039572864316, 19.22257423400879]
['BV', 42, 'CV', 293, 'libvlc.so', 'paste', 'V1', 'V1', 0.18666369313113296, 0.2180194854736328]
['CV', 12, 'BV', 21, 'stty', 'cp', 'V2', 'V1', 0.06716417910447758, 0.045953989028930664]
['UV', 12, 'CV', 215, 'c++filt', 'nice', 'V2', 'V0', 0.1522459499263623, 0.8228511810302734]
['UV', 31, 'CV', 299, 'gprof', 'split', 'V3', 'V1', 0.14411515664690944, 0.9150419235229492]
['CV', 186, 'UV', 24, 'stty', 'readelf', 'V0', 'V3', 0.11436297121043426, 0.23315167427062988]
['BV', 57, 'CV', 21, 'svn', 'chgrp', 'V2', 'V2', 0.18963188112124285, 0.4027273654937744]
['UV', 14, 'BV', 58, 'objcopy', 'ruby', 'V2', 'V3', 0.15270291082704457, 0.9639143943786621]
['UV', 19, 'CV', 113, 'elfedit', 'date', 'V2', 'V3', 0.06714364336818934, 0.04084610939025879]
['UV', 71, 'BV', 63, 'xargs', 'ruby', 'V0', 'V0', 0.11563143479738514, 9.23188829421997]
['UV', 57, 'BV', 42, 'strings', 'libvlc.so', 'V1', 'V1', 0.07179661016949157, 1.7339363098144531]
['BV', 33, 'CV', 315, 'openssl', 'false', 'V0', 'V1', 0.10443703756234779, 5.366405248641968]
['UV', 39, 'CV', 243, 'find', 'csplit', 'V3', 'V0', 0.11589403973509937, 0.35058140754699707]
['BV', 64, 'CV', 313, 'openssl', 'logname', 'V2', 'V1', 0.291640296875899, 4.343155860900879]
['CV', 116, 'UV', 40, 'tail', 'diff3', 'V3', 'V3', 0.032918149466192204, 0.05606436729431152]
['CV', 295, 'UV', 83, 'echo', 'addr2line', 'V1', 'V0', 0.15102040816326534, 0.7731781005859375]
['CV', 287, 'BV', 44, 'date', 'make', 'V1', 'V0', 0.11857538920878652, 0.2756004333496094]
['UV', 76, 'CV', 46, 'as', 'cut', 'V0', 'V2', 0.12880153864647192, 1.4678549766540527]
['CV', 210, 'BV', 64, 'chroot', 'openssl', 'V0', 'V2', 0.2915899677864704, 4.306655168533325]
['UV', 78, 'CV', 29, 'c++filt', 'tail', 'V0', 'V2', 0.1329348908811011, 0.8528800010681152]
['CV', 125, 'BV', 70, 'split', 'ssh', 'V3', 'V0', 0.11187934248432474, 3.416372776031494]
['UV', 38, 'CV', 189, 'xargs', 'uptime', 'V3', 'V0', 0.14785992217898836, 0.0569608211517334]
['CV', 203, 'UV', 2, 'tail', 'find', 'V0', 'V2', 0.1327582075245627, 0.16788005828857422]
['BV', 78, 'CV', 322, 'make', 'ginstall', 'V2', 'V1', 0.09318497913769119, 0.27651095390319824]
['CV', 231, 'BV', 15, 'who', 'libvlccore.so', 'V0', 'V3', 0.16428126944617305, 3.262856960296631]
['CV', 316, 'UV', 22, 'nohup', 'nm', 'V1', 'V3', 0.15035563158368592, 0.905543327331543]
['BV', 69, 'CV', 338, 'gvmap', 'nl', 'V0', 'V1', 0.09151193633952259, 0.12514472007751465]
['CV', 252, 'BV', 44, 'rm', 'make', 'V0', 'V0', 0.11392931392931394, 0.17786455154418945]
['CV', 192, 'UV', 28, 'pwd', 'strings', 'V0', 'V3', 0.1510286926838269, 0.8602511882781982]
['UV', 15, 'BV', 34, 'ld', 'svn', 'V2', 'V0', 0.08046484260076492, 2.9247546195983887]
