['BO', 12, 'CO', 111, 'libgeany.so.0.0.0', 'fmt', 'O0', 'O1', 0.19730482995819376, 125.40642881393433]
['BO', 12, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O3', 0.1974344343083274, 126.58516716957092]
['CO', 319, 'BO', 6, 'fmt', 'codeblocks', 'O0', 'O0', 0.20526111183102236, 20.58667826652527]
['BO', 6, 'CO', 399, 'codeblocks', 'id', 'O0', 'O0', 0.20489788374457074, 20.60791826248169]
['CO', 146, 'BO', 5, 'sum', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18271925518944854, 21.84228014945984]
['CO', 165, 'BO', 6, 'cksum', 'codeblocks', 'O1', 'O0', 0.20734586144723877, 20.46288251876831]
['CO', 210, 'BO', 12, 'stat', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19587994240779705, 137.12187027931213]
['BO', 6, 'CO', 90, 'codeblocks', 'tr', 'O0', 'O3', 0.20656320604466827, 19.938780069351196]
['CO', 92, 'BO', 12, 'sha512sum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1972973573667015, 127.67904925346375]
['CO', 145, 'BO', 12, 'echo', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1977040153758246, 127.73043417930603]
['BO', 6, 'CO', 275, 'codeblocks', 'nohup', 'O0', 'O2', 0.2077938988095238, 19.820341110229492]
['UO', 79, 'BO', 12, 'size', 'libgeany.so.0.0.0', 'O0', 'O0', 0.16020697580189835, 176.92561054229736]
['BO', 6, 'CO', 156, 'codeblocks', 'sha256sum', 'O0', 'O1', 0.2063224251413739, 20.486708164215088]
['BO', 5, 'CO', 18, 'libgeany.so.0.0.0', 'uptime', 'O1', 'O3', 0.18250205449143442, 21.043899297714233]
['BO', 6, 'CO', 35, 'codeblocks', 'base32', 'O0', 'O3', 0.20701487554253073, 20.03369164466858]
['CO', 273, 'BO', 6, 'false', 'codeblocks', 'O2', 'O0', 0.20858037811835772, 19.7555890083313]
['CO', 279, 'BO', 6, 'readlink', 'codeblocks', 'O2', 'O0', 0.2067845677064969, 20.48266577720642]
['UO', 37, 'BO', 6, 'ar', 'codeblocks', 'O2', 'O0', 0.14956148535174474, 29.861961603164673]
['BO', 12, 'CO', 379, 'libgeany.so.0.0.0', 'nohup', 'O0', 'O0', 0.19702224791379486, 126.42223644256592]
['CO', 220, 'BO', 6, 'ptx', 'codeblocks', 'O2', 'O0', 0.20478929321977657, 20.93200421333313]
['CO', 3, 'BO', 12, 'unlink', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19780276842277056, 125.51656460762024]
['BO', 12, 'CO', 16, 'libgeany.so.0.0.0', 'dirname', 'O0', 'O3', 0.19782176454877287, 124.05563402175903]
['UO', 61, 'BO', 6, 'find', 'codeblocks', 'O3', 'O0', 0.18109098415647418, 24.841118812561035]
['CO', 140, 'BO', 5, 'pinky', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18258804907004356, 21.544957876205444]
['CO', 78, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19618065812016305, 125.30351781845093]
