['BO', 5, 'CO', 398, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O0', 0.18146236762779544, 23.823015451431274]
['BO', 12, 'CO', 134, 'libgeany.so.0.0.0', 'expand', 'O0', 'O1', 0.1973800292096347, 126.4644570350647]
['CO', 345, 'BO', 5, 'chown', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17849873171953778, 23.5450496673584]
['BO', 12, 'CO', 188, 'libgeany.so.0.0.0', 'vdir', 'O0', 'O1', 0.1935564343940539, 135.57346439361572]
['BO', 12, 'CO', 307, 'libgeany.so.0.0.0', 'sort', 'O0', 'O2', 0.1940803972848285, 135.5180904865265]
['CO', 77, 'BO', 12, 'env', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19762130739114958, 127.06755089759827]
['UO', 33, 'BO', 6, 'objcopy', 'codeblocks', 'O2', 'O0', 0.1436831322558616, 31.16077971458435]
['BO', 12, 'UO', 52, 'libgeany.so.0.0.0', 'ld', 'O0', 'O3', 0.1632926139200479, 160.032222032547]
['BO', 12, 'CO', 140, 'libgeany.so.0.0.0', 'pinky', 'O0', 'O1', 0.19709846402347309, 126.30043864250183]
['CO', 234, 'BO', 5, 'kill', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18394601032155622, 21.49340271949768]
['CO', 111, 'BO', 12, 'fmt', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19730482995819376, 127.22549962997437]
['UO', 14, 'BO', 5, 'ar', 'libgeany.so.0.0.0', 'O1', 'O1', 0.13301258227129598, 33.07213640213013]
['BO', 6, 'CO', 272, 'codeblocks', 'tty', 'O0', 'O2', 0.20841485456612074, 20.097573041915894]
['UO', 9, 'BO', 12, 'strings', 'libgeany.so.0.0.0', 'O1', 'O0', 0.17235721917761004, 158.9569330215454]
['BO', 12, 'CO', 290, 'libgeany.so.0.0.0', 'shuf', 'O0', 'O2', 0.19665398901928288, 125.86339163780212]
['BO', 6, 'CO', 370, 'codeblocks', 'df', 'O0', 'O0', 0.19895183156515572, 22.005485773086548]
['UO', 9, 'BO', 6, 'strings', 'codeblocks', 'O1', 'O0', 0.14948719149534018, 29.825316429138184]
['BO', 6, 'CO', 80, 'codeblocks', 'uname', 'O0', 'O3', 0.20780741704619388, 19.473138093948364]
['BO', 6, 'CO', 394, 'codeblocks', 'shuf', 'O0', 'O0', 0.2015185416131754, 21.25790309906006]
['CO', 45, 'BO', 5, 'split', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18142031769021272, 21.68422293663025]
['CO', 215, 'BO', 6, 'fmt', 'codeblocks', 'O2', 'O0', 0.20744196420273964, 20.2162127494812]
['UO', 73, 'BO', 12, 'objcopy', 'libgeany.so.0.0.0', 'O0', 'O0', 0.15507046289301618, 177.0053050518036]
['CO', 387, 'BO', 12, 'mv', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19049905776380793, 135.0994737148285]
['CO', 250, 'BO', 12, 'sum', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19749351130886172, 120.82253098487854]
['CO', 23, 'BO', 5, 'pr', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18114608402938348, 20.601470470428467]
['CO', 77, 'BO', 5, 'env', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1837782991946224, 20.302644729614258]
