['UO', 85, 'BO', 5, 'locate', 'libgeany.so.0.0.0', 'O0', 'O1', 0.16934239670052698, 25.51961851119995]
['BO', 6, 'CO', 88, 'codeblocks', 'shred', 'O0', 'O3', 0.20417923625928924, 20.788344621658325]
['CO', 350, 'BO', 6, 'sha1sum', 'codeblocks', 'O0', 'O0', 0.20497744249685668, 20.549681425094604]
['BO', 12, 'UO', 27, 'libgeany.so.0.0.0', 'strip', 'O0', 'O2', 0.16942702908761686, 157.5852575302124]
['BO', 12, 'CO', 340, 'libgeany.so.0.0.0', 'factor', 'O0', 'O0', 0.19525519193765994, 134.99177742004395]
['BO', 6, 'CO', 355, 'codeblocks', 'chroot', 'O0', 'O0', 0.20504521832405542, 20.721797466278076]
['CO', 4, 'BO', 12, 'test', 'libgeany.so.0.0.0', 'O3', 'O0', 0.197396207680965, 127.93774008750916]
['CO', 354, 'BO', 5, 'sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18181961825306536, 22.022568464279175]
['UO', 33, 'BO', 12, 'objcopy', 'libgeany.so.0.0.0', 'O2', 'O0', 0.16942702908761686, 159.72331142425537]
['BO', 12, 'CO', 129, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O1', 0.1959394087105517, 133.17123222351074]
['BO', 5, 'CO', 283, 'libgeany.so.0.0.0', 'mv', 'O1', 'O2', 0.174985320023488, 22.40794849395752]
['BO', 12, 'CO', 291, 'libgeany.so.0.0.0', 'csplit', 'O0', 'O2', 0.19688950411204298, 122.34700751304626]
['CO', 342, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19693153364052574, 120.84971189498901]
['BO', 6, 'UO', 9, 'codeblocks', 'strings', 'O0', 'O1', 0.14948719149534018, 28.48519802093506]
['CO', 195, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19723403939937445, 119.67133975028992]
['CO', 79, 'BO', 5, 'link', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18414788955887018, 19.765138387680054]
['CO', 108, 'BO', 5, 'test', 'libgeany.so.0.0.0', 'O1', 'O1', 0.1827807232729287, 20.403876781463623]
['BO', 12, 'CO', 242, 'libgeany.so.0.0.0', 'tail', 'O0', 'O2', 0.19630319424120146, 119.17809414863586]
['UO', 63, 'BO', 6, 'cmp', 'codeblocks', 'O3', 'O0', 0.206663948704644, 19.00138020515442]
['CO', 240, 'BO', 6, 'expr', 'codeblocks', 'O2', 'O0', 0.2063486184161789, 18.963136196136475]
['BO', 5, 'CO', 276, 'libgeany.so.0.0.0', 'yes', 'O1', 'O2', 0.18454150832392546, 19.787180423736572]
['BO', 5, 'CO', 177, 'libgeany.so.0.0.0', 'hostid', 'O1', 'O1', 0.18393597255966843, 19.78668785095215]
['BO', 5, 'CO', 239, 'libgeany.so.0.0.0', 'date', 'O1', 'O2', 0.18138406014089614, 20.406757354736328]
['CO', 182, 'BO', 6, 'chcon', 'codeblocks', 'O1', 'O0', 0.2032251547376348, 20.392626762390137]
['BO', 6, 'CO', 388, 'codeblocks', 'md5sum', 'O0', 'O0', 0.20502246796235002, 19.287402153015137]
