['BO', 12, 'CO', 148, 'libgeany.so.0.0.0', 'seq', 'O0', 'O1', 0.19721660256552764, 126.17137432098389]
['BO', 5, 'UO', 17, 'libgeany.so.0.0.0', 'objdump', 'O1', 'O1', 0.11536916122551477, 35.632997274398804]
['BO', 12, 'CO', 356, 'libgeany.so.0.0.0', 'seq', 'O0', 'O0', 0.1967770363842377, 127.08602809906006]
['BO', 12, 'CO', 266, 'libgeany.so.0.0.0', 'df', 'O0', 'O2', 0.19559059996754535, 136.30055713653564]
['BO', 12, 'CO', 11, 'libgeany.so.0.0.0', 'groups', 'O0', 'O3', 0.19758157190412295, 127.60940933227539]
['CO', 329, 'BO', 5, 'stdbuf', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1819302627003445, 21.495585203170776]
['BO', 12, 'CO', 110, 'libgeany.so.0.0.0', 'mkdir', 'O0', 'O1', 0.19687692045698546, 127.01329731941223]
['CO', 147, 'BO', 6, 'chroot', 'codeblocks', 'O1', 'O0', 0.20634626434118586, 20.78048348426819]
['CO', 67, 'BO', 6, 'nohup', 'codeblocks', 'O3', 'O0', 0.20719533917173816, 20.200795650482178]
['BO', 6, 'CO', 140, 'codeblocks', 'pinky', 'O0', 'O1', 0.20627536742220653, 20.59308385848999]
['BO', 5, 'CO', 48, 'libgeany.so.0.0.0', 'ls', 'O1', 'O3', 0.17577991883267763, 23.22534155845642]
['BO', 6, 'CO', 127, 'codeblocks', 'pr', 'O0', 'O1', 0.20375004600154567, 21.235174894332886]
['BO', 5, 'CO', 285, 'libgeany.so.0.0.0', 'env', 'O1', 'O2', 0.1842142891187265, 21.436240196228027]
['CO', 247, 'BO', 5, 'paste', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18428158454842913, 21.101757049560547]
['BO', 6, 'CO', 55, 'codeblocks', 'cp', 'O0', 'O3', 0.19878417253170744, 22.399114847183228]
['BO', 5, 'CO', 87, 'libgeany.so.0.0.0', 'id', 'O1', 'O3', 0.1831705888869546, 21.390090703964233]
['CO', 11, 'BO', 6, 'groups', 'codeblocks', 'O3', 'O0', 0.20735034802784225, 20.47423219680786]
['UO', 31, 'BO', 12, 'c++filt', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1739786315323295, 158.0097312927246]
['CO', 63, 'BO', 5, 'logname', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18416583337301395, 21.732378244400024]
['BO', 12, 'CO', 396, 'libgeany.so.0.0.0', 'vdir', 'O0', 'O0', 0.19116155165492832, 138.80910897254944]
['CO', 61, 'BO', 12, 'cksum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19769813195695862, 127.25822639465332]
['CO', 10, 'BO', 6, 'users', 'codeblocks', 'O3', 'O0', 0.20726773319475889, 20.09497332572937]
['BO', 6, 'CO', 324, 'codeblocks', 'ptx', 'O0', 'O0', 0.20206019282231757, 21.272027254104614]
['CO', 236, 'BO', 5, 'factor', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18215108753985543, 21.07645535469055]
['BO', 6, 'CO', 123, 'codeblocks', 'dd', 'O0', 'O1', 0.20351754176391668, 21.260162115097046]
