['BO', 5, 'CO', 34, 'libgeany.so.0.0.0', 'tail', 'O1', 'O3', 0.18081244598098534, 22.001806497573853]
['BO', 12, 'CO', 98, 'libgeany.so.0.0.0', 'sleep', 'O0', 'O3', 0.19772892468811654, 127.51267385482788]
['CO', 328, 'BO', 5, 'dirname', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18322390332096294, 21.60540008544922]
['UO', 83, 'BO', 6, 'diff', 'codeblocks', 'O0', 'O0', 0.19321190868102767, 23.73362445831299]
['CO', 182, 'BO', 5, 'chcon', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18006754103510558, 23.297866344451904]
['BO', 5, 'UO', 57, 'libgeany.so.0.0.0', 'size', 'O1', 'O3', 0.13991135093466944, 29.812524557113647]
['BO', 6, 'UO', 30, 'codeblocks', 'ranlib', 'O0', 'O2', 0.14956148535174474, 29.47737431526184]
['BO', 5, 'CO', 198, 'libgeany.so.0.0.0', 'rm', 'O1', 'O1', 0.17991776264163972, 22.796334743499756]
['CO', 45, 'BO', 6, 'split', 'codeblocks', 'O3', 'O0', 0.20479531517595717, 20.989938735961914]
['CO', 34, 'BO', 6, 'tail', 'codeblocks', 'O3', 'O0', 0.20403550361100398, 21.211957216262817]
['CO', 238, 'BO', 12, 'expand', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19770607829899622, 130.0679292678833]
['BO', 12, 'CO', 404, 'libgeany.so.0.0.0', 'sha512sum', 'O0', 'O0', 0.19651117179925548, 129.73449039459229]
['BO', 6, 'CO', 41, 'codeblocks', 'echo', 'O0', 'O3', 0.20789556873756432, 20.156059741973877]
['CO', 141, 'BO', 5, 'truncate', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18348667512690353, 21.786383867263794]
['BO', 5, 'CO', 25, 'libgeany.so.0.0.0', 'chgrp', 'O1', 'O3', 0.18087664429741157, 21.80572509765625]
['BO', 6, 'CO', 300, 'codeblocks', 'sha512sum', 'O0', 'O2', 0.20716103032666633, 20.45318102836609]
['UO', 49, 'BO', 12, 'c++filt', 'libgeany.so.0.0.0', 'O3', 'O0', 0.17509080322732695, 154.11326932907104]
['BO', 6, 'CO', 204, 'codeblocks', 'tac', 'O0', 'O1', 0.20636215334420882, 20.36537218093872]
['CO', 197, 'BO', 6, 'nl', 'codeblocks', 'O1', 'O0', 0.20659332504684347, 20.319071292877197]
['CO', 221, 'BO', 5, 'printenv', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18466849071010438, 20.96466851234436]
['CO', 298, 'BO', 6, 'tr', 'codeblocks', 'O2', 'O0', 0.20706039570882362, 19.86885356903076]
['CO', 159, 'BO', 12, 'cp', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1937785346232329, 132.24302434921265]
['BO', 5, 'CO', 291, 'libgeany.so.0.0.0', 'csplit', 'O1', 'O2', 0.18220305514746538, 20.327895164489746]
['UO', 48, 'BO', 12, 'ranlib', 'libgeany.so.0.0.0', 'O3', 'O0', 0.17351469108056317, 153.95372486114502]
['CO', 390, 'BO', 12, 'chcon', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19457226791144233, 131.8061237335205]
['UO', 8, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O1', 'O1', 0.13594992756990187, 30.10426115989685]
['CO', 188, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O1', 'O1', 0.17534068182875218, 22.897177696228027]
