['CO', 259, 'BO', 6, 'realpath', 'codeblocks', 'O2', 'O0', 0.2065199250839097, 20.848803281784058]
['BO', 5, 'CO', 136, 'libgeany.so.0.0.0', 'expr', 'O1', 'O1', 0.18211538765260515, 21.696772575378418]
['CO', 319, 'BO', 5, 'fmt', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18215601625630562, 22.08732509613037]
['BO', 12, 'CO', 28, 'libgeany.so.0.0.0', 'factor', 'O0', 'O3', 0.19674337434926648, 131.58936190605164]
['CO', 189, 'BO', 12, '[', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1970553165016331, 129.91021037101746]
['CO', 398, 'BO', 6, 'timeout', 'codeblocks', 'O0', 'O0', 0.20454335580386007, 21.9037606716156]
['BO', 12, 'CO', 221, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O2', 0.1980586994623177, 125.90793490409851]
['CO', 385, 'BO', 12, 'hostid', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19735075761508858, 129.82861471176147]
['BO', 12, 'CO', 127, 'libgeany.so.0.0.0', 'pr', 'O0', 'O1', 0.19611088125775755, 133.67054843902588]
['BO', 12, 'CO', 303, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O2', 0.19748911778010125, 127.02476406097412]
['BO', 6, 'CO', 135, 'codeblocks', 'date', 'O0', 'O1', 0.2039467628812841, 21.38719916343689]
['UO', 27, 'BO', 6, 'strip', 'codeblocks', 'O2', 'O0', 0.1436831322558616, 31.049732446670532]
['BO', 5, 'UO', 14, 'libgeany.so.0.0.0', 'ar', 'O1', 'O1', 0.13301258227129598, 31.880438566207886]
['UO', 22, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O1', 0.1820850761581564, 21.673665523529053]
['BO', 6, 'CO', 180, 'codeblocks', 'md5sum', 'O0', 'O1', 0.20648726841119414, 20.43497395515442]
['BO', 6, 'CO', 117, 'codeblocks', 'printenv', 'O0', 'O1', 0.20767742175579618, 19.809683799743652]
['BO', 6, 'CO', 32, 'codeblocks', 'expr', 'O0', 'O3', 0.2061651688302082, 20.022751092910767]
['BO', 12, 'CO', 402, 'libgeany.so.0.0.0', 'tr', 'O0', 'O0', 0.19630495236968226, 126.5518901348114]
['CO', 410, 'BO', 12, 'sleep', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1971797571210392, 134.05646681785583]
['CO', 350, 'BO', 5, 'sha1sum', 'libgeany.so.0.0.0', 'O0', 'O1', 0.18181100123218852, 21.88453722000122]
['CO', 322, 'BO', 12, 'users', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19708705481228916, 128.75853085517883]
['CO', 27, 'BO', 12, 'wc', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19692505847866637, 128.148916721344]
['CO', 84, 'BO', 12, 'vdir', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1937423906825283, 137.73873138427734]
['BO', 6, 'CO', 89, 'codeblocks', 'pathchk', 'O0', 'O3', 0.20738293647111228, 20.07420539855957]
['BO', 6, 'CO', 373, 'codeblocks', 'cksum', 'O0', 'O0', 0.2062010613426355, 19.908942461013794]
['CO', 197, 'BO', 5, 'nl', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18306110486209026, 21.984031915664673]
