['BO', 5, 'CO', 342, 'libgeany.so.0.0.0', 'expand', 'O1', 'O0', 0.18245830564258358, 21.637087106704712]
['BO', 5, 'UO', 4, 'libgeany.so.0.0.0', 'strip', 'O1', 'O1', 0.12834429897139232, 32.77829122543335]
['CO', 409, 'BO', 12, 'uniq', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19645698133033396, 130.33690190315247]
['CO', 370, 'BO', 5, 'df', 'libgeany.so.0.0.0', 'O0', 'O1', 0.17677767215720497, 24.397737979888916]
['CO', 94, 'BO', 5, 'rm', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18067503924646777, 21.901843547821045]
['BO', 6, 'CO', 109, 'codeblocks', 'basename', 'O0', 'O1', 0.2074377091855708, 20.11847472190857]
['BO', 12, 'CO', 345, 'libgeany.so.0.0.0', 'chown', 'O0', 'O0', 0.19499609300131215, 135.09031987190247]
['CO', 52, 'BO', 12, 'sha256sum', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1973267935600027, 129.12929940223694]
['UO', 51, 'BO', 5, 'objcopy', 'libgeany.so.0.0.0', 'O3', 'O1', 0.13295770134586626, 32.69258499145508]
['BO', 6, 'CO', 397, 'codeblocks', '[', 'O0', 'O0', 0.20461979118543838, 20.796319723129272]
['CO', 117, 'BO', 12, 'printenv', 'libgeany.so.0.0.0', 'O1', 'O0', 0.19773206281354827, 128.01263618469238]
['BO', 6, 'CO', 5, 'codeblocks', 'basename', 'O0', 'O3', 0.20771232112990146, 20.142046689987183]
['CO', 381, 'BO', 12, 'who', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1963672684226102, 128.89113402366638]
['UO', 42, 'BO', 6, 'xargs', 'codeblocks', 'O2', 'O0', 0.20212453674824793, 22.288930416107178]
['UO', 31, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O2', 'O1', 0.13846873109289914, 31.369648456573486]
['CO', 315, 'BO', 6, 'unlink', 'codeblocks', 'O0', 'O0', 0.2066992401582849, 20.79793906211853]
['BO', 6, 'CO', 54, 'codeblocks', 'true', 'O0', 'O3', 0.20803259171069277, 20.016223669052124]
['UO', 6, 'BO', 6, 'as', 'codeblocks', 'O1', 'O0', 0.12616107838695068, 33.64997911453247]
['UO', 75, 'BO', 5, 'gprof', 'libgeany.so.0.0.0', 'O0', 'O1', 0.11331120665811767, 37.72730350494385]
['BO', 6, 'CO', 194, 'codeblocks', 'tr', 'O0', 'O1', 0.2062742046065188, 20.765841722488403]
['CO', 18, 'BO', 6, 'uptime', 'codeblocks', 'O3', 'O0', 0.20613045247696915, 20.268836975097656]
['CO', 414, 'BO', 12, 'mknod', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19438883655204897, 139.16209721565247]
['BO', 6, 'CO', 413, 'codeblocks', 'rmdir', 'O0', 'O0', 0.205997440795208, 21.326131343841553]
['BO', 6, 'CO', 391, 'codeblocks', 'link', 'O0', 'O0', 0.2066992401582849, 20.232727527618408]
['CO', 300, 'BO', 5, 'sha512sum', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18342979465630704, 21.682528018951416]
