['BO', 6, 'CO', 144, 'codeblocks', 'sync', 'O0', 'O1', 0.20737986801747377, 20.134997606277466]
['BO', 5, 'CO', 254, 'libgeany.so.0.0.0', 'whoami', 'O1', 'O2', 0.18449087324301972, 21.051586151123047]
['BO', 12, 'CO', 219, 'libgeany.so.0.0.0', 'groups', 'O0', 'O2', 0.19776648239528072, 128.008131980896]
['CO', 221, 'BO', 6, 'printenv', 'codeblocks', 'O2', 'O0', 0.2085150803414979, 20.1704523563385]
['CO', 11, 'BO', 5, 'groups', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18369708208517588, 21.671963214874268]
['UO', 8, 'BO', 6, 'c++filt', 'codeblocks', 'O1', 'O0', 0.14993120270185756, 29.731183528900146]
['BO', 6, 'CO', 237, 'codeblocks', 'nproc', 'O0', 'O2', 0.20791692256155436, 20.101930379867554]
['BO', 5, 'CO', 83, 'libgeany.so.0.0.0', 'csplit', 'O1', 'O3', 0.18184397610302816, 21.42473864555359]
['CO', 91, 'BO', 12, 'comm', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1973491190896024, 130.76553964614868]
['BO', 5, 'CO', 406, 'libgeany.so.0.0.0', 'rm', 'O1', 'O0', 0.17810682344111584, 23.05379366874695]
['BO', 5, 'CO', 190, 'libgeany.so.0.0.0', 'timeout', 'O1', 'O1', 0.18237601214574894, 21.46953058242798]
['BO', 6, 'UO', 28, 'codeblocks', 'readelf', 'O0', 'O2', 0.17930402619657615, 24.12691068649292]
['BO', 6, 'CO', 8, 'codeblocks', 'dir', 'O0', 'O3', 0.19799421756414892, 21.996936321258545]
['BO', 12, 'CO', 279, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O2', 0.1973415966729185, 130.606294631958]
['BO', 12, 'CO', 232, 'libgeany.so.0.0.0', 'tee', 'O0', 'O2', 0.19758928902570183, 126.76369643211365]
['BO', 12, 'CO', 91, 'libgeany.so.0.0.0', 'comm', 'O0', 'O3', 0.1973491190896024, 126.10221481323242]
['BO', 6, 'CO', 85, 'codeblocks', '[', 'O0', 'O3', 0.20660024445349823, 19.78354239463806]
['CO', 368, 'BO', 5, 'cut', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1816989746749451, 22.24884867668152]
['CO', 167, 'BO', 5, 'logname', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18387665338139314, 21.682063341140747]
['CO', 100, 'BO', 12, 'tac', 'libgeany.so.0.0.0', 'O3', 'O0', 0.19718257700882114, 128.54996800422668]
['BO', 5, 'CO', 305, 'libgeany.so.0.0.0', 'uniq', 'O1', 'O2', 0.18301450560587829, 21.315340995788574]
['CO', 122, 'BO', 6, 'uptime', 'codeblocks', 'O1', 'O0', 0.20577510411846367, 20.831614017486572]
['UO', 43, 'BO', 12, 'find', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1856311069949098, 150.39696145057678]
['BO', 12, 'UO', 85, 'libgeany.so.0.0.0', 'locate', 'O0', 'O0', 0.19039292401623276, 137.61802649497986]
['CO', 299, 'BO', 6, 'comm', 'codeblocks', 'O2', 'O0', 0.20735785953177255, 20.35576844215393]
['BO', 12, 'CO', 383, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O0', 0.19632482996973133, 128.969575881958]
