['BO', 6, 'CO', 71, 'codeblocks', 'readlink', 'O0', 'O3', 0.20634744287671736, 20.140257120132446]
['BO', 12, 'UO', 0, 'libgeany.so.0.0.0', 'locate', 'O0', 'O1', 0.19267788863007074, 135.4474720954895]
['BO', 12, 'UO', 58, 'libgeany.so.0.0.0', 'objdump', 'O0', 'O3', 0.16300210855756103, 160.2674195766449]
['BO', 12, 'CO', 299, 'libgeany.so.0.0.0', 'comm', 'O0', 'O2', 0.19758058534703993, 129.42411494255066]
['BO', 6, 'CO', 347, 'codeblocks', 'base32', 'O0', 'O0', 0.20517043561937898, 20.17854881286621]
['BO', 5, 'CO', 351, 'libgeany.so.0.0.0', 'paste', 'O1', 'O0', 0.1827522877679617, 21.464938402175903]
['BO', 6, 'CO', 81, 'codeblocks', 'cat', 'O0', 'O3', 0.20720302816640068, 19.896523475646973]
['CO', 338, 'BO', 12, 'kill', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1969604908266398, 129.60121941566467]
['CO', 390, 'BO', 6, 'chcon', 'codeblocks', 'O0', 'O0', 0.20009121590805434, 22.723459482192993]
['CO', 2, 'BO', 5, 'stat', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18013690027631246, 23.02348780632019]
['UO', 45, 'BO', 12, 'strip', 'libgeany.so.0.0.0', 'O3', 'O0', 0.17063892449074203, 159.92996668815613]
['CO', 356, 'BO', 5, 'seq', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1821703587748842, 22.0070059299469]
['CO', 322, 'BO', 6, 'users', 'codeblocks', 'O0', 'O0', 0.20614368658294535, 20.73293447494507]
['BO', 5, 'CO', 308, 'libgeany.so.0.0.0', 'tac', 'O1', 'O2', 0.1834036211434189, 21.08394980430603]
['CO', 292, 'BO', 5, 'vdir', 'libgeany.so.0.0.0', 'O2', 'O1', 0.17624580589039396, 23.778528451919556]
['BO', 12, 'CO', 353, 'libgeany.so.0.0.0', 'echo', 'O0', 'O0', 0.1973476335640061, 127.27140069007874]
['CO', 192, 'BO', 5, 'shred', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18076159879051312, 23.006993532180786]
['BO', 12, 'CO', 407, 'libgeany.so.0.0.0', 'sha224sum', 'O0', 'O0', 0.19651117179925548, 127.61382842063904]
['CO', 264, 'BO', 5, 'cut', 'libgeany.so.0.0.0', 'O2', 'O1', 0.18345015699831901, 21.43027400970459]
['BO', 12, 'CO', 117, 'libgeany.so.0.0.0', 'printenv', 'O0', 'O1', 0.19773206281354827, 127.22631669044495]
['BO', 5, 'CO', 56, 'libgeany.so.0.0.0', 'cut', 'O1', 'O3', 0.18304687747285797, 20.8820219039917]
['BO', 5, 'CO', 90, 'libgeany.so.0.0.0', 'tr', 'O1', 'O3', 0.18297582890407493, 20.804593801498413]
['CO', 136, 'BO', 6, 'expr', 'codeblocks', 'O1', 'O0', 0.2054381781548642, 20.47908091545105]
['CO', 311, 'BO', 6, 'ln', 'codeblocks', 'O2', 'O0', 0.20298819772030618, 21.96098566055298]
