['BO', 6, 'CO', 390, 'codeblocks', 'chcon', 'O0', 'O0', 0.20009121590805434, 22.322685956954956]
['BO', 12, 'UO', 45, 'libgeany.so.0.0.0', 'strip', 'O0', 'O3', 0.17063892449074203, 155.62274432182312]
['BO', 12, 'CO', 398, 'libgeany.so.0.0.0', 'timeout', 'O0', 'O0', 0.19641734060421312, 134.09247255325317]
['BO', 12, 'CO', 175, 'libgeany.so.0.0.0', 'readlink', 'O0', 'O1', 0.19701302357281492, 126.73875117301941]
['CO', 196, 'BO', 12, 'sha512sum', 'libgeany.so.0.0.0', 'O1', 'O0', 0.1971602404013606, 130.0744833946228]
['BO', 5, 'CO', 265, 'libgeany.so.0.0.0', 'od', 'O1', 'O2', 0.1820879970951802, 21.85850477218628]
['BO', 12, 'CO', 339, 'libgeany.so.0.0.0', 'wc', 'O0', 'O0', 0.19625117428193128, 134.17434453964233]
['BO', 6, 'CO', 321, 'codeblocks', 'du', 'O0', 'O0', 0.19556197005231823, 22.806745767593384]
['BO', 5, 'UO', 28, 'libgeany.so.0.0.0', 'readelf', 'O1', 'O2', 0.1605557756356647, 25.746607542037964]
['CO', 382, 'BO', 12, 'b2sum', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19606437162267054, 136.32613468170166]
['BO', 5, 'CO', 110, 'libgeany.so.0.0.0', 'mkdir', 'O1', 'O1', 0.18216876610137345, 21.681918382644653]
['BO', 5, 'CO', 385, 'libgeany.so.0.0.0', 'hostid', 'O1', 'O0', 0.18331932173278553, 21.115628957748413]
['BO', 5, 'CO', 200, 'libgeany.so.0.0.0', 'fold', 'O1', 'O1', 0.18335764571573543, 21.061102628707886]
['BO', 12, 'CO', 88, 'libgeany.so.0.0.0', 'shred', 'O0', 'O3', 0.19626948363743812, 121.30387663841248]
['CO', 237, 'BO', 12, 'nproc', 'libgeany.so.0.0.0', 'O2', 'O0', 0.19779722277885392, 122.96333742141724]
['CO', 276, 'BO', 6, 'yes', 'codeblocks', 'O2', 'O0', 0.2083915562759674, 19.91167688369751]
['BO', 6, 'CO', 4, 'codeblocks', 'test', 'O0', 'O3', 0.20687290318993157, 19.83990216255188]
['CO', 185, 'BO', 6, 'cat', 'codeblocks', 'O1', 'O0', 0.20706629762413387, 19.9906165599823]
['BO', 12, 'CO', 38, 'libgeany.so.0.0.0', 'sha1sum', 'O0', 'O3', 0.19735330947458896, 121.28103590011597]
['CO', 314, 'BO', 12, 'stat', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19449516965127245, 128.85072588920593]
['BO', 6, 'CO', 209, 'codeblocks', 'touch', 'O0', 'O2', 0.20475839173736632, 19.197465896606445]
['UO', 25, 'BO', 6, 'sdiff', 'codeblocks', 'O2', 'O0', 0.20517126827107635, 18.962559700012207]
['BO', 6, 'CO', 129, 'codeblocks', 'chgrp', 'O0', 'O1', 0.20339014211387496, 20.78285789489746]
['BO', 6, 'CO', 384, 'codeblocks', 'head', 'O0', 'O0', 0.20458951021839866, 19.205658197402954]
['UO', 71, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O0', 'O1', 0.11607836148627149, 34.8176007270813]
