['CO', 62, 'BO', 5, 'printf', 'libgeany.so.0.0.0', 'O3', 'O1', 0.1829698397887045, 21.645559072494507]
['CO', 221, 'BO', 12, 'printenv', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1980586994623177, 127.48689293861389]
['BO', 5, 'CO', 387, 'libgeany.so.0.0.0', 'mv', 'O1', 'O0', 0.16953283270628017, 25.15397334098816]
['BO', 6, 'CO', 77, 'codeblocks', 'env', 'O0', 'O3', 0.20745293178357904, 19.831482887268066]
['BO', 6, 'CO', 183, 'codeblocks', 'link', 'O0', 'O1', 0.20763807504138998, 20.279537200927734]
['BO', 12, 'CO', 85, 'libgeany.so.0.0.0', '[', 'O0', 'O3', 0.19729045065331396, 125.77164578437805]
['BO', 5, 'CO', 57, 'libgeany.so.0.0.0', 'od', 'O1', 'O3', 0.1815820134143653, 21.577584981918335]
['CO', 175, 'BO', 5, 'readlink', 'libgeany.so.0.0.0', 'O1', 'O1', 0.18247412892813064, 21.498596668243408]
['CO', 378, 'BO', 12, 'runcon', 'libgeany.so.0.0.0', 'O0', 'O0', 0.1970108997680743, 128.94428873062134]
['BO', 6, 'UO', 14, 'codeblocks', 'ar', 'O0', 'O1', 0.14661520648398296, 30.58566188812256]
['CO', 371, 'BO', 5, 'tsort', 'libgeany.so.0.0.0', 'O0', 'O1', 0.1823892405063291, 21.59418511390686]
['CO', 194, 'BO', 5, 'tr', 'libgeany.so.0.0.0', 'O1', 'O1', 0.182685764026272, 21.831342458724976]
['BO', 5, 'CO', 188, 'libgeany.so.0.0.0', 'vdir', 'O1', 'O1', 0.17534068182875218, 23.84683322906494]
['CO', 257, 'BO', 12, 'nice', 'libgeany.so.0.0.0', 'O2', 'O0', 0.1979183679529628, 127.12420129776001]
['CO', 380, 'BO', 12, 'yes', 'libgeany.so.0.0.0', 'O0', 'O0', 0.19728879924062648, 128.451491355896]
['BO', 5, 'CO', 81, 'libgeany.so.0.0.0', 'cat', 'O1', 'O3', 0.18354671060970973, 21.113483905792236]
['UO', 38, 'BO', 5, 'elfedit', 'libgeany.so.0.0.0', 'O2', 'O1', 0.182713313281621, 21.460636854171753]
['CO', 297, 'BO', 6, 'pathchk', 'codeblocks', 'O2', 'O0', 0.2081828001042869, 20.115753412246704]
['BO', 5, 'CO', 138, 'libgeany.so.0.0.0', 'tail', 'O1', 'O1', 0.18035467236825553, 22.737608909606934]
['CO', 59, 'BO', 12, 'tsort', 'libgeany.so.0.0.0', 'O3', 'O0', 0.1974344343083274, 129.63641548156738]
['CO', 70, 'BO', 5, 'b2sum', 'libgeany.so.0.0.0', 'O3', 'O1', 0.18226888766085103, 21.85249924659729]
['CO', 327, 'BO', 6, 'join', 'codeblocks', 'O0', 'O0', 0.20422964070198746, 20.995140552520752]
['BO', 6, 'CO', 190, 'codeblocks', 'timeout', 'O0', 'O1', 0.20589106527937195, 20.41818356513977]
['BO', 6, 'UO', 44, 'codeblocks', 'nm', 'O0', 'O3', 0.15384131477549734, 28.659337997436523]
['BO', 5, 'UO', 60, 'libgeany.so.0.0.0', 'xargs', 'O1', 'O3', 0.17909698471965108, 23.03540062904358]
